,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_mix_1E-2mgL_16h_785nm_133mW_3s_1acc_0_RamanShift__1__31,
Raman shift [1/cm],Intensity,
1320.210,4168.3919,
1317.300,4206.9785,
1314.389,4257.8342,
1311.479,4323.7171,
1308.568,4393.636,
1305.657,4482.9492,
1302.747,4567.5192,
1299.836,4717.1447,
1296.926,4765.0816,
1294.015,4871.7231,
1291.105,5044.3085,
1288.194,5165.3704,
1285.283,5301.8215,
1282.373,5429.6559,
1279.462,5484.7131,
1276.552,5511.0306,
1273.641,5551.4481,
1270.731,5589.2981,
1267.820,5610.7238,
1264.909,5584.2013,
1261.999,5541.0251,
1259.088,5538.2888,
1256.178,5434.4938,
1253.267,5374.1621,
1250.356,5256.8279,
1247.446,5113.8354,
1244.535,4959.9199,
1241.625,4809.5696,
1238.714,4683.0729,
1235.804,4576.4407,
1232.893,4475.5195,
1229.982,4383.752,
1227.072,4284.1676,
1224.161,4225.8543,
1221.251,4167.7319,
1218.340,4056.5445,
1215.430,4005.125,
1212.519,3974.3374,
1209.608,3934.29,
1206.698,3918.6567,
1203.787,3903.8587,
1200.877,3991.8553,
1197.966,4035.9141,
1195.055,4114.9174,
1192.145,4224.297,
1189.234,4314.5163,
1186.324,4379.9464,
1183.413,4392.6681,
1180.503,4388.976,
1177.592,4395.4982,
1174.681,4308.0428,
1171.771,4264.7856,
1168.860,4206.7348,
1165.950,4164.842,
1163.039,4117.7128,
1160.129,4086.3786,
1157.218,4020.8404,
1154.307,4000.0827,
1151.397,4030.412,
1148.486,3928.6754,
1145.576,3925.6624,
1142.665,3915.0075,
1139.754,3899.4797,
1136.844,3826.0947,
1133.933,3765.6267,
1131.023,3758.2879,
1128.112,3751.9854,
1125.202,3720.3375,
1122.291,3751.0132,
1119.380,3785.203,
1116.470,3793.1457,
1113.559,3786.3925,
1110.649,3833.2384,
1107.738,3842.5146,
1104.828,3812.3132,
1101.917,3803.4392,
1099.006,3832.1457,
1096.096,3815.9211,
1093.185,3779.923,
1090.275,3719.6668,
1087.364,3747.2924,
1084.453,3756.0006,
1081.543,3739.3606,
1078.632,3724.6777,
1075.722,3715.0563,
1072.811,3712.2061,
1069.901,3797.7857,
1066.990,3825.1416,
1064.079,3831.486,
1061.169,3863.0539,
1058.258,3905.9114,
1055.348,3934.5344,
1052.437,3956.2762,
1049.527,4013.3935,
1046.616,4020.3442,
1043.705,3999.5436,
1040.795,4043.5669,
1037.884,4090.3316,
1034.974,4109.9871,
1032.063,4114.5557,
1029.153,4118.7096,
1026.242,4115.2497,
1023.331,4119.2914,
1020.421,4141.7351,
1017.510,4193.706,
1014.600,4265.1887,
1011.689,4318.2653,
1008.778,4341.0641,
1005.868,4458.5999,
1002.957,4622.9276,
1000.047,4794.4531,
997.136,4893.1744,
994.226,4962.4936,
991.315,4999.7735,
988.404,4964.4516,
985.494,4901.6508,
982.583,4791.155,
979.673,4752.444,
976.762,4738.254,
973.852,4721.7487,
970.941,4711.4599,
968.030,4724.7262,
965.120,4728.4114,
962.209,4796.6148,
959.299,4769.1713,
956.388,4764.8842,
953.477,4777.8242,
950.567,4763.5182,
947.656,4707.4565,
944.746,4702.3592,
941.835,4768.5297,
938.925,4806.4987,
936.014,4768.554,
933.103,4728.2462,
930.193,4729.142,
927.282,4670.5586,
924.372,4623.2046,
921.461,4574.4138,
918.551,4501.0317,
915.640,4442.1273,
912.729,4396.8514,
909.819,4340.1284,
906.908,4370.4557,
903.998,4341.1058,
901.087,4392.3201,
898.176,4460.0058,
895.266,4505.3774,
892.355,4530.3498,
889.445,4568.956,
886.534,4640.0891,
883.624,4659.5077,
880.713,4696.8292,
877.802,4717.9663,
874.892,4692.3673,
871.981,4680.2631,
869.071,4686.111,
866.160,4699.5443,
863.250,4674.7212,
860.339,4651.0627,
857.428,4658.125,
854.518,4656.3437,
851.607,4594.7706,
848.697,4562.1149,
845.786,4538.6319,
842.875,4531.3682,
839.965,4545.2562,
837.054,4564.0134,
834.144,4554.0683,
831.233,4562.1243,
828.323,4543.3856,
825.412,4497.8754,
822.501,4453.7208,
819.591,4457.0264,
816.680,4389.8172,
813.770,4364.9805,
810.859,4331.2456,
807.949,4284.8249,
805.038,4255.6228,
802.127,4259.7384,
799.217,4263.852,
796.306,4226.5301,
793.396,4195.957,
790.485,4190.5451,
787.574,4177.4364,
784.664,4185.6375,
781.753,4182.4281,
778.843,4185.5159,
775.932,4184.6436,
773.022,4171.1394,
770.111,4177.68,
767.200,4227.6103,
764.290,4225.7887,
761.379,4191.8562,
758.469,4157.0323,
755.558,4148.4442,
752.648,4125.6353,
749.737,4132.8752,
746.826,4098.5638,
743.916,4015.5465,
741.005,3900.3997,
738.095,3716.9155,
735.184,3590.7263,
732.274,3557.0135,
729.363,3656.9246,
726.452,3864.6828,
723.542,4000.6609,
720.631,4049.4101,
717.721,4068.4263,
714.810,4073.5057,
711.899,4087.6696,
708.989,4145.7682,
706.078,4102.0533,
703.168,4069.265,
700.257,4062.1387,
697.347,4059.0829,
694.436,4011.9722,
691.525,4006.3456,
688.615,4009.5274,
685.704,3996.1523,
682.794,3977.9335,
679.883,3985.9356,
676.973,3959.4903,
674.062,3967.5247,
671.151,4003.6165,
668.241,4036.7895,
665.330,4026.2006,
662.420,4027.7981,
659.509,4025.5853,
656.598,4031.049,
653.688,4041.5053,
650.777,4044.3158,
647.867,3990.9619,
644.956,3975.4101,
642.046,3977.6856,
639.135,3984.125,
636.224,3984.1807,
633.314,3995.2958,
630.403,4016.4525,
627.493,4046.7924,
624.582,4073.1827,
621.672,4064.4708,
618.761,4087.6831,
615.850,4114.9606,
612.940,4147.1771,
610.029,4192.724,
607.119,4280.373,
604.208,4223.0938,
601.297,4189.1458,
598.387,4181.8384,
595.476,4181.3478,
592.566,4183.709,
589.655,4175.7024,
586.745,4155.0682,
583.834,4118.3149,
580.923,4062.215,
578.013,4077.125,
575.102,4125.8649,
572.192,4140.5462,
569.281,4116.5452,
566.371,4168.981,
563.460,4215.7476,
560.549,4237.5105,
557.639,4251.5247,
554.728,4278.948,
551.818,4307.8197,
548.907,4276.3414,
545.996,4282.0618,
543.086,4328.2862,
540.175,4324.393,
537.265,4366.8575,
534.354,4406.2028,
531.444,4426.0598,
528.533,4422.7603,
525.622,4487.9399,
522.712,4500.3047,
519.801,4537.313,
516.891,4606.6372,
513.980,4643.8034,
511.070,4741.5075,
508.159,4826.0162,
505.248,4886.892,
502.338,4924.8812,
499.427,5019.0447,
496.517,5069.0139,
493.606,5083.0776,
490.695,5083.0746,
487.785,5154.6651,
484.874,5183.573,
481.964,5171.1153,
479.053,5148.2148,
476.143,5182.0051,
473.232,5146.716,
470.321,5094.6586,
467.411,5065.2554,
464.500,5095.125,
461.590,5095.125,
458.679,5128.1427,
455.769,5161.7413,
452.858,5177.0794,
449.947,5186.2466,
447.037,5183.2709,
444.126,5170.8826,
441.216,5151.8178,
438.305,5132.7695,
435.395,5168.1519,
432.484,5212.7134,
429.573,5243.7525,
426.663,5229.3098,
423.752,5228.8224,
420.842,5215.8811,
417.931,5205.9427,
415.020,5226.4183,
412.110,5298.8231,
409.199,5389.1836,
406.289,5470.8838,
403.378,5515.8586,
400.468,5437.2352,
397.557,5434.2334,
394.646,5439.7723,
391.736,5397.1351,
388.825,5366.2116,
385.915,5362.9791,
383.004,5393.5384,
380.094,5458.5454,
377.183,5486.387,
374.272,5589.1116,
371.362,5687.079,
368.451,5732.359,
365.541,5769.1352,
362.630,5776.3938,
359.719,5800.7621,
356.809,5863.7172,
353.898,5856.978,
350.988,5870.3146,
348.077,5876.4456,
345.167,5860.0872,
342.256,5859.3401,
339.345,5888.3538,
336.435,5910.5163,
