,PLA0ED~1,
Wavenumbers [1/cm],Intensity,
1582.162,628.18556,
1579.252,613.34917,
1576.341,598.21118,
1573.431,591.70913,
1570.520,576.86621,
1567.610,571.87989,
1564.699,596.27601,
1561.788,579.56891,
1558.878,565.21118,
1555.967,539.84107,
1553.057,530.1767,
1550.146,549.44678,
1547.235,524.61509,
1544.325,501.3216,
1541.414,539.88895,
1538.504,564.94557,
1535.593,546.45214,
1532.683,515.24923,
1529.772,505.26857,
1526.861,503.32487,
1523.951,498.49735,
1521.040,531.56958,
1518.130,546.94339,
1515.219,580.66567,
1512.309,548.9538,
1509.398,521.98052,
1506.487,518.35735,
1503.577,523.05868,
1500.666,584.0727,
1497.756,586.40451,
1494.845,569.9841,
1491.934,530.42657,
1489.024,469.78952,
1486.113,513.98578,
1483.203,501.63798,
1480.292,504.71607,
1477.382,543.61266,
1474.471,488.16517,
1471.560,483.13832,
1468.650,465.39369,
1465.739,443.09618,
1462.829,471.83723,
1459.918,500.59742,
1457.008,504.625,
1454.097,503.70068,
1451.186,519.25943,
1448.276,515.32127,
1445.365,461.87382,
1442.455,442.97857,
1439.544,430.84934,
1436.633,439.31516,
1433.723,468.64613,
1430.812,425.01843,
1427.902,492.12891,
1424.991,471.27813,
1422.081,416.49385,
1419.170,409.03282,
1416.259,450.74828,
1413.349,447.03066,
1410.438,451.72214,
1407.528,463.99364,
1404.617,461.57946,
1401.707,432.24774,
1398.796,394.57609,
1395.885,405.97564,
1392.975,423.89484,
1390.064,389.45428,
1387.154,406.88643,
1384.243,404.28196,
1381.332,442.10377,
1378.422,373.04534,
1375.511,361.80397,
1372.601,380.97798,
1369.690,368.05222,
1366.780,380.67367,
1363.869,446.37555,
1360.958,447.17765,
1358.048,443.93137,
1355.137,456.98458,
1352.227,460.42237,
1349.316,492.00843,
1346.406,545.38982,
1343.495,528.41765,
1340.584,495.37474,
1337.674,514.87622,
1334.763,533.51914,
1331.853,530.73745,
1328.942,487.04126,
1326.032,500.38427,
1323.121,483.878,
1320.210,513.91656,
1317.300,534.98593,
1314.389,542.27789,
1311.479,531.89696,
1308.568,527.42941,
1305.657,548.88202,
1302.747,543.75641,
1299.836,594.57343,
1296.926,614.47132,
1294.015,589.64958,
1291.105,582.46121,
1288.194,640.73198,
1285.283,616.96083,
1282.373,609.85153,
1279.462,622.86014,
1276.552,646.34948,
1273.641,653.47759,
1270.731,638.32948,
1267.820,644.847,
1264.909,622.39381,
1261.999,591.19226,
1259.088,579.33468,
1256.178,612.88326,
1253.267,609.41865,
1250.356,592.40267,
1247.446,577.99755,
1244.535,575.59821,
1241.625,582.25832,
1238.714,577.35006,
1235.804,562.27058,
1232.893,588.87616,
1229.982,583.71699,
1227.072,586.43293,
1224.161,579.90097,
1221.251,564.47933,
1218.340,549.90782,
1215.430,556.18624,
1212.519,563.81396,
1209.608,536.46433,
1206.698,500.83802,
1203.787,526.57474,
1200.877,506.68667,
1197.966,539.95557,
1195.055,537.35876,
1192.145,554.65724,
1189.234,613.17718,
1186.324,651.44412,
1183.413,635.33563,
1180.503,631.26819,
1177.592,671.77626,
1174.681,630.97774,
1171.771,620.07832,
1168.860,639.72629,
1165.950,617.43632,
1163.039,612.3234,
1160.129,603.18732,
1157.218,609.60487,
1154.307,628.81935,
1151.397,629.0226,
1148.486,609.1207,
1145.576,633.93114,
1142.665,617.94871,
1139.754,646.72926,
1136.844,648.72288,
1133.933,648.38452,
1131.023,622.24344,
1128.112,593.76755,
1125.202,601.97281,
1122.291,617.37972,
1119.380,629.59902,
1116.470,626.95143,
1113.559,581.00331,
1110.649,569.58954,
1107.738,581.34136,
1104.828,589.3767,
1101.917,577.26953,
1099.006,557.18158,
1096.096,577.0124,
1093.185,550.67232,
1090.275,574.52165,
1087.364,579.93888,
1084.453,593.12414,
1081.543,599.68101,
1078.632,602.14647,
1075.722,619.18918,
1072.811,621.19063,
1069.901,615.07781,
1066.990,596.84171,
1064.079,596.02757,
1061.169,590.99739,
1058.258,584.77803,
1055.348,584.50688,
1052.437,581.37737,
1049.527,554.4236,
1046.616,549.21063,
1043.705,548.625,
1040.795,568.41864,
1037.884,577.60205,
1034.974,578.60438,
1032.063,582.43273,
1029.153,581.42928,
1026.242,604.78311,
1023.331,546.46213,
1020.421,575.75399,
1017.510,602.58941,
1014.600,609.625,
1011.689,599.64754,
1008.778,576.09111,
1005.868,584.40106,
1002.957,559.45078,
1000.047,556.353,
997.136,604.78571,
994.226,649.77867,
991.315,663.01609,
988.404,660.97648,
985.494,656.97288,
982.583,627.84997,
979.673,602.40725,
976.762,604.60574,
973.852,612.95103,
970.941,609.58653,
968.030,595.37063,
965.120,582.8935,
962.209,646.83416,
959.299,628.58678,
956.388,609.90543,
953.477,614.48966,
950.567,631.76208,
947.656,640.84782,
944.746,642.54693,
941.835,645.86425,
938.925,661.1021,
936.014,665.08422,
933.103,655.2693,
930.193,648.21941,
927.282,665.52511,
924.372,645.23055,
921.461,642.625,
918.551,631.00633,
915.640,617.52568,
912.729,608.74651,
909.819,608.62922,
906.908,646.53834,
903.998,639.87599,
901.087,616.62029,
898.176,613.69171,
895.266,620.13361,
892.355,614.9809,
889.445,627.5699,
886.534,648.4968,
883.624,645.22385,
880.713,641.625,
877.802,626.68716,
874.892,592.37421,
871.981,560.32429,
869.071,378.20429,
866.160,319.71657,
863.250,425.57063,
860.339,553.38751,
857.428,594.64249,
