,PL9A5F~1,
Wavenumbers [1/cm],Intensity,
452.858,1477.9201,
449.947,1502.3659,
447.037,1477.037,
444.126,1466.2477,
441.216,1480.449,
438.305,1475.1155,
435.395,1478.9645,
432.484,1489.71,
429.573,1495.6949,
426.663,1471.3704,
423.752,1421.9505,
420.842,1362.1,
417.931,1272.9276,
415.020,1123.5311,
412.110,1263.966,
409.199,1410.7734,
406.289,1506.6531,
403.378,1501.1317,
400.468,1429.3122,
397.557,1441.3372,
394.646,1470.8735,
391.736,1462.4615,
388.825,1496.4019,
385.915,1511.1647,
383.004,1511.0919,
380.094,1499.7608,
377.183,1487.7212,
374.272,1487.0889,
371.362,1495.8502,
368.451,1511.9221,
365.541,1520.9285,
362.630,1526.6524,
359.719,1530.5589,
356.809,1532.2876,
353.898,1514.3164,
350.988,1518.0548,
348.077,1528.2791,
345.167,1533.4829,
342.256,1496.1295,
339.345,1485.375,
336.435,1499.5322,
333.524,1535.1301,
330.614,1495.6369,
327.703,1528.5547,
324.793,1564.9302,
321.882,1546.393,
318.971,1553.8275,
316.061,1562.7231,
313.150,1569.144,
310.240,1568.4019,
307.329,1579.0946,
304.418,1620.3072,
301.508,1667.1319,
298.597,1677.4978,
295.687,1641.804,
292.776,1643.5418,
289.866,1677.6925,
286.955,1712.4126,
284.044,1707.8875,
281.134,1744.5878,
278.223,1810.0159,
275.313,1766.5415,
272.402,1788.1629,
269.492,1836.6738,
266.581,1887.9097,
263.670,1811.451,
260.760,1830.6433,
257.849,1885.569,
254.939,1934.7392,
252.028,1870.229,
249.117,1858.1662,
246.207,1871.4809,
243.296,1864.1605,
240.386,1849.0092,
237.475,1858.6634,
234.565,1886.375,
231.654,1886.375,
228.743,1875.443,
225.833,1850.9106,
222.922,1813.8846,
220.012,1824.8129,
217.101,1809.2371,
214.191,1791.1235,
211.280,1796.9432,
208.369,1761.0431,
205.459,1719.0207,
202.548,1690.648,
199.638,1738.5409,
196.727,1723.0215,
193.816,1702.5689,
190.906,1695.8863,
187.995,1624.9319,
185.085,1599.9021,
182.174,1614.0663,
179.264,1668.2737,
176.353,1619.268,
173.442,1603.965,
170.532,1623.0583,
167.621,1551.6817,
164.711,1503.4688,
161.800,1448.8663,
158.890,1365.3779,
155.979,1263.4612,
153.068,1137.6537,
150.158,990.52538,
147.247,826.83227,
144.337,708.40202,
141.426,583.18123,
138.516,426.18205,
135.605,306.14862,
132.694,212.02677,
129.784,140.89786,
126.873,92.269029,
123.963,60.750335,
121.052,38.992505,
118.141,25.428367,
115.231,27.506711,
112.320,21.596825,
109.410,12.238645,
106.499,11.52649,
103.589,8.5737276,
100.678,6.375,
97.767,6.375,
94.857,7.067989,
91.946,6.9718891,
89.036,6.2621021,
86.125,5.5528968,
83.215,5.375,
80.304,2.2623751,
77.393,-6.9438341,
74.483,-3.0390553,
71.572,0.46205634,
68.662,2.3057325,
65.751,1.5992814,
62.840,1.375,
59.930,1.375,
57.019,1.375,
54.109,-1.6108042,
51.198,-0.91051652,
48.288,5.3523502,
45.377,2.538838,
42.466,2.1994387,
39.556,3.0296443,
36.645,0.92307362,
33.735,-0.66349693,
30.824,-2.7294349,
27.914,-6.2353111,
25.003,-7.870275,
22.092,-6.0417635,
19.182,-0.67076573,
16.271,-2.069746,
13.361,3.2754117,
10.450,-19.033009,
7.539,-195.7068,
4.629,-601.50351,
1.718,-1021.586,
-1.192,-1292.0781,
-4.103,-994.22979,
-7.013,-542.79157,
-9.924,-0.625,
