,PLDD2F~1,
Wavenumbers [1/cm],Intensity,
1800.456,71.688587,
1797.545,102.04525,
1794.635,95.81003,
1791.724,108.21481,
1788.813,101.27037,
1785.903,83.826571,
1782.992,68.241599,
1780.082,32.389152,
1777.171,-56.814,
1774.261,-106.90933,
1771.350,-17.860737,
1768.439,58.389628,
1765.529,109.15004,
1762.618,120.97624,
1759.708,101.52701,
1756.797,113.30682,
1753.887,141.95226,
1750.976,152.95091,
1748.065,144.35734,
1745.155,146.09428,
1742.244,143.26722,
1739.334,120.38795,
1736.423,140.13664,
1733.512,136.59447,
1730.602,146.58336,
1727.691,148.0367,
1724.781,149.23473,
1721.870,136.19397,
1718.960,181.3867,
1716.049,163.34986,
1713.138,164.71497,
1710.228,170.22648,
1707.317,146.99157,
1704.407,191.49005,
1701.496,181.37869,
1698.586,188.19086,
1695.675,154.25378,
1692.764,160.3955,
1689.854,158.00492,
1686.943,201.35735,
1684.033,182.39656,
1681.122,202.51816,
1678.211,198.91307,
1675.301,206.85033,
1672.390,170.80322,
1669.480,147.10764,
1666.569,176.58597,
1663.659,231.17271,
1660.748,188.85572,
1657.837,188.72792,
1654.927,227.08586,
1652.016,234.97593,
1649.106,199.21773,
1646.195,213.73815,
1643.285,249.46745,
1640.374,274.5196,
1637.463,258.23529,
1634.553,277.90456,
1631.642,280.01615,
1628.732,292.86907,
1625.821,291.86584,
1622.911,277.95389,
1620.000,336.13168,
1617.089,319.23321,
1614.179,363.57775,
1611.268,351.39549,
1608.358,409.01879,
1605.447,415.64646,
1602.536,422.39821,
1599.626,465.19191,
1596.715,470.6902,
1593.805,423.47541,
1590.894,439.01108,
1587.984,448.80374,
1585.073,409.88661,
1582.162,448.79373,
1579.252,416.95994,
1576.341,411.07925,
1573.431,411.875,
1570.520,385.1218,
1567.610,387.30653,
1564.699,381.44961,
1561.788,376.46656,
1558.878,395.67513,
1555.967,368.53844,
1553.057,349.23708,
1550.146,343.3441,
1547.235,338.10402,
1544.325,364.58606,
1541.414,354.55168,
1538.504,344.83048,
1535.593,340.42459,
1532.683,329.90046,
1529.772,339.8563,
1526.861,347.1402,
1523.951,357.91147,
1521.040,360.89269,
1518.130,380.88961,
1515.219,377.43443,
1512.309,383.00108,
1509.398,343.02325,
1506.487,347.25315,
1503.577,335.2836,
1500.666,361.7704,
1497.756,368.64616,
1494.845,365.07456,
1491.934,345.69232,
1489.024,289.86773,
1486.113,349.99844,
1483.203,327.3418,
1480.292,337.45118,
