,PLA0DA~1,
Wavenumbers [1/cm],Intensity,
1555.967,803.32341,
1553.057,804.42227,
1550.146,787.5537,
1547.235,781.19522,
1544.325,730.63128,
1541.414,705.11195,
1538.504,731.53985,
1535.593,717.89119,
1532.683,711.12577,
1529.772,712.91281,
1526.861,674.27782,
1523.951,665.44073,
1521.040,686.20342,
1518.130,676.98955,
1515.219,643.90954,
1512.309,655.78602,
1509.398,640.09797,
1506.487,629.64748,
1503.577,643.33781,
1500.666,642.72071,
1497.756,614.41147,
1494.845,656.02851,
1491.934,590.76575,
1489.024,595.57821,
1486.113,593.89557,
1483.203,622.17137,
1480.292,582.47591,
1477.382,557.77679,
1474.471,533.03077,
1471.560,578.99796,
1468.650,575.51869,
1465.739,564.75,
1462.829,554.6041,
1459.918,558.24733,
1457.008,558.11912,
1454.097,560.84179,
1451.186,548.3825,
1448.276,524.92599,
1445.365,537.06991,
1442.455,532.14266,
1439.544,542.17496,
1436.633,478.39347,
1433.723,594.12689,
1430.812,587.75517,
1427.902,562.9755,
1424.991,572.45312,
1422.081,522.28876,
1419.170,517.75,
1416.259,510.45943,
1413.349,474.00891,
1410.438,519.43215,
1407.528,558.55606,
1404.617,526.23815,
1401.707,493.51048,
1398.796,502.0227,
1395.885,504.1751,
1392.975,500.14635,
1390.064,534.81668,
1387.154,542.25321,
1384.243,478.47539,
1381.332,514.18063,
1378.422,543.97203,
1375.511,587.06396,
1372.601,562.8676,
1369.690,565.03611,
1366.780,532.48452,
1363.869,584.04759,
1360.958,597.50697,
1358.048,620.04234,
1355.137,645.05821,
1352.227,665.84813,
1349.316,687.63829,
1346.406,695.66587,
1343.495,691.77785,
1340.584,677.7493,
1337.674,729.64605,
1334.763,777.47973,
1331.853,744.09941,
1328.942,821.02284,
1326.032,749.18794,
1323.121,824.85248,
1320.210,847.76119,
1317.300,833.89652,
1314.389,858.07004,
1311.479,914.27407,
1308.568,941.8478,
1305.657,954.72192,
1302.747,1017.2799,
1299.836,995.18984,
1296.926,1021.0319,
1294.015,1048.6116,
1291.105,1041.8251,
1288.194,1089.4733,
1285.283,1113.9221,
1282.373,1133.9374,
1279.462,1159.2203,
1276.552,1182.9705,
1273.641,1221.7021,
1270.731,1255.753,
1267.820,1250.2388,
1264.909,1317.2442,
1261.999,1291.0842,
1259.088,1272.8418,
1256.178,1235.7788,
1253.267,1192.9246,
1250.356,1157.3689,
1247.446,1149.8571,
1244.535,1124.5045,
1241.625,1075.1612,
1238.714,1031.6728,
1235.804,1002.3131,
1232.893,996.63136,
1229.982,966.52345,
1227.072,930.31096,
1224.161,905.8969,
1221.251,903.98353,
1218.340,892.44157,
1215.430,862.07698,
1212.519,847.73035,
1209.608,856.58501,
1206.698,862.26065,
1203.787,860.94597,
1200.877,846.92014,
1197.966,865.80248,
1195.055,906.85268,
1192.145,941.54971,
1189.234,934.53019,
1186.324,949.2068,
1183.413,983.76525,
1180.503,998.02842,
1177.592,981.78015,
1174.681,957.7363,
1171.771,951.26514,
1168.860,973.59237,
1165.950,920.11603,
1163.039,921.41646,
1160.129,928.92971,
1157.218,934.07662,
1154.307,918.34361,
1151.397,893.6558,
1148.486,921.45029,
1145.576,919.21033,
1142.665,906.77955,
1139.754,913.88629,
1136.844,938.85999,
1133.933,933.50084,
1131.023,914.25227,
1128.112,908.32091,
1125.202,917.64854,
