,PLC42E~1,
Wavenumbers [1/cm],Intensity,
1678.211,678.87755,
1675.301,703.051,
1672.390,712.08313,
1669.480,698.06885,
1666.569,691.75979,
1663.659,741.28832,
1660.748,751.91555,
1657.837,791.27208,
1654.927,753.289,
1652.016,759.44463,
1649.106,734.35277,
1646.195,823.50862,
1643.285,838.73763,
1640.374,822.52221,
1637.463,841.9897,
1634.553,889.33189,
1631.642,902.95127,
1628.732,887.45682,
1625.821,943.17472,
1622.911,1018.6967,
1620.000,1027.0242,
1617.089,1096.7121,
1614.179,1150.6021,
1611.268,1219.5225,
1608.358,1285.9879,
1605.447,1333.4396,
1602.536,1398.5614,
1599.626,1358.9682,
1596.715,1370.5542,
1593.805,1367.6533,
1590.894,1314.2848,
1587.984,1338.3043,
1585.073,1334.6168,
1582.162,1279.6923,
1579.252,1260.942,
1576.341,1241.5016,
1573.431,1218.3288,
1570.520,1197.8375,
1567.610,1183.4386,
1564.699,1220.7267,
1561.788,1188.9424,
1558.878,1176.6354,
1555.967,1202.5876,
1553.057,1143.9533,
1550.146,1090.605,
1547.235,1103.3768,
1544.325,1084.7586,
1541.414,1072.6264,
1538.504,1070.7661,
1535.593,1029.884,
1532.683,1012.5286,
1529.772,1021.0876,
1526.861,1006.2854,
1523.951,986.43427,
1521.040,984.51297,
1518.130,1006.2048,
1515.219,990.04523,
1512.309,975.93129,
1509.398,965.50319,
1506.487,993.22752,
1503.577,971.74867,
1500.666,926.2589,
1497.756,951.88781,
1494.845,960.52467,
1491.934,946.13445,
1489.024,949.02193,
1486.113,956.54272,
1483.203,926.03913,
1480.292,927.21607,
1477.382,853.76617,
1474.471,890.60891,
1471.560,876.64702,
1468.650,899.97196,
1465.739,894.34834,
1462.829,880.93137,
1459.918,879.57251,
1457.008,875.57111,
1454.097,872.58716,
1451.186,849.42094,
1448.276,831.99068,
1445.365,859.125,
1442.455,871.42438,
1439.544,887.748,
1436.633,836.89262,
1433.723,871.60237,
1430.812,922.35182,
1427.902,900.64364,
1424.991,922.44218,
1422.081,907.52789,
1419.170,875.01883,
1416.259,838.53254,
1413.349,823.57259,
1410.438,833.02125,
1407.528,894.13053,
1404.617,874.63197,
1401.707,840.18488,
1398.796,861.89418,
1395.885,872.72332,
1392.975,860.08354,
1390.064,876.18842,
1387.154,878.63803,
1384.243,835.95348,
1381.332,864.65827,
1378.422,911.73347,
1375.511,962.31964,
1372.601,913.3602,
1369.690,939.12779,
1366.780,919.57191,
1363.869,977.05498,
1360.958,1011.0282,
1358.048,1007.2253,
1355.137,1040.5513,
1352.227,1065.6021,
1349.316,1072.5664,
1346.406,1096.1001,
1343.495,1088.5989,
1340.584,1109.1609,
1337.674,1103.9842,
1334.763,1136.9013,
1331.853,1157.3004,
1328.942,1173.2459,
1326.032,1204.4873,
1323.121,1247.4323,
1320.210,1266.1183,
1317.300,1252.0083,
1314.389,1244.2362,
1311.479,1281.7655,
1308.568,1317.9412,
1305.657,1323.3872,
1302.747,1380.4367,
1299.836,1423.4592,
1296.926,1439.9968,
1294.015,1437.2388,
1291.105,1473.2272,
1288.194,1498.8923,
1285.283,1523.4571,
1282.373,1551.3749,
1279.462,1593.8695,
1276.552,1617.7313,
1273.641,1633.5869,
1270.731,1657.1265,
1267.820,1652.8113,
1264.909,1678.8609,
1261.999,1656.623,
1259.088,1697.6684,
1256.178,1659.8715,
1253.267,1617.0668,
1250.356,1597.998,
1247.446,1558.3346,
1244.535,1520.2411,
1241.625,1489.3621,
1238.714,1447.2455,
1235.804,1398.5814,
1232.893,1352.2467,
1229.982,1364.5492,
1227.072,1288.503,
1224.161,1279.763,
1221.251,1248.6001,
1218.340,1226.4644,
1215.430,1253.7077,
1212.519,1263.9201,
1209.608,1226.4693,
1206.698,1184.8907,
1203.787,1157.8888,
1200.877,1189.5708,
1197.966,1196.764,
1195.055,1267.0914,
1192.145,1285.1357,
1189.234,1307.2376,
1186.324,1359.038,
1183.413,1378.5514,
1180.503,1347.6465,
1177.592,1328.4685,
1174.681,1339.9161,
1171.771,1297.3723,
1168.860,1308.0893,
1165.950,1263.9728,
1163.039,1258.7122,
1160.129,1297.1062,
1157.218,1274.0514,
1154.307,1223.2381,
1151.397,1234.5094,
1148.486,1264.5717,
1145.576,1283.7781,
1142.665,1275.7869,
1139.754,1264.5478,
1136.844,1234.1129,
1133.933,1221.5385,
1131.023,1241.4251,
1128.112,1263.4108,
1125.202,1258.5018,
1122.291,1249.7571,
1119.380,1268.0124,
1116.470,1256.5395,
1113.559,1289.9212,
1110.649,1300.125,
1107.738,1279.7639,
1104.828,1264.6216,
1101.917,1273.7465,
1099.006,1278.8881,
1096.096,1240.9313,
1093.185,1254.1013,
1090.275,1255.9343,
1087.364,1265.7307,
1084.453,1256.0634,
1081.543,1259.5863,
1078.632,1280.0054,
1075.722,1284.5011,
1072.811,1286.125,
1069.901,1286.125,
1066.990,1300.675,
1064.079,1321.8184,
1061.169,1330.6773,
1058.258,1338.7477,
1055.348,1356.7679,
1052.437,1367.9095,
1049.527,1330.3865,
1046.616,1311.2723,
1043.705,1357.6832,
1040.795,1340.8383,
1037.884,1336.7799,
1034.974,1352.3595,
1032.063,1349.9252,
1029.153,1329.1902,
1026.242,1321.4056,
1023.331,1376.1215,
1020.421,1406.6438,
1017.510,1408.962,
1014.600,1426.9632,
1011.689,1446.7222,
1008.778,1422.8166,
1005.868,1449.6231,
1002.957,1393.7,
1000.047,1503.7891,
997.136,1569.2687,
994.226,1564.4945,
991.315,1538.2983,
988.404,1525.8564,
985.494,1484.295,
982.583,1536.5449,
979.673,1513.3958,
976.762,1507.4089,
973.852,1524.3853,
970.941,1531.6408,
968.030,1510.177,
965.120,1516.1859,
962.209,1530.6791,
959.299,1533.125,
956.388,1536.4848,
953.477,1535.8368,
950.567,1535.5692,
947.656,1546.1196,
944.746,1530.8276,
941.835,1556.8488,
938.925,1555.2284,
936.014,1551.125,
933.103,1565.6019,
930.193,1579.9398,
927.282,1530.4376,
924.372,1517.7535,
921.461,1482.987,
918.551,1475.7725,
915.640,1465.5268,
912.729,1446.5883,
909.819,1446.9043,
906.908,1460.3831,
903.998,1411.8124,
901.087,1428.4043,
898.176,1428.4232,
895.266,1426.6297,
892.355,1464.638,
889.445,1478.0662,
886.534,1486.4737,
883.624,1496.8718,
880.713,1494.4904,
877.802,1458.5967,
874.892,1394.8519,
871.981,1357.1189,
869.071,1314.5128,
866.160,1352.6623,
863.250,1422.4001,
860.339,1473.5685,
857.428,1482.638,
854.518,1471.0177,
851.607,1432.7425,
848.697,1380.7291,
845.786,1352.8595,
842.875,1388.0708,
839.965,1472.4116,
837.054,1501.125,
834.144,1501.125,
831.233,1499.1251,
828.323,1493.1793,
825.412,1504.5451,
822.501,1539.7208,
819.591,1543.0264,
816.680,1508.6698,
813.770,1502.0045,
810.859,1487.7828,
807.949,1469.6762,
805.038,1470.1294,
802.127,1461.8981,
799.217,1404.4753,
796.306,1384.5574,
793.396,1385.293,
790.485,1389.652,
787.574,1399.9657,
784.664,1422.1087,
781.753,1411.3634,
778.843,1412.4564,
775.932,1423.9027,
773.022,1435.0701,
770.111,1466.9557,
767.200,1460.7506,
764.290,1439.6329,
761.379,1416.2783,
758.469,1411.7976,
755.558,1451.347,
752.648,1425.2797,
749.737,1415.5555,
746.826,1422.4494,
743.916,1423.9106,
741.005,1400.2167,
738.095,1401.0286,
735.184,1346.0654,
732.274,1275.2165,
729.363,1258.3597,
726.452,1321.7727,
723.542,1375.1927,
720.631,1379.6541,
717.721,1383.5621,
714.810,1402.8749,
711.899,1426.1745,
708.989,1409.2291,
706.078,1437.1706,
703.168,1404.6556,
700.257,1402.229,
697.347,1415.1271,
694.436,1344.478,
691.525,1394.3139,
688.615,1390.66,
685.704,1368.7425,
682.794,1367.5078,
679.883,1421.3413,
676.973,1426.1495,
674.062,1437.3343,
671.151,1452.3299,
668.241,1449.8301,
665.330,1404.3519,
662.420,1409.1443,
659.509,1394.8867,
656.598,1418.1485,
653.688,1461.2752,
650.777,1463.6939,
647.867,1421.4885,
644.956,1394.1696,
642.046,1374.833,
639.135,1363.3346,
636.224,1364.3717,
633.314,1413.5959,
630.403,1434.9932,
627.493,1463.7854,
624.582,1496.5936,
621.672,1480.7537,
618.761,1461.1265,
615.850,1433.0855,
612.940,1432.2017,
610.029,1463.2837,
607.119,1452.2289,
604.208,1443.3149,
601.297,1442.6176,
598.387,1453.724,
595.476,1476.5363,
592.566,1491.4906,
589.655,1453.3079,
586.745,1443.7101,
583.834,1457.9292,
580.923,1450.0824,
578.013,1443.0197,
575.102,1443.9929,
572.192,1453.2707,
569.281,1472.8738,
566.371,1510.4397,
563.460,1504.2484,
560.549,1492.3285,
557.639,1477.4109,
554.728,1461.7857,
551.818,1503.9227,
548.907,1513.125,
545.996,1504.1828,
543.086,1501.1973,
540.175,1552.588,
537.265,1487.3185,
534.354,1505.7755,
531.444,1539.536,
528.533,1512.6768,
525.622,1520.4363,
522.712,1516.0575,
519.801,1523.9633,
516.891,1550.3242,
513.980,1585.9418,
511.070,1551.7946,
508.159,1558.0931,
505.248,1579.6214,
502.338,1573.4353,
499.427,1618.2016,
496.517,1666.327,
493.606,1680.6653,
490.695,1655.9437,
487.785,1669.0302,
484.874,1670.4788,
481.964,1673.8625,
479.053,1673.7931,
476.143,1651.5222,
473.232,1680.34,
470.321,1663.417,
467.411,1637.9369,
464.500,1652.1444,
461.590,1652.9101,
458.679,1683.3912,
455.769,1709.7003,
452.858,1714.6362,
449.947,1729.1509,
447.037,1719.9898,
444.126,1728.022,
441.216,1751.2886,
438.305,1729.1926,
435.395,1733.337,
432.484,1739.6255,
429.573,1739.0425,
426.663,1721.5592,
423.752,1571.5747,
420.842,1478.8105,
417.931,1433.7052,
415.020,1393.5122,
412.110,1536.9844,
409.199,1662.0076,
406.289,1723.1042,
403.378,1680.1993,
400.468,1702.1231,
397.557,1703.4694,
394.646,1739.3349,
391.736,1849.628,
388.825,1802.8657,
385.915,1789.125,
383.004,1801.4034,
380.094,1831.8179,
377.183,1825.7981,
374.272,1856.149,
371.362,1872.5292,
368.451,1848.7663,
365.541,1875.7856,
362.630,1910.9833,
359.719,1924.0621,
356.809,1900.3062,
353.898,1903.3014,
350.988,1903.5825,
348.077,1903.7058,
345.167,1905.5034,
342.256,1912.9741,
339.345,1909.8107,
336.435,1905.4026,
333.524,1906.9941,
330.614,1934.5648,
