,PLEB4C~1,
Raman shift [1/cm],Intensity,
1165.950,4873.5729,
1163.039,4806.9294,
1160.129,4766.5739,
1157.218,4739.6357,
1154.307,4704.6908,
1151.397,4653.6457,
1148.486,4589.255,
1145.576,4556.1464,
1142.665,4478.8979,
1139.754,4496.0952,
1136.844,4471.387,
1133.933,4425.6557,
1131.023,4360.9556,
1128.112,4319.1422,
1125.202,4315.9058,
1122.291,4282.8841,
1119.380,4306.6386,
1116.470,4320.759,
1113.559,4329.4592,
1110.649,4354.4196,
1107.738,4373.4656,
1104.828,4372.0102,
1101.917,4358.8372,
1099.006,4345.8404,
1096.096,4314.07,
1093.185,4307.046,
1090.275,4310.5464,
1087.364,4311.5,
1084.453,4316.5622,
1081.543,4328.388,
1078.632,4325.024,
1075.722,4291.7388,
1072.811,4277.4236,
1069.901,4304.4947,
1066.990,4340.4499,
1064.079,4425.3981,
1061.169,4458.1862,
1058.258,4476.2508,
1055.348,4513.6127,
1052.437,4544.0274,
1049.527,4589.6818,
1046.616,4646.1557,
1043.705,4729.5765,
1040.795,4686.734,
1037.884,4691.4762,
1034.974,4741.0657,
1032.063,4766.9458,
1029.153,4806.3043,
1026.242,4829.6581,
1023.331,4796.3355,
1020.421,4824.3551,
1017.510,4868.6343,
1014.600,4899.9586,
1011.689,4925.4684,
1008.778,4986.157,
1005.868,5137.446,
1002.957,5354.2553,
1000.047,5537.4681,
997.136,5747.9667,
994.226,5848.9155,
991.315,5836.7599,
988.404,5808.7745,
985.494,5695.4835,
982.583,5650.086,
979.673,5597.4063,
976.762,5574.0419,
973.852,5552.7036,
970.941,5543.0588,
968.030,5572.7544,
965.120,5585.3568,
962.209,5551.2551,
959.299,5562.498,
956.388,5584.0591,
953.477,5579.4699,
950.567,5578.4596,
947.656,5647.9645,
944.746,5704.8848,
941.835,5624.899,
938.925,5651.5635,
936.014,5652.232,
933.103,5606.5489,
930.193,5559.5061,
927.282,5534.688,
924.372,5445.8993,
921.461,5389.5796,
918.551,5333.4156,
915.640,5257.3312,
912.729,5187.3278,
909.819,5164.7173,
906.908,5120.9112,
903.998,5131.2258,
901.087,5171.4174,
898.176,5210.6334,
895.266,5242.5612,
892.355,5296.9278,
889.445,5448.8352,
886.534,5440.3164,
883.624,5494.3451,
880.713,5528.645,
877.802,5530.9839,
874.892,5541.4362,
871.981,5623.9415,
869.071,5557.9439,
866.160,5559.6092,
863.250,5560.7822,
860.339,5547.5506,
857.428,5523.6563,
854.518,5488.3095,
