,PLD703~1,
Raman shift [1/cm],Intensity,
1876.131,418.01929,
1873.220,424.21022,
1870.310,430.39125,
1867.399,429.76599,
1864.489,423.6457,
1861.578,444.06881,
1858.667,430.09729,
1855.757,438.96718,
1852.846,432.81663,
1849.936,467.82008,
1847.025,449.22447,
1844.114,448.24653,
1841.204,456.51224,
1838.293,438.24751,
1835.383,458.33098,
1832.472,442.91174,
1829.562,466.46616,
1826.651,476.7069,
1823.740,476.30174,
1820.830,455.60019,
1817.919,460.96565,
1815.009,461.1813,
1812.098,455.36418,
1809.188,454.75,
1806.277,446.92705,
1803.366,474.81654,
1800.456,479.35453,
1797.545,488.45929,
1794.635,474.84699,
1791.724,471.06065,
1788.813,484.55231,
1785.903,487.76359,
1782.992,476.35954,
1780.082,468.6995,
1777.171,456.09155,
1774.261,487.11501,
1771.350,476.669,
1768.439,486.56226,
1765.529,509.5657,
1762.618,488.43561,
1759.708,481.72825,
1756.797,495.81061,
1753.887,521.72522,
1750.976,501.08771,
1748.065,498.18318,
1745.155,523.16281,
1742.244,524.79077,
1739.334,505.31706,
1736.423,528.83781,
1733.512,527.92476,
1730.602,531.7262,
1727.691,518.62913,
1724.781,531.84126,
1721.870,549.62627,
1718.960,521.50518,
1716.049,551.66489,
1713.138,553.62003,
1710.228,564.93416,
1707.317,553.48143,
1704.407,558.03878,
1701.496,562.39619,
1698.586,597.86141,
1695.675,547.41461,
1692.764,571.20493,
1689.854,541.17912,
1686.943,625.74842,
1684.033,599.49509,
1681.122,623.32519,
1678.211,630.68338,
1675.301,604.83017,
1672.390,612.85169,
1669.480,647.21527,
1666.569,704.54687,
1663.659,689.10931,
1660.748,711.54055,
1657.837,751.48756,
1654.927,740.21858,
1652.016,758.75374,
1649.106,719.82717,
1646.195,763.80496,
1643.285,805.99804,
1640.374,774.77438,
1637.463,824.01102,
1634.553,892.75,
1631.642,892.99973,
1628.732,916.4729,
1625.821,1037.7768,
1622.911,1078.519,
1620.000,1140.9563,
1617.089,1222.1182,
1614.179,1285.9451,
1611.268,1383.0694,
1608.358,1407.7199,
1605.447,1459.6647,
1602.536,1514.9357,
1599.626,1560.147,
1596.715,1512.0167,
1593.805,1492.4407,
1590.894,1477.5399,
1587.984,1496.5362,
1585.073,1425.7289,
1582.162,1448.6501,
1579.252,1423.8363,
1576.341,1390.3149,
1573.431,1356.3389,
1570.520,1309.7668,
