,PLB6EA~1,
Raman shift [1/cm],Intensity,
933.103,5179.2886,
930.193,5135.6248,
927.282,5053.9542,
924.372,5053.1086,
921.461,5012.498,
918.551,4923.0596,
915.640,4869,
912.729,4847.7999,
909.819,4793.5586,
906.908,4820.5162,
903.998,4833.9305,
901.087,4831.908,
898.176,4856.2001,
895.266,4885.6826,
892.355,4906.046,
889.445,5018.5078,
886.534,4996.4585,
883.624,5041.7896,
880.713,5093.0489,
877.802,5113.4417,
874.892,5096.3815,
871.981,5066.6646,
869.071,5052.4626,
866.160,5082.4281,
863.250,5085.9917,
860.339,5071.3463,
857.428,5057.0694,
854.518,5033.1795,
851.607,5073.9509,
848.697,5058.302,
845.786,5054.7466,
842.875,5064.1459,
839.965,5079.3401,
837.054,5122.3442,
834.144,5153.0081,
831.233,5187.6646,
828.323,5175.7877,
825.412,5136.4434,
822.501,5106.4254,
819.591,5086.5919,
816.680,5006.6729,
813.770,4992.012,
810.859,4946.266,
807.949,4873.2194,
805.038,4830.3296,
802.127,4775.1801,
799.217,4799.8156,
796.306,4795.8107,
793.396,4765.9235,
790.485,4737.4741,
787.574,4743,
784.664,4743,
781.753,4740.987,
778.843,4760.5835,
775.932,4774.2841,
773.022,4766.8902,
770.111,4830.6613,
767.200,4814.4446,
764.290,4812.0451,
761.379,4792.1557,
758.469,4748.8386,
755.558,4717.4894,
752.648,4700.3828,
749.737,4664.3605,
746.826,4622.2903,
743.916,4569.4282,
741.005,4479.9558,
738.095,4249.3828,
735.184,4067.5471,
732.274,3981.2828,
729.363,4085.0864,
726.452,4371.5676,
723.542,4579.5817,
720.631,4646.8113,
717.721,4666.2914,
714.810,4660.0057,
711.899,4654.1485,
708.989,4684.8117,
706.078,4671.3779,
703.168,4657.6772,
700.257,4638.2103,
697.347,4622.8258,
694.436,4633.1964,
691.525,4640.4306,
688.615,4606.1521,
685.704,4587.1585,
682.794,4580.1703,
679.883,4549.2255,
676.973,4576.4721,
674.062,4568.6003,
671.151,4571.9583,
668.241,4597.9124,
665.330,4637.021,
662.420,4658.5868,
659.509,4646.4918,
656.598,4639.5965,
653.688,4643.9202,
650.777,4646.784,
647.867,4640.4134,
644.956,4640.2383,
642.046,4640.1708,
639.135,4642.3537,
636.224,4655.3223,
633.314,4719.6313,
630.403,4721.8109,
627.493,4726.2108,
624.582,4758.0051,
621.672,4798.3968,
618.761,4790.1208,
615.850,4809.5905,
612.940,4847.809,
610.029,4890.0772,
607.119,4914.5557,
604.208,4907.7698,
601.297,4868.6052,
598.387,4846.7583,
595.476,4883.0798,
592.566,4905.1177,
589.655,4918.0705,
586.745,4893.0562,
583.834,4852.6825,
580.923,4847.7441,
578.013,4805.3685,
575.102,4792.2792,
572.192,4836.0178,
569.281,4921.218,
566.371,4944.6967,
563.460,5010.4921,
560.549,5039.9237,
557.639,5036.2859,
554.728,5018.8869,
551.818,5032.9326,
548.907,5084.1436,
545.996,5115,
543.086,5120.0329,
540.175,5143.3923,
537.265,5135.5844,
534.354,5173.1386,
531.444,5207.8695,
528.533,5192.8829,
525.622,5205.2981,
522.712,5268.6753,
519.801,5345.4243,
516.891,5416.9553,
513.980,5471.1561,
511.070,5516.8521,
508.159,5578.4137,
505.248,5628.5022,
502.338,5634.8977,
499.427,5699.7316,
496.517,5782.0504,
493.606,5811.474,
490.695,5774.5305,
487.785,5799.9336,
484.874,5827.9103,
481.964,5828.1264,
479.053,5818.0898,
476.143,5851.8801,
473.232,5871.9851,
470.321,5858.0772,
467.411,5823.8435,
464.500,5787.3406,
461.590,5761.3055,
458.679,5793.0709,
455.769,5794.4388,
452.858,5733.9651,
449.947,5791.26,
447.037,5809.0676,
444.126,5794.1455,
441.216,5765.9687,
438.305,5788.8266,
435.395,5763.152,
432.484,5752.1675,
429.573,5746.2849,
426.663,5696.1156,
423.752,5683.631,
420.842,5642.5517,
417.931,5607.6961,
415.020,5641.8222,
412.110,5773.2271,
409.199,5843.4939,
406.289,5871.6736,
