,PL1EBD~1,
Raman shift [1/cm],Intensity,
1812.098,1367.2165,
1809.188,1359.9341,
1806.277,1364.3893,
1803.366,1354.5,
1800.456,1354.555,
1797.545,1359.0956,
1794.635,1387.7919,
1791.724,1354.8785,
1788.813,1414.2959,
1785.903,1405.2519,
1782.992,1414.0127,
1780.082,1402.6924,
1777.171,1390.1622,
1774.261,1390.2903,
1771.350,1431.3725,
1768.439,1451.2024,
1765.529,1437.5879,
1762.618,1436.3757,
1759.708,1445.7934,
1756.797,1436.5,
1753.887,1464.707,
1750.976,1444.6342,
1748.065,1476.9439,
1745.155,1495.7001,
1742.244,1460.0009,
1739.334,1497.4835,
1736.423,1521.9131,
1733.512,1496.3048,
1730.602,1515.6727,
1727.691,1506.3085,
1724.781,1510.7255,
1721.870,1519.1334,
1718.960,1588.7453,
1716.049,1551.4836,
1713.138,1579.1198,
1710.228,1581.1485,
1707.317,1577.8463,
1704.407,1572.1096,
1701.496,1628.9275,
1698.586,1602.1605,
1695.675,1584.5287,
1692.764,1649.7705,
1689.854,1721.4252,
1686.943,1682.9502,
1684.033,1725.3824,
1681.122,1694.0607,
1678.211,1762.8338,
1675.301,1772.4722,
1672.390,1782.5628,
1669.480,1803.9813,
1666.569,1864.4395,
1663.659,1939.1822,
1660.748,2040.018,
1657.837,2015.7624,
1654.927,2028.9995,
1652.016,2091.3542,
1649.106,2087.6543,
1646.195,2174.7707,
1643.285,2227.9583,
1640.374,2289.4338,
1637.463,2241.3555,
1634.553,2344.1847,
1631.642,2457.3035,
1628.732,2530.737,
1625.821,2570.6387,
1622.911,2781.3054,
1620.000,2937.522,
1617.089,3069.8532,
1614.179,3272.6906,
1611.268,3475.8785,
1608.358,3561.6605,
1605.447,3641.872,
1602.536,3803.057,
1599.626,3771.2632,
1596.715,3792.9128,
1593.805,3756.1494,
1590.894,3702.1825,
1587.984,3658.258,
1585.073,3689.0851,
1582.162,3644.572,
1579.252,3636.1366,
1576.341,3566.0064,
1573.431,3531.2702,
1570.520,3571.5982,
1567.610,3533.3423,
1564.699,3477.0734,
1561.788,3414.6131,
1558.878,3312.5684,
1555.967,3255.3407,
1553.057,3214.8796,
1550.146,3163.7001,
1547.235,3091.1416,
1544.325,3073.597,
1541.414,3057.7969,
1538.504,3012.4617,
1535.593,2990.0916,
1532.683,2963.5303,
1529.772,2908.4692,
1526.861,2857.0162,
1523.951,2835.5,
1521.040,2811.52,
1518.130,2747.1164,
1515.219,2698.9406,
1512.309,2691.3919,
1509.398,2705.373,
1506.487,2624.5,
1503.577,2631.2598,
1500.666,2666.5826,
1497.756,2638.2461,
1494.845,2669.4589,
1491.934,2620.2701,
1489.024,2550.0081,
1486.113,2498.3576,
1483.203,2482.9538,
1480.292,2468.7723,
1477.382,2480.2402,
1474.471,2427.4813,
1471.560,2406.146,
1468.650,2387.4182,
1465.739,2355.1614,
1462.829,2347.4682,
1459.918,2353.71,
1457.008,2351.9461,
1454.097,2338.3325,
1451.186,2334.8172,
1448.276,2350.5587,
1445.365,2349.1414,
1442.455,2346.5326,
1439.544,2379.321,
1436.633,2347.1594,
1433.723,2314.6186,
