,PL469F~1,
Raman shift [1/cm],Intensity,
1579.252,5185.9998,
1576.341,5153.9559,
1573.431,5112.7826,
1570.520,5067.978,
1567.610,5006.7076,
1564.699,4990.8251,
1561.788,4916.7278,
1558.878,4803.4434,
1555.967,4692.7019,
1553.057,4659.8405,
1550.146,4568.9643,
1547.235,4447.8004,
1544.325,4372.1397,
1541.414,4319.8321,
1538.504,4274.7953,
1535.593,4204.7097,
1532.683,4124.352,
1529.772,4074.9878,
1526.861,4015.1538,
1523.951,3923.3393,
1521.040,3848.2742,
1518.130,3808.6506,
1515.219,3789.935,
1512.309,3772.0506,
1509.398,3710.1526,
1506.487,3695.2964,
1503.577,3678.4359,
1500.666,3660.5915,
1497.756,3647.7386,
1494.845,3566.5746,
1491.934,3547.0443,
1489.024,3445.9825,
1486.113,3495.2263,
1483.203,3446.0849,
1480.292,3416.4652,
1477.382,3367.9213,
1474.471,3384.2333,
1471.560,3308.9234,
1468.650,3256.1935,
1465.739,3236.1272,
1462.829,3230.9718,
1459.918,3213.1428,
1457.008,3211.5752,
1454.097,3222.5264,
1451.186,3220.7909,
1448.276,3222.8509,
1445.365,3241.1278,
1442.455,3266.7221,
1439.544,3224.8381,
1436.633,3161.3859,
1433.723,3206.5207,
1430.812,3152.095,
1427.902,3072.2475,
1424.991,3024.8594,
1422.081,3038.0546,
1419.170,3034.1906,
1416.259,2998.5423,
1413.349,3050.7943,
1410.438,2969.6067,
1407.528,2980.4493,
1404.617,3000.3938,
1401.707,3004.5038,
1398.796,3024.7596,
1395.885,3060.765,
1392.975,3081.9161,
1390.064,3064.4384,
1387.154,3072.7296,
1384.243,3036.4425,
1381.332,3003.5763,
1378.422,3049.964,
1375.511,3138.9582,
1372.601,3301.6498,
1369.690,3398.5256,
1366.780,3461.4812,
1363.869,3549.2021,
1360.958,3653.9601,
1358.048,3685.0686,
1355.137,3758.2276,
1352.227,3827.0874,
1349.316,3866.7574,
1346.406,3985.7422,
1343.495,4105.3471,
1340.584,4135.8031,
1337.674,4173.8439,
1334.763,4247.0567,
1331.853,4317.5262,
1328.942,4328.3802,
1326.032,4408.4902,
1323.121,4497.5076,
1320.210,4578.3123,
1317.300,4628.8038,
1314.389,4701.9317,
1311.479,4800.5009,
1308.568,4890.7798,
1305.657,4958.2418,
1302.747,5004.4575,
1299.836,5126.1713,
1296.926,5266.8698,
1294.015,5406.607,
1291.105,5548.859,
1288.194,5695.9726,
1285.283,5826.4674,
1282.373,5958.3981,
1279.462,6071.668,
1276.552,6182.6272,
1273.641,6231.219,
1270.731,6231.893,
1267.820,6304.2243,
1264.909,6224.1109,
1261.999,6199.0435,
1259.088,6162.5586,
1256.178,6085.8633,
1253.267,5994.3539,
1250.356,5878.2685,
1247.446,5725.8305,
1244.535,5527.9691,
1241.625,5354.7196,
1238.714,5217.5458,
1235.804,5046.8849,
1232.893,4927.5214,
1229.982,4828.5045,
1227.072,4773.2805,
1224.161,4718.9448,
1221.251,4570.1518,
1218.340,4478.9716,
1215.430,4450.9707,
1212.519,4384.8942,
1209.608,4312.9188,
1206.698,4319.8857,
1203.787,4332.7469,
1200.877,4397.774,
1197.966,4452.6227,
1195.055,4536.4336,
1192.145,4636.0281,
1189.234,4714.9808,
1186.324,4838.9297,
1183.413,4915.4004,
1180.503,4925.5515,
1177.592,4934.6978,
1174.681,4856.1113,
1171.771,4784.0356,
1168.860,4725.9848,
1165.950,4657.4844,
1163.039,4601.8676,
1160.129,4548.9837,
1157.218,4524.375,
1154.307,4494.322,
1151.397,4420.9566,
1148.486,4357.0753,
1145.576,4352.8694,
1142.665,4295.1551,
1139.754,4254.5753,
1136.844,4173.5435,
1133.933,4160.5567,
1131.023,4154.4912,
1128.112,4140.8739,
1125.202,4151.718,
1122.291,4139.3642,
1119.380,4111.7301,
1116.470,4147.9138,
1113.559,4177.8922,
1110.649,4140.1907,
1107.738,4142.6301,
1104.828,4180.3546,
1101.917,4194.2741,
1099.006,4174.0452,
1096.096,4159.2351,
1093.185,4173.2831,
1090.275,4194.6068,
1087.364,4192.5138,
1084.453,4124.6916,
1081.543,4120.3882,
1078.632,4164.0187,
1075.722,4143.1631,
1072.811,4198.1888,
1069.901,4195.5691,
1066.990,4207.5,
1064.079,4262.7746,
1061.169,4297.8687,
1058.258,4336.4425,
1055.348,4380.6085,
1052.437,4391.8188,
1049.527,4409.8785,
1046.616,4422.9109,
1043.705,4439.0195,
1040.795,4481.0468,
1037.884,4505.4094,
1034.974,4514.3338,
1032.063,4530.8132,
1029.153,4552.5175,
1026.242,4562.032,
1023.331,4581.5404,
1020.421,4622.3214,
1017.510,4663.5874,
1014.600,4694.3712,
1011.689,4725.9091,
1008.778,4791.2726,
1005.868,4931.6646,
1002.957,5075.3438,
1000.047,5263.3591,
997.136,5421.6964,
994.226,5535.3281,
991.315,5572.8899,
988.404,5509.73,
985.494,5412.1283,
982.583,5356.4521,
979.673,5309.5977,
976.762,5304.1815,
973.852,5302.4188,
970.941,5292.375,
968.030,5296.2826,
965.120,5318.0958,
962.209,5251.5975,
959.299,5244.6245,
956.388,5256.4544,
953.477,5296.4351,
950.567,5323.5525,
947.656,5276.5026,
944.746,5323.2282,
941.835,5337.5222,
938.925,5330.5042,
936.014,5342.5731,
933.103,5367.1431,
930.193,5356.0059,
927.282,5251.0295,
924.372,5189.3002,
921.461,5154.1282,
918.551,5047.3591,
915.640,4954.853,
912.729,4915.7876,
909.819,4890.2621,
906.908,4874.256,
903.998,4913.9386,
901.087,4971.4765,
898.176,5003.6241,
895.266,5028.7363,
892.355,5084.3533,
889.445,5159.0481,
886.534,5218.6509,
883.624,5268.7264,
880.713,5334.8381,
877.802,5340.425,
874.892,5264.4558,
871.981,5259.3689,
869.071,5216.7628,
866.160,5251.4625,
863.250,5237.3502,
860.339,5208.4489,
857.428,5196.6008,
854.518,5137.2677,
851.607,5098.9925,
848.697,5065.5501,
845.786,5106.8285,
842.875,5144.1408,
839.965,5111.8553,
837.054,5068.5425,
834.144,5083.46,
831.233,5061.0435,
828.323,5060.2447,
825.412,5041.1446,
822.501,4972.3962,
819.591,4955.8682,
816.680,4889.6698,
813.770,4823.8813,
810.859,4792.57,
807.949,4768.3261,
805.038,4715.3529,
802.127,4756.5093,
799.217,4723.1054,
796.306,4691.6451,
793.396,4648.5655,
790.485,4605.902,
787.574,4615.9978,
784.664,4632.4,
781.753,4664.2273,
778.843,4676.4147,
775.932,4692.2759,
773.022,4728.1907,
770.111,4701.2106,
767.200,4710.7947,
764.290,4684.3253,
761.379,4673.0094,
758.469,4682.8877,
755.558,4655.8221,
752.648,4570.2888,
749.737,4554.0278,
746.826,4546.9155,
743.916,4491.4652,
741.005,4349.2829,
738.095,4162.5512,
735.184,3946.5938,
