,PLD19A~1,
Wavenumbers [1/cm],Intensity,
1803.366,1183.8085,
1800.456,1180.3696,
1797.545,1188.6906,
1794.635,1186.101,
1791.724,1179.3896,
1788.813,1182.4886,
1785.903,1219.7161,
1782.992,1204.7528,
1780.082,1220.1179,
1777.171,1238.5388,
1774.261,1216.5598,
1771.350,1218.6413,
1768.439,1231.4466,
1765.529,1217.0593,
1762.618,1229.01,
1759.708,1221.8098,
1756.797,1245.7689,
1753.887,1256.4639,
1750.976,1229.1852,
1748.065,1270.9456,
1745.155,1274.2172,
1742.244,1275.4148,
1739.334,1284.875,
1736.423,1276.3965,
1733.512,1301.9808,
1730.602,1325.5913,
1727.691,1332.178,
1724.781,1339.9542,
1721.870,1366.8228,
1718.960,1326.0078,
1716.049,1351.1119,
1713.138,1370.6999,
1710.228,1344.1552,
1707.317,1377.9116,
1704.407,1357.7199,
1701.496,1368.5482,
1698.586,1414.2263,
1695.675,1407.5822,
1692.764,1442.8504,
1689.854,1434.3514,
1686.943,1430.0099,
1684.033,1430.8502,
1681.122,1465.2803,
1678.211,1511.4372,
1675.301,1525.8318,
1672.390,1553.7942,
1669.480,1527.4606,
1666.569,1599.3164,
1663.659,1556.5936,
1660.748,1601.0898,
1657.837,1662.5907,
1654.927,1651.023,
1652.016,1699.1666,
1649.106,1712.0501,
1646.195,1759.9779,
1643.285,1804.0547,
1640.374,1771.1746,
1637.463,1879.9198,
1634.553,1937.3922,
1631.642,1972.8848,
1628.732,2065.1357,
1625.821,2109.0196,
1622.911,2328.6296,
1620.000,2347.6482,
1617.089,2466.467,
1614.179,2649.6296,
1611.268,2724.1982,
1608.358,2972.7946,
1605.447,3088.5901,
1602.536,3227.203,
1599.626,3171.5598,
1596.715,3182.2118,
1593.805,3161.5167,
1590.894,3106.9155,
1587.984,3099.0089,
1585.073,3115.0405,
1582.162,2995.1468,
1579.252,2969.2384,
1576.341,2921.6123,
1573.431,2877.7649,
1570.520,2841.3574,
1567.610,2850.7576,
1564.699,2820.6235,
1561.788,2819.5509,
1558.878,2790.7368,
1555.967,2745.8058,
1553.057,2658.1516,
1550.146,2626.7077,
1547.235,2605.72,
1544.325,2559.1639,
1541.414,2540.0352,
1538.504,2496.1466,
1535.593,2416.8433,
1532.683,2389.4411,
1529.772,2382.4691,
1526.861,2340.7819,
1523.951,2289.6664,
1521.040,2260.661,
1518.130,2280.0999,
1515.219,2238.436,
1512.309,2200.1588,
1509.398,2175.7707,
1506.487,2138.1973,
1503.577,2180.9073,
1500.666,2158.3227,
1497.756,2159.8154,
1494.845,2136.4759,
1491.934,2174.8026,
1489.024,2152.6652,
1486.113,2116.6408,
1483.203,2109.4342,
1480.292,2080.8741,
1477.382,2004.7492,
1474.471,2006.2921,
1471.560,2064.123,
1468.650,2044.9284,
1465.739,2026.2345,
1462.829,2027.0686,
1459.918,1995.8305,
1457.008,1952.6132,
1454.097,1928.4805,
1451.186,1945.2425,
1448.276,1974.2336,
1445.365,1953.5519,
1442.455,1936.8815,
1439.544,1937.696,
1436.633,1918.2931,
1433.723,1949.9815,
1430.812,1990.5108,
1427.902,1960.3789,
1424.991,1939.5281,
1422.081,1932.4527,
1419.170,1901.6329,
1416.259,1872.5731,
1413.349,1835.1549,
1410.438,1864.7624,
1407.528,1915.3496,
1404.617,1886.3176,
1401.707,1867.1834,
1398.796,1884.5953,
1395.885,1894.4223,
1392.975,1912.2088,
1390.064,1925.8116,
1387.154,1901.3979,
1384.243,1877.9097,
1381.332,1886.195,
1378.422,1918.6716,
1375.511,2031.0853,
1372.601,2030.1103,
1369.690,2101.0245,
1366.780,2094.6582,
1363.869,2132.0107,
1360.958,2211.916,
1358.048,2281.067,
1355.137,2344.7756,
1352.227,2383.5352,
1349.316,2417.0372,
1346.406,2465.1102,
1343.495,2478.8437,
1340.584,2499.6254,
1337.674,2482.0239,
1334.763,2576.4628,
1331.853,2618.1882,
1328.942,2672.3534,
1326.032,2687.8468,
1323.121,2715.0678,
1320.210,2775.8168,
1317.300,2809.548,
1314.389,2844.1672,
1311.479,2905.5155,
1308.568,2990.9004,
1305.657,3112.233,
1302.747,3249.8809,
1299.836,3322.9094,
1296.926,3313.3615,
1294.015,3409.8905,
1291.105,3488.7211,
1288.194,3512.4536,
1285.283,3602.5114,
1282.373,3652.0624,
1279.462,3735.5402,
1276.552,3813.5995,
1273.641,3884.1219,
1270.731,3958.172,
1267.820,3948.378,
1264.909,3999.7541,
1261.999,3996.8112,
1259.088,3940.2596,
1256.178,3888.9134,
1253.267,3832.5417,
1250.356,3703.4191,
1247.446,3610.7377,
1244.535,3529.8618,
1241.625,3434.9084,
1238.714,3340.3797,
1235.804,3243.0887,
1232.893,3162.1462,
