,PLCE2F~1,
Wavenumbers [1/cm],Intensity,
1896.505,376.17041,
1893.594,399.46949,
1890.684,385.66263,
1887.773,389.19372,
1884.863,389.99687,
1881.952,391.25745,
1879.041,360.84592,
1876.131,347.11748,
1873.220,352.47679,
1870.310,382.15073,
1867.399,389.29503,
1864.489,412.77832,
1861.578,371.88061,
1858.667,359.72229,
1855.757,377.55996,
1852.846,395.63141,
1849.936,394.53817,
1847.025,388.66696,
1844.114,394.35146,
1841.204,375.29458,
1838.293,382.33675,
1835.383,401.5495,
1832.472,386.51413,
1829.562,393.06745,
1826.651,413.68299,
1823.740,388.07226,
1820.830,397.98149,
1817.919,406.00375,
1815.009,399.52513,
1812.098,408.24901,
1809.188,440.32842,
1806.277,389.57012,
1803.366,399.82418,
1800.456,426.26509,
1797.545,426.12668,
1794.635,441.69797,
1791.724,430.375,
1788.813,431.37629,
1785.903,426.9332,
1782.992,399.375,
1780.082,404.1952,
1777.171,411.37286,
1774.261,404.47002,
1771.350,433.28601,
1768.439,461.18166,
1765.529,450.19447,
1762.618,452.09436,
1759.708,441.79888,
1756.797,450.74621,
1753.887,456.86188,
1750.976,443.35079,
1748.065,459.10925,
1745.155,433.13657,
1742.244,419.64491,
1739.334,429.85265,
1736.423,448.62544,
1733.512,440.82211,
1730.602,466.0437,
1727.691,480.2133,
1724.781,460.92401,
1721.870,459.39883,
1718.960,439.8192,
1716.049,473.12886,
1713.138,469.26005,
1710.228,452.57995,
1707.317,511.41043,
1704.407,467.26796,
1701.496,478.69441,
1698.586,498.85469,
1695.675,512.53921,
1692.764,493.49384,
1689.854,503.85532,
1686.943,508.2401,
1684.033,492.77238,
1681.122,534.64433,
1678.211,522.49873,
1675.301,511.40892,
1672.390,540.40491,
1669.480,550.16643,
1666.569,524.73049,
1663.659,552.65265,
1660.748,569.29787,
1657.837,565.74679,
1654.927,582.07042,
1652.016,568.96192,
1649.106,553.74594,
1646.195,608.42295,
1643.285,610.0332,
1640.374,596.73388,
1637.463,660.30294,
1634.553,656.09422,
1631.642,637.53787,
1628.732,652.58239,
1625.821,687.38481,
1622.911,702.29047,
1620.000,799.14033,
1617.089,796.4546,
1614.179,828.44437,
1611.268,884.25586,
1608.358,860.63922,
1605.447,939.51851,
1602.536,962.08086,
1599.626,959.69527,
1596.715,963.0054,
1593.805,937.43937,
1590.894,945.82371,
1587.984,940.44626,
1585.073,970.0044,
1582.162,946.98887,
1579.252,928.28218,
1576.341,890.12821,
1573.431,873.54326,
1570.520,846.15056,
1567.610,865.94405,
1564.699,887.70051,
1561.788,873.3611,
1558.878,864.00947,
1555.967,870.64231,
1553.057,838.65122,
1550.146,822.06226,
1547.235,842.08479,
1544.325,802.9116,
1541.414,764.99517,
1538.504,790.52372,
1535.593,772.47419,
1532.683,761.99199,
1529.772,778.38159,
1526.861,728.85625,
1523.951,724.83816,
1521.040,770.40271,
1518.130,754.61455,
1515.219,723.49439,
1512.309,747.84348,
1509.398,746.34478,
1506.487,704.18593,
1503.577,711.64023,
1500.666,706.36768,
1497.756,703.1044,
1494.845,757.65351,
1491.934,692.44744,
1489.024,714.58478,
1486.113,717.22943,
1483.203,747.5727,
1480.292,686.88813,
1477.382,702.04719,
1474.471,689.19053,
1471.560,702.96798,
1468.650,683.72733,
1465.739,680.98235,
1462.829,711.44133,
1459.918,687.49067,
1457.008,675.19065,
1454.097,693.98853,
1451.186,686.13709,
1448.276,667.7818,
1445.365,660.05509,
1442.455,693.95422,
1439.544,723.48485,
1436.633,678.18037,
1433.723,667.97095,
1430.812,731.45922,
1427.902,683.00639,
1424.991,709.54374,
1422.081,678.2633,
1419.170,692.65621,
1416.259,686.46431,
1413.349,662.47301,
1410.438,673.56927,
1407.528,698.11228,
1404.617,678.60572,
1401.707,647.24625,
1398.796,657.67215,
1395.885,687.81601,
1392.975,687.39538,
1390.064,679.14737,
1387.154,705.73937,
1384.243,710.03196,
1381.332,755.93234,
1378.422,751.94025,
1375.511,743.50923,
1372.601,725.86516,
1369.690,741.51945,
1366.780,728.5343,
1363.869,765.05771,
1360.958,766.51046,
1358.048,779.5476,
1355.137,790.74658,
1352.227,808.96336,
1349.316,834.15266,
1346.406,838.24881,
1343.495,834.65894,
1340.584,810.73177,
1337.674,840.73504,
1334.763,885.05743,
1331.853,876.71235,
1328.942,891.49589,
1326.032,872.98448,
1323.121,903.94129,
1320.210,934.35486,
1317.300,952.22848,
1314.389,945.01363,
1311.479,958.15151,
1308.568,996.76287,
1305.657,1011.1513,
1302.747,1032.8779,
1299.836,1073.5691,
1296.926,1096.7596,
1294.015,1105.0335,
1291.105,1100.9723,
1288.194,1141.1109,
1285.283,1179.2991,
1282.373,1167.5938,
1279.462,1165.9042,
1276.552,1194.8869,
1273.641,1236.7349,
1270.731,1263.0825,
1267.820,1261.1774,
1264.909,1297.7811,
1261.999,1263.9755,
1259.088,1253.0301,
1256.178,1207.8393,
1253.267,1184.2639,
1250.356,1141.4488,
1247.446,1160.9255,
1244.535,1155.1653,
1241.625,1107.0343,
1238.714,1074.4114,
1235.804,1055.6517,
1232.893,1065.3781,
1229.982,1051.007,
