,PLF753~1,
Raman shift [1/cm],Intensity,
860.339,1056.3231,
857.428,1031.1479,
854.518,1035.4223,
851.607,1015.4526,
848.697,1010.6244,
845.786,1000.6586,
842.875,995.84503,
839.965,1006.2331,
837.054,1021.1302,
834.144,1032.7328,
831.233,1037.6665,
828.323,1012.7877,
825.412,982.45841,
822.501,974.2553,
819.591,970.1233,
816.680,961.18588,
813.770,948.97596,
810.859,930.8165,
807.949,920.40978,
805.038,931.00442,
802.127,922.77315,
799.217,913.05531,
796.306,927.59473,
793.396,924.64868,
790.485,904.89625,
787.574,926.53294,
784.664,914.23125,
781.753,914.68394,
778.843,928.74214,
775.932,920.70406,
773.022,885.93335,
770.111,969.32633,
767.200,961.29638,
764.290,951.7991,
761.379,925.54955,
758.469,902.09114,
755.558,943.63531,
752.648,931.41625,
749.737,911.37469,
746.826,863.76987,
743.916,830.88977,
741.005,847.44518,
738.095,745.14869,
735.184,642.90248,
732.274,564.40231,
729.363,590.89248,
726.452,738.29544,
723.542,845.13536,
720.631,871.64255,
717.721,896.33106,
714.810,901.62506,
711.899,895.52478,
708.989,927.80178,
706.078,915.98046,
703.168,895.99781,
700.257,887.47543,
697.347,898.39053,
694.436,924.49809,
691.525,906.01058,
688.615,882.50375,
685.704,872.29508,
682.794,871.42556,
679.883,863.2523,
676.973,868.8619,
674.062,869.36192,
671.151,872.50664,
668.241,877.95299,
665.330,881.26471,
662.420,886.85583,
659.509,867.04728,
656.598,859.3275,
653.688,867.53047,
650.777,875.91899,
647.867,873.53001,
644.956,871.7617,
642.046,867.26862,
639.135,858.43665,
636.224,845.11936,
633.314,868.93752,
630.403,892.73632,
627.493,906.5363,
624.582,910.41257,
621.672,916.74852,
618.761,914.72018,
615.850,918.95889,
612.940,908.99708,
610.029,891.60115,
607.119,949.24418,
604.208,948.60988,
601.297,932.54002,
598.387,913.55399,
595.476,901.33702,
592.566,915.50425,
589.655,890.14073,
586.745,891.05684,
583.834,908.70624,
580.923,897.06161,
578.013,907.26315,
575.102,898.52823,
572.192,901.4331,
569.281,915.95421,
566.371,882.30138,
563.460,869.82891,
560.549,892.80032,
557.639,917.24011,
554.728,907.83761,
551.818,921.10299,
548.907,915.46822,
545.996,931.38343,
543.086,957.61845,
540.175,923.35803,
537.265,913.03293,
534.354,958.1623,
531.444,982.59273,
528.533,922.88292,
525.622,935.29807,
522.712,948.31481,
519.801,988.22357,
516.891,1036.9918,
513.980,1012.2144,
511.070,998.73044,
508.159,1032.2053,
505.248,1079.508,
502.338,1096.0678,
499.427,1098.3833,
496.517,1090.5152,
493.606,1096.7867,
490.695,1124.0327,
487.785,1138.6587,
484.874,1151.9858,
481.964,1145.9569,
479.053,1131.9417,
476.143,1144.2291,
473.232,1147.8776,
470.321,1128.5638,
467.411,1102.6946,
464.500,1090.5818,
461.590,1113.554,
458.679,1108.9941,
455.769,1097.7946,
452.858,1097.3744,
449.947,1139.3906,
447.037,1140.1121,
444.126,1145.3515,
441.216,1164.0583,
438.305,1170.1538,
435.395,1191.3247,
432.484,1178.2451,
429.573,1149.0825,
426.663,1166.5658,
423.752,1152.6568,
420.842,1153.307,
417.931,1172.558,
415.020,1209.7175,
412.110,1208.8052,
409.199,1206.044,
406.289,1212.6093,
403.378,1238.8847,
400.468,1204.865,
397.557,1211.9952,
394.646,1214.994,
391.736,1176.8068,
388.825,1170.773,
385.915,1165.8068,
383.004,1163.5711,
380.094,1166.9195,
