,PL0BF4~1,
Wavenumbers [1/cm],Intensity,
714.810,2144.7613,
711.899,2158.4963,
708.989,2153.6547,
706.078,2155.2276,
703.168,2122.8351,
700.257,2124.3165,
697.347,2145.3218,
694.436,2104.2758,
691.525,2091.415,
688.615,2123.844,
685.704,2132.9693,
682.794,2123.71,
679.883,2143.7331,
676.973,2146.1372,
674.062,2157.4724,
671.151,2182.0349,
668.241,2184.1827,
665.330,2117.4402,
662.420,2155.7793,
659.509,2168.0695,
656.598,2189.666,
653.688,2206.8036,
650.777,2181.03,
647.867,2192.975,
644.956,2152.2845,
642.046,2123.9666,
639.135,2121.4154,
636.224,2120.6887,
633.314,2133.3917,
630.403,2167.368,
627.493,2198.6109,
624.582,2218.8627,
621.672,2237.8706,
618.761,2222.6663,
615.850,2211.0131,
612.940,2227.1417,
610.029,2265.2054,
607.119,2244.675,
604.208,2272.4456,
601.297,2252.2213,
598.387,2225.9309,
595.476,2241.4022,
592.566,2239.041,
589.655,2254.1744,
586.745,2256.1155,
583.834,2258.165,
580.923,2295.4307,
578.013,2263.2566,
575.102,2248.3155,
572.192,2249.3416,
569.281,2269.6076,
566.371,2325.1739,
563.460,2294.6461,
560.549,2298.6289,
557.639,2302.5112,
554.728,2259.3641,
551.818,2271.0688,
548.907,2244.9826,
545.996,2249.1748,
543.086,2282.9474,
540.175,2275.1609,
537.265,2259.4151,
534.354,2270.1808,
531.444,2286.9037,
528.533,2285.5281,
525.622,2256.0421,
522.712,2290.8842,
519.801,2319.1525,
516.891,2330.7023,
513.980,2375.6115,
511.070,2341.5902,
508.159,2378.1573,
505.248,2424.6091,
502.338,2393.2968,
499.427,2450.4124,
496.517,2459.4028,
493.606,2462.0278,
490.695,2475.3412,
487.785,2466.1037,
484.874,2468.5023,
481.964,2463.15,
479.053,2450.7864,
476.143,2443.1068,
473.232,2459.8907,
470.321,2463.219,
467.411,2466.2098,
464.500,2485.3147,
461.590,2473.0629,
458.679,2499.8912,
455.769,2523.9949,
452.858,2518.6483,
449.947,2480.4517,
447.037,2507.8171,
444.126,2538.3886,
441.216,2554.2708,
438.305,2569.5094,
435.395,2581.4595,
432.484,2585.7915,
429.573,2572.0224,
426.663,2518.0524,
423.752,2485.0308,
420.842,2432.8933,
417.931,2379.1609,
415.020,2356.4102,
412.110,2455.856,
409.199,2538.1017,
406.289,2575.0479,
403.378,2542.8274,
400.468,2602.5509,
397.557,2601.5732,
394.646,2609.8289,
391.736,2683.3836,
388.825,2675.8412,
385.915,2629.9851,
383.004,2617.0384,
380.094,2680.7018,
377.183,2682.2067,
374.272,2659.2854,
371.362,2661.1109,
368.451,2714.5398,
365.541,2746.0623,
362.630,2736.5991,
359.719,2727.8403,
356.809,2742.4438,
353.898,2739.4486,
350.988,2754.3571,
348.077,2773.1428,
345.167,2784.5816,
342.256,2744.2399,
339.345,2739.0022,
336.435,2755.7287,
333.524,2784.0613,
330.614,2766.1776,
327.703,2773.4601,
324.793,2784.8516,
321.882,2782.6466,
318.971,2791.5679,
316.061,2795.1133,
313.150,2797.9345,
310.240,2805.3557,
307.329,2862.796,
304.418,2873.3143,
301.508,2846.0219,
298.597,2798.6352,
295.687,2824.4236,
292.776,2855.7084,
289.866,2896.751,
286.955,2978.0108,
284.044,3012.395,
281.134,3017.849,
278.223,3008.6129,
275.313,3035.8765,
272.402,3034.6542,
269.492,3042.9328,
266.581,3067.7363,
263.670,3013.3329,
260.760,3040.9828,
257.849,3092.1732,
254.939,3125.1979,
252.028,3103.9097,
249.117,3129.4302,
246.207,3170.5721,
243.296,3174.2322,
240.386,3140.0164,
237.475,3117.0148,
234.565,3108.0145,
231.654,3097.7892,
228.743,3111.1599,
225.833,3086.3423,
222.922,3005.5275,
220.012,3046.3266,
217.101,3065.0229,
214.191,3069.3136,
211.280,3064.9489,
208.369,3119.1229,
205.459,3116.879,
202.548,3072.3715,
199.638,3065.115,
196.727,3126.4325,
193.816,3161.1861,
190.906,3135.0821,
187.995,3148.1145,
185.085,3154.5164,
182.174,3157.2127,
179.264,3159.3809,
176.353,3176.926,
173.442,3225.7812,
170.532,3293.1969,
167.621,3280.9403,
164.711,3240.3097,
161.800,3146.6584,
158.890,2971.0449,
155.979,2731.1924,
153.068,2493.0492,
150.158,2250.0103,
147.247,1964.2653,
144.337,1619.0172,
141.426,1280.7346,
138.516,981.07406,
135.605,694.44804,
132.694,465.73779,
129.784,294.11324,
126.873,193.99506,
123.963,130.94474,
121.052,88.709877,
118.141,63.723307,
115.231,49.413593,
112.320,41.083184,
109.410,36.534158,
106.499,30.836916,
103.589,27.944237,
100.678,24.723648,
97.767,19.747085,
94.857,21.010978,
91.946,19.206335,
89.036,15.850796,
86.125,17.269206,
83.215,13.908558,
80.304,11.103865,
77.393,12.520205,
74.483,8.6941903,
71.572,9.1614648,
68.662,13.209395,
65.751,8.9706885,
62.840,7.143298,
59.930,7.3741448,
57.019,10.194473,
54.109,9.4306783,
51.198,8.9266093,
48.288,9.6136751,
45.377,8.206919,
42.466,7.625,
39.556,7.0494071,
36.645,3.538456,
33.735,4.1827454,
30.824,4.5205651,
27.914,1.0146889,
25.003,-1.8655499,
22.092,-1.4375727,
19.182,3.1970716,
16.271,20.684325,
13.361,60.92018,
10.450,85.952362,
7.539,-34.157881,
4.629,-158.82982,
1.718,-321.21097,
-1.192,-565.21156,
-4.103,-390.98271,
-7.013,-179.32918,
-9.924,1.625,
