,PL1C01~1,
Raman shift [1/cm],Intensity,
580.923,3985.1902,
578.013,3954.5856,
575.102,3991.6885,
572.192,4031.0916,
569.281,4047.9832,
566.371,4084.7665,
563.460,4119.4156,
560.549,4139.1969,
557.639,4164.6373,
554.728,4210.2362,
551.818,4144.6897,
548.907,4169.9869,
545.996,4186.4328,
543.086,4171.5362,
540.175,4167.643,
537.265,4197.7947,
534.354,4224.4257,
531.444,4242.4402,
528.533,4248.6092,
525.622,4223.7789,
522.712,4240.8249,
519.801,4304.2557,
516.891,4380.7144,
513.980,4367.5514,
511.070,4420.6097,
508.159,4465.8206,
505.248,4500.8902,
502.338,4534.4309,
499.427,4604.6676,
496.517,4660.1426,
493.606,4665.1571,
490.695,4622.3706,
487.785,4643.9247,
484.874,4684.856,
481.964,4703.2986,
479.053,4685.1148,
476.143,4621.3739,
473.232,4646.8706,
470.321,4666.1602,
467.411,4659.6859,
464.500,4615.5217,
461.590,4581.8291,
458.679,4618.5997,
455.769,4631.8,
452.858,4586.4876,
449.947,4664.4086,
447.037,4719.2077,
444.126,4707.4053,
441.216,4645.1687,
438.305,4649.7403,
435.395,4672.6666,
432.484,4673.9562,
429.573,4662.925,
426.663,4678.1279,
423.752,4638.9247,
420.842,4579.8166,
417.931,4557.7395,
415.020,4654.051,
412.110,4757.606,
409.199,4799.754,
406.289,4801.9313,
403.378,4791.3801,
400.468,4792.8921,
397.557,4759.9553,
394.646,4719.7559,
391.736,4694.8056,
388.825,4645.7805,
385.915,4579.7522,
383.004,4563.2149,
380.094,4641.7476,
377.183,4766.6587,
374.272,4865.9659,
371.362,4948.9248,
368.451,5018.1956,
365.541,5031.7053,
362.630,5055.0397,
359.719,5080.254,
356.809,5101.8281,
353.898,5109.3161,
350.988,5064.7211,
348.077,5050.6406,
345.167,5112.4885,
342.256,5114.7297,
339.345,5146.7295,
336.435,5174.6526,
333.524,5176.5964,
330.614,5215.3445,
327.703,5211.9728,
324.793,5212.0691,
321.882,5254.4868,
318.971,5300.5802,
316.061,5313.4451,
313.150,5329.0821,
310.240,5389.1935,
307.329,5419.2458,
304.418,5434.9345,
301.508,5434.8611,
298.597,5414.1295,
295.687,5470.6177,
292.776,5577.1254,
289.866,5722.2497,
286.955,5887.7242,
284.044,6121.3648,
281.134,6307.0645,
278.223,6446.2003,
275.313,6656.9409,
272.402,6815.232,
269.492,6948.0714,
266.581,7064.8897,
263.670,7170.0205,
260.760,7310.0755,
257.849,7424.7461,
254.939,7465.8435,
252.028,7553.2364,
249.117,7608.3027,
246.207,7616.7598,
243.296,7548.6804,
240.386,7556.3938,
237.475,7514.4307,
234.565,7421.9513,
231.654,7343.0699,
228.743,7307.9632,
225.833,7217.2362,
222.922,7039.8462,
220.012,7007.0612,
217.101,6947.3034,
214.191,6877.3602,
211.280,6814.071,
208.369,6802.6469,
205.459,6776.6177,
202.548,6742.6257,
199.638,6744.077,
196.727,6767.4236,
193.816,6785.8801,
190.906,6787.4958,
187.995,6733.918,
185.085,6772.1177,
182.174,6815.0031,
179.264,6739.8355,
176.353,6799.9383,
173.442,6824.9604,
170.532,6798.6028,
167.621,6774.8106,
164.711,6653.8012,
161.800,6453.0522,
158.890,6168.0401,
155.979,5793.5319,
153.068,5284.7129,
150.158,4669.053,
147.247,4026.4858,
144.337,3329.0815,
141.426,2619.1902,
138.516,1914.4861,
135.605,1361.9673,
132.694,918.26254,
129.784,583.58139,
126.873,394.78711,
123.963,279.55053,
121.052,198.42857,
118.141,140.60251,
115.231,106.97819,
112.320,93.375,
109.410,89.966119,
106.499,72.162238,
103.589,62.212201,
100.678,53.572296,
97.767,43.61917,
94.857,45.453967,
91.946,38.312783,
89.036,27.955571,
86.125,37.884445,
83.215,37.720398,
80.304,32.980673,
77.393,25.898974,
74.483,27.340405,
71.572,28.737352,
68.662,29.028663,
65.751,25.496407,
62.840,27.265212,
59.930,28.502138,
57.019,21.451318,
54.109,19.180678,
51.198,18.375,
48.288,18.448612,
45.377,27.592527,
42.466,28.077245,
39.556,23.375,
36.645,23.375,
33.735,23.375,
30.824,24.037661,
27.914,26.141187,
25.003,28.242912,
22.092,27.114668,
19.182,23.267432,
16.271,50.547547,
13.361,222.79341,
10.450,546.77667,
7.539,1141.7414,
4.629,1520.9764,
1.718,1568.4464,
-1.192,1037.2223,
-4.103,567.70547,
-7.013,215.04013,
-9.924,1.375,
