,PLD587~1,
Wavenumbers [1/cm],Intensity,
1911.058,330.95533,
1908.147,333.89798,
1905.237,320.83822,
1902.326,322.0635,
1899.415,336.43962,
1896.505,329.7637,
1893.594,353.1677,
1890.684,337.45521,
1887.773,336.68486,
1884.863,354.45188,
1881.952,339.18767,
1879.041,320.27765,
1876.131,328.0263,
1873.220,303.60277,
1870.310,328.40073,
1867.399,324.72096,
1864.489,348.49564,
1861.578,318.75701,
1858.667,304.14593,
1855.757,327.41498,
1852.846,340.38397,
1849.936,340.48587,
1847.025,334.97536,
1844.114,346.22265,
1841.204,333.89773,
1838.293,334.60005,
1835.383,353.997,
1832.472,341.61283,
1829.562,319.12656,
1826.651,339.29232,
1823.740,345.07326,
1820.830,344.93998,
1817.919,363.54128,
1815.009,337.65681,
1812.098,337.11319,
1809.188,342.31491,
1806.277,339.6914,
1803.366,352.79136,
1800.456,362.625,
1797.545,361.79525,
1794.635,354.39901,
1791.724,360.45023,
1788.813,368.22963,
1785.903,390.59781,
1782.992,400.79783,
1780.082,385.94367,
1777.171,461.63036,
1774.261,457.89952,
1771.350,417.02075,
1768.439,392.94069,
1765.529,363.26205,
1762.618,373.42251,
1759.708,371.45101,
1756.797,387.29167,
1753.887,376.03317,
1750.976,381.69763,
1748.065,413.07047,
1745.155,388.96715,
1742.244,404.73183,
1739.334,401.76854,
1736.423,391.91846,
1733.512,392.35264,
1730.602,416.56154,
1727.691,409.27179,
1724.781,374.73509,
1721.870,405.2538,
1718.960,403.11375,
1716.049,415.72654,
1713.138,396.39511,
1710.228,369.99728,
1707.317,392.27757,
1704.407,390.23462,
1701.496,416.05989,
1698.586,418.625,
1695.675,435.46776,
1692.764,439.46517,
1689.854,449.19193,
1686.943,430.29951,
1684.033,404.27074,
1681.122,417.38711,
1678.211,418.61548,
1675.301,442.551,
1672.390,483.59509,
1669.480,473.46456,
1666.569,453.28221,
1663.659,427.29463,
1660.748,467.4129,
1657.837,456.66874,
1654.927,458.88272,
1652.016,470.18388,
1649.106,493.6532,
1646.195,534.98465,
1643.285,549.57943,
1640.374,547.58319,
1637.463,546.81396,
1634.553,611.13733,
1631.642,578.92902,
1628.732,606.55982,
1625.821,595.68192,
1622.911,682.13474,
1620.000,703.36043,
1617.089,720.28669,
1614.179,769.21495,
1611.268,796.6212,
1608.358,823.36078,
1605.447,856.6824,
1602.536,908.01502,
1599.626,884.94695,
1596.715,905.31503,
1593.805,869.16873,
1590.894,869.90902,
1587.984,873.22328,
1585.073,919.56911,
1582.162,881.70627,
1579.252,831.70994,
1576.341,831.4367,
1573.431,778.80281,
1570.520,802.60823,
1567.610,810.15434,
1564.699,816.60033,
1561.788,811.17438,
