,PL1CEB~1,
Wavenumbers [1/cm],Intensity,
1759.708,368.94563,
1756.797,385.86364,
1753.887,393.47376,
1750.976,371.16885,
1748.065,392.45084,
1745.155,388.2292,
1742.244,398.99905,
1739.334,381.37295,
1736.423,389.40277,
1733.512,383.21947,
1730.602,423.12903,
1727.691,411.63188,
1724.781,411.36577,
1721.870,415.9143,
1718.960,411.56661,
1716.049,409.66103,
1713.138,401.80504,
1710.228,387.44555,
1707.317,412.03714,
1704.407,387.64969,
1701.496,416.40417,
1698.586,417.65203,
1695.675,447.44268,
1692.764,448.55328,
1689.854,457.11024,
1686.943,439.14079,
1684.033,424.84771,
1681.122,441.21113,
1678.211,477.15737,
1675.301,476.50308,
1672.390,504.28766,
1669.480,433.70055,
1666.569,458.99514,
1663.659,497.07536,
1660.748,472.21343,
1657.837,508.17195,
1654.927,493.12513,
1652.016,478.49626,
1649.106,518.32863,
1646.195,512.55496,
1643.285,554.88476,
1640.374,529.14808,
1637.463,559.82426,
1634.553,577.26355,
1631.642,561.54343,
1628.732,565.67776,
1625.821,595.50065,
1622.911,596.49436,
1620.000,625.13464,
1617.089,684.30597,
1614.179,689.3872,
1611.268,748.23215,
1608.358,754.31271,
1605.447,780.90021,
1602.536,839.34511,
1599.626,780.02463,
1596.715,834.40168,
1593.805,816.35304,
1590.894,755.37577,
1587.984,808.12645,
1585.073,821.75408,
1582.162,795.78365,
1579.252,767.58757,
1576.341,752.88724,
1573.431,716.04034,
1570.520,760.00639,
1567.610,748.18584,
1564.699,756.62574,
1561.788,724.76798,
1558.878,710.54829,
1555.967,716.78532,
1553.057,722.0517,
1550.146,704.44914,
1547.235,735.00351,
1544.325,704.55362,
1541.414,659.58011,
1538.504,665.12422,
1535.593,651.48417,
1532.683,657.30729,
1529.772,661.05665,
1526.861,623.47671,
1523.951,635.39059,
1521.040,669.61085,
1518.130,648.83401,
1515.219,593.89937,
1512.309,621.44597,
1509.398,632.41076,
1506.487,612.65715,
1503.577,630.80109,
1500.666,578.97699,
1497.756,615.03396,
1494.845,621.21985,
1491.934,614.5252,
1489.024,622.22514,
1486.113,663.29748,
1483.203,652.28932,
1480.292,606.3774,
1477.382,580.71854,
1474.471,581.10427,
1471.560,625.3143,
1468.650,638.76691,
1465.739,623.40922,
1462.829,608.93501,
1459.918,605.60498,
1457.008,601.93071,
1454.097,608.12964,
1451.186,617.17311,
1448.276,606.59649,
1445.365,592.64218,
1442.455,586.95988,
1439.544,588.78881,
1436.633,589.45331,
1433.723,664.39047,
1430.812,627.39176,
1427.902,613.6353,
1424.991,619.32187,
1422.081,625.92234,
1419.170,616.99534,
1416.259,617.93019,
1413.349,591.31132,
1410.438,635.68325,
1407.528,675.88103,
1404.617,622.09015,
1401.707,598.16768,
1398.796,610.36365,
1395.885,598.95272,
1392.975,616.93852,
1390.064,654.73089,
1387.154,622.61107,
1384.243,581.01919,
1381.332,633.04932,
1378.422,646.80424,
1375.511,672.09732,
1372.601,643.00975,
1369.690,660.21612,
1366.780,645.28319,
1363.869,677.55033,
1360.958,696.12151,
1358.048,708.5863,
1355.137,728.6421,
1352.227,733.63721,
1349.316,746.49676,
1346.406,770.55926,
1343.495,744.27524,
1340.584,726.42829,
1337.674,748.14483,
1334.763,776.27703,
1331.853,717.86147,
1328.942,776.87302,
1326.032,774.71255,
1323.121,802.87954,
1320.210,808.83855,
1317.300,802.36838,
1314.389,789.73592,
1311.479,815.88809,
1308.568,845.3364,
1305.657,839.53852,
1302.747,904.16133,
1299.836,923.92012,
1296.926,903.74811,
1294.015,866.05584,
1291.105,887.39409,
1288.194,934.43087,
1285.283,959.82006,
1282.373,968.66405,
1279.462,973.24505,
1276.552,988.50793,
1273.641,1021.3415,
1270.731,1049.0298,
1267.820,1043.0071,
1264.909,1035.3134,
1261.999,1048.3003,
1259.088,1042.8275,
