,PL3CFB~1,
Raman shift [1/cm],Intensity,
193.816,9761.8597,
190.906,9754.1684,
187.995,9833.8111,
185.085,9884.0721,
182.174,9915.2515,
179.264,9936.9345,
176.353,9952.8314,
173.442,9980.3157,
170.532,10004.202,
167.621,9908.3123,
164.711,9716.2956,
161.800,9466.3488,
158.890,9173.4197,
155.979,8606.1278,
153.068,7935.2564,
150.158,7152.7887,
147.247,6167.7582,
144.337,5070.6507,
141.426,3986.8261,
138.516,2976.0094,
135.605,2129.003,
132.694,1448.2895,
129.784,930.19168,
126.873,616.24969,
123.963,432.87027,
121.052,306.11398,
118.141,214.73452,
115.231,164.63508,
112.320,131.66592,
109.410,110.69341,
106.499,91.465217,
103.589,83.453219,
100.678,76.843918,
97.767,67.601729,
94.857,63.910055,
91.946,60.359446,
89.036,56.697613,
86.125,52.442381,
83.215,46.596717,
80.304,42.135567,
77.393,41.427397,
74.483,36.789055,
71.572,35.099704,
68.662,35.751593,
65.751,29.393533,
62.840,30.746914,
59.930,31.752993,
57.019,21.881845,
54.109,19.777839,
51.198,18.470172,
48.288,16.380662,
45.377,17.084041,
42.466,18.199439,
39.556,20.18083,
36.645,25.096162,
33.735,18.067025,
30.824,10.816774,
27.914,12.219124,
25.003,17.3561,
22.092,18.437573,
19.182,14.764009,
16.271,26.655341,
13.361,78.156835,
10.450,137.56741,
7.539,109.6348,
4.629,-141.84671,
1.718,-462.78015,
-1.192,-763.24945,
-4.103,-579.82564,
-7.013,-303.76722,
-9.924,0.375,
