,PLF12D~1,
Wavenumbers [1/cm],Intensity,
2205.026,535.55598,
2202.116,520.32909,
2199.205,529.38612,
2196.294,541.82604,
2193.384,534.26301,
2190.473,530.85211,
2187.563,563.00483,
2184.652,563.69878,
2181.742,563.18196,
2178.831,578.75103,
2175.920,603.1603,
2173.010,599.57426,
2170.099,637.59525,
2167.189,653.15786,
2164.278,678.52161,
2161.368,709.57015,
2158.457,741.93078,
2155.546,776.90774,
2152.636,818.20739,
2149.725,855.29528,
2146.815,886.13241,
2143.904,917.20816,
2140.993,935.37039,
2138.083,947.14277,
2135.172,971.05038,
2132.262,991.28697,
2129.351,977.5481,
2126.441,969.767,
2123.530,948.38268,
2120.619,893.31196,
2117.709,869.48712,
2114.798,805.67682,
2111.888,779.7255,
2108.977,743.56952,
2106.067,701.6984,
2103.156,663.96544,
2100.245,667.98055,
2097.335,634.83246,
2094.424,622.11154,
2091.514,623.41928,
2088.603,601.35487,
2085.692,593.40893,
2082.782,579.57036,
2079.871,589.60793,
2076.961,572.42071,
2074.050,599.70909,
2071.140,587.72464,
2068.229,570.78382,
2065.318,595.77623,
2062.408,574.89409,
2059.497,575.38689,
2056.587,561.77922,
2053.676,587.3982,
2050.766,550.61809,
2047.855,536.76893,
2044.944,565.39422,
2042.034,573.89008,
2039.123,563.24242,
2036.213,578.59774,
2033.302,582.13022,
2030.391,573.39039,
2027.481,586.54855,
2024.570,590.78583,
2021.660,580.59129,
2018.749,569.35416,
2015.839,556.49738,
2012.928,575.55201,
2010.017,566.92183,
2007.107,575.93085,
2004.196,588.1905,
2001.286,597.81272,
1998.375,569.07774,
1995.465,575.66518,
1992.554,566.10013,
1989.643,581.37785,
1986.733,562.48158,
1983.822,576.50148,
1980.912,597.01875,
1978.001,557.07607,
1975.090,562.41374,
1972.180,551.69017,
1969.269,556.75578,
1966.359,584.45971,
1963.448,579.65918,
1960.538,579.68057,
1957.627,573.86687,
1954.716,562.316,
1951.806,557.29807,
1948.895,556.36852,
1945.985,524.0719,
1943.074,567.7086,
1940.164,548.28845,
1937.253,551.30426,
1934.342,542.37594,
1931.432,529.73186,
1928.521,546.58549,
1925.611,514.63678,
1922.700,533.8232,
1919.790,528.35855,
1916.879,524.1395,
1913.968,570.94221,
1911.058,549.09308,
1908.147,515.57233,
1905.237,557.85289,
1902.326,534.01036,
1899.415,534.22193,
1896.505,522.44598,
1893.594,547.54573,
1890.684,542.86931,
1887.773,549.97386,
1884.863,574.58314,
1881.952,562.37771,
1879.041,545.4351,
1876.131,540.55686,
1873.220,531.28315,
1870.310,526.287,
1867.399,555.52019,
1864.489,570.59803,
1861.578,537.40099,
1858.667,546.15871,
1855.757,527.56563,
1852.846,565.24616,
1849.936,558.76777,
1847.025,559.93672,
1844.114,562.29641,
1841.204,541.86364,
1838.293,557.48586,
1835.383,567.6395,
1832.472,573.74435,
1829.562,578.91641,
1826.651,577.26489,
1823.740,562.16856,
1820.830,584.77977,
1817.919,590.55687,
1815.009,575.44402,
1812.098,590.05511,
1809.188,599.50386,
1806.277,555.99593,
1803.366,576.5989,
1800.456,611.6153,
1797.545,605.64536,
1794.635,606.06591,
1791.724,571.94167,
1788.813,609.60977,
1785.903,632.49618,
1782.992,599.68403,
1780.082,578.20505,
1777.171,568.99357,
1774.261,548.65007,
1771.350,589.03451,
1768.439,633.33935,
1765.529,622.09074,
1762.618,622.44938,
1759.708,609.69551,
1756.797,636.87879,
1753.887,643.22887,
1750.976,619.23102,
1748.065,644.42089,
1745.155,630.98086,
1742.244,650.41751,
1739.334,652.56706,
1736.423,632.9888,
1733.512,654.92284,
1730.602,684.44844,
1727.691,649.54633,
1724.781,650.3718,
1721.870,658.02383,
1718.960,672.97795,
1716.049,676.83897,
1713.138,688.96994,
1710.228,650.96634,
1707.317,706.03543,
1704.407,667.28335,
1701.496,709.40049,
1698.586,690.90039,
1695.675,704.90705,
1692.764,755.22953,
1689.854,742.6929,
1686.943,728.47216,
1684.033,736.77647,
1681.122,741.91504,
1678.211,798.45751,
1675.301,757.1295,
1672.390,813.93121,
1669.480,791.32088,
1666.569,831.0127,
1663.659,832.5553,
1660.748,866.32779,
1657.837,882.80317,
1654.927,873.74228,
1652.016,863.60748,
1649.106,889.24853,
1646.195,939.55146,
1643.285,961.93164,
1640.374,959.06272,
1637.463,963.44116,
1634.553,1041.6601,
1631.642,1019.6189,
1628.732,1076.2489,
1625.821,1118.0209,
1622.911,1149.8197,
1620.000,1238.8661,
1617.089,1330.1691,
1614.179,1431.1235,
1611.268,1460.959,
1608.358,1571.6153,
1605.447,1622.2575,
1602.536,1675.3219,
1599.626,1668.8807,
1596.715,1702.4888,
1593.805,1635.3478,
1590.894,1629.642,
1587.984,1614.4103,
1585.073,1636.6737,
1582.162,1603.4301,
1579.252,1536.264,
1576.341,1514.9894,
1573.431,1498.9029,
1570.520,1514.1094,
1567.610,1472.313,
1564.699,1471.9507,
1561.788,1445.6059,
1558.878,1437.4621,
1555.967,1430.7507,
1553.057,1395.3796,
1550.146,1350.3455,
1547.235,1357.2034,
1544.325,1331.5851,
1541.414,1289.819,
1538.504,1271.2101,
1535.593,1242.9842,
1532.683,1215.7309,
1529.772,1192.6315,
1526.861,1167.7581,
1523.951,1162.5908,
1521.040,1170.9723,
1518.130,1157.4713,
1515.219,1140.3994,
1512.309,1146.6396,
1509.398,1098.9259,
1506.487,1099.7084,
1503.577,1111.448,
1500.666,1057.7908,
1497.756,1071.3135,
1494.845,1063.7204,
1491.934,1080.9181,
1489.024,1055.8933,
1486.113,1008.6392,
1483.203,1036.974,
1480.292,1034.2119,
1477.382,1007.9443,
1474.471,1007.3717,
1471.560,1009,
1468.650,996.70107,
1465.739,979.47118,
1462.829,989.71089,
1459.918,980.00534,
1457.008,963.5077,
1454.097,943.20289,
1451.186,924.40619,
1448.276,928.31031,
1445.365,921.67852,
1442.455,940.13237,
1439.544,978.66117,
1436.633,940.19463,
1433.723,959.00302,
1430.812,951.70447,
1427.902,947.84215,
1424.991,941.20781,
1422.081,894.20867,
1419.170,906.41715,
1416.259,889.55849,
1413.349,871.40566,
1410.438,887.99339,
1407.528,926.61212,
1404.617,880.76441,
1401.707,837,
1398.796,849.74472,
1395.885,878.88201,
1392.975,918.77162,
1390.064,944.75934,
1387.154,915.88723,
1384.243,886.51734,
1381.332,898.18523,
1378.422,970.45424,
1375.511,940.47725,
1372.601,977.78438,
1369.690,985.28611,
1366.780,986,
1363.869,1065.9125,
1360.958,1096.6602,
1358.048,1095.8134,
1355.137,1149.1455,
1352.227,1208.9805,
1349.316,1205.6692,
1346.406,1194.0497,
1343.495,1229.4809,
1340.584,1244.0359,
1337.674,1240.4672,
1334.763,1287.482,
1331.853,1326.4257,
1328.942,1338.6736,
1326.032,1358.7593,
1323.121,1411.9037,
1320.210,1421.009,
1317.300,1447.6921,
1314.389,1491.6116,
1311.479,1551.0094,
1308.568,1606.4654,
1305.657,1641.6004,
1302.747,1718.5796,
1299.836,1784.7371,
1296.926,1790.7691,
1294.015,1807.3169,
1291.105,1857.3103,
1288.194,1887.1635,
1285.283,1932.3802,
1282.373,1987.867,
1279.462,2015.9411,
1276.552,2049.7324,
1273.641,2098.8047,
1270.731,2132.1149,
1267.820,2150.6762,
1264.909,2141.0223,
1261.999,2162.9334,
1259.088,2161.1092,
