,PLF08E~1,
Wavenumbers [1/cm],Intensity,
1748.065,914.86098,
1745.155,925.13871,
1742.244,955.95828,
1739.334,951.64354,
1736.423,912.11873,
1733.512,949.70746,
1730.602,972.9881,
1727.691,964.52041,
1724.781,967.79261,
1721.870,965.47617,
1718.960,992.45589,
1716.049,999.33897,
1713.138,1003.775,
1710.228,967.07723,
1707.317,1014.5743,
1704.407,987.36091,
1701.496,1021.785,
1698.586,1060.6114,
1695.675,1066.3071,
1692.764,1046.6188,
1689.854,1073.2441,
1686.943,1091.8929,
1684.033,1053.4934,
1681.122,1081.0072,
1678.211,1098.3382,
1675.301,1098.5,
1672.390,1152.4402,
1669.480,1132.6925,
1666.569,1156.5127,
1663.659,1158.3493,
1660.748,1210.5027,
1657.837,1261.5437,
1654.927,1263.5,
1652.016,1263.3542,
1649.106,1258.5282,
1646.195,1301.0345,
1643.285,1363.3405,
1640.374,1357.0436,
1637.463,1383.2386,
1634.553,1423.3966,
1631.642,1417.2709,
1628.732,1487.7252,
1625.821,1525.5962,
1622.911,1671.6716,
1620.000,1743.5929,
1617.089,1867.9925,
1614.179,1951.1593,
1611.268,2007.418,
1608.358,2145.8043,
1605.447,2258.1009,
1602.536,2301.7755,
1599.626,2321.0588,
1596.715,2341.5596,
1593.805,2243.3348,
1590.894,2243.8294,
1587.984,2229.9103,
1585.073,2308.3276,
1582.162,2193.0927,
1579.252,2147.0425,
1576.341,2144.9032,
1573.431,2103.9918,
1570.520,2081.7987,
1567.610,2059.8723,
1564.699,2017.2485,
1561.788,1983.7819,
1558.878,1983.6932,
1555.967,1980.2327,
1553.057,1936.3108,
1550.146,1918.4164,
1547.235,1885.4901,
1544.325,1831.6579,
1541.414,1817.6009,
1538.504,1795.7271,
1535.593,1766.0654,
1532.683,1757.9873,
1529.772,1715.2756,
1526.861,1652.6138,
1523.951,1626.7728,
1521.040,1632.8325,
1518.130,1641.2322,
1515.219,1607.78,
1512.309,1608.0045,
1509.398,1597.907,
1506.487,1577.7277,
1503.577,1624.3853,
1500.666,1598.1496,
1497.756,1578.1269,
1494.845,1559.8591,
1491.934,1520.4528,
1489.024,1506.0154,
1486.113,1525.8987,
1483.203,1523.0592,
1480.292,1512.3179,
1477.382,1450.6896,
1474.471,1445.7085,
1471.560,1491.3143,
1468.650,1486.3185,
1465.739,1445.7565,
1462.829,1429.0968,
1459.918,1441.6548,
1457.008,1459.1155,
1454.097,1456.3325,
1451.186,1432.0242,
1448.276,1406.3827,
1445.365,1396.0363,
1442.455,1414.9794,
1439.544,1434.7316,
1436.633,1400.9955,
1433.723,1417.0015,
1430.812,1411.2096,
1427.902,1384.3942,
1424.991,1464.0062,
1422.081,1416.9562,
1419.170,1401.2672,
1416.259,1367.0975,
1413.349,1310.4093,
1410.438,1343.4846,
1407.528,1401.837,
1404.617,1383.7495,
1401.707,1329.473,
1398.796,1336.6538,
1395.885,1366.9527,
1392.975,1376.7923,
1390.064,1391.1959,
1387.154,1339.5457,
1384.243,1300.5019,
1381.332,1354.1439,
1378.422,1399.7898,
1375.511,1405.4105,
1372.601,1486.5982,
1369.690,1522.6456,
1366.780,1481.562,
1363.869,1551.5919,
1360.958,1591.0828,
1358.048,1623.979,
1355.137,1686.6061,
1352.227,1721.8398,
1349.316,1730.7202,
1346.406,1755.3317,
1343.495,1770.2265,
1340.584,1795.1425,
1337.674,1822.0744,
1334.763,1869.2057,
1331.853,1887.7503,
1328.942,1934.7521,
1326.032,1900.5346,
1323.121,1980.4157,
1320.210,1997.5157,
1317.300,2040.0795,
1314.389,2090.9448,
1311.479,2165.0433,
1308.568,2244.8103,
1305.657,2280.0338,
1302.747,2359.1942,
1299.836,2393.7457,
1296.926,2399.1747,
1294.015,2478.2365,
1291.105,2549.3017,
1288.194,2593.6447,
1285.283,2631.1401,
1282.373,2655.789,
1279.462,2703.0287,
1276.552,2769.4135,
1273.641,2828.9987,
1270.731,2859.8537,
1267.820,2866.7953,
1264.909,2913.9942,
1261.999,2888.8329,
1259.088,2897.9541,
1256.178,2837.6916,
1253.267,2783.0027,
1250.356,2706.5154,
1247.446,2637.1893,
1244.535,2591.6608,
1241.625,2523.0372,
1238.714,2434.8001,
1235.804,2393.1409,
1232.893,2342.6402,
1229.982,2270.403,
1227.072,2178.9664,
1224.161,2136.3583,
1221.251,2144.3902,
1218.340,2087.9579,
1215.430,2036.3323,
1212.519,2010.6338,
1209.608,2012.0294,
1206.698,2028.0317,
1203.787,1995.9422,
1200.877,1988.8373,
1197.966,2010.4171,
1195.055,2112.1833,
1192.145,2137.7648,
1189.234,2205.3792,
1186.324,2265.0478,
1183.413,2274.0178,
1180.503,2263.8843,
1177.592,2268.3181,
1174.681,2250.5719,
1171.771,2222.717,
1168.860,2188.7796,
1165.950,2152.4421,
1163.039,2145.1984,
1160.129,2164.9652,
1157.218,2155.4247,
1154.307,2116.7721,
1151.397,2100.017,
1148.486,2120.7478,
1145.576,2131.1486,
1142.665,2076.9859,
1139.754,2066.8046,
1136.844,2083.0076,
1133.933,2094.6055,
1131.023,2103.6372,
1128.112,2110.8571,
1125.202,2118.9879,
1122.291,2147.7642,
1119.380,2184.5693,
1116.470,2191.6295,
1113.559,2197.1395,
1110.649,2169.0319,
1107.738,2164.7522,
1104.828,2152.4467,
1101.917,2128.0092,
1099.006,2139.4692,
1096.096,2121.0913,
1093.185,2130.7493,
1090.275,2134.7371,
1087.364,2136.8722,
1084.453,2124.5633,
1081.543,2139.0404,
1078.632,2159.8446,
1075.722,2138.9448,
1072.811,2152.6026,
1069.901,2196.2657,
1066.990,2186.5667,
1064.079,2231.136,
1061.169,2245.7678,
1058.258,2247.9697,
1055.348,2266.261,
1052.437,2278.8923,
1049.527,2258.3182,
1046.616,2201.8443,
1043.705,2238.6628,
1040.795,2237.4529,
1037.884,2248.2123,
1034.974,2248.6237,
1032.063,2224.4613,
1029.153,2248.6931,
1026.242,2291.9409,
1023.331,2320.9982,
1020.421,2338.3507,
1017.510,2361.9891,
1014.600,2411.6032,
1011.689,2454.9389,
1008.778,2436.6093,
1005.868,2396.5154,
1002.957,2398.2362,
1000.047,2556.4761,
997.136,2630.7705,
994.226,2630.3463,
991.315,2624.1114,
988.404,2625.7734,
985.494,2544.1356,
982.583,2527.861,
979.673,2574.5203,
976.762,2583.6935,
973.852,2569.1018,
970.941,2559.6855,
968.030,2566.8584,
965.120,2591.5143,
962.209,2594.9245,
959.299,2621.7052,
956.388,2622.9806,
953.477,2612.6228,
950.567,2622.6169,
947.656,2656.7066,
944.746,2612.5297,
941.835,2642.8925,
938.925,2628.1263,
936.014,2602.8427,
933.103,2584.9098,
930.193,2576.8995,
927.282,2577.6751,
924.372,2562.4542,
921.461,2475.0776,
918.551,2426.4911,
915.640,2419.0243,
912.729,2419.7911,
909.819,2398.1639,
906.908,2372.8911,
903.998,2376.2722,
901.087,2404.2333,
898.176,2380.8472,
895.266,2367.7007,
892.355,2437.7248,
889.445,2476.331,
886.534,2471.4908,
883.624,2504.1416,
880.713,2533.7693,
877.802,2524.6143,
874.892,2449.8561,
871.981,2300.7367,
869.071,2310.7617,
866.160,2343.5482,
863.250,2416.7349,
860.339,2486.2509,
857.428,2511.8217,
854.518,2498.3817,
851.607,2425.1596,
848.697,2354.7234,
845.786,2329.019,
842.875,2364.1053,
839.965,2438.5585,
837.054,2484.6302,
834.144,2496.2328,
831.233,2534.4974,
828.323,2556.9511,
825.412,2552.807,
822.501,2533.1595,
819.591,2525.7219,
816.680,2538.3205,
813.770,2483.8618,
810.859,2465.2934,
807.949,2468.5146,
805.038,2424.1106,
802.127,2404.3556,
799.217,2399.5184,
796.306,2372.9593,
793.396,2357.7825,
790.485,2362.6048,
787.574,2354.5659,
784.664,2329.9625,
781.753,2348.9844,
778.843,2351.1884,
775.932,2359.0923,
773.022,2395.5837,
770.111,2376.7794,
767.200,2406.7138,
764.290,2400.8973,
761.379,2377.2901,
758.469,2371.4745,
755.558,2418.1416,
752.648,2339.1251,
749.737,2344.3893,
746.826,2350.3716,
743.916,2340.3116,
741.005,2327.2074,
738.095,2306.9105,
735.184,2248.7253,
732.274,2189.6872,
729.363,2194.1578,
726.452,2270.985,
723.542,2284.7447,
720.631,2324.4915,
717.721,2326.7616,
714.810,2316.0739,
711.899,2308.4307,
708.989,2299.5545,
