,PLD74F~1,
Wavenumbers [1/cm],Intensity,
612.940,1943.6663,
610.029,1984.363,
607.119,1967.7808,
604.208,1964.705,
601.297,1952.1606,
598.387,1953.5967,
595.476,1984.8966,
592.566,1961.2846,
589.655,1952.5898,
586.745,1945.3513,
583.834,1947.6888,
580.923,1978.3051,
578.013,2008.125,
575.102,1977.121,
572.192,1949.1969,
569.281,1959.4204,
566.371,2005.5952,
563.460,2015.7687,
560.549,2005.943,
557.639,1991.5136,
554.728,1987.6177,
551.818,1995.4209,
548.907,1980.0614,
545.996,1978.4559,
543.086,2000.8421,
540.175,2036.6598,
537.265,1971.0427,
534.354,1977.2332,
531.444,2020.2713,
528.533,2047.4695,
525.622,2024.1911,
522.712,1995.4616,
519.801,1995.0183,
516.891,2026.9502,
513.980,2065.665,
511.070,2074.0554,
508.159,2078.9904,
505.248,2085.6301,
502.338,2095.8313,
499.427,2085.7975,
496.517,2132.9027,
493.606,2183.5752,
490.695,2205.7713,
487.785,2188.8359,
484.874,2180.309,
481.964,2190.4139,
479.053,2203.7931,
476.143,2181.5222,
473.232,2179.4056,
470.321,2186.9102,
467.411,2170.3055,
464.500,2097.3965,
461.590,2108.1169,
458.679,2170.5568,
455.769,2198.9609,
452.858,2159.738,
449.947,2204.046,
447.037,2218.5858,
444.126,2238.022,
441.216,2261.2886,
438.305,2239.1926,
435.395,2239.4032,
432.484,2246.5428,
429.573,2240.4573,
426.663,2181.9265,
423.752,2115.0547,
420.842,2030.1259,
417.931,1971.4675,
415.020,2007.8687,
412.110,2132.036,
409.199,2211.3548,
406.289,2247.617,
403.378,2249.3299,
400.468,2309.8095,
397.557,2274.111,
394.646,2251.4837,
391.736,2331.4872,
388.825,2342.8006,
385.915,2322.1763,
383.004,2326.5384,
380.094,2389.1653,
377.183,2370.3534,
374.272,2386.2934,
371.362,2408.8342,
368.451,2420.1706,
365.541,2420.9211,
362.630,2414.0239,
359.719,2405.1653,
356.809,2400.8889,
353.898,2446.5655,
350.988,2434.1706,
348.077,2411.3825,
345.167,2407.9575,
342.256,2424.393,
339.345,2445.5994,
336.435,2451.242,
333.524,2429.1115,
330.614,2460.408,
327.703,2476.2859,
324.793,2466.9153,
321.882,2423.2476,
318.971,2473.8017,
316.061,2502.8445,
313.150,2521.3607,
310.240,2541.3978,
307.329,2560.7056,
304.418,2548.0631,
301.508,2519.5958,
298.597,2502.5662,
295.687,2496.3843,
292.776,2505.3751,
289.866,2541.2091,
286.955,2636.5047,
284.044,2601.4225,
281.134,2610.1538,
278.223,2678.0829,
275.313,2711.9783,
272.402,2696.4698,
269.492,2697.8688,
266.581,2731.7107,
263.670,2669.9556,
260.760,2721.602,
257.849,2793.5937,
254.939,2817.8118,
252.028,2831.8781,
249.117,2844.8911,
246.207,2842.3815,
243.296,2796.9952,
240.386,2835.8754,
237.475,2849.1361,
234.565,2832.7799,
231.654,2830.5887,
228.743,2798.4798,
225.833,2766.5879,
222.922,2748.9936,
220.012,2789.0641,
217.101,2779.0614,
214.191,2778.9481,
211.280,2858.2415,
208.369,2836.5397,
205.459,2823.5243,
202.548,2818.1083,
199.638,2783.2771,
196.727,2834.3228,
193.816,2885.5536,
190.906,2904.4393,
187.995,2884.8907,
185.085,2856.3736,
182.174,2834.6715,
179.264,2844.0674,
176.353,2886.7756,
173.442,2921.7269,
170.532,2936.0765,
167.621,2884.1662,
164.711,2800.2245,
161.800,2698.54,
158.890,2585.5427,
155.979,2430.8578,
153.068,2222.8807,
150.158,1980.4808,
147.247,1765.0951,
144.337,1433.2866,
141.426,1107.802,
138.516,846.13674,
135.605,595.34516,
132.694,399.88566,
129.784,256.54,
126.873,171.43955,
123.963,119.98079,
121.052,84.493166,
118.141,60.220499,
115.231,45.913593,
112.320,39.701364,
109.410,38.306868,
106.499,34.033937,
103.589,26.401946,
100.678,20.310135,
97.767,18.177322,
94.857,17.432011,
91.946,16.721889,
89.036,15.673408,
86.125,12.836587,
83.215,11.063159,
80.304,9.8855673,
77.393,9.1773974,
74.483,10.43527,
71.572,9.6755915,
68.662,6.9171975,
65.751,4.7978443,
62.840,7.9786159,
59.930,11.937714,
57.019,11.232632,
54.109,5.1533915,
51.198,2.9346557,
48.288,7.1419873,
45.377,9.2521215,
42.466,8.4761226,
39.556,5.8947628,
36.645,4.4903824,
33.735,6.2019939,
30.824,6.7996782,
27.914,2.5926267,
25.003,8.3513748,
22.092,9.218859,
19.182,3.9945488,
16.271,30.575174,
13.361,98.021827,
10.450,187.06227,
7.539,250.60897,
4.629,346.12272,
1.718,336.95016,
-1.192,65.760938,
-4.103,-36.326313,
-7.013,-55.249188,
-9.924,1.125,
