,PL6C9F~1,
2469.889,373.47578,
2466.978,366.87386,
2464.068,382.77653,
2461.157,362.17251,
2458.247,365.29418,
2455.336,370.11203,
2452.425,352.70281,
2449.515,357.36331,
2446.604,365.62785,
2443.694,371.58717,
2440.783,376.41779,
2437.872,364.3699,
2434.962,382.58871,
2432.051,386.28701,
2429.141,392.57931,
2426.230,387.33672,
2423.320,396.17877,
2420.409,388.5064,
2417.498,393.93821,
2414.588,395.11503,
2411.677,379.10858,
2408.767,389.50886,
2405.856,387.05955,
2402.946,403.65527,
2400.035,397.56689,
2397.124,411.06552,
2394.214,392.23521,
2391.303,379.67818,
2388.393,386.21513,
2385.482,374.41093,
2382.571,369.05345,
2379.661,390.42424,
2376.750,406.75,
2373.840,421.65306,
2370.929,424.76083,
2368.019,406.52093,
2365.108,411.33115,
2362.197,404.79106,
2359.287,413.11992,
2356.376,432.72182,
2353.466,430.94691,
2350.555,427.00983,
2347.645,423.30231,
2344.734,442.29843,
2341.823,432.98217,
2338.913,420.28284,
2336.002,438.32403,
2333.092,435.46316,
2330.181,432.36631,
2327.270,439.69499,
2324.360,451.06135,
2321.449,437.62756,
2318.539,439.62155,
2315.628,451.8835,
2312.718,451.80066,
2309.807,452.22819,
2306.896,459.00196,
2303.986,446.26287,
2301.075,437.38827,
2298.165,450.73092,
2295.254,467.42685,
2292.344,461.54257,
2289.433,450.42182,
2286.522,454.83033,
2283.612,461.89031,
2280.701,459.42265,
2277.791,461.8721,
2274.880,491.74594,
2271.969,492.69238,
2269.059,483.45301,
2266.148,482.91361,
2263.238,487.04729,
2260.327,496.9223,
2257.417,482.90334,
2254.506,484.26856,
2251.595,504.88815,
2248.685,506.54039,
2245.774,510.25542,
2242.864,474.37092,
2239.953,499.79824,
2237.043,494.67109,
2234.132,480.15517,
2231.221,511.46332,
2228.311,514.9214,
2225.400,514.91887,
2222.490,517.96492,
2219.579,509.16904,
2216.669,510.77385,
2213.758,525.97094,
2210.847,538.36209,
2207.937,536.83144,
2205.026,550.97216,
2202.116,554.58545,
2199.205,552.32553,
2196.294,549.61798,
2193.384,545.80298,
2190.473,535.74413,
2187.563,576.74033,
2184.652,573.84633,
2181.742,569.93196,
2178.831,587.69948,
2175.920,595.09243,
2173.010,598.35091,
2170.099,672.94199,
2167.189,651.85763,
2164.278,674.67362,
2161.368,729.32039,
2158.457,758.37529,
2155.546,798.46063,
2152.636,858.68075,
2149.725,873.91779,
2146.815,901.7823,
2143.904,943.46002,
2140.993,964.25798,
2138.083,973.17543,
2135.172,987.43053,
2132.262,992.03697,
2129.351,993.40164,
2126.441,944.57511,
2123.530,961.28981,
2120.619,916.20891,
2117.709,875.35668,
2114.798,829.87295,
2111.888,782.51383,
2108.977,735.3129,
2106.067,708.82407,
2103.156,686.1533,
2100.245,677.72365,
2097.335,635.99084,
2094.424,630.56952,
2091.514,605.96235,
2088.603,609.39513,
2085.692,603.15528,
2082.782,610.71375,
2079.871,632.53646,
2076.961,625.46036,
2074.050,614.70152,
2071.140,611.49731,
2068.229,596.75652,
2065.318,585.30525,
2062.408,599.44741,
2059.497,596.90473,
2056.587,566.1456,
2053.676,577.71557,
2050.766,589.13415,
2047.855,587.03802,
2044.944,570.86376,
2042.034,618.06206,
2039.123,598.04966,
2036.213,596.5189,
2033.302,592.22836,
2030.391,579.66545,
2027.481,581.70116,
2024.570,592.17835,
2021.660,621.97612,
2018.749,625.26837,
2015.839,588.55709,
2012.928,596.73826,
2010.017,608.37324,
2007.107,606.307,
2004.196,603.86907,
2001.286,619.02207,
1998.375,604.17814,
1995.465,591.60357,
1992.554,605.64987,
1989.643,600.02651,
1986.733,604.53596,
1983.822,605.54616,
1980.912,632.24485,
1978.001,613.08951,
1975.090,590.94542,
1972.180,600.47339,
1969.269,623.46844,
1966.359,611.39835,
1963.448,602.40258,
1960.538,611.8651,
1957.627,628.90791,
1954.716,593.84162,
1951.806,618.65064,
1948.895,611.52133,
1945.985,577.58824,
1943.074,590.35877,
1940.164,593.72091,
1937.253,581.06724,
1934.342,591.25428,
1931.432,588.86356,
1928.521,597.14033,
1925.611,584.00993,
1922.700,575.16713,
1919.790,576.47252,
1916.879,570.23825,
1913.968,596.7168,
1911.058,591.3446,
1908.147,601.47702,
1905.237,607.38967,
1902.326,581.53075,
1899.415,563.18901,
1896.505,559.93084,
1893.594,599.37204,
1890.684,609.67822,
1887.773,599.68086,
1884.863,610.49032,
1881.952,599.10265,
1879.041,607.87981,
1876.131,612.75,
1873.220,558.70553,
1870.310,586.02348,
1867.399,611.38215,
1864.489,620.82789,
1861.578,618.92062,
1858.667,587.32481,
1855.757,618.15573,
1852.846,613.25769,
1849.936,613.21547,
1847.025,618.27309,
1844.114,630.65583,
1841.204,610.35839,
1838.293,625.73171,
1835.383,634.564,
1832.472,614.9587,
1829.562,614.88724,
1826.651,640.89577,
1823.740,633.00667,
1820.830,661.47472,
1817.919,642.43245,
1815.009,628.90013,
1812.098,648.39566,
1809.188,619.79658,
1806.277,614.8164,
1803.366,649.33227,
1800.456,683.75,
1797.545,682.55148,
1794.635,667.13794,
1791.724,646.05093,
1788.813,666.75514,
1785.903,681.57753,
1782.992,657.36245,
1780.082,604.76262,
1777.171,622.08887,
1774.261,638.0049,
1771.350,655.86951,
1768.439,694.04763,
1765.529,702.20651,
1762.618,699.7731,
1759.708,677.6195,
1756.797,697.56818,
1753.887,706.21064,
1750.976,683.36715,
1748.065,709.77303,
1745.155,705.56309,
1742.244,690.75,
1739.334,701.02059,
1736.423,702.92384,
1733.512,706.84351,
1730.602,736.42663,
1727.691,755.72959,
1724.781,746.16477,
1721.870,743.55477,
1718.960,744.57223,
1716.049,756.49565,
1713.138,745.07007,
1710.228,729.69555,
1707.317,795.862,
1704.407,733.77662,
1701.496,769.50429,
1698.586,788.53375,
1695.675,810.33559,
1692.764,807.01639,
1689.854,809.62008,
1686.943,813.6151,
1684.033,800.09771,
1681.122,837.10429,
1678.211,845.67386,
1675.301,862.69758,
1672.390,899.65729,
1669.480,868.97462,
1666.569,896.75,
1663.659,897.19097,
1660.748,924.03923,
1657.837,938.33448,
1654.927,920.03115,
1652.016,933.13505,
1649.106,988.79896,
1646.195,991.82894,
1643.285,1035.6589,
1640.374,1032.0845,
1637.463,1048.5426,
1634.553,1092.0603,
1631.642,1112.9889,
1628.732,1134.8981,
1625.821,1159.8259,
1622.911,1275.0963,
1620.000,1340.9185,
1617.089,1415.2575,
1614.179,1501.2965,
1611.268,1549.0026,
1608.358,1648.9272,
1605.447,1694.2932,
1602.536,1743.3444,
1599.626,1757.7892,
1596.715,1763.288,
1593.805,1689.5205,
1590.894,1698.3634,
1587.984,1721.5362,
1585.073,1709.4353,
1582.162,1677.529,
1579.252,1657.0206,
1576.341,1621.7075,
1573.431,1582.423,
1570.520,1580.6294,
1567.610,1564.1223,
1564.699,1577.3258,
1561.788,1536.8631,
1558.878,1497.6326,
1555.967,1505.2666,
1553.057,1473.5608,
1550.146,1453.8227,
1547.235,1473.4598,
1544.325,1415.624,
1541.414,1372.5511,
1538.504,1380.2086,
1535.593,1358.2996,
1532.683,1333.5342,
1529.772,1328.8875,
1526.861,1303.208,
1523.951,1269.7318,
1521.040,1263.7877,
1518.130,1243.0616,
1515.219,1242.9101,
1512.309,1232.0788,
1509.398,1199.9497,
1506.487,1181.4664,
1503.577,1191.9866,
1500.666,1185.6674,
1497.756,1218.3519,
1494.845,1236.0291,
1491.934,1194.7689,
1489.024,1200.5439,
1486.113,1210.0222,
1483.203,1187.6576,
1480.292,1164.3857,
1477.382,1100.1314,
1474.471,1081.9131,
1471.560,1135.175,
1468.650,1143.4511,
1465.739,1083.9488,
1462.829,1090.1559,
1459.918,1124.6948,
1457.008,1112.9497,
1454.097,1087.2798,
1451.186,1092.2258,
1448.276,1092.7774,
1445.365,1053.141,
1442.455,1044.9626,
1439.544,1084.9934,
1436.633,1091.5266,
1433.723,1089.3641,
1430.812,1116.1538,
1427.902,1132.6451,
1424.991,1086.2047,
1422.081,1041.6286,
1419.170,1053.3031,
1416.259,1041.1689,
1413.349,1047.5681,
1410.438,1047.9509,
1407.528,1080.8683,
1404.617,1069.2193,
1401.707,1046.6901,
1398.796,1067.4632,
1395.885,1075.2144,
1392.975,1059.542,
1390.064,1072.8671,
1387.154,1064.4412,
1384.243,1042.8878,
1381.332,1042.402,
1378.422,1074.2619,
1375.511,1122.9745,
1372.601,1127.4363,
1369.690,1161.1817,
1366.780,1142.1969,
1363.869,1201.1329,
1360.958,1223.1091,
1358.048,1253.1955,
1355.137,1288.4178,
1352.227,1332.3188,
1349.316,1374.0271,
1346.406,1379.7921,
1343.495,1383.2309,
1340.584,1403.4997,
1337.674,1420.1068,
1334.763,1415.3146,
1331.853,1430.1503,
1328.942,1501.0177,
1326.032,1447.7628,
1323.121,1512.2922,
1320.210,1537.7522,
1317.300,1555.6374,
1314.389,1596.5005,
1311.479,1639.3518,
1308.568,1687.3301,
1305.657,1740.6501,
1302.747,1785.2698,
1299.836,1897.8188,
1296.926,1868.639,
1294.015,1844.7366,
1291.105,1908.0296,
1288.194,1933.5236,
1285.283,1998.6103,
1282.373,2042.3671,
1279.462,2079.0044,
1276.552,2120.191,
1273.641,2158.5547,
1270.731,2185.9843,
1267.820,2205.5911,
1264.909,2242.0458,
1261.999,2178.3173,
1259.088,2166.4597,
1256.178,2139.1999,
1253.267,2113.2685,
1250.356,2060.6967,
1247.446,2032.296,
1244.535,1995.0447,
1241.625,1924.6094,
1238.714,1844.5297,
1235.804,1781.5413,
1232.893,1751.1321,
1229.982,1717.7688,
1227.072,1688.7988,
1224.161,1606.9021,
1221.251,1590.261,
1218.340,1572.9069,
1215.430,1551.0877,
1212.519,1538.939,
1209.608,1534.9781,
1206.698,1531.75,
1203.787,1532.3731,
1200.877,1534.9699,
1197.966,1522.3817,
1195.055,1570.3852,
1192.145,1622.3279,
1189.234,1676.3263,
1186.324,1713.5697,
1183.413,1710.4099,
1180.503,1688.7382,
1177.592,1681.4065,
1174.681,1663.2432,
1171.771,1659.8324,
1168.860,1663.4048,
1165.950,1607.3097,
1163.039,1605.6228,
1160.129,1631.9848,
1157.218,1618.3866,
1154.307,1580.3295,
1151.397,1567.2286,
1148.486,1574.5915,
1145.576,1621.5891,
1142.665,1548.7802,
1139.754,1585.8723,
1136.844,1557.9336,
1133.933,1558.7587,
1131.023,1575.9431,
1128.112,1594.9624,
1125.202,1612.4698,
1122.291,1598.6409,
1119.380,1639.5681,
1116.470,1621.035,
1113.559,1641.1742,
1110.649,1596.0172,
1107.738,1590.1827,
1104.828,1611.2466,
1101.917,1587.5299,
1099.006,1532.3889,
1096.096,1577.535,
1093.185,1574.023,
1090.275,1546.2348,
1087.364,1575.4284,
1084.453,1587.2503,
1081.543,1596.4584,
1078.632,1618.0777,
1075.722,1629.3739,
1072.811,1631.6593,
1069.901,1686.6747,
1066.990,1669.7334,
1064.079,1676.3187,
1061.169,1687.8253,
1058.258,1697.4083,
1055.348,1694.3433,
1052.437,1676.0137,
1049.527,1697.9514,
1046.616,1703.1644,
1043.705,1695.2716,
1040.795,1674.8719,
1037.884,1681.9451,
1034.974,1688.6946,
1032.063,1676.0422,
1029.153,1691.4118,
1026.242,1705.2511,
1023.331,1759.9132,
1020.421,1761.6877,
1017.510,1777.9199,
1014.600,1819.9717,
1011.689,1836.0802,
1008.778,1793.7873,
1005.868,1835.3369,
1002.957,1900.7238,
1000.047,1923.126,
997.136,1995.2925,
994.226,2016.8735,
991.315,1982.3144,
988.404,1971.3997,
985.494,1943.5582,
982.583,1934.9926,
979.673,1937.4082,
976.762,1921.724,
973.852,1926.9884,
970.941,1938.3767,
968.030,1919.7617,
965.120,1953.7464,
962.209,1952.8939,
959.299,1947.7923,
956.388,1946.8699,
953.477,1948.161,
950.567,1953.4556,
947.656,1966.1929,
944.746,1961.9452,
941.835,1986.8542,
938.925,1992.75,
936.014,1976.0577,
933.103,1953.0412,
930.193,1941.9485,
927.282,1943.4962,
924.372,1883.4581,
921.461,1843.3484,
918.551,1838.1403,
915.640,1822.3527,
912.729,1801.1906,
909.819,1817.1931,
906.908,1805.3992,
903.998,1783.2752,
901.087,1802.5737,
898.176,1824.3851,
895.266,1838.1458,
892.355,1851.7918,
889.445,1862.7023,
886.534,1847.7223,
883.624,1893.8667,
880.713,1895.2943,
877.802,1863.3283,
874.892,1829.7777,
871.981,1767.7697,
869.071,1768.6051,
866.160,1765.3002,
863.250,1790.4843,
860.339,1846.9677,
857.428,1903.0282,
854.518,1892.6447,
851.607,1785.3078,
848.697,1766.75,
845.786,1775.5724,
842.875,1830.5895,
839.965,1908.5895,
837.054,1867.0756,
834.144,1896.082,
831.233,1919.0821,
828.323,1916.8694,
825.412,1906.7159,
822.501,1910.9841,
819.591,1923.3801,
816.680,1910.9295,
813.770,1875.1719,
810.859,1841.7615,
807.949,1824.75,
805.038,1821.8628,
802.127,1797.9921,
799.217,1785.3145,
796.306,1792.5339,
793.396,1789.0705,
790.485,1768.4336,
787.574,1759.8123,
784.664,1761.4525,
781.753,1755.7111,
778.843,1754.2202,
775.932,1769.6387,
773.022,1800.116,
770.111,1796.0281,
767.200,1782.0464,
764.290,1771.3933,
761.379,1780.1415,
758.469,1794.6813,
755.558,1772.1147,
752.648,1784.3337,
749.737,1786.0972,
746.826,1780.6216,
743.916,1769.1655,
741.005,1754.5666,
738.095,1752.9428,
735.184,1730.5831,
732.274,1671.7897,
729.363,1648.2687,
726.452,1702.0057,
723.542,1764.329,
720.631,1725.7004,
717.721,1749.4121,
714.810,1758.8581,
711.899,1740.0966,
708.989,1784.4774,
706.078,1792.763,
703.168,1767.4251,
700.257,1756.3512,
697.347,1756.1858,
694.436,1721.0299,
691.525,1694.5043,
688.615,1697.5548,
685.704,1713.974,
682.794,1739.2818,
679.883,1773.1733,
676.973,1760.3514,
674.062,1769.2355,
671.151,1777.5033,
668.241,1769.5053,
665.330,1736.4097,
662.420,1729.2211,
659.509,1729.6548,
656.598,1759.7442,
653.688,1789.6985,
650.777,1762.264,
647.867,1747.9301,
644.956,1730.5095,
642.046,1703.0931,
639.135,1681.9902,
636.224,1701.9012,
633.314,1732.0709,
630.403,1763.3984,
627.493,1778.2137,
624.582,1772.3951,
621.672,1757.3473,
618.761,1777.2684,
615.850,1769.9753,
612.940,1789.1466,
610.029,1843.5413,
607.119,1818.2731,
604.208,1799.4197,
601.297,1810.1981,
598.387,1814.5649,
595.476,1782.8642,
592.566,1794.6702,
589.655,1784.4401,
586.745,1783.3916,
583.834,1795.3613,
580.923,1811.7737,
578.013,1815.6974,
575.102,1801.8367,
572.192,1800.754,
569.281,1824.374,
566.371,1855.6789,
563.460,1870.0375,
560.549,1844.5387,
557.639,1810.3329,
554.728,1804.834,
551.818,1822.0009,
548.907,1847.0795,
545.996,1852.1966,
543.086,1842.9441,
540.175,1862.4102,
537.265,1847.0916,
534.354,1817.6722,
531.444,1809.2402,
528.533,1848.6814,
525.622,1875.8395,
522.712,1881.1432,
519.801,1864.3292,
516.891,1851.2094,
513.980,1917.7989,
511.070,1916.7065,
508.159,1953.388,
505.248,1992.7442,
502.338,1981.857,
499.427,2019.6768,
496.517,2046.154,
493.606,2063.1244,
490.695,2068.6475,
487.785,2046.3235,
484.874,2016.901,
481.964,2044.2778,
479.053,2091.9024,
476.143,2046.5926,
473.232,2067.4903,
470.321,2070.9111,
467.411,2046.5153,
464.500,1993.8554,
461.590,2037.5026,
458.679,2102.028,
455.769,2130.8872,
452.858,2103.7723,
449.947,2132.8017,
447.037,2148.4582,
444.126,2145.5076,
441.216,2133.0572,
438.305,2152.1055,
435.395,2182.9424,
432.484,2213.5866,
429.573,2220.1298,
426.663,2153.2374,
423.752,2064.7571,
420.842,1985.8215,
417.931,1929.5787,
415.020,1911.3782,
412.110,2061.4623,
409.199,2179.3416,
406.289,2227.0395,
403.378,2172.9703,
400.468,2237.9858,
397.557,2238.6982,
394.646,2259.8825,
391.736,2366.9874,
388.825,2311.9285,
385.915,2287.2349,
383.004,2290.3151,
380.094,2317.4026,
377.183,2330.1947,
374.272,2346.2339,
371.362,2355.5727,
368.451,2353.3427,
365.541,2363.0997,
362.630,2391.4233,
359.719,2419.5573,
356.809,2434.8438,
353.898,2419.8679,
350.988,2420.6324,
348.077,2410.52,
345.167,2377.415,
342.256,2410.286,
339.345,2394.7727,
336.435,2391.3487,
333.524,2439.6326,
330.614,2435.9068,
327.703,2418.321,
324.793,2408.1636,
321.882,2423.7987,
318.971,2443.8716,
316.061,2471.2592,
313.150,2498.0619,
310.240,2515.1306,
307.329,2550.7672,
304.418,2558.8226,
301.508,2547.8115,
298.597,2533.0032,
295.687,2514.819,
292.776,2548.0002,
289.866,2624.8999,
286.955,2715.7632,
284.044,2717.365,
281.134,2730.3753,
278.223,2766.8756,
275.313,2788.2444,
272.402,2777.0656,
269.492,2761.6309,
266.581,2754.6944,
263.670,2781.896,
260.760,2815.8692,
257.849,2872.5983,
254.939,2966.5353,
252.028,2943.1393,
249.117,2917.761,
246.207,2905.7582,
243.296,2932.8436,
240.386,2929.8731,
237.475,2924.4449,
234.565,2914.1931,
231.654,2872.5612,
228.743,2867.7776,
225.833,2865.5668,
222.922,2854.6673,
220.012,2874.3383,
217.101,2872.4078,
214.191,2856.5375,
211.280,2832.5312,
208.369,2861.0266,
205.459,2871.7575,
202.548,2861.8642,
199.638,2839.3691,
196.727,2915.9964,
193.816,2957.9897,
190.906,2917.8928,
187.995,2950.4739,
185.085,2949.9286,
182.174,2953.596,
179.264,3015.7539,
176.353,3026.5947,
173.442,3066.8186,
170.532,3127.0294,
167.621,3069.3514,
164.711,2983.8495,
161.800,2880.6904,
158.890,2763.3748,
155.979,2600.951,
153.068,2391.1201,
150.158,2146.0977,
147.247,1901.276,
144.337,1559.0081,
141.426,1219.7076,
138.516,930.08355,
135.605,657.73188,
132.694,444.61054,
129.784,288.60752,
126.873,200.64655,
123.963,133.80997,
121.052,87.401456,
118.141,63.84269,
115.231,47.406882,
112.320,43.715451,
109.410,45.022895,
106.499,30.77979,
103.589,21.587201,
100.678,18.108109,
97.767,21.662796,
94.857,19.671033,
91.946,19.153111,
89.036,19.072613,
86.125,14.817381,
83.215,9.5026372,
80.304,7.4260288,
77.393,12.383218,
74.483,10.12946,
71.572,11.286465,
68.662,15.19586,
65.751,9.5442514,
62.840,8.231702,
59.930,8.0008552,
57.019,5.1805273,
54.109,7.1386434,
51.198,8.75,
48.288,8.7330127,
45.377,6.6228785,
42.466,4.513342,
39.556,2.8651186,
36.645,3.5673088,
33.735,3.75,
30.824,3.529113,
27.914,2.8279378,
25.003,2.75,
22.092,5.0103319,
19.182,10.322072,
16.271,27.809325,
13.361,79.003088,
10.450,151.40841,
7.539,219.145,
4.629,170.14408,
1.718,0.41383453,
-1.192,-349.55272,
-4.103,-268.46242,
-7.013,-129.48575,
-9.924,2.75,
