,PL570B~1,
Wavenumbers [1/cm],Intensity,
1212.519,919.63295,
1209.608,911.63434,
1206.698,869.23121,
1203.787,859.71799,
1200.877,915.95486,
1197.966,897.07252,
1195.055,969.50438,
1192.145,994.14649,
1189.234,995.52983,
1186.324,991.94297,
1183.413,984.8255,
1180.503,991.27797,
1177.592,1014.5694,
1174.681,1000.5497,
1171.771,962.00137,
1168.860,956.64283,
1165.950,954.51242,
1163.039,970.18826,
1160.129,961.19891,
1157.218,955.4131,
1154.307,951.10732,
1151.397,934.90704,
1148.486,942.51984,
1145.576,971.69874,
1142.665,938.84596,
1139.754,964.60201,
1136.844,929.10683,
1133.933,933.41223,
1131.023,950.06919,
1128.112,960.76646,
1125.202,969.18783,
1122.291,946.13849,
1119.380,980.93445,
1116.470,961.51883,
1113.559,983.86897,
1110.649,954.45364,
1107.738,951.73536,
1104.828,971.95039,
1101.917,970.36127,
1099.006,947.47551,
1096.096,948.37245,
1093.185,936.08042,
1090.275,955.35676,
1087.364,962.86949,
1084.453,948.93847,
1081.543,954.65384,
1078.632,974.61784,
1075.722,967.43246,
1072.811,960.68347,
1069.901,968.54282,
1066.990,1001.4583,
1064.079,1013.2081,
1061.169,1009.0497,
1058.258,996.50226,
1055.348,998.17729,
1052.437,1023.8452,
1049.527,1006.3865,
1046.616,987.27229,
1043.705,1003.6234,
1040.795,1018.7026,
1037.884,1020.0791,
1034.974,1012.4008,
1032.063,1003.9789,
1029.153,1001.2795,
1026.242,1035.8777,
1023.331,1026.2924,
1020.421,1027.6105,
1017.510,1048.1744,
1014.600,1078.3505,
1011.689,1090.2878,
1008.778,1061.9673,
1005.868,1025.8856,
1002.957,999.21463,
1000.047,1108.693,
997.136,1179.904,
994.226,1188.079,
991.315,1174.6473,
988.404,1164.506,
985.494,1094.3743,
982.583,1105.5096,
979.673,1159.0719,
976.762,1130.5697,
973.852,1117.4575,
970.941,1131.8625,
968.030,1113.0904,
965.120,1158.0999,
962.209,1152.1321,
959.299,1170.956,
956.388,1175.7652,
953.477,1165.3155,
950.567,1155.4321,
947.656,1158.1223,
944.746,1150.4763,
941.835,1165.5115,
938.925,1152.6737,
936.014,1152.2182,
933.103,1154.8286,
930.193,1143.9265,
927.282,1139.1708,
924.372,1140.0164,
921.461,1112.1418,
918.551,1087.0207,
915.640,1072.7255,
912.729,1066.5149,
909.819,1065.1275,
906.908,1087.873,
903.998,1070.0363,
901.087,1071.4901,
898.176,1072.739,
895.266,1082.5036,
892.355,1111.4809,
889.445,1124.0699,
886.534,1129.1342,
883.624,1131.4707,
880.713,1131.1043,
877.802,1104.0706,
874.892,1042.6234,
871.981,985.80322,
869.071,929.83056,
866.160,973.94185,
863.250,1048.4485,
860.339,1098.4207,
857.428,1106.5076,
854.518,1106.0308,
851.607,1033.6407,
848.697,1042.4473,
845.786,1017.3543,
842.875,1020.0798,
839.965,1087.1008,
837.054,1096.6088,
834.144,1139.7039,
831.233,1146.1251,
828.323,1154.5219,
825.412,1164.125,
822.501,1159.3589,
819.591,1132.9141,
816.680,1178.5994,
813.770,1161.9324,
810.859,1124.3679,
807.949,1094.9908,
805.038,1086.4148,
802.127,1105.3468,
799.217,1099.6711,
796.306,1085.7736,
793.396,1074.7891,
790.485,1073.652,
787.574,1084.1214,
784.664,1110.365,
781.753,1103.0473,
778.843,1104.9663,
775.932,1106.335,
773.022,1094.6753,
770.111,1117.5675,
767.200,1081.0594,
764.290,1066.2356,
761.379,1074.3656,
758.469,1096.8215,
755.558,1121.1525,
752.648,1088.5683,
749.737,1098.4447,
746.826,1120.1792,
743.916,1125.6314,
741.005,1102.9591,
738.095,1119.1966,
735.184,1087.5172,
732.274,1017.3281,
729.363,978.2293,
726.452,1011.7727,
723.542,1065.1927,
720.631,1070.4186,
717.721,1078.572,
714.810,1085.6477,
711.899,1081.1646,
708.989,1051.3084,
706.078,1105.6136,
703.168,1086.3351,
700.257,1074.2016,
697.347,1075.8218,
694.436,1035.4087,
691.525,1045.8582,
688.615,1046.2383,
685.704,1043.8299,
682.794,1049.8483,
679.883,1076.1342,
676.973,1098.5726,
674.062,1085.2587,
671.151,1079.5083,
668.241,1083.4573,
665.330,1078.3519,
662.420,1083.1443,
659.509,1074.601,
656.598,1101.5812,
653.688,1131.0126,
650.777,1086.666,
647.867,1073.1284,
644.956,1042.2632,
642.046,1005.6389,
639.135,988.18624,
636.224,1026.4115,
633.314,1083.575,
630.403,1112.9053,
627.493,1103.5372,
624.582,1072.8313,
621.672,1075.9993,
618.761,1111.8421,
615.850,1098.3305,
612.940,1090.4202,
610.029,1113.4674,
607.119,1109.5192,
604.208,1115.5151,
601.297,1089.7095,
598.387,1071.4438,
595.476,1099.4277,
592.566,1123.8268,
589.655,1119.0545,
586.745,1113.691,
583.834,1113.5642,
580.923,1115.3762,
578.013,1156.9671,
575.102,1137.7248,
572.192,1112.9813,
569.281,1119.5294,
566.371,1177.4435,
563.460,1142.2078,
560.549,1115.3794,
557.639,1104.0507,
554.728,1102.1597,
551.818,1118.5463,
548.907,1105.0614,
545.996,1098.7905,
543.086,1109.3125,
540.175,1124.1068,
537.265,1095.4295,
534.354,1106.1994,
531.444,1124.7811,
528.533,1117.2286,
525.622,1132.7476,
522.712,1151.9006,
519.801,1165.9438,
516.891,1172.5945,
513.980,1174.9174,
511.070,1166.6728,
508.159,1177.9296,
505.248,1198.1308,
502.338,1210.5091,
499.427,1223.6302,
496.517,1242.3977,
493.606,1248.7411,
490.695,1235.6644,
487.785,1217.9592,
484.874,1212.5401,
481.964,1219.4306,
479.053,1231.4927,
476.143,1233.0286,
473.232,1235.2832,
470.321,1245.8565,
467.411,1242.1957,
464.500,1202.0559,
461.590,1238.8114,
458.679,1254.6279,
455.769,1259.4401,
452.858,1261.4771,
449.947,1274.4639,
447.037,1281.3723,
444.126,1292.9977,
441.216,1306.0084,
438.305,1293.8175,
435.395,1280.3235,
432.484,1267.0402,
429.573,1254.995,
426.663,1245.8733,
423.752,1111.918,
420.842,995.66919,
417.931,923.10844,
415.020,912.49142,
412.110,1097.9547,
409.199,1232.1396,
406.289,1278.4949,
403.378,1209.3555,
400.468,1277.395,
397.557,1259.0213,
394.646,1269.8766,
391.736,1400.7729,
388.825,1358.5359,
385.915,1351.4469,
383.004,1370.1166,
380.094,1403.1672,
377.183,1364.7909,
374.272,1379.0929,
371.362,1401.3023,
368.451,1404.5353,
365.541,1411.2901,
362.630,1406.0239,
359.719,1406.3403,
356.809,1420.3094,
353.898,1406.8311,
350.988,1397.7001,
348.077,1396.9003,
345.167,1407.563,
342.256,1435.9516,
339.345,1430.3078,
336.435,1410.63,
333.524,1392.0645,
330.614,1421.8707,
327.703,1429.0714,
324.793,1418.1023,
321.882,1392.1737,
318.971,1412.2466,
316.061,1437.1926,
313.150,1454.0464,
310.240,1447.3674,
307.329,1509.2984,
304.418,1511.3273,
301.508,1488.2604,
298.597,1503.8091,
295.687,1495.6436,
292.776,1496.5417,
289.866,1509.1071,
286.955,1532.7463,
284.044,1551.305,
281.134,1578.2691,
278.223,1607.5083,
275.313,1596.4555,
272.402,1574.9552,
269.492,1552.8868,
266.581,1537.227,
263.670,1566.6342,
260.760,1592.886,
257.849,1614.2575,
254.939,1628.9352,
252.028,1584.9705,
249.117,1597.362,
246.207,1641.4061,
243.296,1677.2759,
240.386,1626.2737,
237.475,1603.272,
234.565,1621.5225,
231.654,1674.8405,
228.743,1642.9724,
225.833,1612.3446,
222.922,1615.2609,
220.012,1618.1751,
217.101,1599.0057,
214.191,1594.517,
211.280,1649.0767,
208.369,1659.8531,
205.459,1661.528,
202.548,1650.852,
199.638,1602.9591,
196.727,1635.765,
193.816,1675.5536,
190.906,1694.5409,
187.995,1677.8884,
185.085,1658.4122,
182.174,1648.218,
179.264,1667.0099,
176.353,1669.125,
173.442,1676.7387,
170.532,1689.621,
167.621,1685.2951,
164.711,1607.3921,
161.800,1514.0401,
158.890,1443.5068,
155.979,1380.5551,
153.068,1280.8794,
150.158,1153.6042,
147.247,1032.9882,
144.337,846.64016,
141.426,654.43408,
138.516,483.09707,
135.605,360.06685,
132.694,253.75758,
129.784,165.97542,
126.873,108.76503,
123.963,76.069405,
121.052,55.592372,
118.141,44.16994,
115.231,33.466445,
112.320,28.277728,
109.410,27.125,
106.499,27.125,
103.589,18.160928,
100.678,10.853378,
97.767,10.142441,
94.857,14.282934,
91.946,12.900113,
89.036,8.4636937,
86.125,10.59131,
83.215,10.59408,
80.304,9.8855673,
77.393,9.1773974,
74.483,9.780135,
71.572,11.212056,
68.662,12.84793,
65.751,10.022126,
62.840,6.7164901,
59.930,3.9377138,
57.019,3.2326318,
54.109,4.3193217,
51.198,4.2201722,
48.288,2.1193376,
45.377,1.4159595,
42.466,4.0105354,
39.556,7.4342885,
36.645,3.2211472,
33.735,6.2789877,
30.824,7.9161303,
27.914,0.90437781,
25.003,3.2381874,
22.092,5.7708091,
19.182,7.7657202,
16.271,27.351444,
13.361,108.45869,
10.450,238.21092,
7.539,407.20324,
4.629,536.83495,
1.718,499.09798,
-1.192,114.2742,
-4.103,15.903772,
-7.013,-9.7945526,
-9.924,4.125,
