,PLF7F4~1,
Wavenumbers [1/cm],Intensity,
1684.033,1343.4031,
1681.122,1384.1783,
1678.211,1368.0368,
1675.301,1422.7054,
1672.390,1437.7494,
1669.480,1396.5649,
1666.569,1482.0147,
1663.659,1493.4793,
1660.748,1530.4535,
1657.837,1560.7279,
1654.927,1598.8516,
1652.016,1598.4582,
1649.106,1622.3401,
1646.195,1642.3615,
1643.285,1701.2572,
1640.374,1634.5091,
1637.463,1758.8118,
1634.553,1810.4661,
1631.642,1849.9944,
1628.732,1861.8408,
1625.821,2023.9143,
1622.911,2083.5369,
1620.000,2207.3002,
1617.089,2346.0889,
1614.179,2474.2371,
1611.268,2595.3393,
1608.358,2739.992,
1605.447,2852.4759,
1602.536,2952.0637,
1599.626,3002.1118,
1596.715,2969.571,
1593.805,2913.1094,
1590.894,2905.9943,
1587.984,2909.3394,
1585.073,2852.8703,
1582.162,2803.6354,
1579.252,2753.3233,
1576.341,2676.5857,
1573.431,2647.3442,
1570.520,2594.1905,
1567.610,2568.4435,
1564.699,2581.5507,
1561.788,2579.4244,
1558.878,2562.2197,
1555.967,2506.3251,
1553.057,2447.7029,
1550.146,2399.3769,
1547.235,2373.7911,
1544.325,2328.1567,
1541.414,2294.1747,
1538.504,2277.4885,
1535.593,2213.7228,
1532.683,2183.3853,
1529.772,2193.4878,
1526.861,2134.8608,
1523.951,2082.8568,
1521.040,2089.9304,
1518.130,2080.4768,
1515.219,2039.9558,
1512.309,2018.3165,
1509.398,2028.8523,
1506.487,2006.1973,
1503.577,2044.0578,
1500.666,1988.1742,
1497.756,1953.1634,
1494.845,1981.1952,
1491.934,1988.7427,
1489.024,1948.318,
1486.113,1956.1472,
1483.203,1910.6903,
1480.292,1887.0563,
1477.382,1846.6956,
1474.471,1820.2253,
1471.560,1818.5033,
1468.650,1817.1419,
1465.739,1794.0983,
1462.829,1793.8113,
1459.918,1806.2949,
1457.008,1808.8596,
1454.097,1774.1375,
1451.186,1745.2715,
1448.276,1764.3026,
1445.365,1764.8023,
1442.455,1762.9943,
1439.544,1776.7868,
1436.633,1719.2553,
1433.723,1786.7655,
1430.812,1752.7959,
1427.902,1776.0858,
1424.991,1742.9141,
1422.081,1718.9381,
1419.170,1697.0016,
1416.259,1671.1932,
1413.349,1649.2597,
1410.438,1674.6653,
1407.528,1726.4995,
1404.617,1666.2642,
1401.707,1638.5517,
1398.796,1665.8191,
1395.885,1682.5838,
1392.975,1711.9586,
1390.064,1712.8083,
1387.154,1677.0988,
1384.243,1669.0156,
1381.332,1736.6537,
1378.422,1737.1453,
1375.511,1781.174,
1372.601,1784.6397,
1369.690,1810.5917,
1366.780,1893.2865,
1363.869,1977.0785,
1360.958,1992.2922,
1358.048,2043.6463,
1355.137,2090.8116,
1352.227,2133.6465,
1349.316,2186.5399,
1346.406,2227.8655,
1343.495,2283.1032,
1340.584,2304.7319,
1337.674,2318.1966,
1334.763,2323.6978,
1331.853,2397.8763,
1328.942,2415.9959,
1326.032,2421.9531,
1323.121,2500.6763,
1320.210,2590.4715,
1317.300,2590.5927,
1314.389,2609.473,
1311.479,2706.4183,
1308.568,2810.2511,
1305.657,2903.2996,
1302.747,3030.2743,
1299.836,3101.8922,
1296.926,3095.986,
1294.015,3119.8884,
1291.105,3217.7346,
1288.194,3275.6046,
1285.283,3324.1072,
1282.373,3380.6405,
1279.462,3446.5997,
1276.552,3510.1428,
1273.641,3570.4474,
1270.731,3642.69,
1267.820,3718.7304,
1264.909,3742.699,
1261.999,3725.377,
1259.088,3684.3316,
1256.178,3551.6936,
1253.267,3532.9438,
1250.356,3427.5461,
1247.446,3383.9157,
1244.535,3328.4198,
1241.625,3208.3381,
1238.714,3096.3433,
1235.804,3030.4819,
1232.893,2982.5222,
1229.982,2879.6672,
1227.072,2814.4847,
1224.161,2751.0397,
1221.251,2704.8831,
1218.340,2659.1888,
1215.430,2620.5052,
1212.519,2582.5953,
1209.608,2548.0156,
1206.698,2536.7262,
1203.787,2554.1464,
1200.877,2572.5994,
1197.966,2584.2884,
1195.055,2653.1349,
1192.145,2759.5443,
1189.234,2844.7248,
1186.324,2898.4228,
1183.413,2910.0425,
1180.503,2887.7456,
1177.592,2862.3901,
1174.681,2843.399,
1171.771,2790.8859,
1168.860,2748.0176,
1165.950,2739.0373,
1163.039,2714.1293,
1160.129,2696.7967,
1157.218,2672.1648,
1154.307,2659.0376,
1151.397,2664.5333,
1148.486,2642.6733,
1145.576,2653.5303,
1142.665,2668.6248,
1139.754,2676.384,
1136.844,2677.875,
1133.933,2632.714,
1131.023,2636.7543,
1128.112,2667.5906,
1125.202,2649.4257,
1122.291,2649.6378,
1119.380,2682.953,
1116.470,2690.8957,
1113.559,2711.2062,
1110.649,2743.0688,
1107.738,2730.0841,
1104.828,2698.553,
1101.917,2690.1296,
1099.006,2687.0093,
1096.096,2636.52,
1093.185,2647.0561,
1090.275,2681.8643,
1087.364,2682.3276,
1084.453,2691.8117,
1081.543,2707.5719,
1078.632,2708.9205,
1075.722,2696.0631,
1072.811,2702.1494,
1069.901,2776.3766,
1066.990,2789.15,
1064.079,2814.693,
1061.169,2828.6365,
1058.258,2839.3447,
1055.348,2852.9327,
1052.437,2855.5792,
1049.527,2843.7072,
1046.616,2839.363,
1043.705,2853.5195,
1040.795,2855.9595,
1037.884,2839.7029,
1034.974,2822.268,
1032.063,2825.5055,
1029.153,2851.5368,
1026.242,2865.3761,
1023.331,2925.8712,
1020.421,2940.6634,
1017.510,2973.2504,
1014.600,3021.982,
1011.689,3077.6806,
1008.778,3135.4614,
1005.868,3139.3692,
1002.957,3194.4319,
1000.047,3235.635,
997.136,3331.2752,
994.226,3408.6132,
991.315,3409.6498,
988.404,3341.2028,
985.494,3250.2202,
982.583,3265.6383,
979.673,3240.8041,
976.762,3239.6815,
973.852,3248.5271,
970.941,3245.0582,
968.030,3235.7884,
965.120,3274.9251,
962.209,3286.8607,
959.299,3326.4122,
956.388,3290.9183,
953.477,3283.7572,
950.567,3326.4308,
947.656,3311.6468,
944.746,3294.6557,
941.835,3362.7091,
938.925,3336.7598,
936.014,3292.6187,
933.103,3265.5786,
930.193,3250.2818,
927.282,3226.5918,
924.372,3202.9148,
921.461,3154.9546,
918.551,3100.5334,
915.640,3048.2283,
912.729,3010.8497,
909.819,3001.0983,
906.908,3010.3649,
903.998,2990.1955,
901.087,2994.4226,
898.176,3042.3454,
895.266,3087.6054,
892.355,3089.2727,
889.445,3112.7722,
886.534,3144.6001,
883.624,3181.1524,
880.713,3199.4475,
877.802,3172.9993,
874.892,3094.8134,
871.981,2995.6321,
869.071,2943.0011,
866.160,2991.8316,
863.250,3059.8112,
860.339,3115.7737,
857.428,3150.7446,
854.518,3160.54,
851.607,3079.8293,
848.697,3074.1288,
845.786,3032.7249,
842.875,3020.5866,
839.965,3096.7105,
837.054,3192.2285,
834.144,3223.7211,
831.233,3245.2072,
828.323,3246.9401,
825.412,3242.4848,
822.501,3242.4494,
819.591,3223.4422,
816.680,3181.2083,
813.770,3155.2124,
810.859,3103.0071,
807.949,3055.2848,
805.038,3066.2777,
802.127,3061.3389,
799.217,3013.9154,
796.306,2973.4694,
793.396,2949.8139,
790.485,2939.9798,
787.574,2932.9996,
784.664,2936.28,
781.753,2939.5589,
778.843,2966.3593,
775.932,2982.9986,
773.022,2966.4541,
770.111,3002.4275,
767.200,2987.3648,
764.290,2994.0104,
761.379,3009.1769,
758.469,3013.6433,
755.558,2991.468,
752.648,2910.8223,
749.737,2937.9591,
