,PL5D93~1,
Wavenumbers [1/cm],Intensity,
1785.903,1104.9186,
1782.992,1074.3245,
1780.082,1038.5134,
1777.171,1017.2495,
1774.261,1009.7749,
1771.350,1042.5953,
1768.439,1128.9552,
1765.529,1151.4305,
1762.618,1134.5537,
1759.708,1138.0219,
1756.797,1162.0833,
1753.887,1160.9672,
1750.976,1151.6603,
1748.065,1183.2008,
1745.155,1170.676,
1742.244,1176.7491,
1739.334,1170.7629,
1736.423,1204.6425,
1733.512,1206.9695,
1730.602,1249.8711,
1727.691,1243.9878,
1724.781,1254.5547,
1721.870,1235.9118,
1718.960,1226.9611,
1716.049,1274.9105,
1713.138,1257.7451,
1710.228,1229.752,
1707.317,1294.362,
1704.407,1299.6564,
1701.496,1311.1001,
1698.586,1302.0862,
1695.675,1331.1927,
1692.764,1302.0082,
1689.854,1385.3957,
1686.943,1351.5653,
1684.033,1397.0579,
1681.122,1413.9781,
1678.211,1366.7068,
1675.301,1416.0958,
1672.390,1469.3906,
1669.480,1516.25,
1666.569,1515.9199,
1663.659,1490.7563,
1660.748,1521.25,
1657.837,1521.8186,
1654.927,1547.7186,
1652.016,1567.1771,
1649.106,1566.3798,
1646.195,1653.0482,
1643.285,1725.0879,
1640.374,1676.3998,
1637.463,1730.8085,
1634.553,1761.649,
1631.642,1789.2598,
1628.732,1881.7951,
1625.821,1973.3154,
1622.911,2072.6865,
1620.000,2188.7759,
1617.089,2294.1405,
1614.179,2380.7965,
1611.268,2538.2644,
1608.358,2693.8988,
1605.447,2820.051,
1602.536,2865.4574,
1599.626,2860.8905,
1596.715,2886.5704,
1593.805,2848.1107,
1590.894,2770.1544,
1587.984,2823.4747,
1585.073,2808.5763,
1582.162,2698.2195,
1579.252,2678.0683,
1576.341,2643.0032,
1573.431,2588.8259,
1570.520,2564.7843,
1567.610,2533.6809,
1564.699,2549.626,
1561.788,2515.5884,
1558.878,2480.1809,
1555.967,2478.196,
1553.057,2451.9055,
1550.146,2397.7628,
1547.235,2367.1661,
1544.325,2297.7794,
1541.414,2250.9503,
1538.504,2256.8466,
1535.593,2221.2968,
1532.683,2173.3591,
1529.772,2174.3061,
1526.861,2137.9706,
1523.951,2065.1318,
1521.040,2076.6103,
1518.130,2081.6853,
1515.219,2029.8105,
1512.309,2014.4887,
1509.398,2014.1683,
1506.487,2005.7693,
1503.577,2027.3145,
1500.666,1981.0262,
1497.756,1982.7589,
1494.845,2024.2895,
1491.934,2001.1398,
1489.024,1967.4525,
1486.113,1968.1044,
1483.203,1948.7103,
1480.292,1913.1581,
1477.382,1868.4541,
1474.471,1876.8997,
1471.560,1878.6217,
1468.650,1901.8479,
1465.739,1844.0771,
1462.829,1847.624,
1459.918,1863.5427,
1457.008,1846.6499,
1454.097,1824.9988,
1451.186,1809.3293,
1448.276,1806.3465,
1445.365,1798.1789,
1442.455,1817.8292,
1439.544,1835.021,
1436.633,1768.2033,
1433.723,1842.7666,
1430.812,1805.8015,
1427.902,1824.2127,
1424.991,1780.6156,
1422.081,1832.4637,
1419.170,1803.5516,
1416.259,1787.7192,
1413.349,1769.3899,
1410.438,1773.3471,
1407.528,1809.4371,
1404.617,1788.4995,
1401.707,1746.9416,
1398.796,1748.4108,
1395.885,1772.5178,
1392.975,1798.7714,
1390.064,1804.0597,
1387.154,1754.8856,
1384.243,1765.0785,
1381.332,1799.8699,
1378.422,1892.5737,
1375.511,1879.4588,
1372.601,1932.7011,
1369.690,1961.2522,
1366.780,1941.4889,
1363.869,1978.1121,
1360.958,2058.291,
1358.048,2098.9631,
1355.137,2142.0993,
1352.227,2171.2173,
1349.316,2203.3552,
1346.406,2275.3839,
1343.495,2312.9591,
1340.584,2340.572,
1337.674,2317.6853,
1334.763,2420.8971,
1331.853,2411.6248,
1328.942,2456.6127,
1326.032,2444.3063,
1323.121,2460.256,
1320.210,2505.8734,
1317.300,2564.7955,
1314.389,2596.8751,
1311.479,2657.6088,
1308.568,2758.6261,
1305.657,2836.7838,
1302.747,2925.2449,
1299.836,2993.0559,
1296.926,2974.2238,
1294.015,3059.7209,
1291.105,3072.0554,
1288.194,3144.3381,
1285.283,3218.0982,
1282.373,3290.242,
1279.462,3340.6614,
1276.552,3387.9824,
1273.641,3451.4797,
1270.731,3499.544,
1267.820,3502.1197,
1264.909,3509.4918,
1261.999,3510.8173,
1259.088,3498.9597,
1256.178,3416.0302,
1253.267,3352.3823,
1250.356,3293.2285,
1247.446,3229.4189,
1244.535,3168.5269,
1241.625,3093.6501,
1238.714,2994.0661,
1235.804,2905.3277,
1232.893,2857.3887,
1229.982,2792.3983,
1227.072,2708.2042,
1224.161,2674.5134,
1221.251,2618.6234,
1218.340,2588.2938,
1215.430,2546.5663,
1212.519,2495.1593,
1209.608,2469.7306,
1206.698,2473.484,
1203.787,2470.4711,
1200.877,2468.3117,
1197.966,2501.5806,
1195.055,2580.0424,
1192.145,2643.59,
1189.234,2694.636,
1186.324,2721.9781,
1183.413,2737.6409,
1180.503,2765.1128,
1177.592,2785.9366,
1174.681,2744.2363,
1171.771,2736.2609,
1168.860,2693.3926,
1165.950,2608.6211,
1163.039,2610.9005,
1160.129,2597.2457,
1157.218,2573.5582,
1154.307,2568.5892,
1151.397,2581.0277,
1148.486,2598.6016,
1145.576,2587.1299,
1142.665,2538.2947,
1139.754,2535.0636,
1136.844,2526.8464,
1133.933,2527.3555,
1131.023,2540.6361,
1128.112,2560.8202,
1125.202,2578.907,
1122.291,2589.1301,
1119.380,2602.224,
1116.470,2599.5764,
1113.559,2597.7035,
1110.649,2628.6826,
1107.738,2631.8545,
1104.828,2604.0221,
1101.917,2558.468,
1099.006,2509.8581,
1096.096,2535.6587,
1093.185,2526.0007,
1090.275,2541.4354,
1087.364,2561.7169,
1084.453,2575.9996,
1081.543,2602.2846,
1078.632,2634.5777,
1075.722,2639.2918,
1072.811,2610.1187,
1069.901,2622.3444,
1066.990,2669.3249,
1064.079,2714.9562,
1061.169,2698.6642,
1058.258,2687.4955,
1055.348,2708.544,
1052.437,2713.5137,
1049.527,2734.8136,
1046.616,2723.5189,
1043.705,2725.3331,
1040.795,2702.6253,
1037.884,2695.8246,
1034.974,2708.9536,
1032.063,2725.9729,
1029.153,2740.4071,
1026.242,2708.4037,
1023.331,2766.4129,
1020.421,2804.0428,
1017.510,2861.1926,
1014.600,2905.7086,
1011.689,2918.9604,
1008.778,2930.5806,
1005.868,2973.4739,
1002.957,2998.4242,
1000.047,3093.25,
997.136,3179.522,
994.226,3213.5731,
991.315,3200.203,
988.404,3170.4405,
985.494,3134.9048,
982.583,3119.4867,
979.673,3112.8601,
976.762,3077.1981,
973.852,3068.2783,
970.941,3081.6188,
968.030,3069.7529,
965.120,3078.4648,
962.209,3129.6173,
959.299,3097.8798,
956.388,3140.0462,
953.477,3157.4781,
