,PLIQUI~4,
Wavenumbers [1/cm],Intensity,
1392.975,529.85516,
1390.064,566.6502,
1387.154,542.24589,
1384.243,514.84946,
1381.332,526.0023,
1378.422,550.38093,
1375.511,574.73724,
1372.601,557.61516,
1369.690,640.99002,
1366.780,672.54977,
1363.869,650.97183,
1360.958,741.47788,
1358.048,754.55973,
1355.137,741.79279,
1352.227,766.47802,
1349.316,793.1787,
1346.406,818.83055,
1343.495,858.78536,
1340.584,928.62553,
1337.674,903.12987,
1334.763,979.11299,
1331.853,1005.0755,
1328.942,1026.5827,
1326.032,1036.4656,
1323.121,1082.5829,
1320.210,1075.4837,
1317.300,1100.1292,
1314.389,1157.5006,
1311.479,1217.8335,
1308.568,1262.2312,
1305.657,1287.7348,
1302.747,1352.6229,
1299.836,1460.0193,
1296.926,1453.065,
1294.015,1473.2902,
1291.105,1551.6127,
1288.194,1604.4584,
1285.283,1615.841,
1282.373,1633.8437,
1279.462,1685.3007,
1276.552,1735.3849,
1273.641,1752.6066,
1270.731,1761.5922,
1267.820,1788.294,
1264.909,1788.6308,
1261.999,1812.2276,
1259.088,1760.2367,
1256.178,1796.522,
1253.267,1754.0245,
1250.356,1730.3207,
1247.446,1690.3346,
1244.535,1631.4287,
1241.625,1566.8473,
1238.714,1511.5387,
1235.804,1480.4794,
1232.893,1445.1373,
1229.982,1387.1012,
1227.072,1327.3506,
1224.161,1291.1859,
1221.251,1285.8695,
1218.340,1265.395,
1215.430,1251.9229,
1212.519,1233.3729,
1209.608,1203.5569,
1206.698,1186.6357,
1203.787,1189.9944,
1200.877,1199.8464,
1197.966,1195.3506,
1195.055,1290.6888,
1192.145,1320.6492,
1189.234,1379.6236,
1186.324,1420.5806,
1183.413,1414.2265,
1180.503,1401.8819,
1177.592,1411.3168,
1174.681,1388.1969,
1171.771,1360.7129,
1168.860,1342.8511,
1165.950,1318.5489,
1163.039,1318.7122,
1160.129,1309.9178,
1157.218,1314.1434,
1154.307,1326.754,
1151.397,1307.0954,
1148.486,1263.0155,
1145.576,1318.6239,
1142.665,1307.081,
1139.754,1317.5158,
1136.844,1287.9111,
1133.933,1293.4797,
1131.023,1304.7645,
1128.112,1311.4094,
1125.202,1333.6805,
1122.291,1346.4875,
1119.380,1314.2549,
1116.470,1327.4928,
1113.559,1360.8282,
1110.649,1365.5411,
1107.738,1367.9474,
1104.828,1357.9776,
1101.917,1344.93,
1099.006,1359.022,
1096.096,1347.6199,
1093.185,1323.0358,
1090.275,1337.3104,
1087.364,1348.6724,
1084.453,1348.1878,
1081.543,1359.5863,
1078.632,1379.3786,
1075.722,1387.2026,
1072.811,1408.3804,
1069.901,1397.9012,
1066.990,1433.4999,
1064.079,1458.4573,
1061.169,1470.5434,
1058.258,1449.5628,
1055.348,1413.7733,
1052.437,1415.0125,
1049.527,1451.2663,
1046.616,1480.8065,
1043.705,1430.9422,
1040.795,1428.5336,
1037.884,1461.9176,
1034.974,1471.4833,
1032.063,1450.6094,
1029.153,1465.6323,
1026.242,1444.8734,
1023.331,1499.9548,
1020.421,1516.0047,
1017.510,1524.8483,
1014.600,1518.283,
1011.689,1508.3965,
1008.778,1504.0393,
1005.868,1386.6462,
1002.957,1333.3043,
1000.047,1478.0051,
997.136,1652.5901,
994.226,1728.8789,
991.315,1724.1696,
988.404,1725.1262,
985.494,1693.8757,
982.583,1682.7404,
979.673,1646.7376,
976.762,1651.7381,
973.852,1668.1031,
970.941,1665.7155,
968.030,1647.8244,
965.120,1646.304,
962.209,1688.9311,
959.299,1708.8735,
956.388,1717.4848,
953.477,1726.2904,
950.567,1732.5108,
947.656,1723.6767,
944.746,1712.6324,
941.835,1702.4072,
938.925,1699.4669,
936.014,1691.0318,
933.103,1684.5374,
930.193,1685.5269,
927.282,1676.7419,
924.372,1632.7704,
921.461,1605.7694,
918.551,1592.8966,
915.640,1575.5268,
912.729,1550.9528,
909.819,1531.4561,
906.908,1511.2379,
903.998,1539.5535,
901.087,1563.0377,
898.176,1568.3074,
895.266,1565.0772,
892.355,1579.0615,
889.445,1642.8458,
886.534,1612.2347,
883.624,1635.0568,
880.713,1616.9726,
877.802,1515.2571,
874.892,1272.5524,
871.981,778.84536,
869.071,470.57801,
866.160,657.23096,
863.250,1113.1957,
860.339,1484.253,
857.428,1573.5596,
854.518,1527.757,
851.607,1342.2055,
848.697,1072.8281,
845.786,968.75776,
842.875,1086.4273,
839.965,1336.8445,
837.054,1510.1949,
834.144,1605.5014,
831.233,1654.7894,
828.323,1646.8801,
825.412,1617.3297,
822.501,1608.1038,
819.591,1624.6318,
816.680,1597.8814,
813.770,1577.3419,
810.859,1557.3927,
807.949,1545.0543,
805.038,1546.0431,
802.127,1512.2949,
799.217,1494.9626,
796.306,1489.5574,
793.396,1478.6134,
790.485,1458.5451,
787.574,1446.4328,
784.664,1480.8775,
781.753,1461.6276,
778.843,1475.5894,
775.932,1499.1127,
773.022,1491.9002,
770.111,1503.3463,
767.200,1508.6929,
764.290,1533.818,
761.379,1534.5826,
758.469,1504.3119,
755.558,1486.5869,
752.648,1502.0644,
749.737,1488.8053,
746.826,1476.3952,
743.916,1476.8718,
741.005,1488.9416,
738.095,1487.3178,
735.184,1485.6949,
732.274,1441.4755,
729.363,1440.7915,
726.452,1508.5005,
723.542,1460.7463,
720.631,1482.5902,
717.721,1480.3866,
714.810,1467.4148,
711.899,1463.5805,
708.989,1486.9813,
706.078,1443.0533,
703.168,1430.9106,
700.257,1437.1387,
697.347,1442.3429,
694.436,1425.7797,
691.525,1449.8938,
688.615,1432.4842,
685.704,1419.9884,
682.794,1431.1887,
679.883,1463.296,
676.973,1444.8645,
674.062,1425.811,
671.151,1427.6449,
668.241,1443.2692,
665.330,1450.4653,
662.420,1457.6539,
659.509,1481.3476,
656.598,1498.4525,
653.688,1496.0735,
650.777,1467.6399,
647.867,1423.8418,
644.956,1300.2014,
642.046,1161.7163,
639.135,1095.5183,
636.224,1210.7696,
633.314,1339.3876,
630.403,1400.5031,
627.493,1437.4084,
624.582,1469.7159,
621.672,1490.3077,
618.761,1495.6846,
615.850,1486.6562,
612.940,1471.9774,
610.029,1464.9913,
607.119,1494.2077,
604.208,1494.2849,
601.297,1473.6828,
598.387,1467.8833,
595.476,1503.0163,
592.566,1512.4612,
589.655,1507.6461,
586.745,1503.2571,
583.834,1495.3179,
580.923,1471.1913,
578.013,1482.1776,
575.102,1522.9818,
572.192,1539.6919,
569.281,1521.234,
566.371,1532.9734,
563.460,1536.9469,
560.549,1541.536,
557.639,1552.9133,
554.728,1571.0209,
551.818,1521.861,
548.907,1502.5932,
545.996,1511.899,
543.086,1533.6151,
540.175,1526.6073,
537.265,1532.6435,
534.354,1531.6132,
531.444,1530.9116,
528.533,1536.911,
525.622,1519.8402,
522.712,1561.6315,
519.801,1574.7042,
516.891,1559.2369,
513.980,1614.2119,
511.070,1652.2293,
508.159,1644.1569,
505.248,1622.3783,
502.338,1630.6613,
499.427,1683.1458,
496.517,1705.6098,
493.606,1715.4899,
490.695,1725.4415,
487.785,1749.305,
484.874,1727.9223,
481.964,1737.3806,
479.053,1770.125,
476.143,1770.125,
473.232,1725.522,
470.321,1694.5009,
467.411,1691.2685,
464.500,1723.9699,
461.590,1717.8439,
458.679,1711.1723,
455.769,1739.8917,
452.858,1806.9892,
449.947,1767.2648,
447.037,1801.5982,
444.126,1813.9674,
441.216,1791.1676,
438.305,1808.6921,
435.395,1849.1519,
432.484,1852.0382,
429.573,1786.9445,
426.663,1610.5919,
423.752,910.56209,
420.842,91.589603,
417.931,-501.9414,
415.020,-407.14664,
412.110,553.07499,
409.199,1203.8802,
406.289,1477.2763,
403.378,1354.6793,
400.468,1223.1363,
397.557,1339.9972,
394.646,1566.6192,
391.736,1777.5777,
388.825,1885.4328,
385.915,1913.3996,
383.004,1916.1214,
380.094,1931.9312,
