,PLF0E4~1,
Wavenumbers [1/cm],Intensity,
1646.195,683.6576,
1643.285,699.15624,
1640.374,653.23257,
1637.463,700.56506,
1634.553,771.18599,
1631.642,700.82547,
1628.732,753.32111,
1625.821,765.28664,
1622.911,820.93443,
1620.000,865.68306,
1617.089,950.53855,
1614.179,1007.6425,
1611.268,1013.1013,
1608.358,1083.7851,
1605.447,1146.6505,
1602.536,1185.6617,
1599.626,1159.7321,
1596.715,1203.5377,
1593.805,1141.1751,
1590.894,1115.6366,
1587.984,1140.9649,
1585.073,1139.2943,
1582.162,1148.2686,
1579.252,1104.4251,
1576.341,1079.0298,
1573.431,1067.4183,
1570.520,1030.0887,
1567.610,1022.2304,
1564.699,1039.9257,
1561.788,1006.1095,
1558.878,986.51895,
1555.967,990.53532,
1553.057,972.19849,
1550.146,941.19914,
1547.235,938.1049,
1544.325,923.89085,
1541.414,900.6892,
1538.504,893.22239,
1535.593,858.65291,
1532.683,848.51668,
1529.772,845.47551,
1526.861,814.31986,
1523.951,829.64096,
1521.040,825.93514,
1518.130,823.51096,
1515.219,814.41006,
1512.309,800.35807,
1509.398,771.76889,
1506.487,801.42311,
1503.577,804.63711,
1500.666,764.0115,
1497.756,749.37751,
1494.845,786.8898,
1491.934,778.30039,
1489.024,793.70028,
1486.113,788.68671,
1483.203,750.94696,
1480.292,714.00656,
1477.382,667.83759,
1474.471,707.36225,
1471.560,744.01998,
1468.650,724.23578,
1465.739,700.36167,
1462.829,730.65586,
1459.918,722.65303,
1457.008,690.15761,
1454.097,690.72021,
1451.186,694.92311,
1448.276,680.6568,
1445.365,666.50039,
1442.455,682.18278,
1439.544,703.8467,
1436.633,681.39598,
1433.723,695.25302,
1430.812,688.6933,
1427.902,694.49805,
1424.991,704.92343,
1422.081,711.67234,
1419.170,685.46413,
1416.259,655.32798,
1413.349,638.67663,
1410.438,669.5392,
1407.528,713.86212,
1404.617,682.10548,
1401.707,646.13024,
1398.796,661.71499,
1395.885,676.70272,
1392.975,673.79181,
1390.064,688.49066,
1387.154,685.11758,
1384.243,619.76919,
1381.332,674.89795,
1378.422,711.86356,
1375.511,704.36931,
1372.601,738.3481,
1369.690,707.81832,
1366.780,699.87389,
1363.869,761.72702,
1360.958,799.77476,
1358.048,806.65669,
1355.137,841.47083,
1352.227,883.77294,
1349.316,889.25108,
1346.406,879.52725,
1343.495,881.75174,
1340.584,876.14315,
1337.674,869.7925,
1334.763,972.94445,
1331.853,938.6369,
1328.942,948.81303,
1326.032,976.34986,
1323.121,1007.4428,
1320.210,1019.5796,
1317.300,1022.4305,
1314.389,1016.0554,
1311.479,1054.2497,
1308.568,1128.4136,
1305.657,1156.1262,
1302.747,1164.5727,
1299.836,1212.0756,
1296.926,1233.4464,
1294.015,1259.1875,
1291.105,1285.7857,
1288.194,1325.9922,
1285.283,1342.41,
1282.373,1339.5547,
1279.462,1383.4648,
1276.552,1428.754,
1273.641,1466.2389,
1270.731,1498.1963,
1267.820,1448.1095,
1264.909,1421.5915,
1261.999,1482.0503,
1259.088,1476.5775,
1256.178,1485.671,
1253.267,1395.9537,
1250.356,1358.7684,
1247.446,1345.4491,
1244.535,1314.9688,
1241.625,1275.7167,
1238.714,1230.8979,
1235.804,1178.5947,
1232.893,1173.005,
1229.982,1149.3607,
1227.072,1123.1067,
1224.161,1093.5134,
1221.251,1048.0465,
1218.340,1022.5894,
1215.430,1021.2048,
1212.519,1019.8169,
1209.608,1001.91,
1206.698,993.50562,
1203.787,1027.0691,
1200.877,1014.7485,
1197.966,1006.6561,
1195.055,1049.7657,
1192.145,1096.3199,
1189.234,1122.8746,
1186.324,1150.9793,
1183.413,1152.7931,
1180.503,1134.599,
1177.592,1135.159,
1174.681,1125.9692,
1171.771,1110.4973,
1168.860,1121.2143,
1165.950,1102.0928,
1163.039,1076.2979,
1160.129,1071.379,
1157.218,1055.0206,
1154.307,1030.1687,
1151.397,1036.0233,
1148.486,1064.4575,
1145.576,1020.5198,
1142.665,1026.7352,
1139.754,1040.2681,
1136.844,1040.4488,
1133.933,1038.6635,
1131.023,1055.7175,
1128.112,1073.4645,
1125.202,1068.8007,
1122.291,1066.6314,
1119.380,1083.1028,
1116.470,1068.0998,
1113.559,1102.5927,
1110.649,1110.6306,
1107.738,1095.8545,
1104.828,1091.7398,
1101.917,1091.8945,
1099.006,1066.549,
1096.096,1063.3575,
1093.185,1065.1135,
1090.275,1062.0129,
1087.364,1095.5561,
1084.453,1082.0019,
1081.543,1089.4872,
1078.632,1117.908,
1075.722,1096.5664,
1072.811,1103.8634,
1069.901,1126.5681,
1066.990,1147.65,
1064.079,1140.0008,
1061.169,1132.0408,
1058.258,1127.7091,
1055.348,1136.5963,
1052.437,1164.4461,
1049.527,1154.9143,
1046.616,1146.226,
1043.705,1153.7284,
1040.795,1148.5879,
1037.884,1153.859,
1034.974,1163.25,
1032.063,1150.612,
1029.153,1115.0277,
1026.242,1154.8157,
1023.331,1156.25,
1020.421,1168.1007,
1017.510,1192.8597,
1014.600,1216.7086,
1011.689,1226.2545,
1008.778,1218.611,
1005.868,1203.2268,
1002.957,1200.6458,
1000.047,1287.61,
997.136,1343.743,
994.226,1366.0499,
991.315,1363.8119,
988.404,1335.7648,
985.494,1302.6528,
982.583,1320.6405,
979.673,1338.6146,
976.762,1314.8949,
973.852,1308.3943,
970.941,1315.5803,
968.030,1294.4582,
965.120,1318.3574,
962.209,1343.9337,
959.299,1325.586,
956.388,1320.7297,
953.477,1316.4405,
950.567,1314.1384,
947.656,1335.1278,
944.746,1303.6942,
941.835,1329.7837,
938.925,1312.5602,
936.014,1309.8607,
933.103,1320.6624,
930.193,1319.2549,
927.282,1302.2418,
924.372,1283.6384,
921.461,1248.112,
918.551,1229.8597,
915.640,1232.0491,
912.729,1235.3462,
909.819,1221.6965,
906.908,1240.2299,
903.998,1203.8679,
901.087,1201.8881,
898.176,1205.2956,
895.266,1212.185,
892.355,1234.59,
889.445,1263.1251,
886.534,1250.7269,
883.624,1265.7436,
880.713,1291.0917,
877.802,1279.4587,
874.892,1200.5922,
871.981,1081.6187,
869.071,1054.8855,
866.160,1054.3898,
863.250,1140.6467,
860.339,1224.7675,
857.428,1245.711,
854.518,1274.915,
851.607,1194.2043,
848.697,1149.986,
845.786,1124.8327,
842.875,1146.758,
839.965,1219.1047,
837.054,1273.1104,
834.144,1260.6792,
831.233,1260.9165,
828.323,1281.0437,
825.412,1293.8107,
822.501,1279.2074,
819.591,1273.4226,
816.680,1278.859,
813.770,1250.1779,
810.859,1243.9823,
807.949,1253.289,
805.038,1238.3584,
802.127,1222.719,
799.217,1207.0876,
796.306,1200.5473,
793.396,1203.5325,
790.485,1202.0374,
787.574,1171.8728,
784.664,1188.275,
781.753,1187.2241,
778.843,1179.369,
775.932,1185.5955,
773.022,1216.0395,
770.111,1234.0263,
767.200,1206.3201,
764.290,1190.3155,
761.379,1188.7948,
758.469,1195.5056,
755.558,1199.9826,
752.648,1191.0219,
749.737,1204.9169,
746.826,1207.1891,
743.916,1194.3863,
741.005,1174.2062,
738.095,1129.553,
735.184,1097.0777,
732.274,1044.7041,
729.363,1027.4238,
726.452,1079.8213,
723.542,1149.4291,
720.631,1171.5989,
717.721,1174.9586,
714.810,1179.7215,
711.899,1192.5074,
708.989,1202.1905,
706.078,1221.4813,
703.168,1195.2817,
700.257,1174.4249,
697.347,1174.5542,
694.436,1178.7263,
691.525,1159.4349,
688.615,1150.8476,
685.704,1143.9331,
682.794,1143.1648,
679.883,1159.3581,
676.973,1161.7622,
674.062,1173.7355,
671.151,1178.935,
668.241,1172.9615,
665.330,1160.0441,
662.420,1176.8175,
659.509,1179.6151,
656.598,1195.2617,
653.688,1213.4895,
650.777,1204.007,
647.867,1196.84,
644.956,1146.9563,
642.046,1114.7624,
639.135,1117.1191,
636.224,1139.3216,
633.314,1153.6125,
630.403,1173.2127,
627.493,1198.0767,
624.582,1220.4266,
621.672,1221.2186,
618.761,1193.1322,
615.850,1212.3504,
612.940,1233.5423,
610.029,1229.5924,
607.119,1225.6442,
604.208,1188.3293,
601.297,1194.6863,
598.387,1219.6896,
595.476,1226.9873,
592.566,1213.6071,
589.655,1223.5599,
586.745,1200.7401,
583.834,1183.3301,
580.923,1258.0936,
578.013,1232.1974,
575.102,1217.2198,
572.192,1209.8209,
569.281,1215.2642,
566.371,1259.8737,
563.460,1244.4969,
560.549,1225.0426,
557.639,1213.5186,
554.728,1212.8704,
551.818,1191.0216,
548.907,1205.7512,
545.996,1222.9155,
543.086,1231.7599,
540.175,1238.7677,
537.265,1241.4228,
534.354,1253.2872,
531.444,1252.5464,
528.533,1223.0777,
525.622,1234.7169,
522.712,1231.7892,
519.801,1251.9266,
516.891,1294.6321,
513.980,1316.3124,
511.070,1299.2326,
508.159,1318.4713,
505.248,1345.2457,
502.338,1337.3796,
499.427,1375.9712,
496.517,1404.351,
493.606,1414.8851,
490.695,1406.7522,
487.785,1395.9751,
484.874,1385.8491,
481.964,1416.5487,
479.053,1455.0347,
476.143,1408.1889,
473.232,1421.0769,
470.321,1393.6762,
467.411,1365.3413,
464.500,1386.0561,
461.590,1378.3987,
458.679,1410.3683,
455.769,1438.5651,
452.858,1439.0909,
449.947,1437.5631,
447.037,1413.5863,
444.126,1415.6258,
441.216,1451.4676,
438.305,1487.2783,
435.395,1458.1569,
432.484,1454.8363,
429.573,1465.8424,
426.663,1425.5549,
423.752,1292.5301,
420.842,1121.1651,
417.931,978.21687,
415.020,956.98285,
412.110,1207.1933,
409.199,1370.6436,
406.289,1445.25,
403.378,1445.2526,
400.468,1446.0086,
397.557,1405.6322,
394.646,1421.9272,
391.736,1568.077,
388.825,1500.1961,
385.915,1463.2198,
383.004,1472.8067,
380.094,1535.4401,
377.183,1558.7668,
374.272,1579.3623,
371.362,1599.4912,
368.451,1618.9309,
365.541,1613.6771,
362.630,1614.9812,
359.719,1622.8734,
356.809,1634.0299,
353.898,1597.3387,
350.988,1619.2567,
348.077,1636.3761,
345.167,1613.0447,
342.256,1628.7331,
339.345,1622.6213,
336.435,1622.4105,
333.524,1646.1326,
330.614,1642.4068,
327.703,1614.5529,
324.793,1600.335,
321.882,1632.2464,
318.971,1630.7595,
316.061,1658.5722,
313.150,1691.9452,
310.240,1703.8191,
307.329,1717.1135,
304.418,1727.7214,
301.508,1729.7208,
298.597,1712.6912,
295.687,1706.5093,
292.776,1688.4166,
289.866,1688.2024,
286.955,1792.3627,
284.044,1812.31,
281.134,1824.1369,
278.223,1843.1301,
275.313,1869.6569,
272.402,1874.6691,
269.492,1860.9422,
266.581,1831.2515,
263.670,1817.2831,
260.760,1872.2793,
257.849,1923.9404,
254.939,1917.3354,
252.028,1932.4507,
249.117,1946.9297,
246.207,1962.3641,
243.296,1982.1291,
240.386,2010.3697,
237.475,2016.9504,
234.565,2000.7637,
231.654,1972.2787,
228.743,2000.1967,
225.833,1987.7477,
222.922,1905.3756,
220.012,1972.4027,
217.101,1979.0378,
214.191,1972.6481,
211.280,2003.929,
208.369,2019.0335,
205.459,1992.1122,
202.548,1939.8684,
199.638,1926.081,
196.727,1952.0608,
193.816,1987.3981,
190.906,2021.5197,
187.995,2057.721,
185.085,2034.7858,
182.174,2010.1371,
179.264,2065.0674,
176.353,2116.7453,
173.442,2129.923,
170.532,2109.3421,
167.621,2118.7148,
164.711,2031.3779,
161.800,1934.5211,
158.890,1888.4585,
155.979,1808.8776,
153.068,1668.7159,
150.158,1483.8353,
147.247,1305.0652,
144.337,1084.5749,
141.426,853.57049,
138.516,624.88218,
135.605,460.13119,
132.694,314.84419,
129.784,196.54294,
126.873,136.47204,
123.963,92.951143,
121.052,61.034613,
118.141,40.331455,
115.231,34.565437,
112.320,29.708184,
109.410,25.704579,
106.499,22.855958,
103.589,21.689746,
100.678,20.435135,
97.767,18.302322,
94.857,18.25,
91.946,14.622002,
89.036,8.3468167,
86.125,2.6731746,
83.215,3.3736814,
80.304,6.6865961,
77.393,10.935616,
74.483,11.905135,
71.572,11.887648,
68.662,10.97293,
65.751,8.1471257,
62.840,3.8780861,
59.930,0.062713803,
57.019,-0.64236818,
54.109,-1.9443217,
51.198,0.8693113,
48.288,9.2613249,
45.377,10.668081,
42.466,9.6011226,
39.556,7.9407115,
36.645,12.153853,
33.735,11.692255,
30.824,8.4829042,
27.914,2.8735023,
25.003,1.004725,
22.092,3.156141,
19.182,10.028017,
16.271,33.810682,
13.361,143.97846,
10.450,335.25368,
7.539,643.21076,
4.629,1017.5552,
1.718,1195.7494,
-1.192,877.85151,
-4.103,517.61585,
-7.013,217.30709,
-9.924,2.25,
