,PLDAAC~1,
Wavenumbers [1/cm],Intensity,
1809.188,513.00193,
1806.277,486.84756,
1803.366,534.433,
1800.456,546.0194,
1797.545,557.49832,
1794.635,538.70198,
1791.724,531.22083,
1788.813,553.65951,
1785.903,582.54652,
1782.992,584.27386,
1780.082,636.2217,
1777.171,726.58083,
1774.261,695.34956,
1771.350,640.62849,
1768.439,583.75623,
1765.529,548.97873,
1762.618,553.41874,
1759.708,563.57624,
1756.797,591.15909,
1753.887,574.04301,
1750.976,549.3017,
1748.065,581.04416,
1745.155,556.26323,
1742.244,560.70828,
1739.334,574.19588,
1736.423,586.67428,
1733.512,589.33942,
1730.602,582.26586,
1727.691,614.79472,
1724.781,599.29297,
1721.870,601.10243,
1718.960,594.20545,
1716.049,622.45309,
1713.138,629.95999,
1710.228,603.27079,
1707.317,596.59629,
1704.407,613.31955,
1701.496,645.33108,
1698.586,601.12679,
1695.675,642.16401,
1692.764,640.51639,
1689.854,641.20669,
1686.943,667.33941,
1684.033,628.26829,
1681.122,640.0291,
1678.211,637.27855,
1675.301,673.139,
1672.390,734.11841,
1669.480,690.09758,
1666.569,671.70705,
1663.659,707.26633,
1660.748,708.59707,
1657.837,726.00943,
1654.927,715.03914,
1652.016,707.31916,
1649.106,751.30268,
1646.195,792.91433,
1643.285,779.7513,
1640.374,801.31272,
1637.463,805.22279,
1634.553,858.23522,
1631.642,857.56488,
1628.732,886.31518,
1625.821,897.27813,
1622.911,940.00769,
1620.000,1012.3303,
1617.089,1070.0958,
1614.179,1122.7553,
1611.268,1147.3577,
1608.358,1207.347,
1605.447,1269.6505,
1602.536,1329.1632,
1599.626,1343.3693,
1596.715,1348.788,
1593.805,1263.3941,
1590.894,1253.25,
1587.984,1240.2586,
1585.073,1302.0613,
1582.162,1263.9917,
1579.252,1221.518,
1576.341,1187.0138,
1573.431,1191.2144,
1570.520,1187.3706,
1567.610,1193.4462,
1564.699,1173.7741,
1561.788,1161.0247,
1558.878,1168.1259,
1555.967,1161.6794,
1553.057,1123.0779,
1550.146,1077.8246,
1547.235,1099.6212,
1544.325,1081.0075,
1541.414,1059.7514,
1538.504,1060.9739,
1535.593,1023.4959,
1532.683,1011.707,
1529.772,1023.6251,
1526.861,992.93823,
1523.951,958.65919,
1521.040,965.6934,
1518.130,992.26461,
1515.219,973.69057,
1512.309,954.49775,
1509.398,947.94594,
1506.487,932.29666,
1503.577,975.19625,
1500.666,931.89958,
1497.756,916.07239,
1494.845,948.52906,
1491.934,907.32244,
1489.024,929.45978,
1486.113,928.39557,
1483.203,924.69733,
1480.292,904.73424,
1477.382,851.94686,
1474.471,831.04145,
1471.560,854.37398,
1468.650,907.29624,
1465.739,904.19236,
1462.829,891.84682,
1459.918,883.41015,
1457.008,890.46557,
1454.097,877.44483,
1451.186,835.85348,
1448.276,837.85362,
1445.365,855.96248,
1442.455,844.63615,
1439.544,859.23814,
1436.633,821.41583,
1433.723,857.61783,
1430.812,876.54036,
1427.902,904.34801,
1424.991,866.43751,
1422.081,834.97326,
1419.170,830.52188,
1416.259,839.16069,
1413.349,823.12421,
1410.438,827.04692,
1407.528,858.93089,
1404.617,856.04902,
1401.707,850.13923,
1398.796,831.70461,
1395.885,799.70272,
1392.975,817.33434,
1390.064,850.36056,
1387.154,812.3333,
1384.243,790.32213,
1381.332,874.02065,
1378.422,889.26441,
1375.511,908.93681,
1372.601,874.23033,
1369.690,915.82557,
1366.780,892.36063,
1363.869,914.76204,
1360.958,965.86298,
1358.048,999.89617,
1355.137,1014.5068,
1352.227,1018.7925,
1349.316,1035.7473,
1346.406,1067.7204,
1343.495,1070.0252,
1340.584,1057.8922,
1337.674,1103.1076,
1334.763,1111.0263,
1331.853,1131.4254,
1328.942,1162.4918,
1326.032,1133.6252,
1323.121,1195.1597,
1320.210,1216.5863,
