,PLDADE~1,
Wavenumbers [1/cm],Intensity,
1215.430,996.81376,
1212.519,995.97743,
1209.608,992.90873,
1206.698,964.80044,
1203.787,957.80214,
1200.877,975.87351,
1197.966,967.78108,
1195.055,1020.2764,
1192.145,1089.4825,
1189.234,1126.8924,
1186.324,1144.0121,
1183.413,1147.7253,
1180.503,1152.4691,
1177.592,1155.3646,
1174.681,1114.4024,
1171.771,1127.5714,
1168.860,1092.7409,
1165.950,1056.3171,
1163.039,1086.7872,
1160.129,1087.4489,
1157.218,1071.0869,
1154.307,1070.1983,
1151.397,1078.8964,
1148.486,1083.3721,
1145.576,1099.7197,
1142.665,1084.6252,
1139.754,1096.3931,
1136.844,1068.5617,
1133.933,1086.4598,
1131.023,1091.8516,
1128.112,1081.231,
1125.202,1100.2059,
1122.291,1115.1243,
1119.380,1113.4789,
1116.470,1124.0693,
1113.559,1121.5088,
1110.649,1132.8171,
1107.738,1124.3721,
1104.828,1125.5224,
1101.917,1132.9484,
1099.006,1107.0553,
1096.096,1121.9561,
1093.185,1082.446,
1090.275,1089.0862,
1087.364,1096.864,
1084.453,1102.7498,
1081.543,1139.118,
1078.632,1168.2723,
1075.722,1144.1452,
1072.811,1172.7545,
1069.901,1164.0219,
1066.990,1211.8749,
1064.079,1182.5442,
1061.169,1171.1072,
1058.258,1169.3288,
1055.348,1155.7294,
1052.437,1154.4586,
1049.527,1181.8519,
1046.616,1220.0804,
1043.705,1195.8567,
1040.795,1193.1215,
1037.884,1200.4209,
1034.974,1195.8093,
1032.063,1191.6285,
1029.153,1224.375,
1026.242,1224.375,
1023.331,1242.7072,
1020.421,1254.0431,
1017.510,1269.7011,
1014.600,1289.9483,
1011.689,1296.9632,
1008.778,1267.819,
1005.868,1205.9194,
1002.957,1155.1585,
1000.047,1236.919,
997.136,1363.1725,
994.226,1432.3903,
991.315,1448.0309,
988.404,1464.4306,
985.494,1422.4544,
982.583,1381.3397,
979.673,1392.9345,
976.762,1372.9554,
973.852,1352.607,
970.941,1367.5651,
968.030,1402.5136,
965.120,1369.3643,
962.209,1366.8066,
959.299,1379.1235,
956.388,1405.6536,
953.477,1420.7309,
950.567,1419.4207,
947.656,1422.9321,
944.746,1427.1798,
941.835,1418.4671,
938.925,1405.8462,
936.014,1393.2934,
933.103,1384.9626,
930.193,1377.1813,
927.282,1354.7252,
924.372,1324.2833,
921.461,1312.2746,
918.551,1312.8606,
915.640,1308.151,
912.729,1293.5446,
909.819,1278.0397,
906.908,1260.3488,
903.998,1281.6452,
901.087,1286.7385,
898.176,1304.9856,
895.266,1320.614,
892.355,1313.8303,
889.445,1332.2942,
886.534,1321.5217,
883.624,1320.0478,
880.713,1321.9061,
877.802,1265.3606,
874.892,1085.4102,
871.981,766.50831,
869.071,602.76738,
866.160,740.65528,
863.250,1040.7822,
860.339,1276.5188,
857.428,1327.401,
854.518,1302.2828,
851.607,1160.831,
848.697,986.43087,
845.786,960.41126,
842.875,1050.0595,
839.965,1172.5748,
837.054,1301.6355,
834.144,1324.8406,
831.233,1354.7065,
828.323,1363.913,
825.412,1357.4773,
822.501,1350.6303,
819.591,1346.4983,
816.680,1335.9583,
813.770,1310.1944,
810.859,1287.3502,
807.949,1277.7531,
805.038,1278.5874,
802.127,1255.5398,
799.217,1237.7218,
796.306,1233.5101,
793.396,1228.5352,
790.485,1223.5866,
787.574,1238.3786,
784.664,1212.135,
781.753,1219.4527,
778.843,1233.7064,
775.932,1239.2886,
773.022,1240.2365,
770.111,1290.9263,
767.200,1290.5684,
764.290,1285.3299,
761.379,1267.0142,
758.469,1251.1179,
755.558,1279.6213,
752.648,1254.3686,
749.737,1239.5832,
746.826,1235.7737,
743.916,1247.9855,
741.005,1274.7331,
738.095,1269.0499,
735.184,1256.219,
732.274,1215.614,
729.363,1202.2039,
726.452,1236.3053,
723.542,1219.308,
720.631,1186.2644,
717.721,1226.2126,
714.810,1245.8638,
711.899,1223.9592,
708.989,1252.2016,
706.078,1214.7138,
703.168,1221.1627,
700.257,1220.2356,
697.347,1203.2882,
694.436,1200.7061,
691.525,1249.7383,
688.615,1250.3124,
685.704,1228.834,
682.794,1217.0345,
679.883,1245.7354,
676.973,1253.7491,
674.062,1215.1758,
671.151,1206.4016,
668.241,1227.234,
665.330,1237.1691,
662.420,1253.9425,
659.509,1251.0257,
656.598,1256.8955,
653.688,1260.6334,
650.777,1230.4569,
647.867,1203.3818,
644.956,1140.4132,
642.046,1065.159,
639.135,1024.3053,
636.224,1084.7291,
633.314,1155.3896,
630.403,1204.7092,
627.493,1225.6069,
624.582,1229.4956,
621.672,1252.4634,
618.761,1261.7343,
615.850,1253.3552,
612.940,1241.9843,
610.029,1242.8989,
607.119,1276.0634,
604.208,1275.8249,
601.297,1254.4343,
598.387,1245.5537,
595.476,1271.7409,
592.566,1254.4254,
589.655,1243.6003,
586.745,1239.375,
583.834,1240.4729,
580.923,1244.4603,
578.013,1258.5855,
575.102,1277.2883,
572.192,1279.8002,
569.281,1273.3734,
566.371,1323.4613,
563.460,1326.9641,
560.549,1302.9856,
557.639,1284.0148,
554.728,1297.2563,
551.818,1263.7027,
548.907,1264.9068,
545.996,1287.8705,
543.086,1311.0132,
540.175,1290.7684,
537.265,1297.3421,
534.354,1302.8835,
531.444,1308.7189,
528.533,1317.0991,
525.622,1313.2194,
522.712,1326.3303,
519.801,1333.4656,
516.891,1333.1921,
513.980,1347.1294,
511.070,1359.6446,
508.159,1360.5545,
