,PLA2FA~1,
Raman shift [1/cm],Intensity,
1532.683,3461.0557,
1529.772,3437.5126,
1526.861,3420.1721,
1523.951,3411.8818,
1521.040,3408.2871,
1518.130,3412.4781,
1515.219,3424.5203,
1512.309,3399.8693,
1509.398,3382.7715,
1506.487,3453.6857,
1503.577,3400.4982,
1500.666,3413.2092,
1497.756,3396.559,
1494.845,3367.3202,
1491.934,3375.1638,
1489.024,3425.2134,
1486.113,3361.1677,
1483.203,3358.6645,
1480.292,3329.3021,
1477.382,3262.5731,
1474.471,3209.6311,
1471.560,3226.301,
1468.650,3194.637,
1465.739,3203.8221,
1462.829,3293.4085,
1459.918,3386.0943,
1457.008,3412.3691,
1454.097,3358.2464,
1451.186,3279.6325,
1448.276,3198.2478,
1445.365,3093.3167,
1442.455,3026.3405,
1439.544,2972.6493,
1436.633,2874.6882,
1433.723,2822.7598,
1430.812,2802.2165,
1427.902,2828.5343,
1424.991,2766.9297,
1422.081,2644.8105,
1419.170,2667.6984,
1416.259,2648.6981,
1413.349,2662.6363,
1410.438,2658.5033,
1407.528,2639.1939,
1404.617,2645.0911,
1401.707,2630.0928,
1398.796,2643.874,
1395.885,2689.3741,
1392.975,2676.1033,
1390.064,2602.3886,
1387.154,2491.2973,
1384.243,2401.6542,
1381.332,2386.8452,
1378.422,2478.589,
1375.511,2567.5832,
1372.601,2736.7258,
1369.690,2844.4372,
1366.780,2873.4646,
1363.869,2970.7155,
1360.958,3040.9915,
1358.048,3091.6321,
1355.137,3150.7979,
1352.227,3233.4121,
1349.316,3271.7809,
1346.406,3262.0325,
1343.495,3345.3729,
1340.584,3455.7142,
1337.674,3453.64,
1334.763,3414.3281,
1331.853,3554.34,
1328.942,3586.6839,
1326.032,3582.6594,
1323.121,3648.4278,
1320.210,3710.6234,
1317.300,3789.6134,
1314.389,3875.7092,
1311.479,3972.6112,
1308.568,4095.8011,
1305.657,4226.8054,
1302.747,4330.0986,
1299.836,4379.5136,
1296.926,4482.5375,
1294.015,4623.194,
1291.105,4637.8054,
1288.194,4721.2705,
1285.283,4762.0481,
1282.373,4830.7498,
1279.462,4906.6267,
1276.552,4976.2364,
1273.641,5022.5553,
1270.731,5050.2881,
1267.820,5083.835,
1264.909,5027.5716,
1261.999,5034.7724,
1259.088,4918.9331,
1256.178,4830.6366,
1253.267,4786.3122,
1250.356,4665.2531,
1247.446,4549.8069,
1244.535,4471.8081,
1241.625,4374.0224,
1238.714,4241.1457,
1235.804,4129.4079,
1232.893,4032.2697,
1229.982,3941.4975,
1227.072,3897.1372,
1224.161,3751.9549,
1221.251,3680.3294,
1218.340,3583.3757,
1215.430,3531.843,
1212.519,3488.421,
1209.608,3447.9613,
1206.698,3446.787,
1203.787,3430.0855,
1200.877,3503.7303,
1197.966,3547.7891,
1195.055,3645.5638,
1192.145,3763.4314,
1189.234,3862.528,
1186.324,4002.1918,
1183.413,4092.0914,
1180.503,4086.2196,
1177.592,4055.3836,
1174.681,4008.0034,
1171.771,3943.6922,
1168.860,3843.6662,
1165.950,3770.3031,
1163.039,3715.191,
1160.129,3690.9217,
1157.218,3756.1875,
1154.307,3861.311,
1151.397,3937.0679,
1148.486,4024.3372,
1145.576,4097.8413,
1142.665,4048.1182,
1139.754,4007.3867,
1136.844,3907.9606,
1133.933,3871.9325,
1131.023,3856.0604,
1128.112,3801.7193,
1125.202,3737.5845,
1122.291,3731.128,
1119.380,3739.0606,
1116.470,3745.2383,
1113.559,3727.442,
1110.649,3723.3097,
1107.738,3672.5615,
1104.828,3588.0544,
1101.917,3540.2844,
1099.006,3545.8045,
1096.096,3476.9036,
1093.185,3442.6615,
1090.275,3490.984,
1087.364,3468.0077,
1084.453,3503.7467,
1081.543,3577.743,
1078.632,3627.8947,
1075.722,3643.7522,
1072.811,3648.7375,
1069.901,3673.1888,
1066.990,3637.8168,
1064.079,3650.0959,
1061.169,3704.1841,
1058.258,3703.1568,
1055.348,3645.945,
1052.437,3622.7684,
1049.527,3589.7245,
1046.616,3556.709,
1043.705,3530.6478,
1040.795,3516.3379,
1037.884,3514.5287,
1034.974,3519.2345,
1032.063,3519.6617,
1029.153,3513.8815,
1026.242,3554.5345,
1023.331,3556,
1020.421,3621.5275,
1017.510,3690.3399,
1014.600,3795.5898,
1011.689,3902.8417,
1008.778,3920.4398,
1005.868,3923.4711,
1002.957,3975.9527,
1000.047,4080.824,
997.136,4158.1128,
994.226,4177.6309,
991.315,4127.9431,
988.404,4030.1373,
985.494,3972.0053,
982.583,3882.9234,
979.673,3849.5139,
976.762,3830.258,
973.852,3830.3982,
970.941,3830.9231,
968.030,3815.1157,
965.120,3860.8425,
962.209,3823.3306,
959.299,3895.6157,
956.388,3936.3995,
953.477,3932.3133,
950.567,3923.797,
947.656,3942.3315,
944.746,3937.2342,
941.835,3955.6257,
938.925,3952.7614,
936.014,3955.5757,
933.103,3945.0515,
930.193,3897.8197,
927.282,3829.8378,
924.372,3771.491,
921.461,3696.9876,
918.551,3649.7627,
915.640,3626.6258,
912.729,3593.5796,
909.819,3531.0034,
906.908,3561.3307,
903.998,3582.0887,
901.087,3610.5507,
898.176,3611.5929,
895.266,3635.7705,
892.355,3727.2089,
889.445,3781.7613,
886.534,3783.6697,
883.624,3808.222,
880.713,3824.0828,
877.802,3830.4317,
874.892,3829.6684,
871.981,3806.1578,
869.071,3812.8411,
866.160,3793.3012,
863.250,3804.4439,
860.339,3846.6263,
857.428,3884.4086,
854.518,3864.1575,
851.607,3835.0351,
848.697,3842.3807,
845.786,3805.4448,
842.875,3782.7783,
839.965,3819.5681,
837.054,3845.4,
834.144,3881.0364,
831.233,3932.6634,
828.323,3950.0543,
825.412,3934.0533,
822.501,3911.1489,
819.591,3911.9753,
816.680,3846.2948,
813.770,3851.9276,
810.859,3855.5239,
807.949,3838.7634,
805.038,3822.6106,
802.127,3802.8556,
799.217,3751.0588,
796.306,3730.5946,
793.396,3711.2594,
790.485,3683.1048,
787.574,3675.097,
784.664,3651.3138,
781.753,3670.4844,
778.843,3691.8016,
775.932,3718.975,
773.022,3757.3804,
770.111,3759.8331,
767.200,3779.7941,
764.290,3786.5779,
761.379,3790.5448,
758.469,3776.7475,
755.558,3703.7569,
752.648,3695.6108,
749.737,3637.8601,
746.826,3551.5872,
743.916,3435.3434,
741.005,3272.9295,
738.095,3015.5646,
735.184,2663.2231,
732.274,2538.1554,
729.363,2736.3499,
726.452,3169.8001,
723.542,3434.4717,
720.631,3507.8695,
717.721,3569.5363,
714.810,3602,
711.899,3598.6139,
708.989,3584.0892,
706.078,3628.873,
703.168,3610.8534,
700.257,3578.7977,
697.347,3556.3047,
694.436,3542.1708,
691.525,3511.6262,
688.615,3520.7228,
685.704,3521.7978,
682.794,3511.9362,
679.883,3516.1173,
676.973,3540.9598,
674.062,3551.1047,
671.151,3557.945,
668.241,3566.812,
665.330,3580.7395,
662.420,3617.4812,
659.509,3668.1753,
656.598,3693.4327,
653.688,3692.6197,
650.777,3689.4851,
647.867,3733.2832,
644.956,3702.7552,
642.046,3667.2204,
639.135,3661.0132,
636.224,3695.1432,
633.314,3723.725,
630.403,3761.1517,
627.493,3746.6651,
624.582,3694.944,
621.672,3717.1198,
618.761,3671.6437,
615.850,3684.5494,
612.940,3728.1751,
610.029,3767.0272,
607.119,3755.1827,
604.208,3776.0104,
601.297,3764.5608,
598.387,3749.446,
595.476,3760.4002,
592.566,3732.8528,
589.655,3753.2677,
586.745,3766.1321,
583.834,3749.4095,
580.923,3693.8247,
578.013,3664.7895,
575.102,3736.1552,
572.192,3838.2314,
569.281,3919.0932,
566.371,3936.3109,
563.460,3986.6773,
560.549,3980.1997,
557.639,3945.2859,
554.728,3930.991,
551.818,3994.1966,
548.907,4034.2048,
545.996,4037.0036,
543.086,4022.3816,
540.175,4056.642,
537.265,4081.4527,
534.354,4043.3428,
531.444,4029.3243,
528.533,4108.3647,
525.622,4043.1851,
522.712,4041.1351,
519.801,4071.149,
516.891,4115.9208,
513.980,4160.0557,
511.070,4123.1479,
508.159,4121.7597,
505.248,4154.0217,
502.338,4200.4911,
499.427,4251.432,
496.517,4242.3738,
493.606,4240.8151,
490.695,4265.153,
487.785,4215.8864,
484.874,4206.0613,
481.964,4227.8403,
479.053,4251.1748,
476.143,4214.3126,
473.232,4227.1075,
470.321,4218.4027,
467.411,4207.0522,
464.500,4218.903,
461.590,4215.0743,
458.679,4247.0177,
455.769,4286.9176,
452.858,4315,
449.947,4315,
447.037,4333.2028,
444.126,4318.0121,
441.216,4277.4238,
438.305,4308.663,
435.395,4328.7353,
432.484,4328.2482,
429.573,4326.2951,
426.663,4370.3833,
423.752,4371.2103,
420.842,4365.8898,
417.931,4380.6077,
415.020,4449.6182,
412.110,4544.9149,
409.199,4603.9388,
406.289,4641.561,
403.378,4676.6747,
400.468,4580.6634,
397.557,4534.5755,
394.646,4511.1116,
391.736,4482.7264,
388.825,4349.2274,
385.915,4267.9567,
383.004,4254.4146,
380.094,4318.4896,
377.183,4426.0938,
374.272,4565.0989,
371.362,4679.0746,
368.451,4731.7265,
365.541,4727.2232,
362.630,4739.656,
359.719,4766.0943,
356.809,4800.822,
353.898,4781.3532,
350.988,4731.5161,
348.077,4705.6164,
345.167,4733.8108,
342.256,4730.0755,
339.345,4709.8684,
336.435,4733.5285,
333.524,4838.9765,
330.614,4838.2314,
327.703,4853.9156,
324.793,4870.0312,
321.882,4873.1749,
318.971,4945.2888,
316.061,5032.5042,
313.150,5104.2357,
310.240,5124.2728,
307.329,5174.3099,
304.418,5218.6215,
301.508,5238.7446,
298.597,5203.945,
295.687,5105.5091,
292.776,5142.9171,
289.866,5311.312,
286.955,5559.5238,
284.044,5852.4272,
281.134,6162.3346,
278.223,6456.5562,
275.313,6603.9272,
272.402,6809.8519,
269.492,6992.0829,
266.581,7123.405,
263.670,7268.9707,
260.760,7385.1784,
257.849,7510.4845,
254.939,7674.8742,
252.028,7683.5146,
249.117,7690.1114,
246.207,7691.4012,
243.296,7677.4925,
240.386,7613.3128,
237.475,7514.6882,
234.565,7402.4077,
231.654,7354.2024,
228.743,7262.8731,
225.833,7182.8768,
222.922,7131.0206,
220.012,7002.7949,
217.101,6905.5491,
214.191,6814.5603,
211.280,6703.2585,
208.369,6684.235,
205.459,6661.0337,
202.548,6633.8747,
199.638,6633.149,
196.727,6614.5611,
193.816,6600.0969,
190.906,6599.6507,
187.995,6646.7123,
185.085,6667.7286,
182.174,6684.753,
179.264,6728.119,
176.353,6752.2234,
173.442,6735.8082,
170.532,6687.0759,
167.621,6679.1452,
164.711,6631.8012,
161.800,6503.9993,
158.890,6249.2158,
155.979,5817.9563,
153.068,5358.2159,
150.158,4852.1129,
147.247,4194.4687,
144.337,3480.8808,
141.426,2759.4409,
138.516,2051.1523,
135.605,1475.9381,
132.694,1004.2397,
129.784,640.0253,
126.873,429.77712,
123.963,289.11994,
121.052,197.15278,
118.141,152.17695,
115.231,115.76091,
112.320,91.68001,
109.410,77.909158,
106.499,72.211916,
103.589,63.716692,
100.678,57.456757,
97.767,56.034881,
94.857,51.842066,
91.946,49.193778,
89.036,45.742042,
86.125,31.557936,
83.215,38.087487,
80.304,44.605673,
77.393,37.523974,
74.483,30.44865,
