,PLFC95~1,
Raman shift [1/cm],Intensity,
1160.129,1248.7464,
1157.218,1248.9045,
1154.307,1251.7279,
1151.397,1290.6407,
1148.486,1332.0029,
1145.576,1314.229,
1142.665,1296.4708,
1139.754,1278.7274,
1136.844,1314.217,
1133.933,1319.2699,
1131.023,1279.8417,
1128.112,1248.2138,
1125.202,1263.6618,
1122.291,1289.3625,
1119.380,1256.8181,
1116.470,1238.285,
1113.559,1257.651,
1110.649,1247.6289,
1107.738,1237.9284,
1104.828,1231.5907,
1101.917,1217.7867,
1099.006,1206.6803,
1096.096,1222.7099,
1093.185,1201.6379,
1090.275,1211.3298,
1087.364,1200.9637,
1084.453,1223.6857,
1081.543,1244.2471,
1078.632,1252.0286,
1075.722,1274.9403,
1072.811,1276.7041,
1069.901,1244.3934,
1066.990,1258.1666,
1064.079,1278.3323,
1061.169,1305.3305,
1058.258,1308.7189,
1055.348,1289.9423,
1052.437,1286.1479,
1049.527,1291.0937,
1046.616,1267.6353,
1043.705,1244.1893,
1040.795,1260.9862,
1037.884,1281.0803,
1034.974,1280.1791,
1032.063,1267.7154,
1029.153,1270.727,
1026.242,1276.7817,
1023.331,1281.9997,
1020.421,1299.0333,
1017.510,1327.8508,
1014.600,1366.9924,
1011.689,1390.1583,
1008.778,1371.8271,
1005.868,1365.6487,
1002.957,1437.9184,
1000.047,1468.656,
997.136,1472.476,
994.226,1458.4002,
991.315,1438.5198,
988.404,1470.4237,
985.494,1694.9365,
982.583,1468.8056,
979.673,1397.9544,
976.762,1382.8258,
973.852,1392.6082,
970.941,1395.9231,
968.030,1375.7573,
965.120,1396.9248,
962.209,1379.0214,
959.299,1414.2455,
956.388,1416.0009,
953.477,1405.411,
950.567,1410.967,
947.656,1424.3315,
944.746,1419.2342,
941.835,1402.8037,
938.925,1424.664,
936.014,1421.3077,
933.103,1408.884,
930.193,1409.0085,
927.282,1379.5793,
924.372,1353.3655,
921.461,1339.6904,
918.551,1345.2949,
915.640,1339.6766,
912.729,1321.9266,
909.819,1315.5527,
906.908,1289.4375,
903.998,1318.2238,
901.087,1337.4571,
898.176,1332.0701,
895.266,1331.696,
892.355,1367.6383,
889.445,1413.798,
886.534,1398.1374,
883.624,1413.8393,
880.713,1391.3579,
877.802,1379.4118,
874.892,1413.2646,
871.981,1409.5265,
869.071,1389.4766,
866.160,1400.4892,
863.250,1394.9433,
860.339,1385.7899,
857.428,1384.9825,
854.518,1368.0963,
851.607,1371.4246,
848.697,1375.4391,
845.786,1380.1138,
842.875,1387.1946,
839.965,1398.4127,
837.054,1414.2698,
834.144,1438.3036,
831.233,1422.3348,
828.323,1406.5597,
825.412,1398.7463,
822.501,1401.0002,
819.591,1439.8409,
816.680,1416.9615,
813.770,1404.1085,
810.859,1382.4016,
807.949,1371.4732,
805.038,1396.8097,
802.127,1378.7009,
799.217,1374.0184,
796.306,1384.3514,
793.396,1376.2594,
790.485,1352.1058,
787.574,1360.3114,
784.664,1368.5125,
781.753,1359.9352,
778.843,1367.2521,
775.932,1388.0246,
773.022,1402.4497,
770.111,1379.5575,
