,PLBCE1~1,
Wavenumbers [1/cm],Intensity,
1244.535,1758.5358,
1241.625,1708.8908,
1238.714,1666.1251,
1235.804,1616.0171,
1232.893,1568.8802,
1229.982,1543.9928,
1227.072,1506.875,
1224.161,1483.2374,
1221.251,1476.272,
1218.340,1425.3685,
1215.430,1382.2845,
1212.519,1361.1003,
1209.608,1356.2113,
1206.698,1366.782,
1203.787,1371.5616,
1200.877,1372.9714,
1197.966,1368.4756,
1195.055,1427.1242,
1192.145,1484.5846,
1189.234,1540.4751,
1186.324,1568.2506,
1183.413,1571.4835,
1180.503,1570.2618,
1177.592,1563.8862,
1174.681,1530.6747,
1171.771,1492.2706,
1168.860,1493.1637,
1165.950,1471.4802,
1163.039,1476.0276,
1160.129,1464.9138,
1157.218,1449.9234,
1154.307,1447.1051,
1151.397,1443.4723,
1148.486,1429.495,
1145.576,1457.7466,
1142.665,1423.118,
1139.754,1441.4043,
1136.844,1415.4367,
1133.933,1423.9507,
1131.023,1442.5547,
1128.112,1441.6078,
1125.202,1442.4287,
1122.291,1474.2581,
1119.380,1495.1547,
1116.470,1485.4469,
1113.559,1478.064,
1110.649,1505.7181,
1107.738,1503.568,
1104.828,1501.5652,
1101.917,1493.6217,
1099.006,1435.1571,
1096.096,1458.3038,
1093.185,1459.1818,
1090.275,1473.8169,
1087.364,1471.761,
1084.453,1463.6254,
1081.543,1481.5993,
1078.632,1503.9821,
1075.722,1493.6351,
1072.811,1507.9397,
1069.901,1503.5734,
1066.990,1529.1166,
1064.079,1523.0008,
1061.169,1522.2207,
1058.258,1531.7553,
1055.348,1543.9533,
1052.437,1553.1182,
1049.527,1542.0822,
1046.616,1537.738,
1043.705,1540.3331,
1040.795,1549.5506,
1037.884,1548.1811,
1034.974,1549.6985,
1032.063,1570.5959,
1029.153,1593.8225,
1026.242,1565.279,
1023.331,1612.5802,
1020.421,1624.3413,
1017.510,1615.7253,
1014.600,1636.5863,
1011.689,1660.1413,
1008.778,1622.6898,
1005.868,1625.7906,
1002.957,1686.0154,
1000.047,1738.202,
997.136,1827.0784,
994.226,1863.9733,
991.315,1841.3787,
988.404,1815.334,
985.494,1738.8829,
982.583,1767.1493,
979.673,1768.3234,
976.762,1748.4627,
973.852,1746.7423,
970.941,1759.7681,
968.030,1754.7471,
965.120,1746.4684,
962.209,1798.4734,
959.299,1798.0428,
956.388,1802.6495,
953.477,1796.5081,
950.567,1788.9684,
947.656,1814.0137,
944.746,1774.0846,
