,PLA4EC~1,
Raman shift [1/cm],Intensity,
1122.291,2803.1166,
1119.380,2781.6398,
1116.470,2821.3535,
1113.559,2844.0347,
1110.649,2861.0372,
1107.738,2850.6396,
1104.828,2826.6797,
1101.917,2824.1972,
1099.006,2852.7035,
1096.096,2862.4224,
1093.185,2832.5703,
1090.275,2879.6155,
1087.364,2830.8712,
1084.453,2833.6231,
1081.543,2848.9238,
1078.632,2842.3241,
1075.722,2855.9515,
1072.811,2876.8085,
1069.901,2884.6678,
1066.990,2886.0583,
1064.079,2961.1065,
1061.169,2991.8316,
1058.258,2989.097,
1055.348,2991.4258,
1052.437,3002.1214,
1049.527,3041.9479,
1046.616,3034.1284,
1043.705,3033.25,
1040.795,3053.0436,
1037.884,3034.4115,
1034.974,3022.009,
1032.063,3051.9192,
1029.153,3056.0037,
1026.242,3045.6242,
1023.331,3076.0814,
1020.421,3124.0761,
1017.510,3147.2925,
1014.600,3167.3213,
1011.689,3193.5261,
1008.778,3218.7645,
1005.868,3304.0299,
1002.957,3390.9257,
1000.047,3493.066,
997.136,3599.0784,
994.226,3645.7885,
991.315,3607.3688,
988.404,3525.9269,
985.494,3491.8307,
982.583,3428.4455,
979.673,3406.0804,
976.762,3340.1914,
973.852,3310.0683,
970.941,3327.4355,
968.030,3326.1921,
965.120,3303.293,
962.209,3313.5235,
959.299,3357.745,
956.388,3364.6107,
953.477,3349.2625,
950.567,3349.4455,
947.656,3378.9185,
944.746,3384.0158,
941.835,3398.8266,
938.925,3406.8564,
936.014,3421.3898,
933.103,3426.1881,
930.193,3400.4656,
927.282,3348.1959,
924.372,3328.747,
921.461,3306.3672,
918.551,3269.6224,
915.640,3221.9035,
912.729,3182.7614,
909.819,3170.0251,
906.908,3145.5947,
903.998,3172.0877,
901.087,3178.6135,
898.176,3210.6993,
895.266,3242.7586,
892.355,3252.8407,
889.445,3346.8386,
886.534,3361.4428,
883.624,3356.176,
880.713,3376.7471,
877.802,3401.6396,
874.892,3393.403,
871.981,3344.086,
869.071,3294.7967,
866.160,3339.3769,
863.250,3354.3386,
860.339,3353.0515,
857.428,3358.9368,
854.518,3331.8889,
851.607,3319.4079,
848.697,3295.9277,
845.786,3286.769,
842.875,3304.0283,
839.965,3327.1672,
837.054,3290.985,
834.144,3356.4564,
831.233,3353.2512,
828.323,3348.2174,
825.412,3333.864,
822.501,3293.5265,
819.591,3272.8665,
816.680,3228.1794,
813.770,3177.7803,
810.859,3149.2864,
807.949,3145.4549,
805.038,3152.3451,
802.127,3161.3995,
799.217,3151.0691,
796.306,3123.412,
793.396,3100.1889,
790.485,3098.778,
787.574,3121.5997,
784.664,3078.1338,
781.753,3112.522,
778.843,3105.3153,
775.932,3084.2746,
773.022,3108.4631,
770.111,3148.5244,
767.200,3151.25,
764.290,3131.6022,
761.379,3124.7335,
758.469,3132.4832,
755.558,3117.2775,
752.648,3084.6933,
749.737,3034.5131,
746.826,2992.1349,
743.916,2942.886,
741.005,2851.8915,
738.095,2671.6548,
735.184,2482.926,
732.274,2448.8556,
729.363,2568.0235,
726.452,2773.0237,
723.542,2926.8085,
720.631,2989.5323,
717.721,3003.9586,
714.810,3034.6077,
711.899,3080.4777,
708.989,3051.4284,
706.078,3074.4878,
703.168,3072.3561,
700.257,3052.81,
697.347,3023.7726,
694.436,2993.0536,
691.525,2985.8194,
688.615,2969.785,
685.704,2970.7473,
682.794,2993.3137,
679.883,3024.4839,
676.973,2985.2167,
674.062,2961.936,
671.151,2987.0014,
668.241,3029.0588,
665.330,3024.418,
662.420,3006.8459,
659.509,3012.774,
656.598,3015.6535,
653.688,3009.7195,
650.777,3002.3031,
647.867,3033.3599,
644.956,3035.2968,
642.046,3028.104,
639.135,3021.202,
636.224,3017.3853,
633.314,3044.3792,
630.403,3062.483,
627.493,3070.25,
624.582,3079.7849,
621.672,3122.5525,
618.761,3109.0512,
615.850,3125.7385,
612.940,3138.81,
610.029,3133.1435,
607.119,3150.5154,
604.208,3113.1993,
601.297,3112.704,
598.387,3130.8297,
595.476,3137.25,
592.566,3137.25,
589.655,3172.884,
586.745,3184.4386,
583.834,3158.0008,
580.923,3100.0415,
578.013,3065.5132,
575.102,3033.8801,
572.192,3036.1861,
569.281,3076.8582,
566.371,3113.6415,
563.460,3151.8179,
560.549,3183.792,
557.639,3198.2216,
554.728,3187.0529,
551.818,3183.9317,
548.907,3202.1418,
545.996,3209.1957,
543.086,3206.6184,
540.175,3231.5351,
537.265,3257.8755,
534.354,3258.2196,
531.444,3259.2817,
528.533,3285.0845,
525.622,3282.7566,
522.712,3297.4188,
519.801,3332.836,
516.891,3376.9106,
513.980,3390.0736,
511.070,3429.9891,
508.159,3476.3367,
505.248,3521.017,
502.338,3556.1596,
499.427,3553.0723,
496.517,3598.6338,
493.606,3624.4917,
490.695,3601.6125,
487.785,3575.4396,
484.874,3628.1177,
481.964,3654.6819,
479.053,3643.102,
476.143,3621.599,
473.232,3613.056,
470.321,3612.1963,
467.411,3619.0619,
464.500,3632.2222,
461.590,3591.6379,
458.679,3604.463,
455.769,3621.0994,
452.858,3613.6933,
449.947,3608.3457,
447.037,3660.0382,
444.126,3663.9349,
441.216,3611.8531,
438.305,3609.5673,
435.395,3611.2169,
432.484,3620.1683,
429.573,3634.8,
426.663,3650.0029,
423.752,3617.0765,
420.842,3593.1163,
417.931,3588.7141,
415.020,3611.4648,
412.110,3667.8526,
409.199,3745.9516,
406.289,3802.5603,
403.378,3791.2961,
400.468,3804.904,
397.557,3782.5142,
394.646,3735.1637,
391.736,3673.1494,
388.825,3607.5313,
385.915,3624.9714,
383.004,3636.1198,
380.094,3591.8492,
377.183,3760.4038,
374.272,3843.0735,
371.362,3890.321,
