,PL6CF5~1,
Wavenumbers [1/cm],Intensity,
1698.586,1187.6638,
1695.675,1197.8571,
1692.764,1160.6311,
1689.854,1208.2481,
1686.943,1195.0396,
1684.033,1252.0347,
1681.122,1242.6869,
1678.211,1232.5952,
1675.301,1275.3674,
1672.390,1338.3056,
1669.480,1274.0295,
1666.569,1339.3476,
1663.659,1328.4473,
1660.748,1385.8856,
1657.837,1405.1282,
1654.927,1388.828,
1652.016,1403.5206,
1649.106,1445.5772,
1646.195,1490.0345,
1643.285,1551.748,
1640.374,1520.3362,
1637.463,1561.3375,
1634.553,1661.101,
1631.642,1635.2492,
1628.732,1704.134,
1625.821,1810.5831,
1622.911,1936.7843,
1620.000,2032.2905,
1617.089,2156.9925,
1614.179,2292.6365,
1611.268,2389.8937,
1608.358,2488.8177,
1605.447,2631.1583,
1602.536,2735.4844,
1599.626,2697.4233,
1596.715,2712.5596,
1593.805,2677.8324,
1590.894,2616.2564,
1587.984,2637.081,
1585.073,2629.5886,
1582.162,2559.0393,
1579.252,2484.1274,
1576.341,2400.0064,
1573.431,2413.827,
1570.520,2419.4425,
1567.610,2393.1663,
1564.699,2380.1498,
1561.788,2343.9933,
1558.878,2315.162,
1555.967,2304.536,
1553.057,2270.6038,
1550.146,2189.8165,
1547.235,2195.9551,
1544.325,2172.6434,
1541.414,2125.6395,
1538.504,2096.8375,
1535.593,2023.3478,
1532.683,2000.3606,
1529.772,2006.1755,
1526.861,1947.7859,
1523.951,1918.8727,
1521.040,1906.1397,
1518.130,1884.5506,
1515.219,1887.3405,
1512.309,1868.7748,
1509.398,1853.8404,
1506.487,1842.7198,
1503.577,1881.0448,
1500.666,1766.909,
1497.756,1847.059,
1494.845,1815.659,
1491.934,1771.5094,
1489.024,1774.3969,
1486.113,1813.4431,
1483.203,1754.3283,
1480.292,1715.9536,
1477.382,1686.2526,
1474.471,1705.0561,
1471.560,1699.438,
1468.650,1707.4822,
1465.739,1690.4424,
1462.829,1660.7891,
1459.918,1651.71,
1457.008,1633.6997,
1454.097,1631.1377,
1451.186,1623.0532,
1448.276,1607.0071,
1445.365,1627.8183,
1442.455,1597.6063,
1439.544,1614.9296,
1436.633,1609.3252,
1433.723,1610.494,
1430.812,1622.0619,
1427.902,1592.1088,
1424.991,1617.6984,
1422.081,1568.9562,
1419.170,1581.7812,
1416.259,1552.0975,
1413.349,1518.8218,
1410.438,1544.0894,
1407.528,1570.7311,
1404.617,1541.098,
1401.707,1522.9192,
1398.796,1549.7971,
1395.885,1566.7125,
1392.975,1576.5633,
1390.064,1606.5569,
1387.154,1585.714,
1384.243,1545.6734,
1381.332,1581.7879,
1378.422,1674.0941,
1375.511,1705.0078,
1372.601,1676.9313,
1369.690,1750.7928,
1366.780,1742.1151,
1363.869,1823.6772,
1360.958,1828.7709,
1358.048,1857.2184,
1355.137,1914.3613,
1352.227,1971.5263,
1349.316,2017.2766,
1346.406,2032.3738,
1343.495,2042.4861,
1340.584,2063.2494,
1337.674,2112.0761,
1334.763,2183.006,
1331.853,2170.0248,
1328.942,2242.4361,
1326.032,2236.8188,
1323.121,2260.9157,
1320.210,2306.4597,
1317.300,2373.4893,
1314.389,2411.6112,
1311.479,2471.4219,
1308.568,2558.9452,
1305.657,2625.2721,
1302.747,2740.6752,
1299.836,2808.9226,
1296.926,2842.5937,
1294.015,2887.6406,
1291.105,2878.9335,
1288.194,2956.5756,
1285.283,3036.6443,
1282.373,3100.9999,
1279.462,3167.3227,
1276.552,3235.4844,
1273.641,3311.8402,
1270.731,3394.2,
1267.820,3457.7036,
1264.909,3511.4003,
1261.999,3450.1699,
1259.088,3386.3214,
1256.178,3279.7252,
1253.267,3223.373,
1250.356,3157.3197,
1247.446,3069.3069,
1244.535,2984.8662,
1241.625,2892.6335,
1238.714,2779.5139,
1235.804,2678.8982,
1232.893,2612.5108,
1229.982,2562.6107,
1227.072,2536.3567,
1224.161,2454.6521,
1221.251,2397.063,
1218.340,2359.1788,
1215.430,2314.0184,
1212.519,2293.8386,
1209.608,2274.9218,
1206.698,2236.2024,
1203.787,2259.0477,
1200.877,2231.3388,
1197.966,2261.011,
1195.055,2331.6131,
1192.145,2456.2015,
1189.234,2536.9691,
1186.324,2555.5904,
1183.413,2562.5406,
1180.503,2571.4412,
1177.592,2557.3181,
1174.681,2531.4624,
1171.771,2448.3352,
1168.860,2441.1904,
1165.950,2417.1176,
1163.039,2417.7856,
1160.129,2415.1913,
1157.218,2389.3861,
1154.307,2357.3374,
1151.397,2337.7651,
1148.486,2331.2407,
1145.576,2385.5749,
1142.665,2364.2649,
1139.754,2387.7225,
1136.844,2366.8885,
1133.933,2296.2629,
1131.023,2291.7956,
1128.112,2347.7836,
1125.202,2372.7754,
1122.291,2372.1294,
1119.380,2383.448,
1116.470,2378.1529,
1113.559,2423.1217,
1110.649,2428.6419,
1107.738,2424.5,
1104.828,2393.7086,
1101.917,2344.8785,
1099.006,2329.0465,
1096.096,2314.8661,
1093.185,2271.844,
1090.275,2298.443,
1087.364,2302.7555,
1084.453,2353.8092,
1081.543,2391.8707,
1078.632,2380.6651,
1075.722,2372.715,
1072.811,2413.6169,
1069.901,2429.3356,
1066.990,2459.5999,
1064.079,2463.0974,
1061.169,2479.1736,
1058.258,2494.7705,
1055.348,2503.261,
1052.437,2511.9565,
1049.527,2472.9629,
1046.616,2459.0617,
1043.705,2505.2874,
1040.795,2499.7064,
1037.884,2494.5689,
1034.974,2499.3827,
1032.063,2507.2766,
1029.153,2534.5532,
1026.242,2501.6849,
1023.331,2543.8306,
1020.421,2577.5957,
1017.510,2628.2796,
1014.600,2666.6898,
1011.689,2689.8983,
1008.778,2725.6992,
1005.868,2738.5463,
1002.957,2743.7085,
1000.047,2877.7241,
997.136,2970.9621,
994.226,2979.6388,
991.315,2947.0198,
988.404,2925.745,
985.494,2880.7685,
982.583,2892.7603,
979.673,2847.6746,
976.762,2828.7387,
973.852,2850.4845,
970.941,2867.6448,
968.030,2848.3672,
965.120,2898.4893,
962.209,2895.9316,
959.299,2877.0855,
956.388,2868.94,
953.477,2889.4624,
950.567,2928.3884,
947.656,2948.3751,
944.746,2909.2955,
941.835,2937.4631,
938.925,2910.9394,
936.014,2901.5932,
933.103,2896.0824,
930.193,2868.9032,
927.282,2856.3919,
924.372,2817.494,
921.461,2755.7972,
918.551,2708.7771,
915.640,2670.8025,
912.729,2633.424,
909.819,2603.3913,
906.908,2625.2944,
903.998,2585.9364,
901.087,2592.0492,
898.176,2607.7035,
895.266,2635.7657,
892.355,2692.3371,
889.445,2750.2466,
886.534,2732.9677,
883.624,2781.9809,
880.713,2792.1893,
877.802,2750.4035,
874.892,2691.4107,
871.981,2656.5061,
869.071,2699.1122,
866.160,2706.5,
863.250,2722.7503,
860.339,2746.8073,
857.428,2755.0824,
854.518,2718.2001,
851.607,2673.2684,
848.697,2706.0812,
845.786,2706.8552,
842.875,2721.2603,
839.965,2777.6019,
837.054,2773.714,
834.144,2792.7753,
831.233,2801.1663,
828.323,2809.4349,
825.412,2806.485,
822.501,2779.4573,
819.591,2734.8317,
816.680,2731.8974,
813.770,2696.4159,
810.859,2675.5,
807.949,2668.8853,
805.038,2647.9159,
802.127,2618.2833,
799.217,2590.1567,
796.306,2578.0946,
793.396,2554.4769,
790.485,2517.2884,
787.574,2503.0569,
784.664,2544.0625,
781.753,2542.1062,
778.843,2545.3413,
775.932,2554.4259,
773.022,2562.0791,
770.111,2598.0525,
767.200,2585.2738,
764.290,2631.9311,
761.379,2639.1722,
758.469,2595.2205,
755.558,2604.5032,
752.648,2571.1044,
749.737,2560.5833,
746.826,2564.5609,
743.916,2569.2662,
741.005,2565.7009,
738.095,2585.186,
735.184,2569.6235,
732.274,2493.0815,
729.363,2437.5608,
726.452,2459.8321,
723.542,2505.9675,
720.631,2513.8518,
717.721,2522.3741,
714.810,2515.3183,
711.899,2498.5099,
708.989,2511.4207,
706.078,2513.9039,
703.168,2490.2112,
700.257,2472.0246,
697.347,2458.7184,
694.436,2424.1765,
691.525,2449.0944,
688.615,2459.5313,
685.704,2462.0683,
682.794,2469.2233,
679.883,2494.8965,
676.973,2503.7116,
674.062,2545.0611,
671.151,2555.2268,
668.241,2530.2083,
665.330,2500.8025,
662.420,2507.1924,
659.509,2514.2144,
656.598,2527.886,
653.688,2551.1618,
650.777,2581.5558,
647.867,2524.2202,
644.956,2486.734,
642.046,2454.0869,
639.135,2431.1769,
636.224,2437.9217,
633.314,2522.0792,
