,PLD6D5~1,
Raman shift [1/cm],Intensity,
1576.341,4041.2899,
1573.431,4088.0289,
1570.520,4048.0467,
1567.610,4039.3163,
1564.699,4023.5242,
1561.788,3926.9392,
1558.878,3855.2368,
1555.967,3793.1285,
1553.057,3736.2029,
1550.146,3668.826,
1547.235,3604.7264,
1544.325,3542.9188,
1541.414,3481.5116,
1538.504,3430.7401,
1535.593,3364.5527,
1532.683,3284.8392,
1529.772,3238.0439,
1526.861,3223.1447,
1523.951,3197.8571,
1521.040,3157.4127,
1518.130,3124.5347,
1515.219,3092.7754,
1512.309,3068.2173,
1509.398,3026.8486,
1506.487,2989.4616,
1503.577,2996.5793,
1500.666,3005.6815,
1497.756,2971.6456,
1494.845,2913.7347,
1491.934,2898.2207,
1489.024,2851.0585,
1486.113,2850.3022,
1483.203,2737.5777,
1480.292,2800.5895,
1477.382,2746.4822,
1474.471,2721.9338,
1471.560,2725.906,
1468.650,2701.7273,
1465.739,2673.3627,
1462.829,2669.7464,
1459.918,2636.3581,
1457.008,2667.2989,
1454.097,2676.4619,
1451.186,2626.6922,
1448.276,2639.8509,
1445.365,2655.8774,
1442.455,2678.9086,
1439.544,2660.5612,
1436.633,2643.5299,
1433.723,2621.6363,
1430.812,2590.5726,
1427.902,2529.7662,
1424.991,2504.1766,
1422.081,2467.5934,
1419.170,2460.9188,
1416.259,2485.487,
1413.349,2466.452,
1410.438,2463.9732,
1407.528,2499.2058,
1404.617,2456.3137,
1401.707,2449.411,
1398.796,2482.3191,
1395.885,2505.2846,
1392.975,2531.7706,
1390.064,2529.8498,
1387.154,2549.5809,
1384.243,2555.6149,
1381.332,2528.6669,
1378.422,2612.8725,
1375.511,2641.9127,
1372.601,2764.9439,
1369.690,2825.0939,
1366.780,2888.8175,
1363.869,2936.7929,
1360.958,2961.2589,
1358.048,3019.5864,
1355.137,3057.4777,
1352.227,3117.4799,
1349.316,3204.65,
1346.406,3238.484,
1343.495,3285.9971,
1340.584,3392.8038,
1337.674,3387.8455,
1334.763,3485.104,
1331.853,3530.5383,
1328.942,3579.5166,
1326.032,3629.4185,
1323.121,3683.0919,
1320.210,3705.7001,
1317.300,3770.7591,
1314.389,3870.4178,
1311.479,3948.4039,
1308.568,3998.0529,
1305.657,4045.1419,
1302.747,4092.102,
1299.836,4152.6258,
1296.926,4260.528,
1294.015,4392.9106,
1291.105,4523.4119,
1288.194,4683.35,
1285.283,4766.6312,
1282.373,4841.6951,
1279.462,4890.8453,
1276.552,4944.7925,
1273.641,5021.7435,
1270.731,5053.7332,
1267.820,5009.0899,
1264.909,5000.375,
1261.999,4997.8784,
1259.088,4929.4693,
1256.178,4854.2891,
1253.267,4765.6555,
1250.356,4648.914,
1247.446,4526.3403,
1244.535,4389.6118,
1241.625,4242.59,
1238.714,4122.8433,
1235.804,4034.482,
1232.893,3911.0145,
1229.982,3845.835,
1227.072,3859.4146,
1224.161,3775.4841,
1221.251,3675.2455,
1218.340,3621.7581,
1215.430,3594.6116,
1212.519,3566.1701,
1209.608,3538.6419,
1206.698,3509.7788,
1203.787,3467.2946,
1200.877,3503.1083,
1197.966,3563.352,
1195.055,3667.0583,
1192.145,3733.9637,
1189.234,3804.2248,
1186.324,3883.0161,
1183.413,3956.172,
1180.503,3976.4769,
1177.592,3924.5969,
1174.681,3874.899,
1171.771,3821.9326,
1168.860,3759.4164,
1165.950,3734.8303,
1163.039,3666.1219,
1160.129,3608.2924,
1157.218,3601.7971,
1154.307,3591.4032,
1151.397,3545.2896,
1148.486,3536.228,
1145.576,3515.8309,
1142.665,3457.2286,
1139.754,3414.1344,
1136.844,3382.9653,
1133.933,3350.5013,
1131.023,3306.0492,
1128.112,3289.0157,
1125.202,3310.061,
1122.291,3303.402,
1119.380,3372.8813,
1116.470,3322.5772,
1113.559,3349.6247,
1110.649,3358.0653,
1107.738,3337.5497,
1104.828,3329.9453,
1101.917,3345.742,
1099.006,3348.5709,
1096.096,3337.3639,
1093.185,3369.85,
1090.275,3366.7101,
1087.364,3336.5578,
1084.453,3300.8764,
1081.543,3283.375,
1078.632,3290.2697,
1075.722,3311.0168,
1072.811,3336.0576,
1069.901,3345.6634,
1066.990,3350.4167,
1064.079,3362.2632,
1061.169,3422.6051,
1058.258,3466.9515,
1055.348,3473.136,
1052.437,3503.15,
1049.527,3573.6771,
1046.616,3581.4966,
1043.705,3599.3318,
1040.795,3560.3182,
1037.884,3578.3627,
1034.974,3622.982,
1032.063,3632.621,
1029.153,3646.7784,
1026.242,3625.1545,
1023.331,3666.039,
1020.421,3663.2214,
1017.510,3691.9916,
1014.600,3736.1381,
1011.689,3760.0899,
1008.778,3779.4607,
1005.868,3897.9426,
1002.957,4072.5945,
1000.047,4248.6151,
997.136,4353.123,
994.226,4407.0055,
991.315,4387.8379,
988.404,4288.2129,
985.494,4286.838,
982.583,4262.8544,
979.673,4236.694,
976.762,4239.5299,
973.852,4208.9201,
970.941,4162.1533,
968.030,4165.7738,
965.120,4162.4215,
962.209,4173.5046,
959.299,4192.373,
956.388,4177.5364,
953.477,4166.9514,
950.567,4185.2634,
947.656,4216.3912,
944.746,4262.2672,
941.835,4225.504,
938.925,4212.4267,
936.014,4232.1255,
933.103,4254.4343,
930.193,4232.2044,
927.282,4135.1917,
924.372,4131.8093,
921.461,4051.1074,
918.551,3996.8139,
915.640,3971.5759,
912.729,3948.9572,
909.819,3913.5983,
906.908,3922.8649,
903.998,3896.3326,
901.087,3919.2908,
898.176,3948.7821,
895.266,3970.6274,
892.355,4002.9816,
889.445,4081.0334,
886.534,4112.2653,
883.624,4141.9241,
880.713,4215.6384,
877.802,4243.7624,
874.892,4181.6173,
871.981,4167.5797,
869.071,4091.5572,
866.160,4122.5324,
863.250,4151.8107,
860.339,4134.9588,
857.428,4095.8795,
854.518,4121.2567,
851.607,4048.0346,
848.697,4021.6187,
845.786,3999.806,
842.875,3990.9678,
839.965,4008.3801,
837.054,4040.3006,
834.144,4033.6706,
831.233,4035.7081,
828.323,4046.7719,
825.412,4044.1404,
822.501,4005.4172,
819.591,3933.5205,
816.680,3908.1378,
813.770,3871.6764,
810.859,3825.3981,
