,PLCF4F~1,
Raman shift [1/cm],Intensity,
2001.286,862.56359,
1998.375,866.4124,
1995.465,845.04822,
1992.554,874.55852,
1989.643,851.50235,
1986.733,837.53334,
1983.822,863.34343,
1980.912,808.78772,
1978.001,845.10113,
1975.090,856.55342,
1972.180,828.74203,
1969.269,833.95406,
1966.359,852.5812,
1963.448,864.80515,
1960.538,813.12885,
1957.627,842.40715,
1954.716,856.24146,
1951.806,814.43745,
1948.895,845.63369,
1945.985,805.9085,
1943.074,806.37825,
1940.164,802.78845,
1937.253,800.20872,
1934.342,806.06417,
1931.432,814.07729,
1928.521,795.66753,
1925.611,807.12315,
1922.700,787.79973,
1919.790,777.91621,
1916.879,805.40752,
1913.968,821.48279,
1911.058,775.42493,
1908.147,786.10874,
1905.237,775.26474,
1902.326,787.90742,
1899.415,783.60612,
1896.505,790.9636,
1893.594,772.94518,
1890.684,795.11436,
1887.773,793.87943,
1884.863,793.68907,
1881.952,800.38245,
1879.041,810.82139,
1876.131,833.04509,
1873.220,786.94227,
1870.310,798.99324,
1867.399,820.18013,
1864.489,800.5,
1861.578,800.2198,
1858.667,797.64671,
1855.757,794.91289,
1852.846,785.77691,
1849.936,796.66317,
1847.025,802.43428,
1844.114,813.38228,
1841.204,802.8951,
1838.293,821.00915,
1835.383,819.3255,
1832.472,836.73304,
1829.562,824.78072,
1826.651,830.96199,
1823.740,825.66856,
1820.830,820.5,
1817.919,857.96132,
1815.009,853.65649,
1812.098,829.05907,
1809.188,845.25965,
1806.277,882.68112,
1803.366,814.06563,
1800.456,847.28017,
1797.545,842.57806,
1794.635,832.98399,
1791.724,837.42222,
1788.813,878.9018,
1785.903,865.03696,
1782.992,809.54772,
1780.082,838.12777,
1777.171,839.4925,
1774.261,829.38536,
1771.350,873.55976,
1768.439,890.94645,
1765.529,897.04725,
1762.618,908.5,
1759.708,902.88038,
1756.797,921.70455,
1753.887,914.29301,
1750.976,905.47251,
1748.065,916.34332,
1745.155,879.81639,
1742.244,916.10588,
1739.334,900.99413,
1736.423,920.77284,
1733.512,922.94711,
1730.602,962.38102,
1727.691,949.09656,
1724.781,942.85973,
1721.870,958.79057,
1718.960,950.16652,
1716.049,947.5,
1713.138,988.5398,
1710.228,981.57525,
1707.317,1006.0371,
1704.407,1018.484,
1701.496,988.50738,
1698.586,996.58781,
1695.675,1044.2854,
1692.764,1000.1639,
1689.854,1010.8937,
1686.943,1065.6114,
1684.033,1064.5745,
1681.122,1070.398,
1678.211,1112.1003,
1675.301,1118.4815,
1672.390,1147.6136,
1669.480,1186.1257,
1666.569,1263.2461,
1663.659,1243.4183,
1660.748,1239.252,
1657.837,1277.7624,
1654.927,1291.8195,
1652.016,1388.7187,
1649.106,1397.7203,
1646.195,1407.0515,
1643.285,1431.5736,
1640.374,1521.7334,
1637.463,1580.9592,
1634.553,1661.5492,
1631.642,1732.2166,
1628.732,1798.2348,
1625.821,1921.5779,
1622.911,2039.8294,
1620.000,2188.6102,
1617.089,2296.3507,
1614.179,2424.8339,
1611.268,2582.5515,
1608.358,2672.3796,
1605.447,2770.7865,
1602.536,2826.8219,
1599.626,2824.0605,
1596.715,2831.6684,
1593.805,2812.8247,
1590.894,2813.142,
1587.984,2790.1155,
1585.073,2783.0967,
1582.162,2697.3416,
1579.252,2643.6764,
1576.341,2604.2585,
1573.431,2552.6422,
1570.520,2528.27,
1567.610,2488.7347,
1564.699,2434.4483,
1561.788,2419.2042,
1558.878,2378.5342,
1555.967,2319.1995,
1553.057,2272.983,
1550.146,2223.471,
1547.235,2148.3706,
1544.325,2080.9613,
1541.414,2040.7582,
1538.504,2037.2899,
1535.593,2055.2906,
1532.683,2063.9594,
1529.772,2032.1568,
1526.861,1997.5466,
1523.951,1996.8275,
1521.040,1971.0466,
1518.130,1979.3257,
1515.219,2006.4208,
1512.309,1987.9325,
1509.398,2013.5076,
1506.487,2010.918,
1503.577,1957.4355,
1500.666,1999.6946,
1497.756,1965.152,
1494.845,1913.7407,
1491.934,1943.3079,
1489.024,1884.5958,
1486.113,1933.4969,
1483.203,1901.0851,
1480.292,1832.0131,
1477.382,1809.1845,
1474.471,1807.2674,
1471.560,1759.606,
1468.650,1716.9021,
1465.739,1735.603,
1462.829,1771.0013,
1459.918,1811.677,
1457.008,1843.6386,
1454.097,1849.7271,
1451.186,1823.6277,
1448.276,1751.2823,
1445.365,1655.1738,
1442.455,1603.7864,
1439.544,1612.1993,
1436.633,1564.7989,
1433.723,1478.2447,
1430.812,1487.2492,
1427.902,1446.2745,
1424.991,1436.7969,
1422.081,1407.1407,
1419.170,1358.7048,
