,PLE80A~1,
Wavenumbers [1/cm],Intensity,
985.494,1301.3267,
982.583,1304.7529,
979.673,1336.7108,
976.762,1317.7207,
973.852,1315.6985,
970.941,1338.4717,
968.030,1331.0939,
965.120,1313.386,
962.209,1345.7826,
959.299,1348.417,
956.388,1349.4899,
953.477,1352.4831,
950.567,1351.1129,
947.656,1341.5815,
944.746,1336.4842,
941.835,1363.7837,
938.925,1364.9856,
936.014,1343.5344,
933.103,1328.7809,
930.193,1333.0527,
927.282,1323.1501,
924.372,1302.8556,
921.461,1289.204,
918.551,1268.9839,
915.640,1251.3008,
912.729,1232.7841,
909.819,1207.0301,
906.908,1228.0907,
903.998,1217.3195,
901.087,1221.2516,
898.176,1246.2466,
895.266,1275.2806,
892.355,1289.5065,
889.445,1296.2206,
886.534,1287.9013,
883.624,1304.4165,
880.713,1304.0636,
877.802,1278.9226,
874.892,1219.5699,
871.981,1091.7371,
869.071,1070.0163,
866.160,1086.2588,
863.250,1165.4932,
860.339,1252.5183,
857.428,1287.9368,
854.518,1259.902,
851.607,1213.3061,
848.697,1172.2348,
845.786,1158.2879,
842.875,1197.3508,
839.965,1268.4296,
837.054,1269.8361,
834.144,1322.0475,
831.233,1304.252,
828.323,1309.5383,
825.412,1328.928,
822.501,1324.0797,
819.591,1300.9405,
816.680,1307.4616,
813.770,1279.8044,
810.859,1275.336,
807.949,1283.8085,
805.038,1265.4447,
802.127,1275.3222,
799.217,1260.5968,
796.306,1246.1689,
793.396,1248.9829,
790.485,1251.8258,
787.574,1205.468,
784.664,1211.2087,
781.753,1217.6179,
778.843,1218.7798,
775.932,1231.4473,
773.022,1263.7572,
770.111,1267.0275,
767.200,1252.7851,
764.290,1244.2049,
761.379,1244.0071,
758.469,1247.6222,
755.558,1244.5206,
752.648,1220.0825,
749.737,1253.7646,
746.826,1263.5269,
743.916,1242.594,
741.005,1219.6081,
738.095,1213.9249,
735.184,1163.1958,
732.274,1111.1703,
729.363,1096.3717,
726.452,1137.9907,
723.542,1214.0737,
720.631,1191.4911,
717.721,1203.2996,
714.810,1225.4829,
711.899,1238.9431,
708.989,1246.2054,
706.078,1257.4682,
703.168,1223.2095,
700.257,1207.0889,
697.347,1214.5547,
694.436,1201.621,
691.525,1215.2857,
688.615,1217.6211,
685.704,1209.4795,
682.794,1210.4839,
679.883,1247.4663,
676.973,1252.2745,
674.062,1242.4026,
671.151,1241.0716,
668.241,1236.0523,
665.330,1200.1744,
662.420,1198.5769,
659.509,1216.0281,
656.598,1250.0512,
653.688,1270.8981,
650.777,1236.547,
647.867,1245.3066,
644.956,1198.9563,
642.046,1161.7872,
639.135,1153.5557,
636.224,1162.3415,
633.314,1180.6021,
630.403,1229.5908,
627.493,1248.7278,
624.582,1236.2534,
621.672,1263.1812,
618.761,1265.0099,
615.850,1256.9852,
612.940,1256.3976,
610.029,1269.4337,
607.119,1276.5404,
604.208,1285.0601,
601.297,1285.7574,
598.387,1275.5109,
595.476,1258.4041,
592.566,1281.2291,
589.655,1255.4471,
586.745,1250.0992,
583.834,1268.8613,
580.923,1285.2832,
578.013,1290.7763,
575.102,1277.9103,
572.192,1272.6093,
569.281,1289.28,
566.371,1328.4112,
563.460,1295.5657,
560.549,1287.0719,
557.639,1286.4617,
554.728,1266.1369,
551.818,1280.1826,
548.907,1286.9065,
545.996,1297.0258,
