,PLFE11~1,
Wavenumbers [1/cm],Intensity,
1375.511,721.83948,
1372.601,730.9657,
1369.690,724.035,
1366.780,731.46239,
1363.869,795.50055,
1360.958,757.34989,
1358.048,758.38215,
1355.137,793.8921,
1352.227,827.2534,
1349.316,853.13883,
1346.406,859.49762,
1343.495,864.52524,
1340.584,844.17847,
1337.674,851.286,
1334.763,856.10285,
1331.853,865.37516,
1328.942,903.10749,
1326.032,855.55028,
1323.121,864.497,
1320.210,905.71196,
1317.300,914.48675,
1314.389,888.70794,
1311.479,908.19632,
1308.568,942.66397,
1305.657,932.04554,
1302.747,975.16533,
1299.836,984.80409,
1296.926,1014.3482,
1294.015,1027.2187,
1291.105,998.69212,
1288.194,1057.052,
1285.283,1077.046,
1282.373,1095.2031,
1279.462,1109.1421,
1276.552,1149.9155,
1273.641,1186.2967,
1270.731,1187.8052,
1267.820,1222.7744,
1264.909,1243.6948,
1261.999,1227.4851,
1259.088,1192.8245,
1256.178,1162.4869,
1253.267,1129.3638,
1250.356,1093.6598,
1247.446,1081.3367,
1244.535,1072.8304,
1241.625,1029.0316,
1238.714,969.96595,
1235.804,956.68201,
1232.893,964.01041,
1229.982,916.29004,
1227.072,902.71036,
1224.161,859.72481,
1221.251,874.08528,
1218.340,877.86313,
1215.430,861.43608,
1212.519,852.91932,
1209.608,847.89061,
1206.698,829.19675,
1203.787,831.25254,
1200.877,880.0754,
1197.966,836.91575,
1195.055,878.26568,
1192.145,891.76075,
1189.234,915.16015,
1186.324,926.20449,
1183.413,915.59263,
1180.503,909.49511,
1177.592,921.58836,
1174.681,916.60959,
1171.771,908.70879,
1168.860,906.92261,
1165.950,886.59276,
1163.039,895.01965,
1160.129,886.59348,
1157.218,884.92251,
1154.307,889.66872,
1151.397,874.1476,
1148.486,851.54828,
1145.576,861.0176,
1142.665,844.14725,
1139.754,864.71798,
1136.844,864.84788,
1133.933,841.63578,
1131.023,848.46641,
1128.112,867.39363,
1125.202,857.99155,
