,PLED81~1,
Raman shift [1/cm],Intensity,
1669.480,723.48863,
1666.569,706.73926,
1663.659,716.27829,
1660.748,755.72141,
1657.837,761.01866,
1654.927,778.50785,
1652.016,773.5521,
1649.106,771.26151,
1646.195,798.20744,
1643.285,861.12109,
1640.374,798.0675,
1637.463,866.84999,
1634.553,933.74322,
1631.642,941.77701,
1628.732,956.17607,
1625.821,1048.6728,
1622.911,1121.2136,
1620.000,1168.0329,
1617.089,1280.3563,
1614.179,1353.5663,
1611.268,1438.4277,
1608.358,1483.5648,
1605.447,1494.1108,
1602.536,1601.792,
1599.626,1607.7851,
1596.715,1576.7666,
1593.805,1555.7384,
1590.894,1565.9544,
1587.984,1592.7417,
1585.073,1509.8417,
1582.162,1485.4413,
1579.252,1440.255,
1576.341,1437.8346,
1573.431,1432.5764,
1570.520,1394.6993,
1567.610,1370.213,
1564.699,1367.0751,
1561.788,1345.7942,
1558.878,1290.8799,
1555.967,1253.1084,
1553.057,1226.1252,
1550.146,1188.5851,
1547.235,1149.1926,
1544.325,1138.7148,
1541.414,1126.4233,
1538.504,1114.1664,
1535.593,1106.8605,
1532.683,1076.0335,
1529.772,1068.7372,
1526.861,1096.246,
1523.951,1100.5068,
1521.040,1084.5796,
1518.130,1061.6756,
1515.219,1081.8242,
1512.309,1097.7421,
1509.398,1070.87,
1506.487,1100.7754,
1503.577,1024.8078,
1500.666,984.03401,
1497.756,1064.9468,
1494.845,1043.7045,
1491.934,1021.6533,
1489.024,1030.3158,
1486.113,980.55536,
1483.203,1007.7109,
1480.292,992.95775,
1477.382,956.48682,
1474.471,967.80947,
1471.560,947.50102,
1468.650,912.34387,
1465.739,949.30225,
1462.829,979.01227,
1459.918,967.36522,
1457.008,967.79437,
1454.097,952.28199,
1451.186,907.06988,
1448.276,894.74232,
1445.365,886.76402,
1442.455,824.22582,
1439.544,785.56053,
1436.633,807.51874,
1433.723,822.52452,
1430.812,767.98924,
1427.902,796.47496,
1424.991,748.13908,
1422.081,710.84339,
1419.170,674.79071,
1416.259,675.29544,
1413.349,685.68789,
1410.438,683.72654,
1407.528,679.05003,
1404.617,665.88244,
1401.707,693.13101,
1398.796,697.71948,
1395.885,710.61749,
1392.975,752.14502,
1390.064,678.65911,
1387.154,571.73607,
1384.243,512.38228,
1381.332,482.60494,
1378.422,526.53771,
1375.511,602.41697,
1372.601,697.62517,
1369.690,814.49225,
1366.780,807.27987,
1363.869,820.96636,
1360.958,849.75192,
1358.048,846.97883,
1355.137,912.27213,
1352.227,966.81446,
1349.316,970.67762,
1346.406,998.0705,
1343.495,1003.5867,
1340.584,1038.0535,
1337.674,1042.5882,
1334.763,1028.7654,
1331.853,1111.289,
1328.942,1110.1777,
1326.032,1134.0936,
1323.121,1158.8901,
1320.210,1176.2797,
1317.300,1230.6143,
1314.389,1260.5138,
1311.479,1296.8189,
1308.568,1354.3721,
1305.657,1390.754,
1302.747,1458.636,
1299.836,1466.1877,
1296.926,1496.7098,
1294.015,1606.1093,
1291.105,1552.5092,
1288.194,1613.3169,
1285.283,1670.0052,
1282.373,1711.5702,
1279.462,1762.8596,
1276.552,1791.6959,
1273.641,1784.1717,
1270.731,1783.622,
1267.820,1797.238,
1264.909,1759.801,
1261.999,1775.5251,
1259.088,1772.7888,
1256.178,1727.2328,
1253.267,1692.006,
1250.356,1641.6353,
1247.446,1604.6099,
1244.535,1579.2456,
1241.625,1544.2288,
1238.714,1515.4273,
1235.804,1505.4601,
1232.893,1448.8731,
1229.982,1456.4291,
1227.072,1421.1219,
1224.161,1355.5872,
1221.251,1327.9903,
1218.340,1288.291,
1215.430,1267.9734,
1212.519,1253.9477,
1209.608,1265.5575,
1206.698,1305.4333,
1203.787,1282.831,
1200.877,1305.5693,
1197.966,1304.6701,
1195.055,1360.9394,
1192.145,1447.262,
