,PLF58E~1,
Raman shift [1/cm],Intensity,
1689.854,2161.1713,
1686.943,2161.3175,
1684.033,2200.2566,
1681.122,2162.9127,
1678.211,2251.3934,
1675.301,2313.0619,
1672.390,2315.3786,
1669.480,2358.8276,
1666.569,2430.961,
1663.659,2487.9159,
1660.748,2587.2088,
1657.837,2535.431,
1654.927,2590.9209,
1652.016,2702.0799,
1649.106,2697.1595,
1646.195,2774.257,
1643.285,2816.4121,
1640.374,2866.689,
1637.463,2888.493,
1634.553,2958.6292,
1631.642,3118.5204,
1628.732,3234.6648,
1625.821,3304.3874,
1622.911,3513.0666,
1620.000,3674.209,
1617.089,3826.2052,
1614.179,4044.0176,
1611.268,4249.5542,
1608.358,4432.6345,
1605.447,4563.8224,
1602.536,4633.6864,
1599.626,4670.4477,
1596.715,4774.9013,
1593.805,4694.9225,
1590.894,4680.7273,
1587.984,4655.9994,
1585.073,4640.3386,
1582.162,4560.6056,
1579.252,4510.0631,
1576.341,4444.5734,
1573.431,4472.5414,
1570.520,4481.9569,
1567.610,4438.0336,
1564.699,4391.3487,
1561.788,4337.7011,
1558.878,4237.6357,
1555.967,4165.5561,
1553.057,4123.3709,
1550.146,4074.221,
1547.235,3980.2302,
1544.325,3921.767,
1541.414,3900.1284,
1538.504,3900.0951,
1535.593,3884.9828,
1532.683,3825.0112,
1529.772,3746.8506,
1526.861,3671.7312,
1523.951,3631.5593,
1521.040,3596.4086,
1518.130,3547.4749,
1515.219,3509.7307,
1512.309,3472.6148,
1509.398,3446.0654,
1506.487,3480.7386,
1503.577,3437.5475,
1500.666,3407.7877,
1497.756,3386.2667,
1494.845,3361.6897,
1491.934,3348.1146,
1489.024,3306.7274,
1486.113,3326.576,
1483.203,3248.3149,
1480.292,3236.553,
1477.382,3205.5366,
1474.471,3149.1377,
1471.560,3126.2677,
1468.650,3111.6343,
1465.739,3079.3494,
1462.829,3079.7673,
1459.918,3083.6201,
1457.008,3097.0349,
1454.097,3097.688,
1451.186,3083.9038,
1448.276,3096.9397,
1445.365,3110.9656,
1442.455,3130.5298,
1439.544,3139.4743,
1436.633,3129.5886,
1433.723,3077.8791,
1430.812,3066.9201,
1427.902,3048.6715,
1424.991,2982.3281,
1422.081,2943.5509,
1419.170,2965.3078,
1416.259,2942.5179,
1413.349,2860.7259,
1410.438,2862.8416,
1407.528,2906.4371,
1404.617,2925.4243,
1401.707,2917.771,
1398.796,2940.4597,
1395.885,2975.9036,
1392.975,2987.1045,
1390.064,2978.528,
1387.154,2893.5473,
1384.243,2804.594,
1381.332,2786.1233,
1378.422,2826.6212,
1375.511,3008.3567,
1372.601,3107.0933,
1369.690,3232.6895,
1366.780,3339.3739,
1363.869,3392.0356,
1360.958,3417.1145,
1358.048,3411.7905,
1355.137,3495.7704,
1352.227,3624.0869,
1349.316,3722.3542,
1346.406,3779.8389,
1343.495,3773.9208,
1340.584,3841.8929,
1337.674,3847.7541,
1334.763,3913.3904,
1331.853,3995.914,
1328.942,4082.8596,
1326.032,4052.469,
1323.121,4158.8405,
1320.210,4223.8891,
1317.300,4247.4644,
1314.389,4321.0291,
1311.479,4381.0656,
1308.568,4396.2096,
1305.657,4445.9503,
1302.747,4507.6274,
1299.836,4579.1297,
1296.926,4636.7531,
1294.015,4819.6985,
1291.105,4843.9803,
1288.194,4964.464,
1285.283,5063.7023,
1282.373,5136.8123,
1279.462,5195.6415,
1276.552,5232.4705,
1273.641,5262.4711,
1270.731,5292.25,
1267.820,5290.7958,
1264.909,5283.3157,
1261.999,5267.6855,
1259.088,5224.8158,
1256.178,5196.5563,
1253.267,5120.1336,
1250.356,5012.916,
1247.446,4918.8578,
1244.535,4861.9242,
1241.625,4787.3464,
1238.714,4667.3298,
1235.804,4573.8229,
1232.893,4537.515,
1229.982,4465.5397,
1227.072,4355.9969,
1224.161,4333.1209,
1221.251,4249.0985,
1218.340,4172.0163,
1215.430,4078.6352,
1212.519,4014.7421,
1209.608,3990.8469,
1206.698,3962.3775,
1203.787,3957.8681,
1200.877,4029.5933,
1197.966,4083.5428,
1195.055,4172.4281,
1192.145,4261.633,
1189.234,4369.2954,
1186.324,4454.6175,
1183.413,4519.1637,
1180.503,4524.1872,
1177.592,4462.8259,
1174.681,4462.8767,
1171.771,4334.8076,
1168.860,4272.2914,
1165.950,4263.0248,
1163.039,4186.1241,
1160.129,4106.6514,
1157.218,4065.116,
1154.307,4024.8259,
1151.397,3977.1602,
1148.486,3983.005,
1145.576,3950.783,
1142.665,3893.9565,
1139.754,3950.2722,
1136.844,3891.4185,
1133.933,3864.3555,
1131.023,3850.7266,
1128.112,3830.8216,
1125.202,3826.3176,
1122.291,3826.8929,
1119.380,3872.9988,
1116.470,3847.4055,
1113.559,3910.7494,
1110.649,3906.6756,
1107.738,3922.6484,
1104.828,3903.5596,
1101.917,3870.9494,
1099.006,3940.652,
1096.096,3944.2936,
1093.185,3896.0034,
1090.275,3943.234,
1087.364,3894.1851,
1084.453,3885.9362,
1081.543,3897.7442,
1078.632,3905.159,
1075.722,3929.1813,
1072.811,3920.3121,
1069.901,3921.1853,
1066.990,3974.5999,
1064.079,3980.4449,
1061.169,4012.5973,
1058.258,4065.3887,
1055.348,4094.4285,
1052.437,4085.906,
1049.527,4091.8682,
1046.616,4159.6369,
1043.705,4168.0208,
1040.795,4186.1281,
1037.884,4173.4918,
1034.974,4147.5258,
1032.063,4154.1265,
1029.153,4194.4191,
1026.242,4187.4995,
1023.331,4225.5809,
1020.421,4242.3123,
1017.510,4271.4624,
1014.600,4318.7405,
1011.689,4381.6213,
1008.778,4450.6746,
1005.868,4483.6014,
1002.957,4634.1634,
1000.047,4792.6581,
997.136,4958.3658,
994.226,4994.1892,
991.315,4913.5891,
988.404,4843.3068,
985.494,4769.6581,
982.583,4698.5639,
979.673,4645.8145,
976.762,4583.2818,
973.852,4580.7487,
970.941,4613.6188,
968.030,4593.7875,
965.120,4557.1891,
962.209,4542.6959,
959.299,4585.5779,
956.388,4574.5719,
953.477,4570.5683,
950.567,4602.6942,
947.656,4620.2635,
944.746,4658.4935,
941.835,4606.8023,
938.925,4637.6813,
936.014,4670.3665,
933.103,4664.3608,
930.193,4632.6532,
927.282,4618.5379,
924.372,4550.0437,
921.461,4494.1204,
918.551,4462.7267,
915.640,4411.0305,
912.729,4336.7334,
909.819,4293.8119,
906.908,4351.0968,
903.998,4382.8831,
901.087,4401.0706,
898.176,4402.9552,
895.266,4403.011,
892.355,4428.7989,
889.445,4511.8864,
886.534,4537.2962,
883.624,4591.3667,
880.713,4641.2782,
877.802,4648.1856,
874.892,4606.3446,
871.981,4570.5201,
869.071,4539.6098,
866.160,4548.7392,
863.250,4562.0646,
860.339,4584.3588,
857.428,4605.215,
854.518,4570.2149,
851.607,4534.4359,
