,PL5C1E~1,
Raman shift [1/cm],Intensity,
1765.529,1942.776,
1762.618,1959.635,
1759.708,1949.3695,
1756.797,1935.4318,
1753.887,1971.3746,
1750.976,2013.3449,
1748.065,2002.2957,
1745.155,1974.255,
1742.244,1990.9855,
1739.334,2014.7706,
1736.423,2036.457,
1733.512,2014.3942,
1730.602,2064.8374,
1727.691,2071.6821,
1724.781,2084.8047,
1721.870,2121.6907,
1718.960,2130.3222,
1716.049,2161.5421,
1713.138,2170.92,
1710.228,2160.1861,
1707.317,2178.8451,
1704.407,2206.6551,
1701.496,2245.0504,
1698.586,2216.1605,
1695.675,2253.7355,
1692.764,2301.9426,
1689.854,2283.4527,
1686.943,2297.9604,
1684.033,2259.4934,
1681.122,2383.342,
1678.211,2370.6428,
1675.301,2489.1331,
1672.390,2463.6555,
1669.480,2516.1498,
1666.569,2596.8682,
1663.659,2626.7249,
1660.748,2701.6762,
1657.837,2762.2217,
1654.927,2796.1869,
1652.016,2867.5935,
1649.106,2911.9162,
1646.195,2930.3462,
1643.285,3006.2292,
1640.374,3039.6324,
1637.463,3140.0585,
1634.553,3172.7462,
1631.642,3323.8464,
1628.732,3447.6851,
1625.821,3646.6289,
1622.911,3842.3899,
1620.000,4057.7661,
1617.089,4295.7239,
1614.179,4526.9292,
1611.268,4769.3914,
1608.358,4973.9013,
1605.447,5129.644,
1602.536,5142.2275,
1599.626,5213.3348,
1596.715,5257.6192,
1593.805,5199.7911,
1590.894,5163.4379,
1587.984,5169.027,
1585.073,5171.3508,
1582.162,5077.1579,
1579.252,5034.7693,
1576.341,4991.049,
1573.431,5026.9241,
1570.520,5020.3906,
1567.610,4945.9499,
1564.699,4929.0253,
1561.788,4827.9799,
1558.878,4710.7616,
1555.967,4675.1787,
1553.057,4616.4489,
1550.146,4514.0565,
1547.235,4351.2541,
1544.325,4246.4443,
1541.414,4196.5565,
1538.504,4151.5445,
1535.593,4100.4422,
1532.683,4037.3145,
1529.772,3973.2943,
1526.861,3902.544,
1523.951,3844.2367,
1521.040,3793.6309,
1518.130,3764.8476,
1515.219,3759.7419,
1512.309,3689.7838,
1509.398,3679.3593,
1506.487,3685.0353,
1503.577,3687.6828,
1500.666,3631.4634,
1497.756,3588.3725,
1494.845,3548.9391,
1491.934,3511.1976,
1489.024,3418.7983,
1486.113,3436.826,
1483.203,3415.4076,
1480.292,3368.3774,
1477.382,3316.8546,
1474.471,3345.6363,
1471.560,3276.2254,
1468.650,3231.1513,
1465.739,3222.5785,
1462.829,3208.37,
1459.918,3206.1299,
1457.008,3203.3768,
1454.097,3187.1812,
1451.186,3216.175,
1448.276,3235.0789,
1445.365,3205.0411,
1442.455,3262.9403,
1439.544,3222.8414,
1436.633,3159.8803,
1433.723,3222.2809,
1430.812,3149.0223,
1427.902,3129.9814,
1424.991,3108.1828,
1422.081,3067.131,
1419.170,3076.4609,
1416.259,3060.6786,
1413.349,3056.5,
1410.438,2992.8201,
1407.528,3024.0805,
1404.617,3055.9129,
1401.707,3052.8503,
1398.796,3053.8042,
1395.885,3082.7167,
1392.975,3133.7298,
1390.064,3156.2024,
1387.154,3122.0032,
1384.243,3044.2573,
1381.332,3020.7879,
1378.422,3119.7602,
1375.511,3279.9497,
1372.601,3279.7353,
1369.690,3444.9439,
1366.780,3483.5885,
1363.869,3558.4212,
1360.958,3640.298,
1358.048,3685.706,
1355.137,3737.9777,
1352.227,3814.7617,
1349.316,3887.7739,
1346.406,3972.523,
1343.495,4065.7596,
1340.584,4070.5348,
1337.674,4134.3592,
1334.763,4170.4167,
1331.853,4273.3393,
1328.942,4257.9318,
1326.032,4356.637,
1323.121,4432.8494,
1320.210,4533.4083,
1317.300,4588.6656,
1314.389,4665.8208,
1311.479,4733.8689,
1308.568,4775.7783,
1305.657,4858.2003,
1302.747,4929.5825,
1299.836,5047.8564,
1296.926,5162.4566,
1294.015,5269.0981,
1291.105,5425.8337,
1288.194,5564.714,
1285.283,5715.5045,
1282.373,5831.2107,
1279.462,5906.1856,
1276.552,5967.0907,
1273.641,6025.8968,
1270.731,6068.9687,
1267.820,6075.775,
1264.909,6043.2253,
1261.999,6048.3336,
1259.088,6043.773,
1256.178,5965.5625,
1253.267,5838.1879,
1250.356,5682.9488,
1247.446,5519.3024,
1244.535,5346.8797,
1241.625,5172.0076,
1238.714,5023.4479,
1235.804,4907.2041,
1232.893,4782.2535,
1229.982,4760.7045,
1227.072,4589.6005,
1224.161,4541.3583,
1221.251,4426.5462,
1218.340,4348.04,
1215.430,4279.8056,
1212.519,4196.3185,
