,PLA1DB~1,
Raman shift [1/cm],Intensity,
1500.666,7307.9566,
1497.756,7334.6968,
1494.845,7313.0543,
1491.934,7281.6364,
1489.024,7361.5233,
1486.113,7444.1155,
1483.203,7383.7624,
1480.292,7331.2524,
1477.382,7157.6841,
1474.471,7041.6371,
1471.560,7014.7467,
1468.650,7020.891,
1465.739,7108.9197,
1462.829,7225.6058,
1459.918,7374.5858,
1457.008,7507.6372,
1454.097,7496.2945,
1451.186,7378.551,
1448.276,7187.7703,
1445.365,6915.2929,
1442.455,6727.8846,
1439.544,6542.3131,
1436.633,6413.382,
1433.723,6289.767,
1430.812,6243.0606,
1427.902,6151.1946,
1424.991,6143.6125,
1422.081,6125.0255,
1419.170,6003.2706,
1416.259,5943.0618,
1413.349,5865.4033,
1410.438,5876.2646,
1407.528,5902.6061,
1404.617,5950.474,
1401.707,6011.7014,
1398.796,6056.8959,
1395.885,6078.2687,
1392.975,6079.1874,
1390.064,6026.2855,
1387.154,5868.7458,
1384.243,5700.6468,
1381.332,5599.2523,
1378.422,5640.9241,
1375.511,6000.648,
1372.601,6209.1205,
1369.690,6361.8161,
1366.780,6481.7953,
1363.869,6574.2109,
1360.958,6700.3881,
1358.048,6803.9931,
1355.137,6934.5238,
1352.227,7046.4536,
1349.316,7117.4244,
1346.406,7188.0385,
1343.495,7238.2566,
1340.584,7357.8738,
1337.674,7441.9126,
1334.763,7473.104,
1331.853,7518.5383,
1328.942,7571.9639,
1326.032,7619.9717,
1323.121,7666.4232,
1320.210,7757.9536,
1317.300,7892.4024,
1314.389,8077.0857,
1311.479,8302.5295,
1308.568,8553.9772,
1305.657,8831.7195,
1302.747,9087.0641,
1299.836,9218.788,
1296.926,9410.5797,
1294.015,9479.5289,
1291.105,9615.3368,
1288.194,9669.3184,
1285.283,9737.8033,
1282.373,9814.5311,
1279.462,9927.7264,
1276.552,10073.423,
1273.641,10177.041,
1270.731,10183.203,
1267.820,10137.727,
1264.909,10111.166,
1261.999,10095.717,
1259.088,9913.2932,
1256.178,9736.2225,
1253.267,9583.3221,
1250.356,9466.1363,
1247.446,9329.8048,
1244.535,9122.1209,
1241.625,8873.1827,
1238.714,8643.3186,
1235.804,8435.5113,
1232.893,8233.8943,
1229.982,8138.9544,
1227.072,7919.8688,
1224.161,7737.1148,
1221.251,7565.4073,
1218.340,7383.2779,
1215.430,7285.0504,
1212.519,7186.5004,
1209.608,7081.035,
1206.698,7056.0345,
1203.787,7042.2845,
1200.877,7041.557,
1197.966,7125.1789,
1195.055,7370.8444,
1192.145,7556.6329,
1189.234,7751.0021,
1186.324,7999.4821,
1183.413,8226.4919,
1180.503,8298.9514,
1177.592,8194.849,
1174.681,8058.3579,
1171.771,7856.3969,
1168.860,7770.6603,
1165.950,7642.2379,
1163.039,7537.9475,
1160.129,7534.2779,
1157.218,7683.693,
1154.307,7848.9757,
1151.397,7922.0924,
1148.486,8044.1389,
1145.576,8255.137,
1142.665,8180.5523,
1139.754,8142.6435,
1136.844,8000.2165,
1133.933,7869.0617,
1131.023,7814.0703,
1128.112,7743.599,
1125.202,7619.5103,
1122.291,7606.4976,
1119.380,7600.3404,
1116.470,7596.8102,
1113.559,7620.3457,
1110.649,7562.5453,
1107.738,7451.753,
1104.828,7310.8932,
1101.917,7151.9348,
1099.006,7001.5199,
1096.096,6897.3546,
1093.185,6799.0183,
1090.275,6807.5604,
1087.364,6805.886,
1084.453,6878.7452,
1081.543,6986.0175,
1078.632,7071.8796,
1075.722,7128.8288,
1072.811,7152.4991,
1069.901,7154.2456,
1066.990,7131.7417,
1064.079,7201.912,
1061.169,7204.7892,
1058.258,7152.5424,
1055.348,7107.9683,
1052.437,7059.4648,
1049.527,6926.4351,
1046.616,6902.1079,
1043.705,6866.2321,
1040.795,6836.5814,
1037.884,6793.0078,
1034.974,6778.134,
1032.063,6811.1441,
1029.153,6830.2179,
1026.242,6862.2213,
1023.331,6907.5388,
1020.421,7055.0982,
1017.510,7210.6219,
1014.600,7388.147,
1011.689,7564.0088,
1008.778,7667.7429,
1005.868,7753.0121,
1002.957,7935.4072,
1000.047,8078.399,
997.136,8243.5387,
994.226,8261.5607,
991.315,8111.6127,
988.404,7921.0045,
985.494,7710.2652,
982.583,7616.044,
979.673,7526.2838,
976.762,7487.8072,
973.852,7487.0052,
970.941,7501.0062,
968.030,7513.7738,
965.120,7510.7008,
962.209,7588.2821,
959.299,7548.9646,
956.388,7575.5319,
953.477,7643.791,
950.567,7684.4993,
947.656,7682.5026,
944.746,7729.2282,
941.835,7703.8413,
938.925,7719.0907,
936.014,7695.9788,
933.103,7644.7203,
930.193,7603.5857,
927.282,7562.0048,
924.372,7444.4655,
921.461,7285.7769,
918.551,7180.3482,
915.640,7108.6543,
912.729,7041.2964,
909.819,6970.3683,
906.908,6909.7137,
903.998,6950.12,
901.087,6990.6543,
898.176,7052.7085,
895.266,7082.6963,
892.355,7067.3893,
889.445,7211.7432,
886.534,7322.5781,
883.624,7408.9669,
880.713,7466.9135,
877.802,7485.7746,
874.892,7482.5673,
871.981,7522.724,
869.071,7495.1554,
866.160,7487.6152,
863.250,7472.2215,
860.339,7488.7289,
857.428,7521.6702,
854.518,7439.8675,
851.607,7491.4557,
848.697,7515.507,
845.786,7542.0957,
842.875,7570.1624,
839.965,7608.4921,
837.054,7701.0542,
834.144,7761.5531,
831.233,7809.3724,
828.323,7847.1579,
825.412,7884.439,
822.501,7917.3962,
819.591,7900.8682,
816.680,7829.0608,
813.770,7723.0381,
810.859,7642.3981,
807.949,7577.5066,
805.038,7492.1936,
802.127,7457.6222,
799.217,7440.2126,
796.306,7340.5905,
793.396,7275.3827,
790.485,7263.4217,
787.574,7178.5582,
784.664,7209.7225,
781.753,7156.3284,
778.843,7171.4824,
775.932,7241.4487,
773.022,7310.8443,
770.111,7410.5888,
767.200,7482.0866,
764.290,7446.8987,
761.379,7407.5566,
758.469,7410.4213,
755.558,7409.9257,
752.648,7260.8533,
749.737,7158.9154,
746.826,7057.9014,
743.916,6930.53,
741.005,6742.54,
738.095,6354.4629,
735.184,5858.6024,
732.274,5731.4388,
729.363,6068.5419,
726.452,6689.6136,
723.542,6956.7134,
720.631,7050.1225,
717.721,7069.2194,
714.810,7073.3693,
711.899,7084.87,
708.989,7078.4146,
706.078,7100.0102,
703.168,7106.5894,
700.257,7087.5715,
697.347,7042.6376,
694.436,6981.2184,
691.525,6938.6168,
688.615,6963.3362,
685.704,6981.6482,
682.794,6986.3962,
679.883,7010.4563,
676.973,7034.4974,
674.062,7084.6788,
671.151,7120.4566,
668.241,7132.1838,
665.330,7130.6061,
662.420,7177.7313,
659.509,7278.1701,
656.598,7319.1235,
653.688,7299.7741,
650.777,7285.0771,
647.867,7305.7816,
644.956,7295.5154,
642.046,7280.5706,
639.135,7275.7287,
636.224,7288.745,
633.314,7362.5813,
630.403,7389.0607,
627.493,7361.3446,
624.582,7316.3207,
621.672,7351.9604,
618.761,7349.5753,
615.850,7361.5987,
612.940,7390.8179,
610.029,7432.6881,
607.119,7470.5904,
604.208,7516.2658,
601.297,7570.2653,
598.387,7611.1012,
595.476,7620.2264,
592.566,7618.6523,
589.655,7565.248,
586.745,7505.5632,
583.834,7466.9121,
580.923,7472.7115,
578.013,7528.4276,
575.102,7672.4324,
572.192,7804.4607,
569.281,7884.5598,
566.371,7969.0832,
563.460,8074.7296,
560.549,8098.8075,
557.639,8111.4541,
554.728,8191.552,
551.818,8162.6803,
548.907,8248.3964,
545.996,8338.0894,
543.086,8365.4047,
540.175,8268.0739,
537.265,8324.3873,
534.354,8336.3344,
531.444,8347.5036,
528.533,8406.9335,
525.622,8400.726,
522.712,8406.0493,
519.801,8455.4369,
516.891,8536.0437,
513.980,8573.9842,
511.070,8597.0967,
508.159,8661.7278,
505.248,8728.3822,
502.338,8746.7412,
499.427,8861.7442,
496.517,8965.9103,
493.606,9026.4129,
490.695,9038.5474,
487.785,9068.5692,
484.874,8999.0593,
481.964,9023.5737,
479.053,9087.4286,
476.143,8970.6983,
473.232,8979.9213,
470.321,9005.8381,
467.411,9019.0305,
464.500,8998.7713,
461.590,9053.9046,
458.679,9066.0732,
455.769,9073.4571,
452.858,9099.988,
449.947,9144.296,
447.037,9124.2505,
444.126,9093.175,
441.216,9081.8998,
438.305,9136.7588,
435.395,9105.6924,
432.484,9088.2923,
429.573,9090.7775,
426.663,9083.9362,
423.752,9155.9066,
