,PLD23C~1,
Raman shift [1/cm],Intensity,
1500.666,3810.9634,
1497.756,3773.8987,
1494.845,3806.1584,
1491.934,3737.7039,
1489.024,3647.2296,
1486.113,3630.0918,
1483.203,3613.013,
1480.292,3536.331,
1477.382,3529.466,
1474.471,3581.647,
1471.560,3498.3094,
1468.650,3428.8861,
1465.739,3387.7399,
1462.829,3412.9868,
1459.918,3389.1708,
1457.008,3384.0466,
1454.097,3406.5217,
1451.186,3392,
1448.276,3390.5241,
1445.365,3381.5703,
1442.455,3371.5532,
1439.544,3380.1026,
1436.633,3375.427,
1433.723,3365.2583,
1430.812,3341.1237,
1427.902,3279.2559,
1424.991,3247.9797,
1422.081,3223.1456,
1419.170,3226.1844,
1416.259,3237.5308,
1413.349,3224.8952,
1410.438,3165.4172,
1407.528,3170.9684,
1404.617,3198.7426,
1401.707,3214.9491,
1398.796,3216.8077,
1395.885,3273.8352,
1392.975,3325.8109,
1390.064,3295.9659,
1387.154,3361.0637,
1384.243,3267.2053,
1381.332,3238.5012,
1378.422,3350.5263,
1375.511,3418.9113,
1372.601,3573.9022,
1369.690,3679.58,
1366.780,3675.1991,
1363.869,3715.7681,
1360.958,3810.2453,
1358.048,3857.1197,
1355.137,3922.9793,
1352.227,4035.6474,
1349.316,4107.8883,
1346.406,4129.0077,
1343.495,4186.4112,
1340.584,4282.82,
1337.674,4368.2112,
1334.763,4326.8453,
1331.853,4506.7282,
1328.942,4505.1054,
1326.032,4541.5185,
1323.121,4616.6868,
1320.210,4693.9396,
1317.300,4727.4926,
1314.389,4800.3486,
1311.479,4908.689,
1308.568,4972.9022,
1305.657,5006.3861,
1302.747,5080.2628,
1299.836,5191.4793,
1296.926,5305.8883,
1294.015,5389.5468,
1291.105,5603.4495,
1288.194,5754.2077,
1285.283,5878.7964,
1282.373,5967.2576,
1279.462,6070.0182,
1276.552,6123.9606,
1273.641,6168.6265,
1270.731,6268.8776,
1267.820,6294.5357,
1264.909,6233.2184,
1261.999,6136.5618,
1259.088,6234.1588,
1256.178,6083.2685,
1253.267,5948.8254,
1250.356,5798.8351,
1247.446,5656.1644,
1244.535,5471.1164,
1241.625,5286.8668,
1238.714,5166.1275,
1235.804,5050.7721,
1232.893,4902.3929,
1229.982,4818.5776,
1227.072,4747.0579,
1224.161,4673.9192,
1221.251,4592.5052,
1218.340,4488.0235,
1215.430,4430.7872,
1212.519,4372.0075,
1209.608,4349.0832,
1206.698,4398.7018,
1203.787,4361.6734,
1200.877,4386.6657,
1197.966,4381.2707,
1195.055,4517.5198,
1192.145,4599.6048,
1189.234,4700.099,
1186.324,4797.4597,
1183.413,4845.533,
1180.503,4847.302,
1177.592,4822.0198,
1174.681,4750.298,
1171.771,4709.3928,
1168.860,4639.7318,
1165.950,4575.7534,
1163.039,4497.0485,
1160.129,4464.2812,
1157.218,4454.2697,
1154.307,4419.1731,
1151.397,4350.3636,
1148.486,4280.9077,
1145.576,4233.1497,
1142.665,4190.5299,
1139.754,4191.0681,
1136.844,4181.4955,
1133.933,4130.666,
1131.023,4077.6999,
1128.112,4050.7149,
1125.202,4042.5169,
1122.291,4044.7601,
1119.380,4070.6102,
1116.470,4030.8965,
1113.559,4094.0459,
1110.649,4079.2932,
1107.738,4101.1864,
1104.828,4118.1077,
1101.917,4089.7454,
1099.006,4074.8146,
1096.096,4044.3865,
1093.185,4099.7006,
1090.275,4085.3868,
1087.364,4098.1531,
1084.453,4082.939,
1081.543,4059.3031,
1078.632,4048.2393,
1075.722,4039.4358,
1072.811,4036.3795,
1069.901,4027.6469,
1066.990,4101.3665,
1064.079,4122.4026,
1061.169,4178.6778,
1058.258,4226.8114,
1055.348,4231.706,
1052.437,4250.0227,
1049.527,4345.5902,
1046.616,4309.0994,
1043.705,4341.9967,
1040.795,4368.3241,
1037.884,4381.0459,
1034.974,4397.6624,
1032.063,4424.0075,
1029.153,4441.5579,
1026.242,4454.5323,
1023.331,4442.5008,
1020.421,4485.3116,
1017.510,4530.2124,
1014.600,4574.5299,
1011.689,4618.5476,
1008.778,4667.8713,
1005.868,4802.8302,
1002.957,5006.7341,
1000.047,5180.6881,
997.136,5304.4791,
994.226,5398.1685,
991.315,5434.1238,
988.404,5376.4083,
985.494,5298.9286,
982.583,5206.4205,
979.673,5172.5139,
976.762,5141.5159,
973.852,5117.4858,
970.941,5114.5204,
968.030,5126.8439,
965.120,5109.0716,
962.209,5126.1224,
959.299,5090.7545,
956.388,5106.918,
953.477,5143.9198,
950.567,5142.7003,
947.656,5097.7961,
944.746,5149.619,
941.835,5137.4234,
938.925,5173.483,
936.014,5180.3427,
933.103,5157.8195,
930.193,5135.6066,
927.282,5107.584,
924.372,4989.199,
921.461,4932.7616,
918.551,4904.0576,
915.640,4851.0807,
912.729,4782.8025,
909.819,4749.6622,
906.908,4709.2258,
903.998,4747.5636,
901.087,4765.0016,
898.176,4799.0633,
895.266,4849.7743,
892.355,4905.1195,
889.445,4996.5996,
886.534,5036.239,
883.624,5072.2589,
880.713,5133.9735,
877.802,5150.1243,
874.892,5092.3454,
871.981,5085.3156,
869.071,5098.6823,
866.160,5088.5807,
863.250,5099.2503,
860.339,5097.1752,
857.428,5061.6434,
854.518,5039.4092,
851.607,5053.5544,
848.697,4992.033,
845.786,4934.4569,
842.875,4912.5441,
839.965,4933.2139,
837.054,4988.4511,
834.144,4939.5547,
831.233,4915.3344,
828.323,4935.696,
825.412,4919.5691,
822.501,4823.9148,
819.591,4812.3453,
816.680,4763.923,
813.770,4658.0246,
810.859,4609.2199,
807.949,4592.6438,
805.038,4530.4801,
802.127,4567.5208,
799.217,4582.9263,
796.306,4561.4593,
