,PL9D3A~1,
Raman shift [1/cm],Intensity,
126.873,136.00505,
123.963,96.099054,
121.052,68.368166,
118.141,44.095499,
115.231,36.183726,
112.320,30.458184,
109.410,26.590934,
106.499,24.454469,
103.589,25.120509,
100.678,21.654053,
97.767,10.279052,
94.857,16.236901,
91.946,17.387557,
89.036,14.43551,
86.125,10.889484,
83.215,11.061841,
80.304,13.197163,
77.393,16.738013,
74.483,15.68973,
71.572,10.651775,
68.662,3.0692675,
65.751,3.7757186,
62.840,3.036596,
59.930,3.3110034,
57.019,8.2465773,
54.109,6.6113566,
51.198,5,
48.288,5.0169873,
45.377,7.1271215,
42.466,8.4122193,
39.556,9.1151186,
36.645,9.8173088,
33.735,11.557745,
30.824,14.325322,
27.914,18.532373,
25.003,18.377363,
22.092,23.166473,
19.182,34.869549,
16.271,61.450174,
13.361,232.57549,
10.450,600.8334,
7.539,1459.7613,
4.629,2289.1655,
1.718,2751.5882,
-1.192,2407.8959,
-4.103,1483.4869,
-7.013,634.9954,
-9.924,-6,
