,PLABEE~1,
Wavenumbers [1/cm],Intensity,
2132.262,517.64701,
2129.351,524.73447,
2126.441,487.77659,
2123.530,488.02245,
2120.619,486.69739,
2117.709,459.14412,
2114.798,434.56148,
2111.888,429.58734,
2108.977,422.19205,
2106.067,412.96649,
2103.156,372.40742,
2100.245,384.99875,
2097.335,382.27749,
2094.424,377.9574,
2091.514,368.84398,
2088.603,350.79722,
2085.692,355.59107,
2082.782,361.65458,
2079.871,364.82147,
2076.961,379.03133,
2074.050,393.90303,
2071.140,384.11557,
2068.229,350.34764,
2065.318,369.61725,
2062.408,372.44705,
2059.497,353.15473,
2056.587,363.53447,
2053.676,357.66766,
2050.766,367.84529,
2047.855,348.0822,
2044.944,384.86699,
2042.034,379.02305,
2039.123,373.20202,
2036.213,379.73328,
2033.302,359.19571,
2030.391,352.77975,
2027.481,365.13401,
2024.570,372.5285,
2021.660,411.5757,
2018.749,385.73407,
2015.839,380.21063,
2012.928,388.91946,
2010.017,408.23237,
2007.107,423.57753,
2004.196,392.36903,
2001.286,411.77381,
1998.375,389.72734,
1995.465,388.73214,
1992.554,379.85305,
1989.643,399.2396,
1986.733,381.16053,
1983.822,387.24446,
1980.912,401.76195,
1978.001,384,
1975.090,388.78168,
1972.180,392.62102,
1969.269,382.77297,
1966.359,379.29731,
1963.448,380,
1960.538,407.59133,
1957.627,413.10836,
1954.716,398.4309,
1951.806,405.95032,
1948.895,401.55673,
1945.985,379.02124,
1943.074,391.97403,
1940.164,412.86534,
1937.253,405.55659,
1934.342,384.86311,
1931.432,375.35016,
1928.521,398.83247,
1925.611,372.24064,
1922.700,365.12293,
1919.790,385.0865,
1916.879,385.20925,
1913.968,412.96557,
1911.058,374.92493,
1908.147,389.99272,
1905.237,402.20588,
1902.326,399,
1899.415,394.40731,
1896.505,408.49426,
1893.594,435.46033,
1890.684,413.15693,
1887.773,423.79258,
1884.863,424.96811,
1881.952,393.28524,
1879.041,385.26947,
1876.131,379.48497,
1873.220,374.51326,
1870.310,381.426,
1867.399,429.23231,
1864.489,445.63698,
1861.578,410.22541,
1858.667,394.32035,
1855.757,400.00716,
1852.846,400.79485,
1849.936,420.34936,
1847.025,413.81994,
1844.114,435.63296,
1841.204,430.01749,
1838.293,422.4842,
1835.383,438.55799,
1832.472,413.75478,
1829.562,403.22084,
1826.651,417.20533,
1823.740,420.27203,
1820.830,439.29151,
1817.919,448.25751,
1815.009,436.15649,
1812.098,458.23621,
1809.188,445.0543,
1806.277,437.15492,
1803.366,451.04991,
1800.456,455.64872,
1797.545,480.12786,
1794.635,441.61299,
1791.724,439.49514,
1788.813,441.39923,
1785.903,448.84877,
1782.992,467.58714,
1780.082,435.8202,
1777.171,433.32601,
1774.261,401.61991,
1771.350,428.82601,
1768.439,472.63699,
1765.529,472.72967,
1762.618,485.58437,
1759.708,484.02175,
1756.797,488.76515,
1753.887,472.81924,
1750.976,467.43455,
1748.065,505.95084,
1745.155,487.67769,
1742.244,483.21555,
1739.334,470.08942,
1736.423,479.78315,
1733.512,496.73173,
1730.602,522.44051,
1727.691,527.69702,
1724.781,508.90874,
1721.870,512.04767,
1718.960,501.66652,
1716.049,530.04206,
1713.138,524.88505,
1710.228,482.09604,
1707.317,529.07428,
1704.407,489.28335,
1701.496,517.72727,
1698.586,508.06422,
1695.675,529.45701,
1692.764,535.73361,
1689.854,547.48032,
1686.943,542.20235,
1684.033,545.90066,
1681.122,561.72812,
1678.211,555.06662,
1675.301,560.9815,
1672.390,594.91327,
1669.480,566.12033,
1666.569,580.79687,
1663.659,565.08166,
1660.748,570.36635,
1657.837,589.43739,
1654.927,608.71885,
1652.016,597.41308,
1649.106,614.95476,
1646.195,652.95205,
1643.285,650.52148,
1640.374,630.85714,
1637.463,671.32426,
1634.553,688.57144,
1631.642,660.65147,
1628.732,719.83409,
1625.821,692.04514,
1622.911,760.61118,
1620.000,757.05039,
1617.089,820.70646,
1614.179,866.70275,
1611.268,868.96282,
1608.358,905.22072,
1605.447,928.68589,
1602.536,988.70889,
1599.626,969.08175,
1596.715,1020.5485,
1593.805,949.98179,
1590.894,938.35799,
1587.984,936.26782,
1585.073,968.33104,
1582.162,953.96274,
1579.252,907.44834,
1576.341,872.36597,
1573.431,873.83174,
1570.520,865.29872,
1567.610,867.96088,
1564.699,862.7497,
1561.788,883.94343,
1558.878,860.54461,
1555.967,857.55263,
