,PL267D~1,
Raman shift [1/cm],Intensity,
662.420,6317.9038,
659.509,6328.0438,
656.598,6336.8465,
653.688,6347.3813,
650.777,6369.7379,
647.867,6325.1435,
644.956,6332.5862,
642.046,6338.2748,
639.135,6337.1191,
636.224,6359.2818,
633.314,6365.6333,
630.403,6397.993,
627.493,6446.1352,
624.582,6495.0769,
621.672,6521.2127,
618.761,6519.9702,
615.850,6544.5954,
612.940,6615.7971,
610.029,6706.9369,
607.119,6669.0346,
604.208,6713.5309,
601.297,6716.7989,
598.387,6702.2564,
595.476,6702.4219,
592.566,6651.2624,
589.655,6656.5036,
586.745,6680.7408,
583.834,6688.1966,
580.923,6638.3353,
578.013,6652.4605,
575.102,6618.9668,
572.192,6641.9844,
569.281,6732.4064,
566.371,6727.7107,
563.460,6800.6187,
560.549,6835.1482,
557.639,6855.0952,
554.728,6898.1022,
551.818,6895.7612,
548.907,6979.9584,
545.996,7046.3025,
543.086,7059.3783,
540.175,7032.1257,
537.265,7098.3323,
534.354,7172.4123,
531.444,7236.1335,
528.533,7282.6027,
525.622,7357.8696,
522.712,7444.0266,
519.801,7551.8783,
516.891,7654.3455,
513.980,7659.7656,
511.070,7769.4238,
508.159,7916.4941,
505.248,8064.3036,
502.338,8178.5258,
499.427,8290.4415,
496.517,8348.5328,
493.606,8396.8329,
490.695,8449.357,
487.785,8450.1268,
484.874,8443.7878,
481.964,8465.9973,
479.053,8494.1602,
476.143,8460.3699,
473.232,8434.5097,
470.321,8426.7097,
467.411,8415.0805,
464.500,8376.0367,
461.590,8367.6135,
458.679,8366.9009,
455.769,8384.9484,
452.858,8429.5216,
449.947,8508.9705,
447.037,8530.1041,
444.126,8527.3349,
441.216,8516.9854,
438.305,8515.4616,
435.395,8502.7929,
432.484,8509.1693,
429.573,8510.3873,
426.663,8438.1739,
423.752,8497.8074,
420.842,8472.8177,
417.931,8459.6697,
415.020,8637.1255,
412.110,8712.0216,
409.199,8752.8979,
406.289,8763.1005,
403.378,8744.2961,
400.468,8757.904,
397.557,8784.3584,
394.646,8810.3676,
391.736,8823.7912,
388.825,8809.4609,
385.915,8785.0266,
383.004,8782.9549,
380.094,8826.5496,
377.183,8910.8269,
374.272,9021.0949,
371.362,9092.7784,
368.451,9098.8697,
365.541,9257.2328,
362.630,9340.6718,
359.719,9368.3306,
356.809,9359.3699,
353.898,9443.9841,
350.988,9477.5572,
348.077,9499.028,
345.167,9529.7959,
342.256,9520.8311,
339.345,9573.519,
336.435,9630.5778,
333.524,9654.9746,
330.614,9741.4127,
327.703,9803.675,
324.793,9844.4682,
321.882,9865.4573,
318.971,9950.9532,
316.061,10018.338,
313.150,10074.417,
310.240,10126.365,
307.329,10206.86,
304.418,10261.96,
301.508,10287.887,
298.597,10279.002,
295.687,10335.138,
292.776,10468.084,
289.866,10674.478,
286.955,10950.762,
284.044,11200.872,
281.134,11441.002,
278.223,11673.8,
275.313,11896.33,
272.402,12123.33,
269.492,12365.099,
266.581,12624.538,
263.670,12880.38,
260.760,13130.293,
257.849,13351.557,
254.939,13524.02,
252.028,13620.35,
249.117,13680.919,
246.207,13738.472,
243.296,13847.546,
240.386,13859.903,
237.475,13801.085,
234.565,13706.135,
231.654,13705.405,
228.743,13623.548,
225.833,13548.92,
222.922,13513.192,
220.012,13447.622,
217.101,13335.468,
214.191,13232.508,
211.280,13203.409,
208.369,13265.167,
205.459,13283.075,
202.548,13273.278,
199.638,13331.33,
196.727,13372.637,
193.816,13375.587,
190.906,13335.958,
187.995,13441.665,
185.085,13497.637,
182.174,13521.796,
179.264,13531.192,
176.353,13573.26,
173.442,13591.899,
170.532,13563.5,
167.621,13385.419,
164.711,13181.682,
161.800,12898.461,
158.890,12480.299,
155.979,11687.895,
153.068,10704.642,
150.158,9556.5296,
147.247,8259.1898,
144.337,6803.1109,
141.426,5337.1552,
138.516,3928.4639,
135.605,2787.3295,
132.694,1906.6397,
129.784,1254.5376,
126.873,814.73276,
123.963,565.34129,
121.052,400.34017,
118.141,289.68536,
115.231,230.27266,
112.320,186.33911,
109.410,155.56841,
106.499,136.34022,
103.589,118.80389,
100.678,104.99054,
97.767,96.459289,
94.857,84.469186,
91.946,76.025113,
89.036,70.346817,
86.125,64.673175,
83.215,59.533558,
80.304,55.771135,
77.393,54.354795,
74.483,52.93973,
71.572,52.25,
68.662,51.903663,
65.751,48.371407,
62.840,47.25,
59.930,45.377138,
57.019,38.326318,
54.109,31.875552,
51.198,29.154828,
48.288,31.210363,
45.377,26.286716,
42.466,26.311097,
39.556,29.595356,
36.645,31.701926,
33.735,27.576764,
30.824,23.691774,
27.914,25.094124,
25.003,20.2689,
22.092,16.281286,
19.182,14.341531,
16.271,17.139492,
13.361,43.537479,
10.450,59.740777,
7.539,-47.799789,
4.629,-371.08789,
1.718,-731.35247,
-1.192,-1003.936,
-4.103,-734.91526,
-7.013,-375.18596,
-9.924,-0.75,
