,PLA276~1,
Wavenumbers [1/cm],Intensity,
1902.326,370.0478,
1899.415,340.17316,
1896.505,352.24426,
1893.594,400.56102,
1890.684,390.99852,
1887.773,384.34443,
1884.863,404.67938,
1881.952,392.31267,
1879.041,369.62019,
1876.131,368.82189,
1873.220,354.93136,
1870.310,349.96525,
1867.399,351.71801,
1864.489,411.67211,
1861.578,404.14604,
1858.667,351.36376,
1855.757,362.94212,
1852.846,372.00128,
1849.936,371.54079,
1847.025,379.33393,
1844.114,389.0935,
1841.204,375.6521,
1838.293,384.7367,
1835.383,406.41249,
1832.472,398.17957,
1829.562,379.00078,
1826.651,401.73354,
1823.740,394.09479,
1820.830,380.57672,
1817.919,396.66628,
1815.009,399.89377,
1812.098,394.36418,
1809.188,394.68798,
1806.277,385.94919,
1803.366,396.08272,
1800.456,415.25539,
1797.545,408.50168,
1794.635,422.52495,
1791.724,403.22569,
1788.813,416.15051,
1785.903,425.01933,
1782.992,440.97054,
1780.082,421.55757,
1777.171,419.07976,
1774.261,408.67006,
1771.350,429.18426,
1768.439,431.04484,
1765.529,416.75282,
1762.618,439.58126,
1759.708,450.36962,
1756.797,454.67424,
1753.887,448.1086,
1750.976,428.41885,
1748.065,468.74845,
1745.155,436.24077,
1742.244,427.55974,
1739.334,436.27235,
1736.423,441.52195,
1733.512,467.30697,
1730.602,499.68654,
1727.691,480.11422,
1724.781,474.10973,
1721.870,445.7784,
1718.960,478.21714,
1716.049,480.0382,
1713.138,465.92506,
1710.228,453.30644,
1707.317,502.17057,
1704.407,495.27404,
1701.496,480.07678,
1698.586,509.24149,
1695.675,501.45721,
1692.764,484.65573,
1689.854,482.79331,
1686.943,498.21039,
1684.033,509.4768,
1681.122,525.47812,
1678.211,501.97842,
1675.301,560.56808,
1672.390,560.66925,
1669.480,533.83824,
1666.569,544.87696,
1663.659,554.65201,
1660.748,549.55983,
1657.837,590.35634,
1654.927,573.17172,
1652.016,590.7257,
1649.106,590.80268,
1646.195,632.29445,
1643.285,613.68164,
1640.374,611.27265,
1637.463,636.6147,
1634.553,683.85345,
1631.642,690.55456,
1628.732,673.26551,
1625.821,759.76243,
1622.911,778.64293,
1620.000,813.30904,
1617.089,857.85448,
1614.179,928.71953,
1611.268,917.27049,
1608.358,983.47238,
1605.447,1044.2648,
1602.536,1059.8645,
1599.626,1054.3105,
1596.715,1090.9616,
1593.805,1044.6674,
1590.894,1049.318,
1587.984,995.32011,
1585.073,1045.4564,
1582.162,1031.5383,
1579.252,990.74475,
1576.341,967.5298,
1573.431,960.6173,
1570.520,975.80192,
1567.610,951.69073,
1564.699,960.60077,
1561.788,938.17282,
1558.878,934.62592,
1555.967,928.17936,
1553.057,906.80189,
1550.146,892.2191,
1547.235,895.24359,
1544.325,859.59724,
1541.414,825.50966,
1538.504,826.86042,
1535.593,809.81268,
1532.683,813.93547,
1529.772,837.41886,
1526.861,799.98933,
1523.951,758.75,
1521.040,766.9717,
1518.130,782.75,
1515.219,768.75105,
1512.309,732.2545,
1509.398,720.86803,
1506.487,703.04036,
1503.577,775.90414,
1500.666,719.6454,
1497.756,728.04677,
1494.845,742.70943,
1491.934,717.7941,
1489.024,731.269,
1486.113,727.11392,
1483.203,735.63168,
1480.292,729.1134,
1477.382,666.32314,
1474.471,656.35427,
1471.560,699.11297,
1468.650,714.75,
1465.739,696.17579,
1462.829,684.55637,
1459.918,668.83274,
1457.008,661.31929,
1454.097,661.59058,
1451.186,651.75967,
1448.276,646.96382,
1445.365,642.39139,
1442.455,636.77606,
1439.544,671.66645,
1436.633,677.20581,
1433.723,662.60425,
1430.812,707.3514,
1427.902,665.0657,
1424.991,678.33437,
1422.081,666.8228,
1419.170,678.71091,
1416.259,664.54874,
1413.349,650.93187,
1410.438,653.34824,
1407.528,675.70599,
1404.617,643.88964,
1401.707,615.86976,
1398.796,638.04715,
1395.885,640.90731,
1392.975,630.45907,
1390.064,670.99066,
1387.154,668.55223,
1384.243,613.68436,
1381.332,695.21272,
1378.422,659.81271,
1375.511,680.42189,
1372.601,666.92644,
1369.690,721.46946,
1366.780,718.86947,
1363.869,755.70624,
1360.958,764.14784,
1358.048,777.36273,
1355.137,783.49316,
1352.227,806.20115,
1349.316,846.91541,
1346.406,867.7328,
1343.495,873.04091,
1340.584,840.96406,
1337.674,858.96603,
1334.763,885.00901,
1331.853,865.53716,
1328.942,928.79141,
1326.032,931.85628,
1323.121,954.46086,
1320.210,951.42935,
1317.300,948.11093,
1314.389,968.76426,
1311.479,1016.0216,
1308.568,1051.5949,
1305.657,1052.8072,
1302.747,1087.3844,
1299.836,1170.293,
1296.926,1153.8182,
1294.015,1176.8013,
1291.105,1165.4224,
1288.194,1222.857,
1285.283,1257.7981,
1282.373,1264.4844,
1279.462,1270.3381,
1276.552,1309.6635,
1273.641,1362.7954,
1270.731,1390.4545,
1267.820,1403.8274,
1264.909,1411.8709,
1261.999,1411.4518,
1259.088,1375.8791,
1256.178,1361.7596,
1253.267,1316.0199,
1250.356,1282.4324,
1247.446,1278.0305,
1244.535,1242.1073,
1241.625,1187.6204,
1238.714,1148.691,
1235.804,1108.9684,
1232.893,1108.6267,
1229.982,1099.5848,
1227.072,1065.1829,
1224.161,1027.4488,
1221.251,1038.6182,
1218.340,1031.1459,
1215.430,1008.8855,
1212.519,1003.9942,
1209.608,1002.4731,
1206.698,989.11183,
1203.787,1003.348,
1200.877,994.57986,
1197.966,975.69752,
1195.055,1016.5592,
1192.145,1029.7607,
1189.234,1066.136,
1186.324,1091.2961,
1183.413,1093.6586,
1180.503,1094.4716,
1177.592,1099.8004,
1174.681,1080.7945,
1171.771,1040.2445,
1168.860,1061.6787,
1165.950,1049.2368,
1163.039,1030.3851,
1160.129,1052.063,
1157.218,1060.2123,
1154.307,1046.2659,
1151.397,1033.3228,
1148.486,1007.4964,
1145.576,1027.902,
1142.665,1008.3679,
1139.754,1017.3272,
1136.844,1022.5512,
1133.933,1024.3365,
1131.023,1032.3035,
1128.112,1031.4656,
1125.202,1028.7596,
1122.291,1071.998,
1119.380,1066.5941,
1116.470,1050.7086,
1113.559,1087.4125,
1110.649,1077.7949,
1107.738,1078.0022,
1104.828,1087.3339,
1101.917,1067.8143,
1099.006,1023.1005,
1096.096,1024.6425,
1093.185,1022.8865,
1090.275,1038.1261,
1087.364,1047.239,
1084.453,1046.3752,
1081.543,1048.5704,
1078.632,1056.317,
1075.722,1060.8784,
1072.811,1068.4182,
1069.901,1105.9685,
1066.990,1092.5834,
1064.079,1104.4018,
1061.169,1112.3023,
1058.258,1109.3621,
1055.348,1117.3902,
1052.437,1147.914,
1049.527,1146.7024,
1046.616,1093.7039,
1043.705,1096.9992,
1040.795,1119.5436,
1037.884,1134.7959,
1034.974,1123.1083,
1032.063,1094.3655,
1029.153,1087.1654,
1026.242,1090.6253,
1023.331,1115.7484,
1020.421,1138.8746,
1017.510,1149.5514,
1014.600,1164.015,
1011.689,1189.8722,
1008.778,1216.8551,
1005.868,1240.4566,
1002.957,1207.7631,
1000.047,1268.998,
997.136,1283.1781,
994.226,1265.9348,
991.315,1272.9307,
988.404,1306.6979,
985.494,1255.1336,
982.583,1272.2647,
979.673,1266.7019,
976.762,1267.8597,
973.852,1268.0979,
970.941,1258.2296,
968.030,1239.143,
965.120,1218.9755,
962.209,1272.6857,
959.299,1285.9995,
956.388,1276.5507,
953.477,1267.339,
950.567,1268.58,
947.656,1274.0842,
944.746,1276.6329,
941.835,1303.4738,
938.925,1300.5373,
936.014,1281.5869,
933.103,1273.0464,
930.193,1277.9558,
927.282,1258.2459,
924.372,1248.9442,
921.461,1205.7752,
918.551,1215.1492,
915.640,1215.7523,
912.729,1194.6285,
909.819,1198.5267,
906.908,1189.2601,
903.998,1171.252,
901.087,1192.2102,
898.176,1201.978,
895.266,1206.9068,
892.355,1228.4359,
889.445,1226.7573,
886.534,1222.5756,
883.624,1243.2806,
880.713,1254.7707,
877.802,1236.6435,
874.892,1195.7861,
871.981,1173.7105,
869.071,1172.0397,
866.160,1189.689,
863.250,1202.992,
860.339,1211.3297,
857.428,1224.2545,
854.518,1250.402,
851.607,1203.8061,
