,PLB8BC~1,
Wavenumbers [1/cm],Intensity,
1197.966,1080.1819,
1195.055,1113.1137,
1192.145,1129.5202,
1189.234,1142.3331,
1186.324,1154.8871,
1183.413,1158.1586,
1180.503,1159.9833,
1177.592,1171.7147,
1174.681,1166.9144,
1171.771,1123.2088,
1168.860,1121.4226,
1165.950,1130.1192,
1163.039,1130.8532,
1160.129,1114.3239,
1157.218,1108.5381,
1154.307,1100.151,
1151.397,1079.8995,
1148.486,1093.6967,
1145.576,1111.4768,
1142.665,1070.6328,
1139.754,1101.4224,
1136.844,1110.6506,
1133.933,1103.0389,
1131.023,1107.164,
1128.112,1110.7511,
1125.202,1106.6703,
1122.291,1135.7487,
1119.380,1131.8429,
1116.470,1090.3641,
1113.559,1130.8717,
1110.649,1145.5597,
1107.738,1144.6425,
1104.828,1149.9076,
1101.917,1134.3969,
1099.006,1078.9303,
1096.096,1096.7875,
1093.185,1105.5676,
1090.275,1096.5388,
1087.364,1101.1112,
1084.453,1104.8125,
1081.543,1111.3851,
1078.632,1117.3696,
1075.722,1114.1903,
1072.811,1119.1187,
1069.901,1131.3444,
1066.990,1128.2083,
1064.079,1151.068,
1061.169,1153.9655,
1058.258,1149.3674,
1055.348,1158.7171,
1052.437,1179.1697,
1049.527,1202.7059,
1046.616,1162.7398,
1043.705,1188.3098,
1040.795,1185.7569,
1037.884,1180.2615,
1034.974,1176.4085,
1032.063,1174.2113,
1029.153,1191.7959,
1026.242,1179.6865,
1023.331,1202.5818,
1020.421,1218.4036,
1017.510,1227.1719,
1014.600,1245.0526,
1011.689,1252.1368,
1008.778,1222.7687,
1005.868,1243.4044,
1002.957,1260.6115,
1000.047,1302.562,
997.136,1342.505,
994.226,1353.5578,
991.315,1351.0346,
988.404,1354.0358,
985.494,1301.7103,
982.583,1322.2677,
979.673,1344.2728,
976.762,1323.0691,
973.852,1315.1843,
970.941,1323.1369,
968.030,1303.2442,
965.120,1286.429,
962.209,1329.0561,
959.299,1331.2923,
956.388,1335.9696,
953.477,1337.9618,
950.567,1345.5369,
947.656,1377.0191,
944.746,1352.382,
941.835,1374.7346,
938.925,1351.9538,
936.014,1347.8723,
933.103,1357.8969,
930.193,1347.0624,
927.282,1307.854,
924.372,1337.4502,
921.461,1308.112,
918.551,1280.5648,
915.640,1265.0006,
912.729,1256.8348,
909.819,1253.9198,
906.908,1281.7198,
903.998,1234.7328,
901.087,1241.3452,
898.176,1274.201,
895.266,1297.9326,
892.355,1298.8206,
889.445,1307.2133,
886.534,1342.3146,
883.624,1322.3367,
880.713,1320.9882,
877.802,1317.6596,
874.892,1277.5646,
871.981,1219.5928,
869.071,1149.4182,
866.160,1193.8267,
863.250,1248.0812,
860.339,1279.2616,
857.428,1295.5197,
854.518,1323.7947,
851.607,1238.9236,
848.697,1200.8642,
845.786,1193.8828,
842.875,1240.594,
839.965,1318.915,
837.054,1308.5291,
834.144,1333.3917,
831.233,1326.2509,
828.323,1332.6143,
825.412,1346.8598,
822.501,1350.1011,
819.591,1349.2747,
816.680,1378.0962,
813.770,1332.6238,
810.859,1311.1773,
807.949,1318.0134,
805.038,1306.2412,
802.127,1322.7037,
799.217,1319.0323,
796.306,1287.1687,
793.396,1282.1586,
790.485,1299.5104,
787.574,1259.6237,
784.664,1269.465,
781.753,1281.9857,
778.843,1295.5814,
775.932,1309.1882,
773.022,1319.2356,
770.111,1312.695,
767.200,1313.0113,
764.290,1300.5367,
761.379,1292.8255,
758.469,1305.7133,
755.558,1344.5692,
752.648,1321.7603,
749.737,1325.0835,
746.826,1338.5744,
743.916,1337.8018,
741.005,1311.8265,
738.095,1343.4897,
735.184,1321.5079,
732.274,1276.0149,
729.363,1236.8529,
726.452,1233.798,
723.542,1297.7401,
720.631,1269.1394,
717.721,1278.7267,
714.810,1299.7215,
711.899,1310.8144,
708.989,1313.2351,
706.078,1340.4943,
703.168,1355.1439,
700.257,1339.2088,
697.347,1305.7721,
694.436,1293.2936,
691.525,1294.9013,
688.615,1284.5585,
685.704,1289.9057,
682.794,1304.7819,
679.883,1302.457,
676.973,1284.8269,
674.062,1271.0407,
671.151,1282.7832,
668.241,1302.391,
665.330,1293.3634,
662.420,1295.7596,
659.509,1319.1075,
656.598,1329.6535,
653.688,1323.9496,
650.777,1316.628,
647.867,1327.7766,
644.956,1305.484,
642.046,1274.0807,
639.135,1249.9923,
636.224,1245.5962,
633.314,1314.6688,
630.403,1332.8412,
627.493,1327.873,
624.582,1323.3111,
621.672,1341.527,
618.761,1330.8509,
