,PL77CF~1,
Raman shift [1/cm],Intensity,
1820.830,1153.4621,
1817.919,1155.1663,
1815.009,1159.25,
1812.098,1152.0689,
1809.188,1157.8159,
1806.277,1136.7369,
1803.366,1169.1003,
1800.456,1160.305,
1797.545,1161.8032,
1794.635,1170.8621,
1791.724,1195.415,
1788.813,1188.6402,
1785.903,1163.8779,
1782.992,1175.8118,
1780.082,1163.0702,
1777.171,1175.9176,
1774.261,1174.8699,
1771.350,1188.2248,
1768.439,1217.2709,
1765.529,1226.8889,
1762.618,1239.385,
1759.708,1227.5869,
1756.797,1223.4773,
1753.887,1227.3783,
1750.976,1221.1741,
1748.065,1248.8153,
1745.155,1256.4759,
1742.244,1259.8442,
1739.334,1282.3676,
1736.423,1269.0538,
1733.512,1268.9817,
1730.602,1278.9822,
1727.691,1272.8057,
1724.781,1304.8594,
1721.870,1341.6121,
1718.960,1326.872,
1716.049,1360.8428,
1713.138,1342.6001,
1710.228,1339.9906,
1707.317,1375.6329,
1704.407,1412.5923,
1701.496,1402.5768,
1698.586,1428.9695,
1695.675,1403.1787,
1692.764,1424.918,
1689.854,1415.7264,
1686.943,1436.508,
1684.033,1499.6605,
1681.122,1473.7258,
1678.211,1509.8979,
1675.301,1577.0434,
1672.390,1544.4623,
1669.480,1615.5147,
1666.569,1648.1611,
1663.659,1642.3279,
1660.748,1708.2334,
1657.837,1758.5999,
1654.927,1774.1329,
1652.016,1771.5098,
1649.106,1862.5438,
1646.195,1874.7056,
1643.285,1894.8223,
1640.374,1962.1664,
1637.463,1960.0154,
1634.553,2057.8608,
1631.642,2166.4335,
1628.732,2274.6648,
1625.821,2344.322,
1622.911,2453.6301,
1620.000,2618.1586,
1617.089,2786.8669,
1614.179,2927.2737,
1611.268,3110.3349,
1608.358,3270.7115,
1605.447,3274.4785,
1602.536,3372.0981,
1599.626,3370.9706,
1596.715,3376.6032,
1593.805,3323.5901,
1590.894,3289.0686,
1587.984,3298.2414,
1585.073,3230.483,
1582.162,3257.4896,
1579.252,3202.2408,
1576.341,3163.417,
1573.431,3179.1789,
1570.520,3138.623,
1567.610,3120.5245,
1564.699,3056.8974,
1561.788,3011.4192,
1558.878,2963.3325,
1555.967,2887.7722,
1553.057,2849.3191,
1550.146,2834.4173,
1547.235,2755.6398,
1544.325,2666.2283,
1541.414,2649.2114,
1538.504,2603.2179,
1535.593,2550.7107,
1532.683,2532.9554,
1529.772,2482.2192,
1526.861,2429.1569,
1523.951,2386.9867,
1521.040,2340.4917,
1518.130,2306.511,
1515.219,2301.0498,
1512.309,2291.6508,
1509.398,2233.5163,
1506.487,2209.234,
1503.577,2233.7159,
1500.666,2261.4006,
1497.756,2184.3942,
1494.845,2196.8893,
1491.934,2164.0264,
1489.024,2095.6894,
1486.113,2124.7753,
1483.203,2093.4996,
1480.292,2085.856,
1477.382,2067.4685,
1474.471,2033.3222,
1471.560,1998.8517,
1468.650,2009.7482,
1465.739,1975.0562,
1462.829,1955.0245,
1459.918,1940.5703,
1457.008,1978.543,
1454.097,1977.9505,
1451.186,1938.2113,
1448.276,1968.8328,
1445.365,1972.9285,
1442.455,1971.1567,
1439.544,1956.1355,
1436.633,1912.677,
1433.723,1906.6209,
1430.812,1912.9253,
1427.902,1871.5206,
1424.991,1882.8937,
1422.081,1850.2208,
1419.170,1826.5126,
1416.259,1820.0097,
1413.349,1838.131,
1410.438,1813.4597,
1407.528,1785.4439,
1404.617,1779.0114,
1401.707,1797.738,
1398.796,1813.722,
1395.885,1840.7069,
1392.975,1863.3744,
1390.064,1854.2029,
1387.154,1900.5213,
1384.243,1907.2837,
1381.332,1899.8699,
1378.422,1994.0712,
1375.511,2009.9965,
1372.601,2048.956,
1369.690,2107.9695,
1366.780,2193.2854,
1363.869,2211.0706,
1360.958,2195.7252,
1358.048,2261.2274,
1355.137,2306.5188,
1352.227,2331.9887,
1349.316,2372.3048,
1346.406,2412.8198,
1343.495,2477.7657,
1340.584,2469.0711,
1337.674,2502.9349,
1334.763,2601.3438,
1331.853,2630.088,
1328.942,2617.908,
1326.032,2736.9619,
1323.121,2807.9669,
1320.210,2809.2657,
1317.300,2835.8932,
1314.389,2933.7653,
1311.479,3014.7354,
1308.568,3037.2298,
1305.657,3067.0169,
1302.747,3124.8953,
1299.836,3222.6039,
1296.926,3286.9929,
1294.015,3389.0378,
1291.105,3537.6589,
1288.194,3631.5331,
1285.283,3711.1103,
1282.373,3754.2343,
1279.462,3804.7787,
1276.552,3865.5887,
1273.641,3919.8876,
1270.731,3942.6067,
1267.820,3913.081,
1264.909,3912.7442,
1261.999,3886.551,
1259.088,3867.3964,
1256.178,3838.8434,
1253.267,3720.7051,
1250.356,3625.9744,
1247.446,3499.8533,
1244.535,3374.2636,
1241.625,3286.7797,
1238.714,3215.8502,
