,PL0AF2~1,
Wavenumbers [1/cm],Intensity,
851.607,3745.8912,
848.697,3691.4772,
845.786,3663.2914,
842.875,3697.8485,
839.965,3786.7286,
837.054,3854.2791,
834.144,3879.1417,
831.233,3887.3331,
828.323,3879.6031,
825.412,3866.7804,
822.501,3847.4891,
819.591,3778.0715,
816.680,3807.2501,
813.770,3756.7353,
810.859,3742.7571,
807.949,3746.778,
805.038,3690.3031,
802.127,3684.5412,
799.217,3668.3468,
796.306,3626.6754,
793.396,3578.3662,
790.485,3547.8952,
787.574,3557.7712,
784.664,3630.7612,
781.753,3582.2695,
778.843,3606.8892,
775.932,3665.8518,
773.022,3673.5503,
770.111,3696.4425,
767.200,3669.8314,
764.290,3638.4628,
761.379,3654.691,
758.469,3707.5112,
755.558,3715.9302,
752.648,3680.0877,
749.737,3679.5279,
746.826,3659.6889,
743.916,3658.4095,
741.005,3729.594,
738.095,3779.1185,
735.184,3764.2633,
732.274,3695.5218,
729.363,3647.3884,
726.452,3662.0465,
723.542,3673.378,
720.631,3619.7177,
717.721,3609.3013,
714.810,3625.8011,
711.899,3651.3961,
708.989,3678.8315,
706.078,3635.7296,
703.168,3600.7112,
700.257,3609.7543,
697.347,3638.6963,
694.436,3615.3672,
691.525,3592.0568,
688.615,3575.6796,
685.704,3575.0437,
682.794,3590.9574,
679.883,3618.5859,
676.973,3653.8462,
674.062,3648.2384,
671.151,3645.8216,
668.241,3638.4199,
665.330,3597.9497,
662.420,3660.2507,
659.509,3675.5397,
656.598,3694.31,
653.688,3704.8077,
650.777,3664.6211,
647.867,3682.9366,
644.956,3654.8042,
642.046,3622.9767,
639.135,3611.2402,
636.224,3631.0836,
633.314,3647.7563,
630.403,3693.976,
627.493,3726.4567,
624.582,3728.292,
621.672,3711.6601,
618.761,3745.9572,
615.850,3751.4901,
612.940,3764.7598,
610.029,3795.1858,
607.119,3772.2866,
604.208,3774.2601,
601.297,3789.46,
598.387,3815.6118,
595.476,3843.9546,
592.566,3811.6848,
589.655,3811.831,
586.745,3795.0374,
583.834,3766.1454,
580.923,3756.1137,
578.013,3774.9473,
575.102,3809.253,
572.192,3834.2156,
569.281,3851.3886,
566.371,3914.7811,
563.460,3908.3016,
560.549,3871.8142,
557.639,3833.3602,
554.728,3819.626,
551.818,3845.3764,
548.907,3826.6235,
545.996,3823.8301,
543.086,3848.1941,
540.175,3867.6602,
537.265,3834.2346,
534.354,3835.549,
531.444,3863.0969,
528.533,3893.6891,
525.622,3847.1322,
522.712,3870.3714,
519.801,3897.7282,
516.891,3911.8517,
513.980,3935.8548,
511.070,3956.313,
508.159,4006.0258,
505.248,4059.0101,
502.338,4079.1415,
499.427,4049.8119,
496.517,4131.3736,
493.606,4192.5972,
490.695,4180.6746,
487.785,4199.9194,
484.874,4214.632,
481.964,4219.3389,
479.053,4207.991,
476.143,4170.3608,
473.232,4193.1791,
470.321,4192.2953,
467.411,4174.162,
464.500,4154.4654,
461.590,4172.8432,
458.679,4237.9821,
