,PL4AB2~1,
Raman shift [1/cm],Intensity,
1887.773,1457.7761,
1884.863,1465.6953,
1881.952,1458.0102,
1879.041,1450.75,
1876.131,1431.2049,
1873.220,1445.9271,
1870.310,1411.62,
1867.399,1438.2702,
1864.489,1462.0754,
1861.578,1424.486,
1858.667,1463.6841,
1855.757,1473.9743,
1852.846,1455.7961,
1849.936,1480.0293,
1847.025,1480.806,
1844.114,1494.9571,
1841.204,1497.6521,
1838.293,1511.7284,
1835.383,1526.3895,
1832.472,1552.6578,
1829.562,1537.1711,
1826.651,1533.7931,
1823.740,1525.4626,
1820.830,1527.4666,
1817.919,1546.8519,
1815.009,1555.0312,
1812.098,1562.9311,
1809.188,1566.5639,
1806.277,1588.2631,
1803.366,1554.3822,
1800.456,1591.4203,
1797.545,1582.6154,
1794.635,1559.3611,
1791.724,1613.5558,
1788.813,1626.1479,
1785.903,1601.2249,
1782.992,1550.139,
1780.082,1577.5576,
1777.171,1564.0739,
1774.261,1545.1753,
1771.350,1589.9758,
1768.439,1621.5595,
1765.529,1628.4768,
1762.618,1642.1763,
1759.708,1645.4455,
1756.797,1650.0379,
1753.887,1682.1101,
1750.976,1699.4673,
1748.065,1720.5687,
1745.155,1674.2665,
1742.244,1662.2762,
1739.334,1670.6959,
1736.423,1708.6098,
1733.512,1740.0305,
1730.602,1745.002,
1727.691,1780.83,
1724.781,1739.0494,
1721.870,1769.8169,
1718.960,1770.061,
1716.049,1813.0546,
1713.138,1810.6351,
1710.228,1829.6371,
1707.317,1819.4814,
1704.407,1833.0228,
1701.496,1843.8655,
1698.586,1843.826,
1695.675,1885.8569,
1692.764,1897.2705,
1689.854,1878.6161,
1686.943,1916.401,
1684.033,1951.8807,
1681.122,2006.8154,
1678.211,2042.4169,
1675.301,2042.75,
1672.390,2087.9025,
1669.480,2139.2795,
1666.569,2205.1817,
1663.659,2239.1746,
1660.748,2265.7719,
1657.837,2318.1437,
1654.927,2337.39,
1652.016,2406.2117,
1649.106,2425.2151,
1646.195,2445.0927,
1643.285,2502.6895,
1640.374,2631.0496,
1637.463,2739.8849,
1634.553,2804.277,
1631.642,2973.6621,
1628.732,3057.7988,
1625.821,3233.8573,
1622.911,3396.8258,
1620.000,3584.3688,
1617.089,3784.7301,
1614.179,3926.7455,
1611.268,4198.4145,
1608.358,4297.3955,
1605.447,4493.1516,
1602.536,4568.1183,
1599.626,4615.9868,
1596.715,4582.5384,
1593.805,4573.384,
1590.894,4599.1701,
1587.984,4593.223,
1585.073,4532.1928,
1582.162,4460.8033,
1579.252,4359.5552,
1576.341,4315.7181,
1573.431,4266.6754,
1570.520,4206.5942,
1567.610,4135.1217,
1564.699,4075.8734,
1561.788,4010.0463,
1558.878,3953.2463,
1555.967,3832.365,
1553.057,3741.1125,
1550.146,3725.2809,
1547.235,3669.127,
1544.325,3574.59,
1541.414,3536.9903,
1538.504,3501.7286,
1535.593,3451.6295,
1532.683,3440.8845,
1529.772,3440.1438,
1526.861,3416.2545,
1523.951,3396.5954,
1521.040,3383.168,
1518.130,3358.5757,
1515.219,3388.4705,
1512.309,3380.8987,
1509.398,3408.9497,
1506.487,3387.75,
1503.577,3388.4848,
1500.666,3385.5868,
1497.756,3328.8263,
1494.845,3329.83,
1491.934,3331.898,
1489.024,3377.1352,
1486.113,3349.0791,
1483.203,3297.9008,
1480.292,3230.6572,
1477.382,3235.915,
1474.471,3219.7981,
1471.560,3148.4401,
1468.650,3088.2198,
1465.739,3097.3696,
1462.829,3182.1745,
1459.918,3252.4021,
1457.008,3267.7038,
1454.097,3271.2202,
1451.186,3231.3419,
1448.276,3144.0877,
1445.365,3075.9585,
1442.455,2984.8844,
1439.544,2926.077,
1436.633,2908.5445,
1433.723,2830.145,
1430.812,2783.3067,
1427.902,2777.1863,
1424.991,2753.4922,
1422.081,2698.6189,
1419.170,2667.8282,
1416.259,2666.9903,
1413.349,2633.7642,
1410.438,2618.5513,
1407.528,2615.4625,
1404.617,2637.0609,
1401.707,2647.9805,
1398.796,2669.7115,
1395.885,2693.3759,
1392.975,2679.3747,
1390.064,2636.8475,
1387.154,2539.8512,
1384.243,2451.8166,
1381.332,2400.0419,
1378.422,2487.5805,
1375.511,2581.2586,
1372.601,2732.0444,
1369.690,2831.3295,
1366.780,2948.7146,
1363.869,3030.9623,
1360.958,3060.3328,
1358.048,3111.6216,
1355.137,3201.5752,
1352.227,3270.2207,
1349.316,3297.9154,
1346.406,3343.9584,
1343.495,3424.7152,
1340.584,3473.1416,
1337.674,3556.0348,
1334.763,3542.0676,
1331.853,3550.4126,
1328.942,3596.1127,
1326.032,3596.8563,
1323.121,3663.9187,
1320.210,3748.3488,
1317.300,3824.7881,
1314.389,3914.3067,
1311.479,3996.2741,
1308.568,4074.8529,
1305.657,4187.4316,
1302.747,4299.3734,
1299.836,4389.9639,
1296.926,4459.382,
1294.015,4537.5245,
1291.105,4660.5037,
1288.194,4771.8004,
1285.283,4855.8943,
1282.373,4906.9608,
1279.462,4952.9455,
1276.552,5033.0337,
1273.641,5083.8434,
1270.731,5060.3978,
1267.820,5052.8803,
1264.909,5048.8932,
1261.999,5067.4559,
1259.088,4949.7923,
1256.178,4922.195,
1253.267,4820.549,
1250.356,4719.6383,
1247.446,4630.5976,
1244.535,4533.2769,
1241.625,4441.8575,
1238.714,4368.5956,
1235.804,4291.9637,
1232.893,4210.8964,
1229.982,4110.2543,
1227.072,4007.0487,
1224.161,3938.3932,
1221.251,3862.7222,
1218.340,3795.4032,
1215.430,3715.6965,
1212.519,3648.5648,
1209.608,3627.0656,
1206.698,3646.4524,
1203.787,3673.0364,
1200.877,3665.9788,
1197.966,3701.9452,
1195.055,3847.0958,
1192.145,3994.9703,
1189.234,4124.6346,
1186.324,4228.3917,
1183.413,4261.9429,
1180.503,4249.4598,
1177.592,4246.7599,
1174.681,4200.5719,
1171.771,4107.9573,
1168.860,4030.2585,
1165.950,3978.4041,
1163.039,3943.3059,
1160.129,3954.5746,
1157.218,4000.0364,
1154.307,4061.3189,
1151.397,4121.4806,
1148.486,4166.5887,
1145.576,4234.3282,
1142.665,4247.6469,
1139.754,4140.5374,
1136.844,4111.5482,
1133.933,4092.1548,
1131.023,4043.3986,
1128.112,3982.7529,
1125.202,3939.7452,
1122.291,3918.502,
1119.380,3924.339,
1116.470,3984.3509,
1113.559,3954.634,
1110.649,3920.1756,
1107.738,3894.8904,
1104.828,3859.6162,
1101.917,3816.578,
1099.006,3784.9358,
1096.096,3738.1587,
1093.185,3728.5007,
1090.275,3752.8374,
1087.364,3781.3921,
1084.453,3811.9987,
1081.543,3843.9642,
1078.632,3880.4197,
1075.722,3914.9381,
1072.811,3915.3156,
1069.901,3909.2028,
1066.990,3965.3332,
1064.079,3967.8618,
1061.169,3953.9132,
1058.258,3944.2091,
1055.348,3936.3406,
1052.437,3920.0104,
1049.527,3889.5752,
1046.616,3859.1661,
1043.705,3863.4577,
1040.795,3851.0644,
1037.884,3854.382,
1034.974,3855.3222,
1032.063,3846.0959,
1029.153,3873.7886,
1026.242,3882.4382,
1023.331,3888.583,
1020.421,3982.4645,
1017.510,4026.6719,
1014.600,4080.5016,
1011.689,4158.017,
1008.778,4190.7721,
1005.868,4261.0821,
1002.957,4298.0773,
1000.047,4404.214,
997.136,4462.8937,
994.226,4468.8271,
991.315,4422.1287,
988.404,4332.6435,
985.494,4290.1171,
982.583,4261.8507,
979.673,4221.1677,
976.762,4166.6529,
973.852,4142.6121,
970.941,4152.3066,
968.030,4170.3686,
965.120,4224.4958,
962.209,4163.9653,
959.299,4224.5749,
956.388,4243.1107,
953.477,4246.2588,
950.567,4270.5927,
947.656,4292.8614,
944.746,4293.711,
941.835,4282.4126,
938.925,4285.6725,
936.014,4293.3024,
933.103,4291.0412,
930.193,4261.7707,
927.282,4190.7711,
924.372,4135.8067,
921.461,4048.4824,
918.551,4033.6924,
915.640,4027.1772,
912.729,3994.2841,
909.819,3963.3035,
906.908,3944.7701,
903.998,3976.3599,
901.087,3984.75,
898.176,4014.3361,
895.266,4055.6372,
892.355,4091.7125,
889.445,4182.3533,
886.534,4156.0341,
883.624,4170.2621,
880.713,4204.7574,
877.802,4221.4548,
874.892,4198.0061,
871.981,4155.5391,
869.071,4188.9556,
866.160,4188.5404,
863.250,4174.2175,
860.339,4191.314,
857.428,4238.4543,
854.518,4227.0409,
851.607,4167.964,
848.697,4137.1155,
845.786,4155.2552,
842.875,4180.4005,
839.965,4185.857,
837.054,4214.3733,
834.144,4269.8997,
831.233,4292.7491,
828.323,4279.4617,
825.412,4271.3407,
822.501,4286.3668,
819.591,4234.3036,
816.680,4257.5898,
813.770,4270.015,
810.859,4239.9069,
807.949,4206.4671,
805.038,4217.5907,
802.127,4141.863,
799.217,4136.9862,
796.306,4088.3712,
793.396,4049.9714,
790.485,4050.6452,
787.574,4058.8087,
784.664,4086.6925,
781.753,4097.1179,
778.843,4127.6847,
775.932,4142.2441,
773.022,4114.8219,
770.111,4147.525,
767.200,4139.8529,
764.290,4162.1766,
761.379,4166.5708,
758.469,4133.4496,
755.558,4090.8716,
752.648,4094.9446,
749.737,4002.4011,
746.826,3930.8376,
743.916,3855.2103,
741.005,3693.5703,
738.095,3417.5322,
735.184,3068.6936,
732.274,2975.8815,
729.363,3183.9521,
726.452,3585.7427,
723.542,3862.5552,
720.631,3950.3812,
717.721,3963.5845,
714.810,3998.6247,
711.899,4059.4133,
708.989,4027.9433,
706.078,4018.9357,
703.168,3985.1745,
700.257,3969.2883,
697.347,3966.4032,
694.436,3932.6409,
691.525,3928.6219,
688.615,3962.3401,
685.704,3973.2527,
682.794,3958.8777,
679.883,3953.543,
676.973,3971.1731,
674.062,3969.0073,
671.151,4007.3914,
668.241,4049.7906,
665.330,4016.603,
662.420,4055.7408,
659.509,4099.3061,
656.598,4105.902,
653.688,4107.0736,
650.777,4169.1848,
647.867,4093.5336,
644.956,4100.8969,
642.046,4110.7748,
639.135,4103.75,
636.224,4103.945,
633.314,4142.8479,
630.403,4156.2973,
627.493,4132.6329,
624.582,4097.1066,
621.672,4125.6184,
618.761,4117.6307,
615.850,4117.5049,
612.940,4131.7037,
610.029,4156.4598,
607.119,4166.725,
604.208,4205.3807,
601.297,4218.2574,
598.387,4209.4441,
595.476,4194.8642,
592.566,4206.6702,
589.655,4253.4544,
586.745,4236.523,
583.834,4179.0171,
580.923,4165.6363,
578.013,4146.8027,
575.102,4173.8709,
572.192,4225.9755,
569.281,4285.7484,
566.371,4335.8363,
563.460,4316.7641,
560.549,4322.8302,
557.639,4351.2982,
554.728,4383.9325,
551.818,4402.6601,
548.907,4411.6253,
545.996,4432.6343,
543.086,4459.2401,
540.175,4452.2323,
537.265,4430.7459,
534.354,4431.2787,
531.444,4451.7323,
528.533,4484.7366,
525.622,4512.6707,
522.712,4494.4799,
519.801,4490.5883,
516.891,4515.5407,
513.980,4544.1896,
511.070,4526.3239,
508.159,4561.2085,
505.248,4615.2594,
502.338,4634.863,
499.427,4638.7221,
496.517,4658.9823,
493.606,4680.4798,
490.695,4693.2151,
487.785,4689.3661,
484.874,4672.5944,
481.964,4661.2583,
479.053,4652.0504,
476.143,4628.2436,
473.232,4667.0366,
470.321,4651.1225,
467.411,4625.0945,
464.500,4646.1294,
461.590,4621.6257,
458.679,4636.7618,
455.769,4651.9144,
452.858,4652.9877,
449.947,4722.5054,
447.037,4720.9742,
444.126,4704.0955,
441.216,4695.7926,
