,PL3AE4~1,
Wavenumbers [1/cm],Intensity,
1058.258,1112.6401,
1055.348,1114.8119,
1052.437,1132.5631,
1049.527,1125.5729,
1046.616,1117.7534,
1043.705,1123.0411,
1040.795,1117.8514,
1037.884,1127.5299,
1034.974,1134.5438,
1032.063,1114.0984,
1029.153,1086.5102,
1026.242,1116.7837,
1023.331,1142.8734,
1020.421,1147.875,
1017.510,1145.6339,
1014.600,1163.3298,
1011.689,1192.4406,
1008.778,1195.6496,
1005.868,1177.0294,
1002.957,1194.2365,
1000.047,1242.011,
997.136,1284.7173,
994.226,1300.6443,
991.315,1291.177,
988.404,1272.6324,
985.494,1255.875,
982.583,1255.875,
979.673,1273.4345,
976.762,1276.3524,
973.852,1260.6147,
970.941,1250.6918,
968.030,1263.4183,
965.120,1243.986,
962.209,1270.4148,
959.299,1287.6235,
956.388,1286.7154,
953.477,1285.5742,
950.567,1288.2608,
947.656,1278.424,
944.746,1259.7337,
941.835,1312.3227,
938.925,1289.3403,
936.014,1272.3925,
933.103,1280.2307,
930.193,1281.6874,
927.282,1241.2416,
924.372,1248.0065,
921.461,1206.1638,
918.551,1193.7797,
915.640,1186.9512,
912.729,1173.8016,
909.819,1173.7663,
906.908,1195.6694,
903.998,1125.2922,
901.087,1151.4304,
898.176,1172.103,
895.266,1170.049,
892.355,1182.6862,
889.445,1213.7391,
886.534,1206.3612,
883.624,1222.3686,
880.713,1227.8129,
877.802,1203.6841,
874.892,1160.5658,
871.981,1145.4607,
869.071,1127.917,
866.160,1109.6959,
863.250,1150.0533,
860.339,1206.12,
857.428,1229.1098,
854.518,1224.5992,
851.607,1180.4995,
848.697,1186.6313,
845.786,1185.6095,
842.875,1198.7993,
839.965,1233.7196,
837.054,1223.9122,
834.144,1227.2272,
831.233,1222.5421,
828.323,1228.7773,
825.412,1241.7386,
822.501,1247.343,
819.591,1233.2942,
816.680,1237.6827,
813.770,1226.9715,
810.859,1194.6055,
807.949,1171.0409,
805.038,1187.7843,
802.127,1170.4986,
799.217,1154.7126,
796.306,1158.3886,
793.396,1151.2489,
790.485,1131.1385,
787.574,1135.9373,
784.664,1137.5775,
781.753,1139.888,
778.843,1147.7362,
775.932,1151.7886,
773.022,1145.509,
770.111,1149.5969,
767.200,1166.6239,
764.290,1160.8953,
761.379,1148.1486,
758.469,1145.2696,
755.558,1161.1456,
752.648,1136.7075,
749.737,1144.9308,
746.826,1157.4697,
743.916,1148.7969,
741.005,1102.3552,
738.095,1035.7813,
735.184,978.53588,
732.274,947.83115,
729.363,967.12705,
726.452,1044.9013,
723.542,1155.7882,
720.631,1138.9388,
717.721,1138.7491,
714.810,1148.4432,
711.899,1155.875,
708.989,1155.875,
706.078,1179.9141,
703.168,1162.1934,
700.257,1160.9024,
697.347,1170.4413,
694.436,1132.8532,
691.525,1132.0494,
688.615,1106.0896,
685.704,1100.3723,
682.794,1129.4918,
679.883,1182.217,
676.973,1145.354,
674.062,1139.1512,
671.151,1159.5999,
668.241,1175.1068,
665.330,1143.043,
662.420,1125.4709,
659.509,1137.7483,
656.598,1158.1265,
653.688,1168.7342,
650.777,1155.064,
647.867,1160.6383,
644.956,1140.8239,
642.046,1117.9246,
639.135,1100.9405,
636.224,1090.0222,
633.314,1119.3979,
630.403,1114.4596,
627.493,1126.615,
624.582,1158.8156,
621.672,1154.0636,
618.761,1151.5952,
615.850,1138.2023,
612.940,1143.9271,
610.029,1176.3217,
607.119,1185.0077,
604.208,1188.7151,
601.297,1182.3972,
598.387,1180.321,
595.476,1191.3495,
592.566,1164.5892,
589.655,1176.0723,
586.745,1169.2521,
583.834,1156.3409,
580.923,1182.7281,
578.013,1158.4013,
575.102,1155.8901,
572.192,1163.877,
569.281,1181.5922,
566.371,1230.1149,
563.460,1189.0196,
560.549,1189.3661,
557.639,1198.3268,
554.728,1166.9243,
551.818,1167.7046,
548.907,1177.0162,
545.996,1196.0938,
543.086,1212.0099,
540.175,1189.4292,
537.265,1182.0808,
534.354,1189.9088,
531.444,1206.0055,
528.533,1221.875,
525.622,1221.875,
522.712,1231.5831,
519.801,1235.2018,
516.891,1231.9705,
513.980,1237.3906,
511.070,1234.3533,
508.159,1260.0963,
505.248,1278.8591,
502.338,1247.5016,
499.427,1303.0735,
496.517,1341.6326,
493.606,1357.1831,
490.695,1353.1588,
487.785,1362.3963,
484.874,1343.8421,
481.964,1340.7653,
479.053,1351.1396,
476.143,1348.0677,
473.232,1342.8392,
470.321,1336.9824,
467.411,1328.3163,
464.500,1315.3986,
461.590,1336.0736,
458.679,1369.94,
455.769,1391.2997,
452.858,1389.068,
449.947,1400.527,
447.037,1372.537,
444.126,1369.5114,
441.216,1405.1509,
438.305,1447.0571,
435.395,1405.6692,
432.484,1397.5451,
429.573,1416.4374,
426.663,1397.4339,
423.752,1325.4357,
420.842,1240.0727,
417.931,1176.5988,
415.020,1182.6656,
412.110,1302.8596,
409.199,1403.1097,
406.289,1444.1645,
403.378,1390.0133,
400.468,1430.837,
397.557,1404.7996,
394.646,1414.2024,
391.736,1536.7362,
388.825,1438.6861,
385.915,1417.3257,
383.004,1437.5811,
380.094,1472.8347,
377.183,1491.6466,
374.272,1489.8189,
371.362,1485.0523,
368.451,1490.7928,
365.541,1538.8271,
362.630,1534.9415,
359.719,1525.3145,
356.809,1533.7002,
353.898,1497.7579,
350.988,1532.3589,
348.077,1555.9354,
345.167,1522.7454,
342.256,1539.9279,
339.345,1536.9035,
336.435,1547.0857,
333.524,1592.1099,
330.614,1599.5614,
327.703,1570.5573,
324.793,1542.164,
321.882,1545.9038,
318.971,1557.7989,
316.061,1574.0829,
313.150,1592.6488,
310.240,1611.2017,
307.329,1632.5995,
304.418,1622.1809,
301.508,1593.3765,
298.597,1568.9428,
295.687,1545.8805,
292.776,1558.3751,
289.866,1594.39,
286.955,1615.8131,
284.044,1680.2274,
281.134,1718.8373,
278.223,1725.0606,
275.313,1733.166,
272.402,1763.3393,
269.492,1780.0728,
266.581,1773.8719,
263.670,1801.8088,
260.760,1805.6959,
257.849,1813.6799,
254.939,1847.4385,
252.028,1805.1682,
249.117,1817.6551,
246.207,1859.0726,
243.296,1886.89,
240.386,1866.3673,
237.475,1847.3438,
234.565,1836.76,
231.654,1836.0296,
228.743,1841.0533,
225.833,1818.9588,
222.922,1761.3359,
220.012,1792.6637,
217.101,1794.5328,
214.191,1790.4648,
211.280,1805.7415,
208.369,1812.2575,
205.459,1808.0877,
202.548,1789.7273,
199.638,1742.5601,
196.727,1791.649,
193.816,1830.6607,
190.906,1821.7384,
187.995,1846.3553,
185.085,1867.6421,
182.174,1881.6791,
179.264,1880.9564,
176.353,1939.8267,
173.442,1957.285,
170.532,1934.6634,
167.621,1975.759,
164.711,1924.858,
161.800,1844.7901,
158.890,1774.2568,
155.979,1685.9707,
153.068,1556.4671,
150.158,1393.6818,
147.247,1222.0912,
144.337,1002.0846,
141.426,800.4298,
138.516,650.59953,
135.605,454.19084,
132.694,299.28353,
129.784,185.8892,
126.873,124.38804,
123.963,85.697774,
121.052,60.209216,
118.141,45.931176,
115.231,38.058726,
112.320,32.75682,
109.410,27.966026,
106.499,17.995853,
103.589,14.754491,
100.678,14.146622,
97.767,14.857559,
94.857,16.953967,
91.946,12.231448,
89.036,4.6652854,
86.125,9.6297223,
83.215,5.0348761,
80.304,2.2693268,
77.393,9.3510262,
74.483,7.2544602,
71.572,5.1502958,
68.662,4.3598725,
65.751,9.30503,
62.840,10.393298,
59.930,8.5639966,
57.019,3.6284227,
54.109,7.0551259,
51.198,8.3669536,
48.288,4.8580127,
45.377,2.7478785,
42.466,3.9360967,
39.556,6.9901186,
36.645,7.6923088,
33.735,9.9519939,
30.824,8.5616954,
27.914,-1.9559333,
25.003,1.2334623,
22.092,5.8124273,
19.182,10.058063,
16.271,15.653984,
13.361,50.748722,
10.450,97.317277,
7.539,105.69706,
4.629,156.92587,
1.718,172.29916,
-1.192,72.607491,
-4.103,22.807161,
-7.013,0.091089488,
-9.924,2.875,
