,PL5A48~1,
Wavenumbers [1/cm],Intensity,
1291.105,1863.0437,
1288.194,1940.4631,
1285.283,1970.5471,
1282.373,1973.4766,
1279.462,1978.9631,
1276.552,2006.6743,
1273.641,2038.0691,
1270.731,2062.6646,
1267.820,2106.0227,
1264.909,2131.9795,
1261.999,2133.8784,
1259.088,2065.4693,
1256.178,2054.5233,
1253.267,2041.0999,
1250.356,1986.581,
1247.446,1985.8441,
1244.535,1968.6787,
1241.625,1923.475,
1238.714,1894.6092,
1235.804,1858.7294,
1232.893,1825.7587,
1229.982,1786.8963,
1227.072,1802.2866,
1224.161,1745.3802,
1221.251,1741.8201,
1218.340,1728.8275,
1215.430,1698.9041,
1212.519,1675.9419,
1209.608,1660.5156,
1206.698,1655.8646,
1203.787,1687.5056,
1200.877,1679.1581,
1197.966,1707.9312,
1195.055,1752.0374,
1192.145,1787.926,
1189.234,1832.4098,
1186.324,1852.466,
1183.413,1866.6237,
1180.503,1874.6064,
1177.592,1855.981,
1174.681,1842.6319,
1171.771,1783.3228,
1168.860,1824.405,
1165.950,1771.1284,
1163.039,1755.2798,
1160.129,1756.7344,
1157.218,1760.7787,
1154.307,1742.2266,
1151.397,1712.1099,
1148.486,1738.4154,
1145.576,1792.5225,
1142.665,1726.8169,
1139.754,1742.5293,
1136.844,1741.0723,
1133.933,1728.4044,
1131.023,1730.8169,
1128.112,1760.6579,
1125.202,1791.0272,
1122.291,1776.247,
1119.380,1768.3663,
1116.470,1767.4838,
1113.559,1796.7585,
1110.649,1801.4459,
1107.738,1794.0168,
1104.828,1794.7843,
1101.917,1792.9071,
1099.006,1768.7977,
1096.096,1761.4825,
1093.185,1763.2385,
1090.275,1767.4214,
1087.364,1762.1999,
1084.453,1766.687,
1081.543,1773.6897,
1078.632,1787.284,
1075.722,1811.6825,
1072.811,1803.8786,
1069.901,1796.8925,
1066.990,1820.6249,
1064.079,1837.2632,
1061.169,1878.2746,
1058.258,1889.5886,
1055.348,1867.7267,
1052.437,1879.4426,
1049.527,1909.8044,
1046.616,1895.0343,
1043.705,1910.3318,
1040.795,1911.544,
1037.884,1897.2373,
1034.974,1880.9059,
1032.063,1874.3288,
1029.153,1876.648,
1026.242,1870.5933,
1023.331,1959.536,
1020.421,1936.246,
1017.510,1940.786,
1014.600,1966.8336,
1011.689,1990.348,
1008.778,2018.4691,
1005.868,2007.8229,
1002.957,2057.7234,
1000.047,2122.887,
997.136,2162.5821,
994.226,2169.1289,
991.315,2154.0681,
988.404,2127.3229,
985.494,2075.6052,
982.583,2085.8838,
979.673,2092.4965,
976.762,2086.7427,
973.852,2076.0709,
970.941,2072.0424,
968.030,2082.1323,
965.120,2103.332,
962.209,2093.1015,
959.299,2093.4997,
956.388,2087.6554,
953.477,2082.375,
950.567,2085.2507,
947.656,2097.0516,
944.746,2125.0869,
941.835,2153.9087,
938.925,2130.1047,
936.014,2128.5381,
933.103,2140.2564,
930.193,2126.1874,
927.282,2085.0542,
924.372,2079.135,
921.461,2077.6386,
918.551,2044.8427,
915.640,2007.3519,
912.729,2005.5498,
909.819,2049.1501,
906.908,2024.7197,
903.998,1975.6531,
901.087,2024.4796,
898.176,2055.0802,
895.266,2061.484,
892.355,2088.3591,
889.445,2104.3052,
886.534,2100.2006,
883.624,2105.4305,
880.713,2127.7685,
877.802,2131.7846,
874.892,2099.9627,
871.981,2078.9349,
869.071,2017.9497,
866.160,2018.4144,
863.250,2062.166,
860.339,2093.7953,
857.428,2091.5838,
854.518,2107.0882,
851.607,2028.0416,
848.697,2031.5704,
845.786,2050.2733,
842.875,2085.1929,
839.965,2127.9623,
837.054,2112.8588,
834.144,2155.9539,
831.233,2189.0399,
828.323,2192.9673,
825.412,2189.2044,
822.501,2191.1833,
819.591,2145.7313,
816.680,2141.9711,
813.770,2153.9051,
810.859,2149.1915,
807.949,2133.5482,
805.038,2126.8949,
802.127,2089.8542,
799.217,2049.8508,
796.306,2031.6993,
793.396,2047.2302,
790.485,2072.0576,
787.574,2049.5582,
784.664,2080.7225,
781.753,2083.0201,
778.843,2105.389,
775.932,2108.1532,
773.022,2062.3057,
770.111,2087.6506,
767.200,2119.0662,
764.290,2137.621,
761.379,2143.1934,
758.469,2135.9341,
755.558,2115.1319,
752.648,2106.9858,
749.737,2089.0553,
746.826,2095.7603,
743.916,2113.6542,
741.005,2117.493,
738.095,2145.0968,
735.184,2101.1811,
732.274,2031.8888,
729.363,1996.7981,
726.452,2027.6074,
723.542,2084.265,
720.631,2113.3693,
717.721,2128.822,
714.810,2132.4716,
711.899,2122.6027,
708.989,2093.5534,
706.078,2111.805,
703.168,2125.4833,
700.257,2137.5636,
697.347,2140.0713,
694.436,2117.5059,
691.525,2122.3288,
688.615,2077.4645,
685.704,2061.599,
682.794,2082.46,
679.883,2102.6273,
676.973,2108.2369,
674.062,2112.5654,
671.151,2105.6084,
668.241,2101.7607,
665.330,2124.4674,
662.420,2105.2979,
659.509,2111.5339,
656.598,2134.685,
653.688,2145.1827,
650.777,2105.7521,
647.867,2146.3648,
644.956,2105.2238,
642.046,2056.1327,
639.135,2050.9167,
636.224,2128.2914,
633.314,2111.6187,
630.403,2141.074,
627.493,2164.375,
624.582,2164.9047,
621.672,2167.2807,
618.761,2152.9362,
615.850,2169.8635,
612.940,2196.2549,
610.029,2209.4293,
607.119,2185.7404,
604.208,2191.1851,
601.297,2209.3305,
598.387,2227.8146,
595.476,2235.1865,
592.566,2222.5934,
589.655,2222.9666,
586.745,2213.9598,
583.834,2205.8646,
580.923,2225.4413,
578.013,2236.4276,
575.102,2226.7561,
572.192,2205.9419,
569.281,2191.2802,
566.371,2224.1504,
563.460,2222.4367,
560.549,2218.4259,
557.639,2215.5693,
554.728,2215.3951,
551.818,2247.3881,
548.907,2212.9349,
545.996,2204.6481,
543.086,2233.5428,
540.175,2234.3214,
537.265,2234.375,
534.354,2233.3716,
531.444,2236.2762,
528.533,2243.0089,
525.622,2195.6761,
522.712,2229.668,
519.801,2259.1388,
516.891,2266.1657,
513.980,2294.8146,
511.070,2280.4707,
508.159,2294.3879,
505.248,2316.3736,
502.338,2313.8946,
499.427,2331.6468,
496.517,2366.3548,
493.606,2397.1143,
490.695,2409.1655,
487.785,2386.0717,
484.874,2412.1013,
481.964,2410.1028,
479.053,2384.9266,
476.143,2387.2305,
473.232,2424.0646,
470.321,2417.9388,
467.411,2384.4718,
464.500,2349.6271,
461.590,2359.5817,
458.679,2411.9015,
455.769,2441.9779,
452.858,2420.8862,
449.947,2435.4009,
447.037,2415.9249,
444.126,2423.5568,
441.216,2461.9042,
438.305,2464.9519,
435.395,2485.6997,
432.484,2482.2054,
429.573,2447.6423,
426.663,2384.5507,
423.752,2374.4931,
420.842,2310.2657,
417.931,2235.2977,
415.020,2231.5059,
412.110,2318.437,
409.199,2403.1867,
406.289,2465.0164,
403.378,2485.2879,
400.468,2459.5841,
397.557,2463.7146,
394.646,2498.8081,
391.736,2561.7231,
388.825,2541.3588,
385.915,2530.0531,
383.004,2533.9413,
380.094,2555.6053,
377.183,2560.1202,
374.272,2557.0328,
371.362,2563.6765,
368.451,2591.2017,
365.541,2637.7349,
362.630,2643.2739,
359.719,2640.9266,
356.809,2647.6533,
353.898,2619.1989,
350.988,2615.1724,
348.077,2622.4407,
345.167,2633.5859,
342.256,2657.4921,
339.345,2621.329,
336.435,2605.3048,
333.524,2662.3515,
330.614,2661.6064,
327.703,2657.2678,
324.793,2642.5478,
321.882,2611.4687,
318.971,2650.1278,
316.061,2694.1388,
313.150,2709.0536,
