,PL4FB6~1,
Raman shift [1/cm],Intensity,
1913.968,1508.609,
1911.058,1506.1265,
1908.147,1553.7651,
1905.237,1533.4852,
1902.326,1513.2828,
1899.415,1540.0957,
1896.505,1527.3239,
1893.594,1539.1677,
1890.684,1535.3309,
1887.773,1514.496,
1884.863,1554.0988,
1881.952,1573.9526,
1879.041,1521.4531,
1876.131,1505.625,
1873.220,1516.0852,
1870.310,1552.8985,
1867.399,1539.8809,
1864.489,1565.4706,
1861.578,1494.0696,
1858.667,1556.3316,
1855.757,1554.625,
1852.846,1557.6404,
1849.936,1575.0895,
1847.025,1575.2211,
1844.114,1550.0862,
1841.204,1569.2334,
1838.293,1590.5967,
1835.383,1599.4275,
1832.472,1581.9502,
1829.562,1605.2875,
1826.651,1599.3766,
1823.740,1614.104,
1820.830,1639.0582,
1817.919,1618.3793,
1815.009,1640.8807,
1812.098,1632.1604,
1809.188,1632.501,
1806.277,1660.0053,
1803.366,1621.1075,
1800.456,1649.4601,
1797.545,1647.5469,
1794.635,1654.819,
1791.724,1655.3336,
1788.813,1713.417,
1785.903,1692.3769,
1782.992,1688.7978,
1780.082,1661.8932,
1777.171,1685.951,
1774.261,1681.9855,
1771.350,1716.6887,
1768.439,1710.1785,
1765.529,1723.1723,
1762.618,1733.1756,
1759.708,1741.3316,
1756.797,1738.2538,
1753.887,1739.4719,
1750.976,1726.2179,
1748.065,1741.9614,
1745.155,1759.7089,
1742.244,1769.8813,
1739.334,1808.4909,
1736.423,1811.6138,
1733.512,1786.251,
1730.602,1838.4664,
1727.691,1827.1509,
1724.781,1831.7834,
1721.870,1843.6727,
1718.960,1853.8473,
1716.049,1849.7522,
1713.138,1852.045,
1710.228,1894.3993,
1707.317,1891.7793,
1704.407,1904.9994,
1701.496,1909.3596,
1698.586,1907.777,
1695.675,1920.7249,
1692.764,1961.3873,
1689.854,1985.6289,
1686.943,2003.0517,
1684.033,2080.6629,
1681.122,2053.1348,
1678.211,2110.073,
1675.301,2141.5294,
1672.390,2089.942,
1669.480,2196.0261,
1666.569,2245.9932,
1663.659,2275.8663,
1660.748,2350.49,
1657.837,2344.4342,
1654.927,2383.0382,
1652.016,2483.9409,
1649.106,2498.51,
1646.195,2573.625,
1643.285,2575.1061,
1640.374,2638.6877,
1637.463,2643.2463,
1634.553,2733.3983,
1631.642,2852.8845,
1628.732,2968.1464,
1625.821,3055.7159,
1622.911,3193.8417,
1620.000,3375.3194,
1617.089,3628.5305,
1614.179,3827.013,
1611.268,3944.3124,
1608.358,4115.431,
1605.447,4280.1406,
1602.536,4316.6497,
1599.626,4440.9761,
1596.715,4447.9946,
1593.805,4374.2898,
1590.894,4334.8015,
1587.984,4304.6422,
1585.073,4220.6482,
1582.162,4283.4345,
1579.252,4236.4341,
1576.341,4178.5665,
1573.431,4148.0456,
1570.520,4126.5731,
1567.610,4066.4869,
1564.699,4055.6003,
1561.788,4011.4424,
1558.878,3893.3071,
1555.967,3877.3549,
1553.057,3812.8844,
1550.146,3741.8142,
1547.235,3684.8925,
1544.325,3620.9965,
1541.414,3578.5034,
1538.504,3557.4042,
1535.593,3510.6718,
1532.683,3436.0892,
1529.772,3413.4435,
1526.861,3407.462,
1523.951,3342.1436,
1521.040,3292.3479,
1518.130,3255.4877,
1515.219,3211.7454,
1512.309,3188.4493,
1509.398,3174.1514,
1506.487,3198.1376,
1503.577,3133.0659,
1500.666,3128.0141,
1497.756,3073.4223,
1494.845,3140.8635,
1491.934,3074.5715,
1489.024,3058.2091,
1486.113,2968.6123,
1483.203,2966.954,
1480.292,2969.322,
1477.382,2909.8146,
1474.471,2845.7454,
1471.560,2867.634,
1468.650,2841.3119,
1465.739,2797.0054,
1462.829,2798.7391,
1459.918,2824.5423,
1457.008,2815.8094,
1454.097,2797.9358,
1451.186,2809.3581,
1448.276,2830.4803,
1445.365,2822.4781,
1442.455,2794.6706,
1439.544,2839.1835,
1436.633,2804.8683,
1433.723,2824.3908,
1430.812,2780.9756,
1427.902,2697.8054,
1424.991,2705.3875,
1422.081,2695.5328,
1419.170,2692.8969,
1416.259,2614.0489,
1413.349,2603.9327,
1410.438,2631.1173,
1407.528,2606.2192,
1404.617,2620.6784,
1401.707,2651.5142,
1398.796,2655.2649,
