,PL87FC~1,
Wavenumbers [1/cm],Intensity,
1893.594,1001.5274,
1890.684,998.44604,
1887.773,1016.379,
1884.863,1029.7147,
1881.952,1015.5102,
1879.041,998.41563,
1876.131,1002.5794,
1873.220,985.94462,
1870.310,1003.6715,
1867.399,1017.0581,
1864.489,1014.7563,
1861.578,1025.382,
1858.667,1006.6632,
1855.757,1007.435,
1852.846,1016.9628,
1849.936,1006.4352,
1847.025,1039.6587,
1844.114,1057.2735,
1841.204,1050.6206,
1838.293,1051.2234,
1835.383,1091.296,
1832.472,1094.0517,
1829.562,1078.4172,
1826.651,1091.9769,
1823.740,1065.0354,
1820.830,1085.4314,
1817.919,1094.4356,
1815.009,1098.5312,
1812.098,1092.9665,
1809.188,1132.5832,
1806.277,1070.7107,
1803.366,1096.7325,
1800.456,1125.3599,
1797.545,1126.5124,
1794.635,1114.6059,
1791.724,1096.9488,
1788.813,1155.6364,
1785.903,1113.25,
1782.992,1100.1054,
1780.082,1064.8525,
1777.171,1054.5771,
1774.261,1029.06,
1771.350,1089.3615,
1768.439,1174.9078,
1765.529,1169.6158,
1762.618,1173.5875,
1759.708,1152.5216,
1756.797,1177.2121,
1753.887,1196.5313,
1750.976,1190.019,
1748.065,1215.2131,
1745.155,1186.1793,
1742.244,1188.3976,
1739.334,1207.0429,
1736.423,1199.3584,
1733.512,1250.551,
1730.602,1261.5258,
1727.691,1259.0177,
1724.781,1223.0675,
1721.870,1214.8595,
1718.960,1275.2729,
1716.049,1268.9536,
1713.138,1289.1899,
1710.228,1264.5302,
1707.317,1315.0934,
1704.407,1289.0093,
1701.496,1326.2697,
1698.586,1340.4138,
1695.675,1329.0858,
1692.764,1361.3853,
1689.854,1342.2027,
1686.943,1343.1825,
1684.033,1342.2748,
1681.122,1368.7912,
1678.211,1395.0025,
1675.301,1439.1143,
1672.390,1473.2679,
1669.480,1479.4586,
1666.569,1505.0469,
1663.659,1489.8053,
1660.748,1524.6769,
1657.837,1596.7689,
1654.927,1575.2266,
1652.016,1574.9547,
1649.106,1604.523,
1646.195,1656.7845,
1643.285,1718.9538,
1640.374,1707.9016,
1637.463,1785.5202,
1634.553,1800.8854,
1631.642,1843.6192,
1628.732,1877.9196,
1625.821,1990.2644,
1622.911,2012.126,
1620.000,2148.5114,
1617.089,2258.0609,
1614.179,2414.766,
1611.268,2491.4617,
1608.358,2628.6479,
1605.447,2834.1945,
1602.536,2885.3893,
1599.626,2825.6946,
1596.715,2834.7716,
1593.805,2770.0694,
1590.894,2787.7894,
1587.984,2741.8828,
1585.073,2767.4319,
1582.162,2688.0916,
1579.252,2635.2448,
1576.341,2628.8521,
1573.431,2548.5831,
1570.520,2556.8251,
1567.610,2494.7195,
1564.699,2505.7765,
1561.788,2469.9547,
1558.878,2465.6363,
1555.967,2452.1087,
1553.057,2406.1641,
1550.146,2387.4791,
1547.235,2364.0466,
1544.325,2303.704,
1541.414,2270.25,
1538.504,2256.3773,
1535.593,2206.7314,
1532.683,2160.4403,
1529.772,2132.2753,
1526.861,2106.8477,
1523.951,2084.6322,
1521.040,2063.6657,
1518.130,2072.6853,
1515.219,2040.129,
1512.309,2061.8536,
1509.398,2013.5012,
1506.487,1980.816,
1503.577,2049.3755,
1500.666,1987.3692,
1497.756,1998.4621,
1494.845,2022.2083,
1491.934,1949.3697,
1489.024,1985.9444,
1486.113,1930.6899,
1483.203,1942.237,
1480.292,1944.25,
1477.382,1876.3572,
1474.471,1876.365,
1471.560,1872.542,
1468.650,1884.282,
1465.739,1878.4402,
1462.829,1859.3137,
1459.918,1833.5703,
1457.008,1827.8809,
1454.097,1830.7041,
1451.186,1825.4976,
1448.276,1817.2878,
1445.365,1804.4293,
1442.455,1815.9832,
1439.544,1813.1546,
1436.633,1786.814,
1433.723,1829.8671,
1430.812,1845.5902,
1427.902,1812.9265,
1424.991,1841.3594,
1422.081,1817.4781,
1419.170,1782.4157,
1416.259,1786.9708,
1413.349,1734.8726,
1410.438,1772.5326,
1407.528,1810.4123,
1404.617,1784.1966,
1401.707,1747.5314,
1398.796,1753.715,
1395.885,1757.5412,
1392.975,1753.6674,
1390.064,1791.076,
1387.154,1797.4461,
1384.243,1795.3203,
1381.332,1831.6846,
1378.422,1852.3127,
1375.511,1872.9219,
1372.601,1932.2305,
1369.690,1937.25,
1366.780,1963.3872,
1363.869,2026.9152,
1360.958,2092.4845,
1358.048,2138.3892,
1355.137,2150.5702,
1352.227,2176.5312,
1349.316,2238.468,
1346.406,2286.9976,
1343.495,2304.7309,
1340.584,2315.0004,
1337.674,2298.1493,
1334.763,2397.2853,
1331.853,2398.2125,
1328.942,2439.1653,
1326.032,2458.9312,
1323.121,2505.2259,
1320.210,2558.8734,
1317.300,2626.649,
1314.389,2649.4581,
1311.479,2689.9292,
1308.568,2787.5772,
1305.657,2862.6694,
1302.747,2938.5895,
1299.836,3057.9502,
1296.926,3030.3265,
1294.015,3096.5178,
1291.105,3189.9458,
1288.194,3183.0802,
1285.283,3244.1223,
1282.373,3288.6015,
1279.462,3353.0529,
1276.552,3433.4864,
1273.641,3510.5534,
1270.731,3581.1873,
1267.820,3612.4577,
1264.909,3607.0845,
1261.999,3562.716,
