,PLAA54~1,
Wavenumbers [1/cm],Intensity,
607.119,2744.2923,
604.208,2710.8444,
601.297,2728.2861,
598.387,2752.929,
595.476,2737.7409,
592.566,2720.4254,
589.655,2712.8398,
586.745,2714.2807,
583.834,2720.9121,
580.923,2726.4793,
578.013,2743.7434,
575.102,2730.0202,
572.192,2747.1015,
569.281,2802.9374,
566.371,2806.0679,
563.460,2805.6695,
560.549,2771.7528,
557.639,2740.672,
554.728,2753.0155,
551.818,2763.1596,
548.907,2769.0315,
545.996,2778.762,
543.086,2785.1744,
540.175,2761.0363,
537.265,2822.3873,
534.354,2818.2803,
531.444,2791.211,
528.533,2795.3616,
525.622,2823.2957,
522.712,2837.8695,
519.801,2853.3039,
516.891,2875.4787,
513.980,2905.6762,
511.070,2930.9141,
508.159,2951.8366,
505.248,2966.8786,
502.338,2976.0694,
499.427,3033.9568,
496.517,3062.3851,
493.606,3083.8157,
490.695,3105.4121,
487.785,3098.484,
484.874,3083.8043,
481.964,3083.0195,
479.053,3078.0341,
476.143,3018.133,
473.232,3056.1004,
470.321,3086.9723,
467.411,3070.2109,
464.500,2977.6246,
461.590,3066.4505,
458.679,3101.8306,
455.769,3130.224,
452.858,3173.2159,
449.947,3171.6881,
447.037,3161.6668,
444.126,3160.9205,
441.216,3177.3863,
438.305,3217.7687,
435.395,3229.2757,
432.484,3216.5384,
429.573,3195.795,
426.663,3201.8761,
423.752,3048.2454,
420.842,2905.5651,
417.931,2818.607,
415.020,2829.9824,
412.110,3058.6383,
409.199,3225.5045,
406.289,3299.0921,
403.378,3258.4672,
400.468,3285.683,
397.557,3284.6062,
394.646,3312.814,
391.736,3413.1195,
388.825,3373.8994,
385.915,3377.2764,
383.004,3399.2268,
380.094,3421.2598,
377.183,3419.0024,
374.272,3433.0301,
371.362,3447.4353,
368.451,3453.378,
365.541,3469.8898,
362.630,3477.6524,
359.719,3493.3976,
356.809,3524.5109,
353.898,3526.7573,
350.988,3526.29,
348.077,3532.6352,
345.167,3548.8992,
342.256,3519.7635,
339.345,3537.4152,
336.435,3543.7195,
333.524,3502.6768,
330.614,3575.7021,
327.703,3589.6471,
324.793,3579.0549,
321.882,3572.3786,
318.971,3573.8655,
316.061,3610.9986,
313.150,3662.5393,
310.240,3704.8399,
307.329,3696.3701,
304.418,3683.7119,
301.508,3670.815,
298.597,3661.1896,
295.687,3707.1046,
292.776,3728.5417,
289.866,3756.6448,
286.955,3895.5252,
284.044,3905.8875,
281.134,3942.5878,
278.223,4009.3093,
275.313,3974.6771,
272.402,3955.7569,
269.492,3960.366,
266.581,3990.5821,
263.670,4021.4597,
260.760,4031.4198,
257.849,4063.1703,
254.939,4151.2362,
252.028,4151.6512,
249.117,4130.8178,
246.207,4119.2549,
243.296,4169.0334,
240.386,4195.9237,
237.475,4194.6968,
234.565,4174.0299,
231.654,4171.8387,
228.743,4151.8125,
225.833,4118.4714,
222.922,4074.7635,
220.012,4061.6495,
217.101,4076.0222,
