,PLA8D8~1,
Raman shift [1/cm],Intensity,
1078.632,2696.3062,
1075.722,2686.0462,
1072.811,2668.7673,
1069.901,2756.9666,
1066.990,2740.0584,
1064.079,2774.6503,
1061.169,2755.3912,
1058.258,2711.7954,
1055.348,2716.5469,
1052.437,2756.7089,
1049.527,2690.9294,
1046.616,2676.1593,
1043.705,2702.2475,
1040.795,2683.0443,
1037.884,2666.4885,
1034.974,2653.5825,
1032.063,2648.9995,
1029.153,2693.6185,
1026.242,2652.9655,
1023.331,2683.1646,
1020.421,2736.2058,
1017.510,2808.0454,
1014.600,2868.3777,
1011.689,2890.0837,
1008.778,2886.3229,
1005.868,2943.7548,
1002.957,2972.1465,
1000.047,3071.14,
997.136,3112.3733,
994.226,3113.377,
991.315,3080.8812,
988.404,2998.152,
985.494,2908.5575,
982.583,2911.1272,
979.673,2893.9405,
976.762,2878.6935,
973.852,2880.8982,
970.941,2892.6855,
968.030,2897.0029,
965.120,2905.3819,
962.209,2877.248,
959.299,2891.6227,
956.388,2920.2187,
953.477,2939.3772,
950.567,2945.5914,
947.656,2956.9591,
944.746,2998.5874,
941.835,2993.2117,
938.925,2974.3907,
936.014,2972.5816,
933.103,2965.0231,
930.193,2926.7143,
927.282,2878.171,
924.372,2853.6484,
921.461,2779.8056,
918.551,2751.0144,
915.640,2760.8234,
912.729,2757.1049,
909.819,2701.6112,
906.908,2702.4536,
903.998,2727.9517,
901.087,2734.5,
898.176,2743.0895,
895.266,2769.6395,
892.355,2814.1959,
889.445,2855.32,
886.534,2849.6559,
883.624,2867.3393,
880.713,2921.9217,
877.802,2943.6143,
874.892,2895.1461,
871.981,2861.4939,
869.071,2818.8878,
866.160,2858.4173,
863.250,2884.742,
860.339,2900.2392,
857.428,2916.2477,
854.518,2900.9353,
851.607,2846.8508,
848.697,2854.0076,
845.786,2838.6655,
842.875,2835.6765,
839.965,2880.4566,
837.054,2930.7605,
834.144,2953.9656,
831.233,2959.1666,
828.323,2939.7171,
825.412,2929.8028,
822.501,2944.3509,
819.591,2904.6837,
816.680,2892.282,
813.770,2903.9096,
810.859,2897.6091,
807.949,2876.4683,
805.038,2869.4956,
802.127,2877.7269,
799.217,2838.2489,
796.306,2809.1756,
793.396,2800.6145,
790.485,2802.1307,
787.574,2787.8497,
784.664,2744.3838,
781.753,2760.6554,
778.843,2772.9901,
775.932,2782.7591,
773.022,2812.5026,
770.111,2870.5507,
767.200,2856.2285,
764.290,2837.2088,
761.379,2835.3774,
758.469,2835.7811,
755.558,2790.9165,
752.648,2771.366,
749.737,2710.0546,
746.826,2619.8237,
743.916,2514.9215,
741.005,2386.6609,
738.095,2087.0783,
735.184,1725.4328,
732.274,1634.4164,
729.363,1845.3485,
726.452,2242.9313,
723.542,2522.172,
720.631,2598.6631,
717.721,2670.2018,
714.810,2721.3011,
711.899,2731.2821,
708.989,2691.7428,
706.078,2728.3599,
703.168,2733.8567,
700.257,2708.396,
697.347,2666.5879,
694.436,2635.4383,
691.525,2670.002,
688.615,2674.3554,
685.704,2667.3197,
682.794,2659.3298,
679.883,2656.5092,
676.973,2678.9476,
674.062,2689.2427,
671.151,2693.3767,
668.241,2704.5064,
665.330,2738.5043,
662.420,2780.837,
659.509,2782.5158,
656.598,2781.962,
653.688,2791.1009,
650.777,2805.1499,
647.867,2765.3335,
644.956,2760.2149,
642.046,2754.6226,
639.135,2752.7228,
636.224,2787.5716,
633.314,2801.8625,
630.403,2825.6012,
627.493,2817.6078,
624.582,2779.3217,
621.672,2765.0658,
618.761,2750.0612,
615.850,2757.0707,
612.940,2771.2815,
610.029,2789.8381,
607.119,2845.9019,
604.208,2840.8498,
601.297,2810.0786,
598.387,2800.4113,
595.476,2839.5288,
592.566,2808.0461,
589.655,2794.7253,
586.745,2805.6889,
583.834,2806.8354,
580.923,2740.5426,
578.013,2747.6053,
575.102,2786.2097,
572.192,2827.7914,
569.281,2864.8886,
566.371,2928.2811,
563.460,2938.7328,
560.549,2939.5254,
557.639,2955.1509,
554.728,3001.2883,
551.818,3013.7734,
548.907,3015.8906,
545.996,3008.5018,
543.086,3002.7006,
540.175,3026.8387,
537.265,3051.6769,
534.354,3051.9713,
531.444,3042.1067,
528.533,3036.5686,
525.622,3009.4105,
522.712,3006.5338,
519.801,3019.5745,
516.891,3047.2033,
513.980,3095.2097,
511.070,3100.2043,
508.159,3080.4422,
505.248,3074.2728,
502.338,3123.3074,
499.427,3185.0539,
496.517,3174.9142,
493.606,3165.2677,
490.695,3187.9978,
487.785,3198.7749,
484.874,3172.7124,
481.964,3181.1709,
479.053,3201.2622,
476.143,3145.9689,
473.232,3198.6135,
470.321,3195.6846,
467.411,3158.8631,
464.500,3127.6551,
461.590,3133.7811,
458.679,3141.0029,
455.769,3150.541,
452.858,3165.7949,
449.947,3207.0472,
447.037,3211.2527,
444.126,3218.1121,
441.216,3234.3677,
438.305,3233.6058,
435.395,3229.5662,
432.484,3241.6696,
429.573,3259.5475,
426.663,3251.1859,
423.752,3295.1348,
420.842,3284.8154,
417.931,3252.3011,
415.020,3262.1597,
412.110,3370.7787,
409.199,3459.3997,
406.289,3499.6769,
403.378,3466.3053,
400.468,3408.8498,
397.557,3400.2688,
394.646,3363.4419,
391.736,3236.7133,
388.825,3180.9002,
385.915,3118.7313,
383.004,3108.7676,
380.094,3189.4906,
377.183,3287.3125,
374.272,3412.2005,
371.362,3512.7483,
368.451,3556.1809,
365.541,3550.9271,
362.630,3554.4162,
359.719,3576.554,
356.809,3618.0501,
353.898,3594.0886,
350.988,3553.8658,
348.077,3529.8561,
345.167,3542.2785,
342.256,3577.3908,
339.345,3532.7624,
336.435,3502.8211,
333.524,3551.8388,
330.614,3594.3127,
327.703,3607.5,
324.793,3601.5708,
321.882,3584.6659,
318.971,3653.0626,
316.061,3725.3314,
313.150,3768.8786,
310.240,3744.3888,
307.329,3797.0978,
304.418,3833.5465,
301.508,3826.2938,
298.597,3731.5204,
295.687,3663.9028,
292.776,3679.6669,
289.866,3803.9319,
286.955,4100.1608,
284.044,4355.6523,
281.134,4576.1451,
278.223,4761.3017,
275.313,4903.5148,
272.402,5070.0123,
269.492,5208.4235,
266.581,5305.0101,
263.670,5452.0462,
260.760,5534.2011,
257.849,5598.2157,
254.939,5677.4751,
252.028,5713.9684,
249.117,5726.1295,
246.207,5713.1354,
243.296,5669.2131,
240.386,5571.1222,
237.475,5500.3697,
234.565,5458.1025,
231.654,5404.7845,
228.743,5321.0036,
225.833,5215.9725,
222.922,5098.534,
220.012,5099.2625,
217.101,5056.317,
214.191,4973.6891,
211.280,4847.838,
208.369,4784.6749,
205.459,4720.5712,
202.548,4671.0209,
199.638,4714.5599,
196.727,4721.7714,
193.816,4717.4898,
190.906,4711.0587,
187.995,4726.9872,
185.085,4769.8556,
182.174,4801.1182,
179.264,4762.8116,
176.353,4801.4322,
173.442,4833.4763,
170.532,4841.7875,
167.621,4792.7612,
164.711,4737.9802,
161.800,4642.7453,
158.890,4473.6093,
155.979,4178.6057,
153.068,3842.275,
150.158,3469.1659,
147.247,3049.8818,
144.337,2521.5413,
141.426,1981.0764,
138.516,1471.3667,
135.605,1070.4681,
132.694,736.70248,
