,PLF53F~1,
Raman shift [1/cm],Intensity,
1625.821,2643.0968,
1622.911,2790.166,
1620.000,2927.2614,
1617.089,3145.602,
1614.179,3315.2058,
1611.268,3459.6092,
1608.358,3645.1504,
1605.447,3702.0861,
1602.536,3776.7553,
1599.626,3824.3169,
1596.715,3805.31,
1593.805,3780.6417,
1590.894,3679.3649,
1587.984,3685.054,
1585.073,3642.0559,
1582.162,3646.5233,
1579.252,3610.5398,
1576.341,3576.366,
1573.431,3583.314,
1570.520,3514.3842,
1567.610,3512.118,
1564.699,3482.0235,
1561.788,3458.8452,
1558.878,3362.827,
1555.967,3320,
1553.057,3252.38,
1550.146,3153.7747,
1547.235,3100.0612,
1544.325,3069.7719,
1541.414,3045.819,
1538.504,3010.7685,
1535.593,3000.5813,
1532.683,2983.0048,
1529.772,2927.044,
1526.861,2917.2652,
1523.951,2906.4187,
1521.040,2837.7329,
1518.130,2786.8987,
1515.219,2766.2002,
1512.309,2733.4819,
1509.398,2663.3041,
1506.487,2691.992,
1503.577,2699.8244,
1500.666,2688.523,
1497.756,2653.4577,
1494.845,2659.6403,
1491.934,2674.748,
1489.024,2597.7486,
1486.113,2598.7089,
1483.203,2585.6775,
1480.292,2510.1795,
1477.382,2480.835,
1474.471,2425.5856,
1471.560,2452.0886,
1468.650,2461.1673,
1465.739,2402.9178,
1462.829,2371.4032,
1459.918,2396.4146,
1457.008,2427.154,
1454.097,2412.9678,
1451.186,2394.5648,
1448.276,2413.1656,
1445.365,2422,
1442.455,2421.4534,
1439.544,2421.1217,
1436.633,2421.1549,
1433.723,2401.5045,
1430.812,2387.232,
1427.902,2339.5941,
1424.991,2322.5344,
1422.081,2286.2184,
1419.170,2259.6704,
1416.259,2238.9887,
1413.349,2201.7694,
1410.438,2211.9934,
1407.528,2224.2187,
1404.617,2230.697,
1401.707,2229.7605,
1398.796,2239.2167,
1395.885,2253.5866,
1392.975,2260.4378,
1390.064,2258.6959,
1387.154,2212.8872,
1384.243,2177.8266,
1381.332,2149.9014,
1378.422,2134.7576,
1375.511,2323.9874,
1372.601,2430.2159,
1369.690,2455.2872,
1366.780,2596.6062,
1363.869,2625.0088,
1360.958,2635.8645,
1358.048,2670.8857,
1355.137,2765.1728,
1352.227,2816.0718,
1349.316,2848.4919,
1346.406,2946.6463,
1343.495,2988.7195,
1340.584,3017.3213,
1337.674,3037.8625,
1334.763,3121.9054,
1331.853,3171.9759,
1328.942,3169.5527,
1326.032,3195.0999,
1323.121,3270.6507,
1320.210,3298.3296,
1317.300,3316.5265,
1314.389,3360.8895,
1311.479,3408.1649,
1308.568,3455.221,
1305.657,3515.205,
1302.747,3568.6124,
1299.836,3657.0566,
1296.926,3738.2646,
1294.015,3786.9888,
1291.105,3835.6687,
1288.194,4010.5348,
1285.283,4088.8002,
1282.373,4145.3983,
1279.462,4207.8816,
1276.552,4245.504,
1273.641,4250.3428,
1270.731,4242.7657,
1267.820,4233.7536,
1264.909,4227.6702,
1261.999,4217.301,
1259.088,4198.1464,
1256.178,4174.7321,
1253.267,4158.7249,
1250.356,4047.9939,
1247.446,3968.8371,
1244.535,3955.9375,
1241.625,3882.2595,
