,PL38DB~1,
Raman shift [1/cm],Intensity,
560.549,4419.8617,
557.639,4448.4765,
554.728,4446.7638,
551.818,4512.3103,
548.907,4494.9355,
545.996,4491.343,
543.086,4515.7796,
540.175,4507.2145,
537.265,4543.5632,
534.354,4611.8076,
531.444,4668.4116,
528.533,4679.3222,
525.622,4731.3107,
522.712,4771.7492,
519.801,4798.2626,
516.891,4831.9097,
513.980,4937.2139,
511.070,5015.651,
508.159,5073.7566,
505.248,5127.4065,
502.338,5194.9068,
499.427,5272.8618,
496.517,5330.3926,
493.606,5390.9282,
490.695,5457.5136,
487.785,5478.2979,
484.874,5527.5069,
481.964,5523.1402,
479.053,5481.9927,
476.143,5483.5286,
473.232,5472.8339,
470.321,5454.5143,
467.411,5421.6435,
464.500,5370.7583,
461.590,5454.9897,
458.679,5491.8321,
455.769,5500.1045,
452.858,5497.9655,
449.947,5530.0506,
447.037,5548.1535,
444.126,5553.7765,
441.216,5560.5466,
438.305,5617.6915,
435.395,5590.8763,
432.484,5603.8814,
429.573,5641.7674,
426.663,5616.6828,
423.752,5625.0863,
420.842,5659.3096,
417.931,5715.9564,
415.020,5791.0339,
412.110,5792.1618,
409.199,5854.7056,
406.289,5918.4112,
403.378,5911.5225,
400.468,5881.2828,
397.557,5863.3986,
394.646,5856.9717,
391.736,5859.7558,
388.825,5832.6035,
385.915,5845.3806,
383.004,5871.9058,
380.094,5897.5004,
377.183,5993.0649,
374.272,6094.5287,
371.362,6165.2775,
368.451,6188.7768,
365.541,6273.5874,
362.630,6306.4573,
359.719,6321.1363,
356.809,6336.7156,
353.898,6338.2132,
350.988,6325.0628,
348.077,6325.5318,
345.167,6356.8576,
342.256,6400.9347,
339.345,6417.345,
336.435,6431.1735,
333.524,6458.2962,
330.614,6447.864,
327.703,6436.9239,
324.793,6455.1463,
321.882,6528.6538,
318.971,6540.5489,
316.061,6584.6668,
313.150,6660.8059,
310.240,6770.639,
307.329,6803.9251,
304.418,6863.0441,
301.508,6896.9788,
298.597,6811.8308,
295.687,6919.7559,
292.776,7029.6253,
289.866,7153.7992,
286.955,7377.633,
284.044,7635.4273,
281.134,7881.4142,
278.223,8115.2105,
275.313,8379.0047,
272.402,8539.7685,
269.492,8688.5011,
266.581,8855.3469,
263.670,8991.3552,
260.760,9109.5049,
257.849,9222.4287,
254.939,9339.1161,
252.028,9440.5156,
249.117,9477.2545,
246.207,9486.232,
243.296,9527.2261,
240.386,9480.6916,
237.475,9392.5393,
234.565,9276.2195,
231.654,9159.3582,
228.743,9071.3345,
225.833,8987.7325,
222.922,8898.9366,
220.012,8798.396,
217.101,8673.8612,
214.191,8564.4186,
211.280,8517.1335,
208.369,8477.2931,
205.459,8437.267,
202.548,8407.8869,
199.638,8432.5589,
196.727,8451.4542,
193.816,8451.0892,
190.906,8426.625,
187.995,8426.625,
185.085,8478.1663,
182.174,8526.0267,
179.264,8490.6112,
176.353,8514.1785,
173.442,8555.3666,
170.532,8593.5684,
167.621,8533.0065,
164.711,8429.9063,
161.800,8242.014,
158.890,7921.0155,
155.979,7448.2375,
153.068,6885.6799,
150.158,6230.7742,
147.247,5438.1549,
144.337,4515.5036,
141.426,3560.5384,
138.516,2613.525,
135.605,1877.692,
132.694,1297.2117,
129.784,854.2779,
126.873,544.62668,
123.963,377.48517,
121.052,266.04674,
118.141,183.94801,
115.231,138.1485,
112.320,110.30501,
109.410,95.716026,
106.499,85.745853,
103.589,83.064746,
100.678,76.649323,
97.767,61.008696,
94.857,64.089945,
91.946,56.35345,
89.036,43.753979,
86.125,50.846032,
83.215,44.130274,
80.304,36.385567,
77.393,35.677397,
74.483,38.900675,
71.572,37.363831,
68.662,31.555733,
65.751,30.849281,
62.840,34.478616,
59.930,36.939424,
57.019,30.593686,
54.109,29.625,
51.198,26.005689,
48.288,17.687287,
45.377,25.424446,
42.466,26.563903,
39.556,23.970356,
36.645,26.076926,
33.735,24.028758,
30.824,22.508548,
27.914,25.313249,
25.003,27.492912,
22.092,33.145664,
19.182,43.403017,
16.271,67.185682,
13.361,240.99361,
10.450,595.22804,
7.539,1342.4255,
4.629,1926.9667,
1.718,2085.0086,
-1.192,1408.0813,
-4.103,796.59856,
-7.013,318.9908,
-9.924,1.625,
