,PLAE2B~1,
Raman shift [1/cm],Intensity,
330.614,4610.1742,
327.703,4627.1257,
324.793,4659.5308,
321.882,4674.3245,
318.971,4653.5081,
316.061,4689.835,
313.150,4734.9131,
310.240,4733.4289,
307.329,4819.1314,
304.418,4871.6131,
301.508,4879.9842,
298.597,4829.6358,
295.687,4855.1736,
292.776,4891.8751,
289.866,4966.8127,
286.955,5172.9171,
284.044,5326.3449,
281.134,5456.5102,
278.223,5577.4701,
275.313,5728.5254,
272.402,5790.582,
269.492,5889.0534,
266.581,6058.2112,
263.670,6111.8794,
260.760,6188.4938,
257.849,6278.2498,
254.939,6375.1223,
252.028,6424.1488,
249.117,6400.3469,
246.207,6355.1103,
243.296,6373.4112,
240.386,6348.6023,
237.475,6295.5721,
234.565,6235.6757,
231.654,6250.2834,
228.743,6165.9191,
225.833,6073.6294,
222.922,6008.2686,
220.012,5963.0982,
217.101,5909.1177,
214.191,5860.2883,
211.280,5833.3721,
208.369,5797.7343,
205.459,5811.718,
202.548,5857.1243,
199.638,5855.673,
196.727,5877.2712,
193.816,5898.4924,
190.906,5910.7559,
187.995,5921.6163,
185.085,5956.1106,
182.174,5990.7668,
179.264,5992.2123,
176.353,6026.3363,
173.442,6058.0645,
170.532,6065.5057,
167.621,5937.8931,
164.711,5862.3807,
161.800,5765.1627,
158.890,5588.8294,
155.979,5287.3183,
153.068,4862.1818,
150.158,4342.0087,
147.247,3804.9804,
144.337,3161.1941,
141.426,2496.9039,
138.516,1848.8342,
135.605,1327.4088,
132.694,910.24845,
129.784,590.26093,
126.873,379.29762,
123.963,261.25774,
121.052,185.39462,
118.141,137.56319,
115.231,107.53105,
112.320,86.478646,
109.410,72.193316,
106.499,60.798832,
103.589,53.892964,
100.678,48.473648,
97.767,43.497085,
94.857,35.059131,
91.946,32.181222,
89.036,32.923408,
86.125,30.086587,
83.215,26.189478,
80.304,22.417269,
77.393,19.58459,
74.483,20.68527,
71.572,21.012648,
68.662,20.167198,
65.751,18.047844,
62.840,19.78351,
59.930,20.689424,
57.019,14.343686,
54.109,12.180678,
51.198,12.279828,
48.288,14.35235,
45.377,11.538838,
42.466,7.901684,
39.556,6.2168972,
36.645,17.451941,
33.735,14.144018,
30.824,9.2585479,
27.914,12.063249,
25.003,9.8844501,
22.092,9.0208091,
19.182,10.626711,
16.271,18.321103,
13.361,65.628088,
10.450,119.16361,
7.539,77.264693,
4.629,-181.46099,
1.718,-499.36564,
-1.192,-778.9206,
-4.103,-581.27992,
-7.013,-299.59136,
-9.924,0.375,
