,PLD84F~1,
2344.734,603.88541,
2341.823,613.04208,
2338.913,622.4608,
2336.002,612.34986,
2333.092,599.79195,
2330.181,601.46,
2327.270,620.29992,
2324.360,619.28543,
2321.449,592.64882,
2318.539,599.06077,
2315.628,627.5099,
2312.718,608.44437,
2309.807,607.6279,
2306.896,622.07804,
2303.986,604.99514,
2301.075,616.61432,
2298.165,623.92309,
2295.254,633.90957,
2292.344,619.91757,
2289.433,621.56137,
2286.522,638.884,
2283.612,641.16583,
2280.701,634.00843,
2277.791,634.40739,
2274.880,664.911,
2271.969,662.19084,
2269.059,651.86341,
2266.148,661.44553,
2263.238,646.4339,
2260.327,685.09038,
2257.417,665.66889,
2254.506,662.28461,
2251.595,671.70689,
2248.685,682.27493,
2245.774,706.24558,
2242.864,689.68864,
2239.953,652.86959,
2237.043,690.67001,
2234.132,692.03664,
2231.221,697.28261,
2228.311,696.125,
2225.400,712.20944,
2222.490,710.48321,
2219.579,706.53639,
2216.669,718.22039,
2213.758,711.82306,
2210.847,708.64642,
2207.937,740.65916,
2205.026,741.68039,
2202.116,745.33838,
2199.205,754.67418,
2196.294,749.20706,
2193.384,734.967,
2190.473,746.42078,
2187.563,768.0525,
2184.652,757.19152,
2181.742,790.76268,
2178.831,812.16778,
2175.920,830.44013,
2173.010,858.00085,
2170.099,913.2525,
2167.189,903.58423,
2164.278,970.35314,
2161.368,1008.8369,
2158.457,1061.9376,
2155.546,1103.002,
2152.636,1150.6356,
2149.725,1205.729,
2146.815,1265.3898,
2143.904,1294.322,
2140.993,1297.6011,
2138.083,1342.3377,
2135.172,1378.4697,
2132.262,1397.7509,
2129.351,1379.2456,
2126.441,1335.1346,
2123.530,1332.5414,
2120.619,1272.4556,
2117.709,1208.8959,
2114.798,1150.1054,
2111.888,1062.7641,
2108.977,1026.582,
2106.067,999.34016,
2103.156,960.33077,
2100.245,907.12563,
2097.335,901.38156,
2094.424,849.97085,
2091.514,833.82922,
2088.603,816.1757,
2085.692,819.26252,
2082.782,848.98427,
2079.871,846.16001,
2076.961,803.83727,
2074.050,838.36742,
2071.140,838.4587,
2068.229,817.66275,
2065.318,811.04948,
2062.408,801.8678,
2059.497,796.88092,
2056.587,791.34578,
2053.676,804.10778,
2050.766,828.27746,
2047.855,792.9826,
2044.944,792.3814,
2042.034,816.80704,
2039.123,811.56608,
2036.213,809.74272,
2033.302,804.45093,
2030.391,805.3964,
2027.481,805.58837,
2024.570,804.5965,
2021.660,833.29199,
2018.749,795.99878,
2015.839,820.54626,
2012.928,829.45889,
2010.017,815.89048,
2007.107,819.88946,
2004.196,806.77978,
2001.286,834.87761,
1998.375,829.64074,
1995.465,816.40536,
1992.554,807.23683,
1989.643,820.60654,
1986.733,803.28553,
1983.822,811.76754,
1980.912,839.06502,
1978.001,809.48121,
1975.090,803.10211,
1972.180,814.53856,
1969.269,823.91813,
1966.359,820.0438,
1963.448,827.54376,
1960.538,841.86312,
1957.627,852.14977,
1954.716,817.18789,
1951.806,832.125,
1948.895,824.34577,
1945.985,772.35049,
1943.074,785.81859,
1940.164,811.32699,
1937.253,808.08606,
1934.342,793.60361,
1931.432,788.81585,
1928.521,816.3478,
1925.611,765.814,
1922.700,776.53107,
1919.790,805.07276,
1916.879,772.77548,
1913.968,801.08688,
1911.058,778.77666,
1908.147,805.1805,
1905.237,819.56614,
1902.326,794.22427,
1899.415,778.57987,
1896.505,776.04684,
1893.594,799.30489,
1890.684,788.66758,
1887.773,794.76244,
1884.863,839.10222,
1881.952,840.08266,
1879.041,821.02115,
1876.131,791.06488,
1873.220,786.86837,
1870.310,826.11148,
1867.399,831.09301,
1864.489,820.31972,
1861.578,822.88341,
1858.667,801.71182,
1855.757,803.33144,
1852.846,794.61731,
1849.936,793.45032,
1847.025,814.8841,
1844.114,841.33206,
1841.204,830.04458,
1838.293,820.61419,
1835.383,857.18247,
1832.472,860.77543,
1829.562,841.65338,
1826.651,824.0819,
1823.740,825.86065,
1820.830,844.55821,
1817.919,836.90935,
1815.009,850.39344,
1812.098,869.28247,
1809.188,863.62114,
1806.277,831.83322,
1803.366,885.80891,
1800.456,869.37824,
1797.545,903.79189,
1794.635,863.96304,
1791.724,883.78519,
1788.813,891.93117,
1785.903,908.78005,
1782.992,886.63911,
1780.082,863.69444,
1777.171,884.78238,
1774.261,850.85501,
1771.350,884.18076,
1768.439,916.10134,
1765.529,908.58245,
1762.618,921.32749,
1759.708,915.63587,
1756.797,917.73864,
1753.887,932.66436,
1750.976,926.02487,
1748.065,952.22023,
1745.155,940.35751,
1742.244,943.96192,
1739.334,948.59324,
1736.423,962.08199,
1733.512,964.75913,
1730.602,978.83336,
1727.691,995.63991,
1724.781,981.03374,
1721.870,999.46323,
1718.960,999.36938,
1716.049,1051.8194,
1713.138,1027.9252,
1710.228,1022.125,
1707.317,1030.0861,
1704.407,1023.0394,
1701.496,1061.3216,
1698.586,1048.4933,
1695.675,1099.5247,
1692.764,1086.084,
1689.854,1111.9124,
1686.943,1065.7776,
1684.033,1091.4296,
1681.122,1149.1394,
1678.211,1104.5628,
1675.301,1160.9492,
1672.390,1185.0114,
1669.480,1147.4459,
1666.569,1187.5947,
1663.659,1224.4353,
1660.748,1243.9927,
1657.837,1287.5345,
1654.927,1262.0387,
1652.016,1299.5175,
1649.106,1277.3038,
1646.195,1365.5156,
1643.285,1420.8717,
1640.374,1369.0274,
1637.463,1458.9897,
1634.553,1506.1693,
1631.642,1509.5159,
1628.732,1545.7709,
1625.821,1654.1446,
1622.911,1683.9559,
1620.000,1768.0541,
1617.089,1907.319,
1614.179,2028.6845,
1611.268,2085.0802,
1608.358,2247.2587,
1605.447,2322.0684,
1602.536,2394.1528,
1599.626,2397.2851,
1596.715,2408.0162,
1593.805,2388.5554,
1590.894,2394.9317,
1587.984,2364.9457,
1585.073,2365.2299,
1582.162,2304.3434,
1579.252,2229.1158,
1576.341,2241.5601,
1573.431,2181.5552,
1570.520,2124.1418,
1567.610,2115.1054,
1564.699,2132.0757,
1561.788,2105.0267,
1558.878,2080.2008,
1555.967,2063.8937,
1553.057,2003.9014,
1550.146,1957.7614,
1547.235,1988.8575,
1544.325,1941.9093,
1541.414,1879.2645,
1538.504,1873.0698,
1535.593,1830.7111,
1532.683,1800.0693,
1529.772,1783.5067,
1526.861,1746.3436,
1523.951,1730.6254,
1521.040,1698.523,
1518.130,1685.9877,
1515.219,1646.4451,
1512.309,1642.3727,
1509.398,1637.7544,
1506.487,1628.0851,
1503.577,1665.4834,
1500.666,1618.8865,
1497.756,1602.5743,
1494.845,1618.1639,
1491.934,1571.1565,
1489.024,1580.7814,
1486.113,1573.7073,
1483.203,1565.1315,
1480.292,1531.8816,
1477.382,1503.4941,
1474.471,1508.8683,
1471.560,1523.01,
1468.650,1493.6446,
1465.739,1473.0011,
1462.829,1464.1568,
1459.918,1484.4346,
1457.008,1478.7401,
1454.097,1435.6387,
1451.186,1422.4422,
1448.276,1433.0181,
1445.365,1421.4805,
1442.455,1424.9038,
1439.544,1470.6263,
1436.633,1415.5431,
1433.723,1439.3803,
1430.812,1424.1697,
1427.902,1388.7486,
1424.991,1456.9875,
1422.081,1405.9113,
1419.170,1436.5515,
1416.259,1387.0407,
1413.349,1318.9924,
1410.438,1361.3061,
1407.528,1400.6436,
1404.617,1386.4013,
1401.707,1382.7837,
1398.796,1429.9431,
1395.885,1458.7233,
1392.975,1434.7497,
1390.064,1426.6567,
1387.154,1415.9648,
1384.243,1360.1953,
1381.332,1400.1009,
1378.422,1451.2648,
1375.511,1512.1556,
1372.601,1485.4779,
1369.690,1549.9884,
1366.780,1541.3241,
1363.869,1566.637,
1360.958,1635.5638,
1358.048,1660.9718,
1355.137,1685.4606,
1352.227,1731.6284,
1349.316,1773.067,
1346.406,1808.6623,
1343.495,1824.6476,
1340.584,1815.66,
1337.674,1870.1282,
1334.763,1921.3247,
1331.853,1952.8506,
1328.942,1971.0248,
1326.032,1990.253,
1323.121,2014.872,
1320.210,2094.0444,
1317.300,2133.6664,
1314.389,2144.3474,
1311.479,2209.3576,
1308.568,2296.0559,
1305.657,2353.4018,
1302.747,2452.0433,
1299.836,2500.1619,
1296.926,2539.2015,
1294.015,2605.3928,
1291.105,2638.944,
1288.194,2708.6219,
1285.283,2768.8012,
1282.373,2795.6172,
1279.462,2815.3992,
1276.552,2875.9047,
1273.641,2951.1053,
1270.731,2996.5325,
1267.820,3040.4733,
1264.909,3070.564,
1261.999,3029.0931,
1259.088,3000.8173,
1256.178,2942.5989,
1253.267,2903.9716,
1250.356,2823.3361,
1247.446,2750.9877,
1244.535,2656.7323,
1241.625,2563.0954,
1238.714,2502.1501,
1235.804,2443.6639,
1232.893,2410.1466,
1229.982,2310.1012,
1227.072,2250.3506,
1224.161,2205.7808,
1221.251,2179.5123,
1218.340,2112.2307,
1215.430,2079.6755,
1212.519,2054.3177,
1209.608,2018.5181,
1206.698,2011.4016,
1203.787,2017.4617,
1200.877,2030.4593,
1197.966,2035.8543,
1195.055,2173.498,
1192.145,2222.6707,
1189.234,2230.4762,
1186.324,2264.4919,
1183.413,2296.2164,
1180.503,2319.0113,
1177.592,2344.2763,
1174.681,2299.0428,
1171.771,2255.9505,
1168.860,2205.0444,
1165.950,2153.3602,
1163.039,2177.0451,
1160.129,2166.1714,
1157.218,2146.6828,
1154.307,2144.3829,
1151.397,2138.6935,
1148.486,2127.6236,
1145.576,2136.125,
1142.665,2136.125,
1139.754,2123.9206,
1136.844,2143.5347,
1133.933,2141.3949,
1131.023,2133.5971,
1128.112,2136.2675,
1125.202,2136.5018,
1122.291,2133.6479,
1119.380,2193.2289,
1116.470,2203.8193,
1113.559,2194.2995,
1110.649,2202.2574,
1107.738,2187.7639,
1104.828,2171.7894,
1101.917,2166.4324,
1099.006,2142.1664,
1096.096,2114.5013,
1093.185,2120.6473,
1090.275,2142.9753,
1087.364,2149.4972,
1084.453,2139.4382,
1081.543,2153.036,
1078.632,2189.5866,
1075.722,2210.0056,
1072.811,2215.4568,
1069.901,2177.9065,
1066.990,2223.6249,
1064.079,2275.9558,
1061.169,2280.7652,
1058.258,2275.0538,
1055.348,2281.6552,
1052.437,2282.2247,
1049.527,2300.3054,
1046.616,2227.3238,
1043.705,2262.2878,
1040.795,2253.4158,
1037.884,2258.3201,
1034.974,2270.2835,
1032.063,2263.5557,
1029.153,2268.3327,
1026.242,2270.0626,
1023.331,2311.789,
1020.421,2361.254,
1017.510,2397.6141,
1014.600,2442.9989,
1011.689,2469.7312,
1008.778,2442.8539,
1005.868,2511.4571,
1002.957,2548.4523,
1000.047,2640.029,
997.136,2689.1574,
994.226,2674.8023,
991.315,2647.3007,
988.404,2645.1818,
985.494,2573.6237,
982.583,2595.8941,
979.673,2584.4921,
976.762,2600.2607,
973.852,2619.5451,
970.941,2606.7494,
968.030,2567.9343,
965.120,2595.2861,
962.209,2633.6505,
959.299,2641.5415,
956.388,2654.4442,
953.477,2651.3831,
950.567,2647.7647,
947.656,2685.337,
944.746,2656.4521,
941.835,2686.7077,
938.925,2650.0356,
936.014,2635.724,
933.103,2640.241,
930.193,2629.7291,
927.282,2613.192,
924.372,2559.0731,
921.461,2524.8782,
918.551,2491.3067,
915.640,2465.2012,
912.729,2438.6338,
909.819,2398.7914,
906.908,2396.2641,
903.998,2395.3296,
901.087,2400.217,
898.176,2426.0304,
895.266,2445.7292,
892.355,2443.3915,
889.445,2492.9083,
886.534,2493.125,
883.624,2503.2175,
880.713,2530.0703,
877.802,2532.7132,
874.892,2471.4672,
871.981,2352.6318,
869.071,2331.7465,
866.160,2385.3917,
863.250,2435.2383,
860.339,2475.3817,
857.428,2519.4122,
854.518,2563.1772,
851.607,2426.7179,
848.697,2423.7595,
845.786,2397.8353,
842.875,2399.3807,
839.965,2466.897,
837.054,2484.5437,
834.144,2521.8375,
831.233,2551.1234,
828.323,2563.6087,
825.412,2561.5834,
822.501,2549.061,
819.591,2520.9635,
816.680,2495.2852,
813.770,2460.3059,
810.859,2435.0027,
807.949,2410.5176,
805.038,2377.7002,
802.127,2423.7954,
799.217,2375.2022,
796.306,2338.3951,
793.396,2328.0182,
790.485,2330.3346,
787.574,2315.7825,
784.664,2306.7613,
781.753,2317.2027,
778.843,2321.6548,
775.932,2321.3595,
773.022,2334.142,
770.111,2398.7307,
767.200,2350.5944,
764.290,2361.2853,
761.379,2379.9434,
758.469,2378.7528,
755.558,2379.8121,
752.648,2335.8235,
749.737,2337.5696,
746.826,2358.5103,
743.916,2369.9821,
741.005,2350.09,
738.095,2314.3674,
735.184,2315.1304,
732.274,2274.0014,
729.363,2241.5134,
726.452,2261.2877,
723.542,2300.948,
720.631,2290.8924,
717.721,2296.2905,
714.810,2307.3125,
711.899,2308.1052,
708.989,2282.2836,
706.078,2329.4019,
703.168,2328.3734,
700.257,2320.5376,
697.347,2299.3882,
694.436,2221.8015,
691.525,2246.7194,
688.615,2238.9179,
685.704,2239.7589,
682.794,2267.5078,
679.883,2321.0529,
676.973,2319.4502,
674.062,2292.3256,
671.151,2309.5614,
668.241,2348.9808,
665.330,2340.9149,
662.420,2315.3555,
659.509,2331.7127,
656.598,2364.0315,
653.688,2386.2143,
650.777,2371.2618,
647.867,2316.3152,
644.956,2290.5037,
642.046,2252.6885,
639.135,2225.1688,
636.224,2278.2404,
633.314,2301.2646,
630.403,2314.2195,
627.493,2334.8721,
624.582,2361.7141,
621.672,2368.8421,
618.761,2375.2045,
615.850,2353.4325,
612.940,2345.0541,
610.029,2363.8891,
607.119,2350.4654,
604.208,2349.125,
601.297,2363.0835,
598.387,2367.3795,
595.476,2344.0906,
592.566,2354.3225,
589.655,2339.9277,
586.745,2345.8799,
583.834,2367.1013,
580.923,2373.9686,
578.013,2348.0724,
575.102,2361.2006,
572.192,2390.4164,
569.281,2421.4678,
566.371,2451.2075,
563.460,2387.1055,
560.549,2363.0232,
557.639,2366.8564,
554.728,2367.4061,
551.818,2387.6943,
548.907,2406.1415,
545.996,2419.7905,
543.086,2432.8289,
540.175,2459.3029,
537.265,2410.4254,
534.354,2394.6368,
531.444,2404.8128,
528.533,2422.2905,
525.622,2424.6184,
522.712,2440.9006,
519.801,2464.8727,
516.891,2493.0722,
513.980,2522.4954,
511.070,2523.012,
508.159,2556.5098,
505.248,2591.8717,
502.338,2587.2035,
499.427,2658.212,
496.517,2685.6098,
493.606,2702.5562,
490.695,2728.5812,
487.785,2767.8405,
484.874,2749.5685,
481.964,2729.0653,
479.053,2721.5152,
476.143,2731.4987,
473.232,2688.2414,
470.321,2705.1853,
467.411,2730.4881,
464.500,2699.0474,
461.590,2695.9845,
458.679,2768.3142,
455.769,2825.2894,
452.858,2817.5343,
449.947,2802.2557,
447.037,2831.2833,
444.126,2862.4765,
441.216,2876.2886,
438.305,2854.1926,
435.395,2850.4694,
432.484,2862.2108,
429.573,2879.6575,
426.663,2881.9379,
423.752,2809.5934,
420.842,2748.4404,
417.931,2699.7659,
415.020,2652.7477,
412.110,2801.8373,
409.199,2919.7166,
406.289,2977.0077,
403.378,2952.207,
400.468,2976.3988,
397.557,2981.5543,
394.646,3014.4093,
391.736,3109.9801,
388.825,3105.4547,
385.915,3101.9962,
383.004,3087.2756,
380.094,3058.0426,
377.183,3115.2308,
374.272,3125.6972,
371.362,3134.6641,
368.451,3167.2618,
365.541,3169.5134,
362.630,3206.7231,
359.719,3229.4298,
356.809,3210.4454,
353.898,3199.2134,
350.988,3210.2297,
348.077,3210.5086,
345.167,3182.4656,
342.256,3189.1892,
339.345,3199.0965,
336.435,3208.6233,
333.524,3215.8531,
330.614,3238.953,
327.703,3252.7993,
324.793,3267.8899,
321.882,3293.1196,
318.971,3290.8893,
316.061,3311.1225,
313.150,3345.5964,
310.240,3385.6707,
307.329,3427.8593,
304.418,3419.5035,
301.508,3394.2604,
298.597,3409.8091,
295.687,3398.2574,
292.776,3445.4586,
289.866,3538.0294,
286.955,3622.9828,
284.044,3649.6725,
281.134,3637.3889,
278.223,3618.3999,
275.313,3729.6651,
272.402,3712.4618,
269.492,3709.7406,
266.581,3768.2811,
263.670,3784.4551,
260.760,3839.2738,
257.849,3896.9299,
254.939,3930.6885,
252.028,3942.7065,
249.117,3957.1752,
246.207,3972.345,
243.296,3984.7896,
240.386,3935.8446,
237.475,3939.4758,
234.565,3982.0282,
231.654,3943.3179,
228.743,3948.9338,
225.833,3927.4158,
222.922,3857.4012,
220.012,3906.2144,
217.101,3898.0799,
214.191,3883.3973,
211.280,3917.5881,
208.369,3911.3784,
205.459,3885.1662,
202.548,3853.1278,
199.638,3858.933,
196.727,3929.2709,
193.816,3983.7373,
190.906,3993.7757,
187.995,4040.8373,
185.085,4054.7607,
182.174,4072.6928,
179.264,4148.5832,
176.353,4117.3967,
173.442,4138.6319,
170.532,4213.3609,
167.621,4198.2204,
164.711,4114.2387,
161.800,3967.9041,
158.890,3750.5464,
155.979,3564.1541,
153.068,3310.3813,
150.158,2985.8674,
147.247,2578.7885,
144.337,2108.9303,
141.426,1656.4037,
138.516,1260.6797,
135.605,902.15379,
132.694,614.99454,
129.784,396.78412,
126.873,261.62458,
123.963,180.63241,
121.052,125.96054,
118.141,90.265439,
115.231,73.071311,
112.320,62.735913,
109.410,55.943316,
106.499,44.548832,
103.589,35.962201,
100.678,31.668243,
97.767,33.090119,
94.857,35.203967,
91.946,32.093891,
89.036,25.334715,
86.125,20.370278,
83.215,18.063159,
80.304,18.082731,
77.393,20.91541,
74.483,17.849325,
71.572,15.762648,
68.662,15.332802,
65.751,17.452156,
62.840,15.234788,
59.930,12.125,
57.019,12.125,
54.109,13.319322,
51.198,13.823391,
48.288,13.085363,
45.377,8.1617164,
42.466,9.0105354,
39.556,12.549407,
36.645,9.038456,
33.735,11.240491,
30.824,11.474356,
27.914,3.0602534,
25.003,4.6155499,
22.092,7.0937137,
19.182,9.6513058,
16.271,25.739579,
13.361,65.841638,
10.450,100.70697,
7.539,34.367013,
4.629,-80.46042,
1.718,-245.21425,
-1.192,-484.33483,
-4.103,-361.13462,
-7.013,-181.91712,
-9.924,1.125,
