,PL6F19~1,
Wavenumbers [1/cm],Intensity,
1782.992,1123.2191,
1780.082,1139.2303,
1777.171,1158.3346,
1774.261,1138.9095,
1771.350,1133.409,
1768.439,1155.8039,
1765.529,1121.4565,
1762.618,1133.0337,
1759.708,1140.174,
1756.797,1153.9167,
1753.887,1147.1531,
1750.976,1118.5412,
1748.065,1154.1551,
1745.155,1158.1744,
1742.244,1158.2291,
1739.334,1169.4235,
1736.423,1171.7065,
1733.512,1161.813,
1730.602,1190.1647,
1727.691,1220.1915,
1724.781,1203.9759,
1721.870,1206.0477,
1718.960,1231.0225,
1716.049,1230.9662,
1713.138,1202.6401,
1710.228,1217.1465,
1707.317,1242.9989,
1704.407,1247.7968,
1701.496,1278.9926,
1698.586,1232.1048,
1695.675,1224.2572,
1692.764,1276.0697,
1689.854,1279,
1686.943,1296.3929,
1684.033,1265.7948,
1681.122,1343.6406,
1678.211,1313.3046,
1675.301,1313,
1672.390,1381.9821,
1669.480,1376.1203,
1666.569,1391.6602,
1663.659,1442.6244,
1660.748,1420.8291,
1657.837,1462.7376,
1654.927,1451.9606,
1652.016,1491.757,
1649.106,1482.7834,
1646.195,1515.055,
1643.285,1557.7493,
1640.374,1547.8989,
1637.463,1590.9187,
1634.553,1641.7389,
1631.642,1691.1412,
1628.732,1704.1778,
1625.821,1734.0713,
1622.911,1842.3858,
1620.000,1923.9669,
1617.089,2015.1691,
1614.179,2141.3903,
1611.268,2222.0258,
1608.358,2318.4113,
1605.447,2440.8581,
1602.536,2499.2538,
1599.626,2562.7956,
1596.715,2532.6036,
1593.805,2447.6158,
1590.894,2467.9428,
1587.984,2424.3649,
1585.073,2437.4196,
1582.162,2397.5859,
1579.252,2342.3568,
1576.341,2267.9149,
1573.431,2276.2784,
1570.520,2279.1781,
1567.610,2261.6076,
1564.699,2236.4242,
1561.788,2177.592,
1558.878,2186.7243,
1555.967,2185.144,
1553.057,2160.414,
1550.146,2151,
1547.235,2140.9645,
1544.325,2083.1021,
1541.414,2034.279,
1538.504,2017.2654,
1535.593,1982.2197,
1532.683,1984.7794,
1529.772,1982.6193,
1526.861,1950.1048,
1523.951,1944.946,
1521.040,1883.1209,
1518.130,1863.6378,
1515.219,1861.5594,
1512.309,1877.036,
1509.398,1865.4297,
1506.487,1869.7164,
1503.577,1877.4445,
1500.666,1847.3065,
1497.756,1819.6782,
1494.845,1840.8805,
1491.934,1861.9465,
1489.024,1845.5841,
1486.113,1794.0031,
1483.203,1783.7828,
1480.292,1784.697,
1477.382,1758.3278,
1474.471,1716.7006,
1471.560,1748.0886,
1468.650,1774.2491,
1465.739,1723.2774,
1462.829,1724.825,
1459.918,1744.2375,
1457.008,1751.1386,
1454.097,1718.8679,
1451.186,1682.2282,
1448.276,1696.1552,
1445.365,1693.643,
1442.455,1695.5466,
1439.544,1695.8783,
1436.633,1696.8937,
1433.723,1720.2492,
1430.812,1720.1529,
1427.902,1696.4363,
1424.991,1672.7422,
1422.081,1692.1845,
1419.170,1729.4265,
1416.259,1692.8767,
1413.349,1677.7133,
1410.438,1687.1965,
1407.528,1726.7621,
1404.617,1663.2149,
1401.707,1638.9162,
1398.796,1704.402,
1395.885,1732.0117,
1392.975,1727.0422,
1390.064,1747.8228,
1387.154,1740.3268,
1384.243,1732.7601,
1381.332,1771.4386,
1378.422,1782.6619,
1375.511,1776.1044,
1372.601,1841.4315,
1369.690,1855.5722,
1366.780,1856.208,
1363.869,1901.0416,
1360.958,1954.3119,
1358.048,2003.2589,
1355.137,2040.8219,
1352.227,2062.4053,
1349.316,2098.3845,
1346.406,2135.6558,
1343.495,2119.2526,
1340.584,2135.7487,
1337.674,2228.8609,
1334.763,2285.6119,
1331.853,2275.4123,
1328.942,2299.905,
1326.032,2297.2907,
1323.121,2348.6085,
1320.210,2375.657,
1317.300,2409.5116,
1314.389,2447.9865,
1311.479,2510.8734,
1308.568,2561.7386,
1305.657,2572.0052,
1302.747,2652.5796,
1299.836,2720.0885,
1296.926,2739.6575,
1294.015,2839.8637,
1291.105,2817.5837,
1288.194,2877.1007,
1285.283,2981.0684,
1282.373,3012.2031,
1279.462,3021.5292,
1276.552,3071.8821,
1273.641,3139.4987,
1270.731,3197.9926,
1267.820,3248.8595,
1264.909,3213.6373,
1261.999,3209.8682,
1259.088,3178.8561,
1256.178,3169.2919,
1253.267,3070.5662,
1250.356,2986.1424,
1247.446,2961.1735,
1244.535,2939.701,
1241.625,2883.4927,
1238.714,2802.8638,
1235.804,2738.8058,
1232.893,2749.2604,
1229.982,2698.1977,
1227.072,2585.939,
1224.161,2614.1417,
1221.251,2556.9722,
1218.340,2536.2956,
1215.430,2489.654,
1212.519,2470.9214,
1209.608,2487.2037,
1206.698,2464.5743,
1203.787,2440.1558,
1200.877,2446.6835,
1197.966,2538.3978,
1195.055,2554.0922,
1192.145,2630.383,
1189.234,2703.0106,
1186.324,2724.0904,
1183.413,2739.4315,
1180.503,2741.7411,
1177.592,2688.0099,
1174.681,2657.2808,
1171.771,2672.3406,
1168.860,2643.7618,
1165.950,2591.0101,
1163.039,2581.0952,
1160.129,2605.0043,
1157.218,2600.8091,
1154.307,2582.7103,
1151.397,2576.7481,
1148.486,2546.0461,
1145.576,2569.1542,
1142.665,2572.7058,
1139.754,2544.523,
1136.844,2507.887,
1133.933,2507.3166,
1131.023,2525.914,
1128.112,2539.1425,
1125.202,2552.6618,
1122.291,2585.3814,
1119.380,2601.9047,
1116.470,2592.1969,
1113.559,2622.7032,
1110.649,2648.3711,
1107.738,2655.3925,
1104.828,2645.2619,
1101.917,2626.4908,
1099.006,2604.1651,
1096.096,2574.0426,
1093.185,2607.4067,
1090.275,2602.7166,
1087.364,2603.7445,
1084.453,2608.3748,
1081.543,2633.3493,
1078.632,2651.9714,
1075.722,2634.1373,
1072.811,2652.5585,
1069.901,2660.4178,
1066.990,2693.3333,
1064.079,2708.4857,
1061.169,2728.0167,
1058.258,2735.4947,
1055.348,2737.7006,
1052.437,2766.5756,
1049.527,2794.5972,
1046.616,2784.1713,
1043.705,2778.3754,
1040.795,2770.615,
1037.884,2777.1148,
1034.974,2776.5722,
1032.063,2769.4919,
1029.153,2799.6764,
1026.242,2771.9978,
1023.331,2822.6634,
1020.421,2852.5188,
1017.510,2873.3261,
1014.600,2899.0713,
1011.689,2933.8282,
1008.778,2974.6501,
1005.868,3024.9846,
1002.957,3023.2638,
1000.047,3124.192,
997.136,3214.272,
994.226,3235.831,
991.315,3201.1683,
988.404,3155.4343,
985.494,3105.1944,
982.583,3069.2191,
979.673,3088.1443,
976.762,3075.2772,
973.852,3087.4046,
970.941,3108.6629,
968.030,3081.5087,
965.120,3107.0072,
962.209,3108.7122,
959.299,3104.7505,
956.388,3125.3986,
953.477,3141.7669,
950.567,3146.5356,
947.656,3159.2066,
944.746,3115.0297,
941.835,3153.4907,
938.925,3139.9682,
936.014,3151.7738,
933.103,3162.6417,
930.193,3133.6078,
927.282,3107.8625,
924.372,3105.3257,
921.461,3097.636,
918.551,3046.7825,
915.640,3014.9746,
912.729,3001.2885,
909.819,2953.4448,
906.908,2956.8145,
903.998,2946.6603,
901.087,2965.0047,
898.176,2988.4527,
895.266,3015.6004,
892.355,3052.9683,
889.445,3084.8604,
886.534,3104.2021,
883.624,3117.4196,
880.713,3126.0828,
877.802,3135.5583,
874.892,3142.8746,
871.981,3126.9877,
869.071,3041.7756,
866.160,3025.6201,
863.250,3065.8878,
860.339,3096.1985,
857.428,3087.0609,
854.518,3099.0853,
851.607,3067.4666,
848.697,3073.6929,
845.786,3067.0638,
842.875,3090.6053,
839.965,3157.8739,
837.054,3170.9256,
834.144,3164.2956,
831.233,3145.0013,
828.323,3158.2557,
825.412,3166.1897,
822.501,3133.5106,
819.591,3125.2466,
816.680,3125.8013,
813.770,3083.3978,
810.859,3070.1835,
807.949,3083.0707,
805.038,3077.0044,
802.127,3068.7731,
799.217,3038.1844,
796.306,3013.2431,
793.396,3016.4047,
790.485,3028.8921,
787.574,2990.782,
784.664,2985.0413,
781.753,3018.2202,
778.843,3029.119,
775.932,3023.6173,
773.022,3032.7347,
770.111,3082.6069,
767.200,3066.2059,
764.290,3061.7336,
761.379,3061.0307,
758.469,3051.5127,
755.558,3027.778,
