,PL6DEB~1,
Raman shift [1/cm],Intensity,
1797.545,153.35464,
1794.635,152.41809,
1791.724,181.40787,
1788.813,144.4018,
1785.903,153.98641,
1782.992,161.09834,
1780.082,147.71136,
1777.171,143.32762,
1774.261,138.06032,
1771.350,158.48075,
1768.439,147.85118,
1765.529,149.45463,
1762.618,151.44938,
1759.708,162.70662,
1756.797,162.31818,
1753.887,146.10204,
1750.976,144.12762,
1748.065,149.45776,
1745.155,140.78072,
1742.244,152.87769,
1739.334,144.19765,
1736.423,132.46729,
1733.512,129.54471,
1730.602,140.96827,
1727.691,155.74725,
1724.781,163.71946,
1721.870,182.70487,
1718.960,185.35554,
1716.049,170.73743,
1713.138,157.74005,
1710.228,152.51881,
1707.317,125.46286,
1704.407,183.98941,
1701.496,129.01475,
1698.586,203.38665,
1695.675,155.7289,
1692.764,194.60248,
1689.854,169.25589,
1686.943,162.20235,
1684.033,125.91894,
1681.122,163.3373,
1678.211,156.07614,
1675.301,175.93833,
1672.390,211.12262,
1669.480,251.47055,
1666.569,186.63479,
1663.659,236.26132,
1660.748,251.03591,
1657.837,202.26244,
1654.927,214.77316,
1652.016,246.9757,
1649.106,245.85311,
1646.195,240.35965,
1643.285,255.5013,
1640.374,276.74913,
1637.463,265.46838,
1634.553,291,
1631.642,291.19544,
1628.732,309.31997,
1625.821,363.01963,
1622.911,392.83095,
1620.000,448.29447,
1617.089,427.43781,
1614.179,521.2645,
1611.268,487.41276,
1608.358,557.48827,
1605.447,604.37178,
1602.536,611.65944,
1599.626,632.23852,
1596.715,620.38598,
1593.805,587.69838,
1590.894,613.06211,
1587.984,623.92874,
1585.073,577.35426,
1582.162,553.13717,
1579.252,562.27452,
1576.341,554.58618,
1573.431,574.71205,
1570.520,529.02236,
1567.610,558.45168,
1564.699,523.97294,
1561.788,462.74688,
1558.878,475.04158,
1555.967,476.44737,
1553.057,458.51736,
1550.146,455.68726,
1547.235,416.67715,
1544.325,410.62127,
1541.414,417.73891,
1538.504,387.42029,
1535.593,373.8168,
1532.683,358.03029,
1529.772,331.43124,
1526.861,322.74644,
1523.951,328.38147,
1521.040,337.70519,
1518.130,289.26096,
1515.219,294.15902,
1512.309,311.89634,
1509.398,270.94854,
1506.487,297.4647,
1503.577,282.17922,
1500.666,260.78347,
1497.756,260.89755,
1494.845,187.96052,
1491.934,210.95276,
1489.024,196.51536,
1486.113,274.81332,
1483.203,225.9336,
1480.292,227.48511,
1477.382,218.49277,
1474.471,219.06952,
1471.560,201.85835,
1468.650,156.0534,
1465.739,153.37176,
1462.829,168.56499,
1459.918,180.73487,
1457.008,195.63088,
1454.097,182.74073,
1451.186,169.6441,
1448.276,181.57237,
1445.365,159.53318,
1442.455,133.91975,
1439.544,144.30789,
1436.633,139.89374,
1433.723,159.88443,
1430.812,135.70964,
